,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,13339378991.36,8030750904.65,3737597792.89,12695169013.56,8839380403.95,5510421793.03,2854877273.93,12220678706.08,8359723101.01,5048174855.85,2357617806.71,11113340675.78,6190347115.69,3791142418.77,1844727451.88,10873217748.99,8010582359.63,5168165919.66,2621670678.95,12963858075.09,7736568575.43,5028758794.46,2392626183.73,10070841135.08,7681616147.37,5128506592.74,2496314941.97,10081582856.81,2801586137.31,1846326743.41,1027762051.31,3099046376.70,2357060135.95,1510778165.08,818544825.98,2603858934.22,1963740101.47,1235634968.25,647073127.53,1850703594.09,1278637839.22,875578431.71,598072904.14,1696400292.12,1221322841.77,819984972.28,474027563.23,1644960130.78,1215835710.41,832750210.24,507127707.07,1531660886.58,1089100997.55,720573730.72,409009767.36,1547622203.67,1152083615.02,749438575.41,418154343.25,1389933567.37,999170978.34,664077692.08,380983801.34,1197299919.43,863902925.55,600146069.11,390600412.41,1116331037.24,771526028.83,500637710.48,1112994169.88,1176752275.85,1227385375.94,0.0
2,营业收入,13339378991.36,8030750904.65,3737597792.89,12695169013.56,8839380403.95,5510421793.03,2854877273.93,12220678706.08,8359723101.01,5048174855.85,2357617806.71,11113340675.78,6190347115.69,3791142418.77,1844727451.88,10873217748.99,8010582359.63,5168165919.66,2621670678.95,12963858075.09,7736568575.43,5028758794.46,2392626183.73,10070841135.08,7681616147.37,5128506592.74,2496314941.97,10081582856.81,2801586137.31,1846326743.41,1027762051.31,3099046376.70,2357060135.95,1510778165.08,818544825.98,2603858934.22,1963740101.47,1235634968.25,647073127.53,1850703594.09,1278637839.22,875578431.71,598072904.14,1696400292.12,1221322841.77,819984972.28,474027563.23,1644960130.78,1215835710.41,832750210.24,507127707.07,1526457152.02,1085531346.64,717004079.81,409009767.36,1541940695.96,1148497660.85,745852621.24,418154343.25,1383676128.48,998987832.33,663894546.07,380956572.87,1190986430.42,859634078.28,595936094.11,390600412.41,1110115343.50,764182835.09,496389358.60,1106679207.38,1168332325.85,1227356002.47,0.0
3,二、营业总成本,13068991437.40,7991214420.93,3624128177.33,13523156774.99,9492984802.60,6028809309.49,3144437915.96,13148283145.14,9237421170.00,5703809295.21,2774722804.31,10463870676.44,5607896185.89,3485412742.27,1758726098.65,8824751430.96,6658431538.17,4479685136.97,2401980069.18,10867291195.00,6006275382.78,3882422852.88,1963981038.17,8071721882.28,6010391784.03,4072327022.33,2089282023.56,8811845938.75,2569056242.74,1753863173.87,989016181.89,2882507079.97,2224920419.86,1409794394.22,760809746.44,2453972638.10,1735753598.17,1064995771.98,526128020.11,1766342562.03,1147737413.54,775293113.33,499356355.40,1542366097.18,1103220512.81,738974273.11,403577852.69,1420378085.24,1001185607.61,684190949.93,398449770.91,1343552866.72,994138950.81,669629865.27,365060464.14,1380819391.24,1046909520.51,673705003.02,355593185.26,1176356073.49,856438406.03,570617772.12,311409964.82,1010230760.86,755043196.85,522801662.84,326019440.34,985641671.40,697085896.90,454145971.44,931103963.35,985913763.94,1005621861.32,0.0
4,营业成本,11195837892.79,6864588017.44,3115919909.37,11336131120.87,8103109852.55,5144499094.05,2707582456.46,11423739988.06,7975405698.63,4896546616.72,2371770303.35,8781617878.98,4626612815.27,2837654037.66,1422070249.61,7195189794.56,5496605329.72,3696593742.89,2001950802.73,9014548548.09,5086010370.53,3265124480.67,1658982598.33,6700525849.68,5147928142.04,3468935591.77,1772965635.00,7390488532.76,2212879531.37,1506308303.70,848020510.19,2497273338.71,1941121419.58,1223494843.65,666583451.45,2142116251.96,1528082635.00,941698006.92,490942231.30,1599411605.58,1040938468.68,706182240.33,464761305.41,1397387147.27,1004720278.09,672857277.39,370504253.39,1328642718.56,942578932.61,645852566.75,377975928.92,1225729847.91,910969136.38,612704355.50,336786443.20,1284135700.73,975046169.02,622805155.41,332820092.29,1077821200.96,788814156.27,524420780.37,288056914.21,910344444.85,684255082.43,470946235.30,297335094.63,882473403.03,620948324.15,404028556.23,837781238.68,852834555.06,849504077.08,0.0
5,营业税金及附加,164136736.83,102792440.60,60877270.48,184422252.52,131306242.73,83276180.83,43890388.75,168332537.82,133032171.74,78832015.08,38949553.63,179466278.07,72696334.64,48079420.59,25514849.02,203514286.18,150724782.34,95229701.96,43952202.18,190888540.57,118392020.32,82558550.31,39150193.83,147558600.70,111947903.32,76243184.96,36396860.69,139811050.36,10684047.42,6599573.08,4755025.44,8759433.61,6923003.92,4800789.33,4439291.66,10195861.71,8197838.81,6579967.70,5727195.18,17363880.92,11341979.80,8443040.09,5976455.91,16783394.12,12022688.86,8395444.87,4457934.43,16012007.53,12788587.83,8946283.86,5787762.58,15381664.69,11423779.49,7486137.84,4672046.89,14063056.66,11918884.91,7662606.71,4479293.84,15921675.52,11498931.35,7546876.43,4594116.51,13971714.38,10274432.62,7113694.42,4597022.87,13215138.40,9197595.72,5688129.94,12975373.31,13895130.72,14711121.67,0.0
6,销售费用,13240351.28,7401797.48,1341953.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498854.45,3149479.10,2062686.03,1234464.28,4119975.49,2950104.92,1853825.99,3976414.25,4356389.00,4425408.00,0.0
7,管理费用,532388907.19,276662743.37,127368121.32,533834801.12,360577943.40,227147503.37,115046403.81,513069770.06,371355363.93,227480077.77,115759877.37,541067617.91,351082484.96,221883762.35,122942752.84,473553468.61,314220195.62,204382472.51,112312740.23,524968112.33,312905867.33,216788534.81,99657000.90,343088380.56,233747640.41,152136593.62,77770986.95,354272152.51,123493178.63,86179405.38,46322027.69,153392058.76,112819289.82,74403380.11,37798120.63,163667059.92,116200192.44,83810068.68,18616077.92,80051688.58,62061636.11,41123441.89,16940195.50,63979598.49,44828193.37,30665201.54,15539987.41,63461612.05,45882190.12,29918049.41,14633155.79,101335408.17,70163203.47,47880086.21,22459520.39,77257986.99,56191630.12,40048527.51,16390530.81,71866766.35,47932491.68,32562583.02,15411054.69,66577068.92,45341057.08,31725287.90,17584893.45,61296523.38,43819162.00,27998728.54,47937223.04,54485442.78,51917507.42,0.0
8,财务费用,1160546802.80,738703093.04,318619938.98,1228709144.09,897990763.92,573886531.24,277918666.94,1019960803.92,757627935.70,500950585.64,248243069.96,961421235.14,557505051.02,377796021.67,188198747.18,892870934.19,701947955.08,488545944.20,248823917.08,1070400652.63,488967124.60,317951287.09,166191245.11,673542761.91,516659499.75,374903053.47,202148540.92,967166719.45,240048823.52,172825229.91,89918618.57,220106463.83,164056706.54,107095381.13,51988882.70,142432817.55,91808191.92,41442988.68,10842515.71,47021942.70,33395328.95,19544391.02,11678398.58,56730011.78,41649352.49,27056349.31,13075677.46,4630539.98,-64102.95,-525950.09,52923.62,1105945.95,1582831.47,1559285.72,1142453.66,5362646.86,3752836.46,3188713.39,1903268.32,10746430.66,8192826.73,6087532.30,3347879.41,15838678.26,12023145.62,10953759.19,5267965.11,24536631.10,20170710.11,14576730.74,28433714.07,60342246.38,85063747.15,0.0
