,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,13829217053.36,11324967644.22,8374948304.25,4560995752.28,12460909715.71,9641093258.14,6564656432.67,3048574024.74,10325751218.85,7909406096.76,4472777915.40,1380111481.33,6781135190.45,4958401889.24,3109816721.13,1355515656.91,5792423427.74,4279653215.22,2926786411.55,1517217293.95,5680622927.91,3972456164.49,2558765251.92,1180381901.91,5120618965.26,3856898908.77,2719800480.91,1458473103.90,4729093440.65,3560443758.13,2122505522.01,1131172053.53,4081421947.36,3072099418.73,1960413879.96,846351866.94,2879499753.01,1956102587.39,1095443720.07,448987671.54,1692414970.02,1130469875.62,661479640.01,284621073.18,1356190961.82,1055481934.39,679917348.76,246525477.35,1420744535.47,978122290.94,621936196.74,236759783.82,1272347555.51,873519225.77,556242697.62,762219587.81,552662987.78,0.0
2,营业收入,13829217053.36,11324967644.22,8374948304.25,4560995752.28,12460909715.71,9641093258.14,6564656432.67,3048574024.74,10325751218.85,7909406096.76,4472777915.40,1380111481.33,6781135190.45,4958401889.24,3109816721.13,1355515656.91,5792423427.74,4279653215.22,2926786411.55,1517217293.95,5680622927.91,3972456164.49,2558765251.92,1180381901.91,5120618965.26,3856898908.77,2719800480.91,1458473103.90,4729093440.65,3560443758.13,2122505522.01,1131172053.53,4081421947.36,3072099418.73,1960413879.96,846351866.94,2879499753.01,1956102587.39,1095443720.07,448987671.54,1692414970.02,1130469875.62,661479640.01,284621073.18,1356190961.82,1055481934.39,679917348.76,246525477.35,1420744535.47,978122290.94,621936196.74,236759783.82,1272347555.51,873519225.77,556242697.62,762219587.81,552662987.78,0.0
3,二、营业总成本,13571346868.94,11199222408.98,8278017595.39,4509081558.35,12122915762.11,9436531909.52,6408070360.59,2998862356.03,9945608706.05,7582607908.02,4254184724.49,1311287822.13,6617882621.01,4791512606.03,3028679651.88,1356942747.31,5787894350.97,4275961305.48,2926042042.75,1539656397.28,5544059023.18,3860817476.32,2501949796.08,1166806040.71,4899946586.74,3708764741.47,2625064324.15,1377964070.77,4130685722.88,3027672458.87,1801349842.79,952522192.50,3370747589.97,2410391970.01,1589990678.23,694132352.30,2548554433.53,1683913967.18,977506647.38,429831295.99,1512167651.90,1010040423.29,608767624.37,292436960.15,1278306163.93,881929358.05,575404506.01,236972751.96,1241801322.40,857999285.60,541881750.46,226849999.77,1056435143.78,719607077.12,459017391.75,660894967.86,477874909.77,0.0
4,营业成本,12680536046.90,10530563009.58,7846312660.19,4295791981.31,11230526132.35,8771827960.86,6004377801.84,2818041505.52,9061197292.85,6929268062.59,3852120625.62,1098795295.05,5712379275.13,4206037669.50,2676256284.66,1184268303.33,5017897255.78,3728293254.35,2563655531.24,1370023903.35,4815580711.33,3339158716.73,2146975322.85,1045510184.68,4175340938.59,3194538442.08,2339383868.73,1245952473.03,3427690188.89,2663218523.67,1535502250.53,839838667.43,2753870672.89,2051849451.17,1345136084.35,585096235.45,1921721834.09,1298759671.26,770541000.23,349336004.04,1179842766.54,781075619.07,454416826.72,235382272.45,972355153.00,700870914.62,475935848.44,190948109.26,1035259119.32,718185167.31,450769746.95,180339119.94,851939431.43,595130424.58,390314037.96,537627308.08,387281928.08,0.0
5,营业税金及附加,61776738.17,43448854.74,28627519.29,11705038.55,64003674.29,45513555.75,30116208.92,8552555.02,51760347.57,28342842.88,20104911.24,10133990.81,41827253.62,18583407.45,9464101.94,4185994.39,19349476.88,15089871.42,10294695.55,4558441.58,22697072.08,16317037.28,12762704.11,4434646.48,25960851.34,15685053.97,10298028.75,4621374.13,28973974.45,21169867.26,16228288.32,5265713.00,30712539.02,27167416.49,19884314.93,9389507.55,26323841.41,17002300.24,10917262.94,3622841.30,15855010.43,11676742.00,7166428.00,3767513.79,20063936.78,14484336.40,6441979.64,2357531.69,10305202.01,6377187.03,3903478.91,1514628.01,9585692.58,4949172.56,2443203.57,4142529.13,2332367.60,0.0
6,销售费用,37640617.10,26902108.96,17835183.16,9223394.37,36358861.26,26233319.79,16952475.73,6681476.58,33053230.90,24685839.87,16668596.02,7902223.64,35704120.97,26979976.96,17312062.00,7117885.43,37694517.96,29805646.55,19887677.96,13339391.35,32925879.39,27306349.85,19948880.49,9935662.87,28373173.43,19582982.05,15529819.42,8032615.53,26158997.31,20816826.21,19840341.61,5344582.46,26832169.54,25026871.95,20823959.81,8969878.64,22255641.28,19196089.38,16905676.56,7480754.19,19245768.43,20985977.79,12914567.01,4696713.88,23224434.02,15869569.96,9453519.58,4936251.48,12943495.02,9336065.26,5251917.63,2504087.75,12361060.93,7762468.30,4256829.87,9452685.84,7710555.23,0.0
7,管理费用,506543682.79,361473356.91,217030615.27,103285443.91,474145719.43,353350305.25,325627311.11,157798229.00,682717160.72,503269982.52,327892537.26,179306146.02,698340173.32,488757824.76,296205136.71,147597675.99,633386627.78,461375705.35,299222253.11,138109492.71,609481311.70,437862171.61,289834916.30,96566084.49,597256195.97,418739252.41,218252727.31,105527342.76,610869869.90,286384075.14,202014031.99,89193769.02,468149926.07,273181889.42,180938360.08,77202179.20,386213242.16,227313193.99,142827304.79,55894286.17,253216257.16,176273639.60,104239232.40,45467430.97,220852052.32,143733763.08,82043468.63,39602218.37,159509815.01,107229813.51,69533545.26,37235631.98,160818495.01,99780905.68,55421119.61,97709845.81,72258998.39,0.0
8,财务费用,53842564.01,42412443.07,30074585.35,16710734.74,47286173.28,30215987.41,21339212.57,12391694.82,44499664.15,33168182.05,19885531.16,10328083.93,53337040.10,47138739.77,30242275.66,14499546.33,58392338.44,42045684.54,31848550.14,12425225.70,45502501.65,27364873.36,18338454.78,12002989.66,44643009.48,34803906.12,23661947.62,12755411.49,43135361.61,31201781.34,22338081.59,12347736.55,43874630.92,29716337.16,20396686.11,10211250.07,30525639.71,21133368.93,15390871.74,11090873.61,25605124.94,17322332.03,10847159.17,5734207.33,13407359.02,7556489.96,3811668.76,1691665.70,19528372.65,17685965.38,12295444.83,5256532.09,12338364.42,11984106.00,6441595.08,9516818.77,6652657.07,0.0
9,研发费用,231007219.97,194422635.72,138137032.13,73027885.13,238968846.68,170775668.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
