,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2602085195.00,1722831339.00,855753674.00,3170768175.00,2336538378.00,1552120934.00,777529717.00,2766461106.00,1992184424.00,1254968172.00,602178079.00,2349397869.00,1723448463.00,1145090155.00,571254857.00,2271278419.00,1655060923.00,1095145751.00,547883628.00,2234266629.00,1641329163.00,1080497627.00,532246614.00,2050149034.00,1508065856.00,1017519754.00,497651215.00,1979950431.00,1460086397.00,961453809.00,467048587.00,1678258878.00,1196390331.00,752386704.00,343687811.00,1035944829.00,683385397.00,423827239.00,205536289.00,871187828.00,655548161.00,437791348.00,220541085.00,897055597.00,671212307.00,447844584.00,220088713.00,886446384.00,654336229.00,440013096.00,212753002.00,817334000.00,594896686.00,396205146.00,198467000.00,778170000.00,574577000.00,384096000.00,179650000.00,711424000.00,514271000.00,336994000.00,161944000.00,646773000.00,479517000.00,322766000.00,156611000.00,651988000.00,486117000.00,324051000.00,156405000.00,597067000.00,284098000.00,542814000.00,255933000.00,481546000.00,280432083.00,737033000.00,928837000.00,961978000.00,0.0
2,营业收入,2602085195.00,1722831339.00,855753674.00,3170768175.00,2336538378.00,1552120934.00,777529717.00,2766461106.00,1992184424.00,1254968172.00,602178079.00,2349397869.00,1723448463.00,1145090155.00,571254857.00,2271278419.00,1655060923.00,1095145751.00,547883628.00,2234266629.00,1641329163.00,1080497627.00,532246614.00,2050149034.00,1508065856.00,1017519754.00,497651215.00,1979950431.00,1460086397.00,961453809.00,467048587.00,1678258878.00,1196390331.00,752386704.00,343687811.00,1035944829.00,683385397.00,423827239.00,205536289.00,871187828.00,655548161.00,437791348.00,220541085.00,897055597.00,671212307.00,447844584.00,220088713.00,886446384.00,654336229.00,440013096.00,212753002.00,817334000.00,594896686.00,396205146.00,198467000.00,778170000.00,574577000.00,384096000.00,179650000.00,711424000.00,514271000.00,336994000.00,161944000.00,646773000.00,479517000.00,322766000.00,156611000.00,651988000.00,486117000.00,324051000.00,156405000.00,597067000.00,284098000.00,542814000.00,255933000.00,478763000.00,260741839.00,737033000.00,928837000.00,961978000.00,0.0
3,二、营业总成本,1639487236.00,1084617252.00,534345816.00,2141256310.00,1527484552.00,1010233884.00,511410864.00,1948330346.00,1374238515.00,863891266.00,393040868.00,1432446273.00,993497450.00,645669296.00,338470692.00,1459667941.00,1053056224.00,700659405.00,353075958.00,1530707679.00,1082864184.00,711538868.00,356772457.00,1494720248.00,1077247230.00,718941153.00,360300670.00,1497984595.00,1099745787.00,720219086.00,356465219.00,1415981171.00,1030178168.00,667417129.00,328003235.00,874004545.00,510142534.00,263234772.00,129523338.00,488077552.00,339802535.00,217996070.00,108080218.00,462764655.00,334772114.00,217779219.00,107833420.00,447144850.00,321582459.00,212853060.00,110550389.00,463555579.00,344095331.00,224224944.00,111096000.00,408957000.00,298863000.00,191701000.00,95925000.00,390855000.00,267879000.00,177507000.00,88214000.00,338757000.00,245317000.00,160840000.00,81216000.00,348225000.00,255164000.00,172007000.00,85968000.00,327904000.00,154181000.00,349074000.00,166039000.00,250066000.00,126890453.00,351262000.00,356640000.00,327222000.00,0.0
4,营业成本,1186155053.00,782426733.00,395344015.00,1535997723.00,1095251459.00,728341949.00,372712571.00,1339596670.00,942474994.00,578449017.00,275191269.00,1048786243.00,799130097.00,508557881.00,259695978.00,1105533707.00,789986162.00,520506911.00,262497936.00,1124536699.00,799778753.00,521326888.00,266377592.00,1061600979.00,777813538.00,518588432.00,260689542.00,1048071726.00,768634478.00,501336336.00,251472222.00,999546841.00,734009828.00,478834295.00,238288272.00,580056474.00,325284562.00,165183542.00,82541559.00,335776781.00,262876718.00,168048029.00,84193454.00,355719990.00,257518876.00,167231480.00,83159969.00,335855818.00,241383948.00,156789838.00,80469484.00,291668215.00,211872020.00,137219961.00,68813000.00,289394000.00,206944000.00,135164000.00,68033000.00,285161000.00,201896000.00,133407000.00,67050000.00,256971000.00,187576000.00,121880000.00,62095000.00,264844000.00,204739000.00,139395000.00,70556000.00,255668000.00,125237000.00,269715000.00,140255000.00,192242000.00,109828407.00,257021000.00,270016000.00,222447000.00,0.0
5,营业税金及附加,236688281.00,156507549.00,74688170.00,287719298.00,215897966.00,142111696.00,70428752.00,261544875.00,186509287.00,121573186.00,60760904.00,168395448.00,47026186.00,42720853.00,32345958.00,126314115.00,93427383.00,62090837.00,31224772.00,125059544.00,92716328.00,61001890.00,29800729.00,115023600.00,84318525.00,56756210.00,27956119.00,111572780.00,82340746.00,54161733.00,26457942.00,93208092.00,66256013.00,41652404.00,19288466.00,53826686.00,34751405.00,21882451.00,10738498.00,44415936.00,33265273.00,22487340.00,11057569.00,45975957.00,34339058.00,23150407.00,11245757.00,46126944.00,33532032.00,22528571.00,10907097.00,42142354.00,30301145.00,20119298.00,10095000.00,39718000.00,29459000.00,19268000.00,8997000.00,36368000.00,26312000.00,17415000.00,8120000.00,31031000.00,22605000.00,15660000.00,7880000.00,32793000.00,24559000.00,16023000.00,7729000.00,29303000.00,14099000.00,26513000.00,12540000.00,23466000.00,11890781.00,33121000.00,40975000.00,44064000.00,0.0
6,销售费用,61373419.00,39760197.00,13282813.00,86961905.00,46065382.00,27632632.00,10471432.00,94773690.00,60272734.00,41926082.00,14384045.00,54486141.00,27583072.00,16019902.00,5962163.00,46321930.00,27378590.00,20525167.00,9541302.00,63400074.00,27235489.00,20150603.00,5353362.00,49666785.00,30329900.00,18588814.00,6843884.00,47065421.00,33355285.00,20583410.00,7619708.00,45121291.00,24741795.00,9416587.00,2133389.00,34164283.00,13984964.00,8174195.00,1849882.00,17279073.00,6003324.00,2272958.00,664125.00,11403325.00,6130557.00,3277340.00,1619381.00,5702231.00,2147900.00,1102656.00,241906.00,9476535.00,7375429.00,5543782.00,1892000.00,7889000.00,5305000.00,3575000.00,1837000.00,7093000.00,4709000.00,3054000.00,1275000.00,5140000.00,3708000.00,2715000.00,1515000.00,5148000.00,2409000.00,1546000.00,682000.00,4134000.00,4622000.00,6062000.00,3719000.00,4170000.00,2411975.00,6231000.00,6840000.00,1895000.00,0.0
7,管理费用,60878766.00,41455416.00,19001988.00,86001361.00,61635425.00,41084399.00,20439869.00,110857220.00,83730079.00,63275469.00,19766237.00,82365347.00,63325319.00,39700876.00,19687968.00,73747617.00,54573456.00,35550262.00,17292781.00,66955183.00,50596231.00,33909681.00,17537324.00,66508867.00,49353470.00,32943213.00,16144445.00,71004014.00,48070829.00,31712363.00,14788228.00,62622462.00,43938166.00,29870846.00,15137353.00,124904760.00,106048071.00,68609138.00,34813270.00,91701189.00,38594302.00,25378786.00,12488883.00,53501265.00,40054712.00,26306765.00,13229692.00,54146153.00,38324207.00,25817907.00,13555652.00,53472583.00,37003514.00,23917846.00,11497000.00,49895000.00,36173000.00,24010000.00,11877000.00,49950000.00,35723000.00,24210000.00,11968000.00,47726000.00,33332000.00,22249000.00,10959000.00,51457000.00,25918000.00,17201000.00,8439000.00,46536000.00,11754000.00,49684000.00,10444000.00,39637000.00,9555755.00,65488000.00,51957000.00,58399000.00,0.0
8,财务费用,94391717.00,64467357.00,32028830.00,144576023.00,108634320.00,71063208.00,37358240.00,141557891.00,101251421.00,58667512.00,22938413.00,78413094.00,56432776.00,38669784.00,20778625.00,107750572.00,87690633.00,61986228.00,32519167.00,150756179.00,112537383.00,75149806.00,37703450.00,175551095.00,135431797.00,92064484.00,48666680.00,220118444.00,167344449.00,112425244.00,56127119.00,214682485.00,161232366.00,107642997.00,53155755.00,81052342.00,30073532.00,-614554.00,-419871.00,-1075427.00,-937082.00,-191043.00,-323813.00,-3835882.00,-3271089.00,-2186773.00,-1421379.00,5292689.00,6194372.00,6614088.00,5376250.00,66795892.00,57543223.00,37424057.00,18799000.00,22061000.00,20982000.00,9684000.00,5181000.00,12283000.00,-761000.00,-579000.00,-199000.00,-2111000.00,-1904000.00,-1664000.00,-1233000.00,-6017000.00,-2461000.00,-2158000.00,-1438000.00,-7737000.00,-1531000.00,-2826000.00,-912000.00,-9623000.00,-6796465.00,-10599000.00,-13148000.00,417000.00,0.0
