,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,129521938.39,514764653.21,268139199.84,193682515.10,91788019.58,355973626.56,266290949.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,-1255254.97,24701581.80,-39793079.38,27262185.26,8069031.15,72554526.78,40511916.32,23370386.96,11740320.89,254915371.99,134382402.84,17611247.90,-7677228.38,60960164.07,41432437.15,6644631.98,-1574522.67,64235881.01,48764162.94,6401014.98,4698405.65,76314377.18,1575595.70,-554919.04,-5104314.63,34922128.45,29202519.25,25348633.51,-2657059.40,26170010.61,11392230.26,4324134.96,-2232996.22,42658403.17,47293543.51,17904338.99,3289031.51,14907246.43,7285218.69,4763255.94,1559654.27,9466063.09,6038491.95,5013305.60,2643646.31,7854267.57,4652822.43,5927241.28,3806167.60,0,0,0,328625.75,0,0,0,0,0.0
11,公允价值变动收益,23890.44,1013100.00,-2356909.05,-1810114.22,1202605.47,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-603014.38,-7046056.82,-14064554.01,-7474641.82,-410774.06,29362188.26,1359128.20,-107759.61,-14743.18,15838657.31,1571994.70,1113531.10,-689448.18,1781423.56,1856900.83,793443.34,-361326.85,1597729.76,425358.66,229490.47,0,1231546.22,841594.06,357240.59,0,686416.34,81602.67,-424013.11,-585227.79,3321956.82,-3570623.95,-1793092.37,-867698.42,-9641.96,434370.81,81167.23,-527441.04,1325083.49,1332546.99,812127.05,206039.18,2071483.39,1620338.75,941172.01,185987.59,2077829.46,1510395.53,890202.38,207511.79,2928426.83,1978662.09,1346616.38,637527.82,2238221.67,1862889.50,1197555.69,221305.39,3125048.73,2529814.98,3538586.90,3420094.38,0.0
13,其中:对联营企业和合营企业的投资收益,-1628329.97,-1592089.98,-2586412.30,-1634204.36,-1490204.27,473644.02,559714.09,-157924.13,-14743.18,2562377.61,1457326.89,1061568.93,-689448.18,1586185.67,283839.26,793443.34,-361326.85,538215.87,425358.66,229490.47,0,1079146.22,841594.06,357240.59,0,424801.97,-70797.33,-424013.11,-585227.79,775506.07,-3570623.95,-1793092.37,-867698.42,-9641.96,434370.81,81167.23,-527441.04,1325083.49,1332546.99,812127.05,206039.18,2071483.39,1620338.75,941172.01,185987.59,2077829.46,1510395.53,890202.38,207511.79,2928426.83,1978662.09,0,637527.82,0,0,0,221305.39,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,307730514.47,1558178211.72,1220956769.46,781028688.54,269719699.09,1290319349.73,905560742.99,485079143.08,195252101.21,1018804257.46,755550739.52,468565843.41,158486651.94,353372816.66,299846290.70,223420212.37,-49107877.97,273907186.19,275850957.57,180588670.29,21111341.89,127524630.71,55414596.99,16678301.51,-25045358.60,4855515.19,63037740.03,33075898.56,-8839471.93,49830771.29,47620887.47,46660332.79,-291411.50,66565507.41,72441897.68,62189678.09,25577307.02,277318378.64,253379958.43,154034311.88,81647401.70,191602193.18,101735709.08,46660703.19,11030695.96,79746948.88,52802452.08,38399726.40,289271.88,44577795.05,28876736.03,23916309.46,2293560.57,63050129.45,40837423.23,30249715.35,6611751.00,52021395.35,39487302.19,43893719.80,27946113.47,0.0
16,加:营业外收入,1099769.69,120053107.77,12662645.81,8699478.63,7950868.03,127512469.39,48386018.00,21023333.63,6960626.50,38729015.73,21421069.88,10687718.18,28239876.79,227357272.00,169608344.85,126055474.40,97716200.51,168262389.34,109021487.75,73491350.18,31373076.76,106201535.79,67237462.56,43003882.87,16777762.57,149156010.85,68705536.19,49181043.11,17256209.51,129260646.66,61722950.29,36345135.40,11274377.18,87329901.79,54018729.09,34268904.92,12223913.70,87892817.93,56767453.00,31294798.58,11124839.16,56776596.11,33643258.51,18486669.51,7355405.64,57958741.78,36247279.42,14484082.07,5446733.98,46425589.65,25428392.55,15650735.36,6302464.92,468320.89,378358.38,408898.69,2739801.39,540302.73,156329.62,504532.74,120031.00,0.0
17,减：营业外支出,1878062.77,12677652.97,2796433.38,2754757.17,281615.88,239522759.59,4692007.79,2914805.32,1707976.27,73279295.33,14170655.16,5265783.85,1955152.20,17633675.73,6559951.38,5040476.57,353630.00,9468257.37,3046896.94,1543527.02,411731.87,5680222.38,966893.65,422610.05,131695.68,2915206.49,1289151.86,955742.23,608747.93,6518385.21,4852096.90,654307.43,302423.19,694187.22,392798.77,154013.26,63956.79,1162525.90,582428.16,291960.17,9320.16,6203199.05,2140583.34,597696.66,120337.58,1902453.39,1460893.34,1336145.20,328604.21,872867.81,631206.76,612017.96,457684.02,376808.09,208084.00,237182.94,0,340987.27,305190.25,888563.30,283087.94,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,3799430.36,2393730.83,1390878.63,12404185.09,0,3115495.51,141882.49,3228366.90,1500610.55,766598.02,144308.27,4619373.71,323344.87,284532.86,90830.90,914172.07,249731.57,151760.12,214564.00,4726891.66,3967921.32,401479.88,236956.55,334960.10,261038.25,0,29358.05,147720.38,48706.51,31043.12,528.40,2804710.64,1531866.50,0,97188.10,0,8843.06,0,0,331232.79,36024.93,36024.93,28568.55,0,0,0,0,0,0,0,0,0.0
