,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070630,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,221774064000.00,154332643000.00,75500426000.00,261819635000.00,207404713000.00,143735916000.00,70287509000.00,241918896000.00,187764435000.00,124963616000.00,59988619000.00,159841701000.00,117077949000.00,78007516000.00,38599501000.00,139347124000.00,112033854920.00,82875070410.00,42574425370.00,142310967020.00,109588937730.00,77708218360.00,38533256410.00,121265180020.00,93778818610.00,66006632950.00,31599147680.00,102651111040.00,81899147720.00,57932727220.00,26310466790.00,134116154200.00,110400551896.05,83125619480.67,39831405348.33,103847954820.99,81224042704.60,53759574868.82,21787641916.06,68533849239.95,50814781205.63,33995079251.11,13117419400.00,63992087064.07,51387819499.48,38900156748.57,15845961353.02,47920570189.52,28761906231.20,35369123972.68,29627526785.67,20453074278.95,0.0
2,营业收入,220918162000.00,153770300000.00,75205780000.00,259664820000.00,205756653000.00,142623837000.00,69737528000.00,240712301000.00,186948866000.00,124450065000.00,59755914000.00,159044041000.00,116378417000.00,77522287000.00,38341624000.00,138441226000.00,111374415670.00,82509143780.00,42426713970.00,141668175160.00,109084157930.00,77330851840.00,38351110060.00,120975003140.00,93746729650.00,65939479120.00,31565923390.00,102598110490.00,81735251360.00,57823578360.00,26280198210.00,134045649270.00,110400551896.05,83125619480.67,39831405348.33,103847954820.99,81224042704.60,53759574868.82,21787641916.06,68533849239.95,50814781205.63,33995079251.11,13117419400.00,63992087064.07,51387819499.48,38900156748.57,15845961353.02,47920570189.52,28761906231.20,35190457861.69,29544578256.06,20378128618.17,0.0
3,二、营业总成本,196851290000.00,136218155000.00,67960739000.00,237634370000.00,185957302000.00,128341849000.00,63943697000.00,224734592000.00,172344718000.00,113963618000.00,55281140000.00,143809063000.00,102498007000.00,66818413000.00,33884840000.00,126523131000.00,100582801850.00,73632412380.00,38878820780.00,129718795000.00,98437374160.00,69018279270.00,34616054150.00,113485774130.00,87083229550.00,61260447970.00,29592565180.00,96198522510.00,76405026510.00,54044703140.00,24712497160.00,127499212970.00,105800664647.19,79734134539.81,38909470127.77,98860652682.15,78266697383.91,51311477621.48,21352531675.33,64566876066.69,48021166382.77,31901321468.74,12637014200.00,61673715698.59,49002809953.30,37019978492.49,15274067152.07,45966440611.28,27382099044.84,33764096976.06,28689200740.70,19734688542.56,0.0
4,营业成本,156652745000.00,108441289000.00,53877858000.00,188164557000.00,149664730000.00,103881438000.00,51869174000.00,180460552000.00,139559489000.00,93051081000.00,44782859000.00,115615437000.00,83828027000.00,54866160000.00,26906188000.00,102662818000.00,82112451410.00,59878905740.00,31041580760.00,105669686470.00,81481479400.00,57343283310.00,28689939330.00,92818063060.00,71919645670.00,50818563750.00,24255429120.00,79449035940.00,63802200340.00,45410279600.00,20787510400.00,108418755340.00,90229667404.08,68742613784.87,33044389115.51,85158517360.89,67349250894.72,43829505361.41,17983218795.15,53057350558.54,39537449450.49,26167758879.01,10403207500.00,51910742617.69,41675276708.60,31664019223.29,12837578959.70,38552840458.14,23708824688.18,28851196720.96,24404979054.97,16803734632.57,0.0
5,营业税金及附加,1291992000.00,928590000.00,489405000.00,1617566000.00,1223984000.00,847650000.00,403126000.00,1416428000.00,1076026000.00,754771000.00,361767000.00,1077119000.00,662794000.00,467762000.00,276519000.00,911330000.00,737243390.00,568635770.00,329869890.00,809596210.00,621111050.00,446827770.00,215272480.00,609932610.00,487724620.00,344871740.00,131464370.00,577913060.00,424535160.00,265257420.00,109761500.00,761094380.00,609229540.09,345621882.91,179672662.90,406151284.29,234527225.75,199035143.68,93310064.08,202406877.34,84257314.84,50775989.30,22524200.00,137576656.26,50200890.44,31041441.22,12757826.16,69151198.83,25886366.71,34770816.20,19164278.87,26819424.02,0.0
6,销售费用,27677878000.00,19529822000.00,9513634000.00,31085879000.00,24397272000.00,16892503000.00,7468456000.00,26738673000.00,19954150000.00,12404770000.00,6820223000.00,17678451000.00,12341424000.00,8185178000.00,4977071000.00,14799769000.00,11598555140.00,8986099390.00,5363077420.00,14733917420.00,10761772360.00,7623680060.00,3710417810.00,12432343860.00,9064801580.00,6134252630.00,3142124490.00,9389868490.00,7606679650.00,5053074090.00,2235655030.00,11630020910.00,10170417316.96,7272815246.67,3774305594.41,8650948626.79,7674134536.15,5245723928.21,2347588319.59,8160980865.36,6321857904.71,4129726920.49,1485347200.00,6166538654.17,4944946756.29,3698984212.35,1594229122.92,4802127619.65,2484707793.97,3373403828.92,2894421532.63,2024576038.98,0.0
7,管理费用,6227447000.00,4110125000.00,1977121000.00,9571639000.00,5629888000.00,7234520000.00,3757242000.00,14780236000.00,10430157000.00,6832958000.00,3178001000.00,9620777000.00,5981080000.00,3690059000.00,1662776000.00,7441755000.00,5496106100.00,3604757130.00,1607661570.00,7498255090.00,5083442380.00,3349324400.00,1621891070.00,6733456280.00,4764709770.00,3157978590.00,1625220920.00,5925780780.00,3684462720.00,2535395990.00,1406476350.00,5198478700.00,3504656953.32,2381078053.73,1363070232.75,3925081981.58,2413009795.85,1497015987.13,687317199.15,2484695760.38,1647453939.26,1141160260.26,536908600.00,2543263947.26,1733092256.45,1142393277.26,521119088.23,2040249483.11,786503670.75,1246112264.88,1141183848.19,796924882.04,0.0
8,财务费用,-2114090000.00,-1435645000.00,-481058000.00,-1823040000.00,-1727756000.00,-984113000.00,95978000.00,815949000.00,852759000.00,346614000.00,-183364000.00,-1005979000.00,-913165000.00,-905261000.00,-282083000.00,138932000.00,100874910.00,-777600.00,195782990.00,251326940.00,-11698640.00,-288553700.00,-44139270.00,564220530.00,631080060.00,621362940.00,238935190.00,807047800.00,694156040.00,496122460.00,73694660.00,1449065730.00,986693440.60,589464218.10,284837939.32,777675172.92,452755768.35,305765732.78,105302486.66,454453643.37,370942646.70,253778117.31,136368400.00,766011958.58,552872155.97,353143755.83,178789378.19,422160000.00,178960131.65,258613345.10,229452026.04,82633564.95,0.0
9,研发费用,6994380000.00,4534760000.00,2205598000.00,8377201000.00,6349429000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,12317000.00,447864000.00,237086000.00,300087000.00,198395000.00,269112000.00,254093000.00,406097000.00,227564000.00,380812000.00,211833000.00,251810000.00,211536000.00,4766000.00,87844030.00,276832180.00,241604720.00,349818160.00,257035180.00,351436390.00,353776630.00,122715540.00,215267850.00,183418320.00,199391090.00,48876440.00,192992600.00,284573580.00,99399220.00,41797910.00,299999992.14,402541353.53,263194582.88,-57721744.32,143019163.09,234431468.27,135794810.70,206988361.70,59205126.77,158121302.37,52658300.00,149581864.63,46421185.55,130396582.54,129592776.87,79911851.55,197216393.58,0,0,0,0.0
11,公允价值变动收益,299107000.00,347862000.00,230915000.00,-810450000.00,-882313000.00,-613928000.00,-118467000.00,-25045000.00,-44156000.00,-9523000.00,-168515000.00,117376000.00,-488089000.00,-525089000.00,-239146000.00,81611000.00,45766080.00,-217464010.00,153580510.00,-652790540.00,-598637760.00,-788353680.00,-776075050.00,546265970.00,397072610.00,331319880.00,111882080.00,17752890.00,-160055140.00,-122718820.00,-25322930.00,54997110.00,67724476.99,-10280856.04,58708615.94,119222288.99,43351866.98,-35453254.51,-38849422.41,-132307027.08,-233438698.89,-176668067.75,823100.00,319013074.40,-58612190.15,-56925093.30,-17116272.39,59964162.97,3729856.70,0,0,0,0.0
