,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3875682242.60,2748586610.89,1410007907.17,7401806464.33,5607547439.36,3562982748.40,1446576726.35,8021563711.14,5519939356.20,3321041500.16,1300600926.71,5700168822.11,3752732318.43,2243333155.72,816000915.47,4591667555.02,3112885277.63,2033466513.46,782578567.94,4426628727.81,3372493286.38,2202088672.85,948404704.64,4090954666.47,2975191882.07,1828164371.29,773066616.77,3347668236.06,2470069050.12,1479151283.85,586629825.56,2693197803.25,1828764674.70,1319143199.87,559275223.38,2448250677.44,1601207910.95,1210082130.81,497271869.76,2148712481.77,1402312454.70,1005782908.59,402593566.65,1800290932.30,1384188437.95,1039604485.23,437101973.67,2002301702.28,1277693409.44,754564266.43,281206292.77,1157278408.75,730022198.35,392122155.23,153971400.40,786622880.72,507628242.56,303617230.47,99907081.40,647865443.38,422083178.15,296140392.25,528435997.34,462261170.74,201372086.93,0.0
2,营业收入,3875682242.60,2748586610.89,1410007907.17,7401806464.33,5607547439.36,3562982748.40,1446576726.35,8021563711.14,5519939356.20,3321041500.16,1300600926.71,5700168822.11,3752732318.43,2243333155.72,816000915.47,4591667555.02,3112885277.63,2033466513.46,782578567.94,4426628727.81,3372493286.38,2202088672.85,948404704.64,4090954666.47,2975191882.07,1828164371.29,773066616.77,3347668236.06,2470069050.12,1479151283.85,586629825.56,2693197803.25,1828764674.70,1319143199.87,559275223.38,2448250677.44,1601207910.95,1210082130.81,497271869.76,2148712481.77,1402312454.70,1005782908.59,402593566.65,1800290932.30,1384188437.95,1039604485.23,437101973.67,2002301702.28,1277693409.44,754564266.43,281206292.77,1157278408.75,730020598.35,392122155.23,153971400.40,786622880.72,507628242.56,303617230.47,99907081.40,647601917.81,421819652.58,296102379.41,528435997.34,461976738.68,201283627.48,0.0
3,二、营业总成本,3770583303.89,2602338940.03,1280899152.63,6950489773.92,5011565855.95,3128160420.04,1233224474.79,7189013306.25,4733528819.08,2788970464.36,1117569378.42,4849908470.22,3049459866.26,1787753385.05,665601416.33,3872516454.23,2477355936.14,1628697270.86,641008056.77,3793437089.00,2825532803.45,1810809242.99,793150358.20,3597769872.60,2548733195.79,1536283209.59,659436245.38,2975576938.42,2146972387.31,1257201526.08,500566573.23,2382242874.04,1567108274.60,1122959762.68,474245266.09,2145099498.48,1316778853.30,984328343.03,403794691.71,1786252368.41,1116933689.84,802449033.77,317773016.30,1548293401.11,1161256453.66,892041160.69,367440820.08,1674909900.93,1056575132.38,633372134.49,235000202.87,956424881.99,601825781.74,323135112.98,131310973.77,668519446.22,435087760.16,257700791.90,84532233.86,559400079.39,363435348.89,256187621.51,448774841.81,389447344.82,170523097.85,0.0
4,营业成本,2494340015.65,1777124794.66,985789004.55,4978010264.42,3708735742.34,2328696586.66,871181180.55,5277624440.31,3589826163.21,2062762222.23,784069672.35,3643026834.67,2408464701.01,1423326875.40,510335468.00,3087819227.47,1969896944.71,1319169459.34,517087571.22,2912167020.64,2222224489.93,1450811046.34,635998310.91,2799532145.87,2015720709.45,1207896662.82,524462748.10,2328396693.49,1699402890.44,1017013668.86,404444433.87,1889190748.56,1294069772.46,938972802.35,396204586.12,1745184660.54,1124898490.43,855721911.36,351942617.84,1544933243.67,994764291.21,715773232.52,285437201.91,1314092568.52,982051359.24,755366163.28,317607784.07,1457144120.52,941297861.98,558976388.52,207156795.73,838807163.54,529481056.58,284809133.27,111534736.43,583146848.02,381589549.04,229566071.71,74191431.49,489879930.85,323016532.20,226623578.10,390952750.67,338484726.40,144524352.81,0.0
5,营业税金及附加,32065942.92,25211125.37,8802945.20,86303178.37,52854019.33,35909353.19,16074210.59,95077441.72,61319972.56,38504414.84,23066386.14,60027088.73,36961323.75,21253951.81,11318936.00,41119849.01,23751632.66,13365063.76,6419094.53,47723504.82,32247338.48,18931068.12,12011313.05,35857012.54,25172531.37,15630614.65,5767194.15,41242110.27,31531114.41,15236887.70,7852519.25,31104019.77,2969750.51,2032531.60,256623.90,2555959.48,628219.13,450285.29,279767.43,230188.82,155932.96,73777.06,35043.54,396570.93,362789.52,342768.02,292275.38,736002.48,615877.40,531507.14,76320.76,156989.14,39628.87,38751.03,0,0,0,0,0,0,0,0,0,0,0,0.0
6,销售费用,544990055.54,371788741.34,176001245.54,814297121.35,551048024.89,359385805.18,186005057.29,871345578.38,547969592.81,330677171.83,144693635.00,504908399.71,242798084.99,113410801.95,55376867.49,268725048.60,180386030.48,111918967.33,47151592.72,328342912.14,206313357.47,121266839.90,55260414.68,263397394.75,154258747.66,97333001.69,44830812.99,235480049.07,171250773.70,85220695.30,33735053.07,176168662.47,86101756.21,49671446.72,26248162.15,163204288.61,72318960.29,40159480.11,23681382.12,125646557.55,44811012.24,31205825.50,13159374.92,71615632.44,56922339.13,39971404.17,13709803.79,70099075.04,35728414.03,23040738.97,9993159.12,45057686.90,29187196.01,16555937.66,9420070.63,36951738.42,19651225.97,9559597.20,1801258.19,30877020.09,12847768.83,8537740.36,28152836.67,16488892.46,4638450.44,0.0
7,管理费用,368347947.78,236375012.92,131520079.39,479837398.82,374519541.42,242464546.00,121844726.25,526715565.27,357308255.73,222743400.58,124171912.80,393017835.46,222777519.52,134965146.67,66368144.31,278546391.93,190383448.40,120152124.32,52765115.54,248213992.79,174340005.92,104775296.68,48760971.21,216175088.48,144040067.66,84994163.25,42985603.08,172588227.80,110404342.30,65775320.15,28174139.55,108458498.95,88987021.40,51147909.90,25887588.17,78594543.98,58162852.86,29969645.25,17181090.46,56729467.53,31025558.90,20264652.66,10105416.75,42700880.03,30480590.89,20442112.72,10460722.09,45177169.07,31531658.25,21143045.97,9125428.16,36282668.45,19889571.06,7512602.39,6354299.97,27810686.40,15761347.16,11144121.08,5038234.67,24293957.50,16673553.86,13805110.42,16020781.85,18151009.32,12547201.05,0.0
8,财务费用,283801665.06,155774958.10,-24897049.76,447248330.37,307254796.30,158565100.13,50036554.38,414650892.18,211236166.31,155870154.65,48884657.76,255980296.18,148812145.85,106320748.22,27325982.15,185985771.07,114517081.14,69056030.81,24946433.25,243163521.12,171906178.56,107032435.49,36030438.77,284362570.52,207255732.39,126657831.13,41389887.06,192952276.40,135533596.57,75103155.73,26360427.49,174397339.29,106354949.15,79104180.28,25648305.75,149716826.50,75082231.07,53864519.18,10709833.86,50706045.61,35641713.18,24586364.68,9035979.18,123124922.61,76657636.80,61136974.42,25370234.75,87725369.02,45880674.68,28159807.85,8648499.10,36120373.96,23228329.22,14218688.63,4001866.74,20610173.38,18085637.99,7431001.91,3501309.51,14349170.95,10897494.00,7221192.63,13648472.62,16322716.64,8813093.55,0.0
