,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,29599572.17,20785695.77,13045887.54,27565217.63,20921049.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,1098948.45,3503899.85,3431536.21,3493089.15,22867778.12,17484749.90,6392335.47,7223382.78,47998911.00,21338318.02,-158042.67,625007.04,11906754.26,3610530.15,2801359.59,497364.62,37755915.44,3358595.92,3879490.16,657336.55,7795505.34,663815.21,4468699.28,2885034.78,6646422.19,5835773.41,5615005.30,3136749.77,5916990.89,2015570.87,2662453.80,2627310.74,-3101703.73,-3284257.43,-3429949.05,-492891.34,2494559.69,1635382.76,919336.98,336231.90,6433.24,775920.48,486165.13,485618.84,0.0
11,公允价值变动收益,119962789.68,31940049.09,37013947.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,596013965.14,421645570.86,212624239.91,918292794.49,665136341.75,393044690.57,162823805.50,623953064.97,363252021.66,246245190.73,107575018.75,547210021.50,267042965.32,150481081.97,78360358.88,577938625.00,156704655.44,87508922.51,18214285.73,53024440.00,14805451.79,11805731.64,1150735.95,51397178.92,51050276.94,45388133.57,30004677.80,134678632.27,110370340.95,58226933.58,22239511.41,11996002.74,889041.10,0,0,0,317.81,0,0,746301.38,745458.12,727123.28,0,181333.54,213287.15,3882009.70,-1224757.75,0.0
13,其中:对联营企业和合营企业的投资收益,498622.84,498622.84,84000.32,1819591.30,641309.80,-5917.72,6490.94,-1299882.30,-1005934.18,-1851464.55,-404519.09,-3893529.35,-3239457.93,-3332089.67,-3383871.50,-242574.86,-293523.09,-295328.52,-65427.39,-176414.08,557.19,-54691.40,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,-560333.13,446712.85,70444.70,-1242757.75,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,9492873660.90,7427601122.00,5369652837.16,10813651816.95,9387755653.15,6682806904.02,4673864457.60,8836473045.87,7424522824.31,5200871219.22,3654395553.19,7727284641.51,6428489456.89,4548502036.87,3277794131.73,7140086741.76,5974534472.41,4243818274.59,2971545607.14,6009511515.91,5348597674.16,3805899809.27,2669917547.46,6705585987.49,6018240704.84,4414276417.91,3139599940.81,8188760899.97,6408159905.71,4205349183.54,2951072981.79,5524600710.80,4042367672.35,2579350993.41,1722540705.09,3079869112.86,2104463773.56,1435088979.48,961949527.90,1665688795.07,1202384148.29,775986598.42,480333618.14,998346807.31,763374617.53,589718247.66,278177730.99,0.0
16,加:营业外收入,17960060.08,11383837.65,5826916.96,37931006.18,20723569.18,11191029.74,4376827.14,19822054.76,43234269.47,30480521.91,11028453.72,45877768.15,21957881.08,12742512.53,3788185.32,36262587.96,16176501.95,11054103.66,5491560.82,45335683.99,13162928.49,9402656.06,3806266.35,18594495.17,28908165.83,8814223.37,3964196.13,48670786.76,42664193.07,37110717.82,2882569.91,37099378.07,33252003.96,23019368.70,8103332.57,32153297.74,18024532.17,7671080.25,1573519.48,20866451.98,11642359.89,10489054.04,4390138.73,6841545.37,3522313.31,3022118.19,1131315.51,0.0
17,减：营业外支出,11287518.75,6428467.91,1811548.11,12397034.29,5766487.81,1984748.50,378543.22,8340532.81,14673441.99,9566691.38,6527421.75,12196845.92,9921344.89,5934926.59,668896.04,11030365.76,8891755.04,6921980.41,4138192.16,24137916.85,8742269.42,7598843.35,2272536.01,38327529.46,22279315.64,11193955.20,177167.82,21969236.00,5771789.96,3526111.75,1703698.58,30982575.38,19397827.97,16108310.23,13205799.93,35805705.96,15160823.02,11965205.02,552250.65,13247084.39,8369945.60,1911530.58,535915.73,12350476.03,11307425.89,13171941.69,6240061.55,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,7680531.26,6650363.41,4600571.98,6551591.02,6095887.48,5232600.53,612323.60,764862.54,673510.42,539571.28,209723.57,4357554.34,3663346.79,3275129.91,947952.79,6766923.97,3015923.09,400571.63,28043.18,5154999.84,426546.15,396862.46,96067.44,4364756.48,2256949.16,1632864.66,843650.26,2915509.35,1616884.93,505878.40,469693.40,4633028.98,2007723.13,756863.47,4847.92,502432.46,193508.75,3710200.40,348458.83,0.0
19,四、利润总额,9499546202.23,7432556491.74,5373668206.01,10839185788.84,9402712734.52,6692013185.26,4677862741.52,8847954567.82,7453083651.79,5221785049.75,3658896585.16,7760965563.74,6440525993.08,4555309622.81,3280913421.01,7165318963.96,5981819219.32,4247950397.84,2972898975.80,6030709283.05,5353018333.23,3807703621.98,2671451277.80,6685852953.20,6024869555.03,4411896686.08,3143386969.12,8215462450.73,6445052308.82,4238933789.61,2952251853.12,5530717513.49,4056221848.34,2586262051.88,1717438237.73,3076216704.64,2107327482.71,1430794854.71,962970796.73,1673308162.66,1205656562.58,784564121.88,484187841.14,992837876.65,755589504.95,579568424.16,273068984.95,0.0
