,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1352341357.58,865370137.53,432106591.79,1918176437.58,1499751738.59,1033466971.03,531551865.37,1782898099.10,1297448870.36,843773939.55,406652611.60,1467479957.22,1037594090.59,703145191.04,354803034.51,1368712297.34,999995017.18,687840928.81,339774626.56,1230665435.63,901806727.73,607656033.21,300498618.39,1140196304.80,852063223.98,578925991.03,272020397.15,969436120.43,722782377.36,488128328.58,236157387.71,1004102249.96,747173145.80,520719090.71,256809806.01,916138363.98,680840602.17,479103922.49,225949702.00,664759287.48,459168553.65,287494468.56,122707989.08,668326918.38,553965060.51,405251187.41,192528761.82,686702400.25,510159519.70,347545622.10,167648561.14,493335532.37,357115209.71,249484232.50,127874072.46,449174343.19,339448051.48,227365276.28,110470710.74,351055352.00,248315186.10,155671620.35,257055711.98,124539609.69,224818063.10,175244530.36,0.0
2,营业收入,1352341357.58,865370137.53,432106591.79,1918176437.58,1499751738.59,1033466971.03,531551865.37,1782898099.10,1297448870.36,843773939.55,406652611.60,1467479957.22,1037594090.59,703145191.04,354803034.51,1368712297.34,999995017.18,687840928.81,339774626.56,1230665435.63,901806727.73,607656033.21,300498618.39,1140196304.80,852063223.98,578925991.03,272020397.15,969436120.43,722782377.36,488128328.58,236157387.71,1004102249.96,747173145.80,520719090.71,256809806.01,916138363.98,680840602.17,479103922.49,225949702.00,664759287.48,459168553.65,287494468.56,122707989.08,668326918.38,553965060.51,405251187.41,192528761.82,686702400.25,510159519.70,347545622.10,167648561.14,487265919.16,353242241.64,246799089.76,126555453.56,444771920.97,336739731.56,225734297.78,108901085.40,348841369.19,246223504.54,154410669.24,255149888.68,123405815.61,223305911.75,173908959.25,0.0
3,二、营业总成本,1255912357.88,797231180.52,403499973.84,1640853222.07,1257773792.82,847811578.13,437089502.55,1481522608.31,1071380210.28,687448150.05,334609996.76,1261467367.69,912391012.65,614605514.73,313132591.03,1192232327.56,875238566.93,595171831.91,305957196.08,1090703477.38,787404257.19,530875534.75,271449304.15,1048928567.96,786345124.25,530928227.94,259405148.11,922854607.94,688050240.83,466333368.93,226723786.27,920964603.52,680603336.33,465964229.25,233288857.56,852656578.98,631071069.40,438101931.23,209447636.22,680794003.41,488082558.83,316770593.32,146638883.29,648748806.42,518265493.67,371011050.15,182422255.71,660707605.37,491609098.68,334513273.59,166322243.94,496156334.77,353212974.92,239759741.97,125195045.41,400167178.71,304205231.16,202441808.66,101597596.33,296638744.51,216905576.70,133316404.58,215572648.89,102281273.19,177613214.46,151677761.58,0.0
4,营业成本,1018561758.77,637868839.51,316024038.31,1311465112.49,1002888709.34,671783192.77,342606542.57,1158125729.56,845231576.93,543002845.81,260830865.98,961031627.15,691334174.87,465347870.12,235697595.16,927998488.49,680411037.01,463743602.55,235771995.98,855249316.55,622921089.63,417221591.92,208914438.56,820415489.99,623732570.14,419826292.06,203855142.57,729082342.06,548009487.61,370774981.47,179210366.61,732559397.60,544756193.88,372479347.78,185272012.17,710208113.52,535140438.81,375213713.18,177785878.01,571101026.61,409675376.99,263956832.44,118222847.29,540602358.44,438319375.44,316266423.97,154405463.79,561115324.98,423253170.58,289646844.66,143233750.57,409564416.48,297578040.96,204797968.43,105706133.70,339569937.12,258013139.24,171994242.54,85378949.92,248339473.85,179083916.90,109478173.31,174034185.29,80066624.52,145581204.05,124824104.29,0.0
5,营业税金及附加,14901724.52,9575720.83,5263286.79,23889371.30,18408590.16,13040443.85,7716930.62,21724389.98,15492905.87,10175785.18,5068616.26,17518607.54,8428548.78,5543066.35,3139103.67,11439327.23,7892188.69,5923184.16,3102383.58,10564873.53,7391666.20,4963409.21,2608482.50,9192652.56,6367363.92,4473951.93,2249534.75,8549250.37,6474345.37,4518143.00,1921348.72,8131421.58,5732617.38,3911333.35,1826961.10,1948214.02,889046.18,643491.37,300044.75,897958.89,550472.37,234982.37,217000.76,945115.69,744373.84,484690.69,259148.09,858923.45,599633.10,349877.25,217866.73,421516.29,303731.33,136207.94,67598.31,380242.52,351984.38,256215.79,170565.81,516131.75,347975.32,238207.99,358012.50,167336.39,381643.35,211793.74,0.0
6,销售费用,51943238.24,34928290.53,17996549.58,68969627.57,51294637.02,33778600.91,17488788.84,67630295.80,48623446.33,31089865.38,15620223.12,60535283.70,43561306.73,29808466.91,15195212.18,52812791.55,38399580.92,25925101.32,13004099.83,45846203.07,30494799.35,20805784.86,9619633.47,42697827.43,25832426.48,20423073.70,9091850.82,36493461.97,23231693.58,15435720.35,8246266.84,36446467.23,23064548.35,15656654.08,8134216.75,31740156.97,23801968.37,16369076.89,8390025.57,22625532.91,15687289.93,9426855.35,4254437.02,22838850.20,17939465.36,12470783.73,6242120.46,22674398.91,16190650.89,10860163.28,5315220.57,14261393.57,9763966.63,6466693.06,3290382.05,11282553.10,8299946.70,5867548.67,3116421.50,10411576.71,7101883.65,4404694.00,6131992.99,2863976.82,4807582.07,3572456.95,0.0
7,管理费用,91600819.00,61102321.87,32267525.83,139250707.70,109675083.47,126181929.89,63811461.76,226963054.27,158379874.83,102235641.00,53505710.52,198955483.91,154503285.40,106094888.00,53747853.36,186470734.23,138732984.69,88717721.18,47206341.22,154985003.79,109811254.38,73662161.19,39147006.48,123413613.30,92308650.15,60737455.71,30747139.91,100697885.80,74894949.96,49101825.57,24566172.66,92667765.09,70378586.33,48787764.57,26207076.46,63766868.30,37706095.44,21538653.88,10795598.23,43243710.85,33498481.58,23525809.97,13710539.35,40694158.06,29931968.89,20316807.58,10338116.39,42449346.76,29380451.00,18676316.14,9905515.57,57975863.28,36413920.59,24181554.09,14160224.57,48719888.80,32234164.55,20733198.37,11234105.94,33644021.94,23609708.31,13253565.38,24026287.79,11877753.31,18276541.62,12305242.35,0.0
8,财务费用,713811.41,1341623.84,3329082.88,-3181223.16,-3633392.91,120859.43,2838312.52,1218103.91,-465343.24,-1331576.87,-479145.90,10834418.41,10667722.63,6547715.51,3858541.35,12974056.62,11272052.24,10621853.32,5694292.33,20926562.60,15808501.22,12574634.48,9852642.80,49931952.83,37966260.74,25288823.29,12892017.25,44774009.79,34227173.56,24042848.11,11983064.39,48658384.18,36039517.63,22631727.53,10170782.04,41972958.22,31835590.22,21806700.10,10629257.16,35146912.33,26091753.65,17220051.87,8634022.67,41152858.63,31155058.72,20696842.83,10503612.05,27729288.85,18803887.25,12250182.45,6327467.48,13933145.15,9153315.41,4177318.45,1970706.78,214557.17,5305996.29,3590603.29,1697553.16,3727540.26,6762092.52,5941763.90,11022170.32,7305582.15,8566243.37,10764164.25,0.0
9,研发费用,78191005.94,52414383.94,26366193.62,98601597.08,74548840.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,2253296.83,1858029.09,4591325.23,2906551.28,2627466.24,5861034.79,4117749.56,2275589.55,63726.78,12591946.98,3895974.24,1263507.84,1494285.31,536929.44,-1469276.62,240369.38,1178083.14,3131517.84,976946.41,1647953.09,1307100.34,3277031.85,137852.82,178631.25,569462.81,3257657.95,1212590.75,2459850.43,796567.05,2501167.84,631872.76,2497401.94,1677809.04,3020267.95,1697930.38,2530295.81,1546832.50,7778861.82,2579184.31,2406061.32,1600036.20,2515465.40,175251.42,775501.35,673794.93,5880322.42,3381305.86,2729889.81,1322423.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,2624171.69,2624171.69,2624171.69,-219433.31,-2490961.03,-1327251.34,-980072.34,-189693.34,675424.00,107720.00,-641514.00,-978161.00,-266239.31,4254610.75,3895158.07,375426.83,-543007.56,775958.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,30524.48,113685.34,-271495.35,86147319.92,40927929.23,39963598.36,1900239.73,-3370117.93,-2557519.97,-1879193.64,-1901577.48,-4570765.57,-727907.35,-133285.66,104133.74,13155395.93,2032821.05,2933474.85,1557854.30,558403.05,11785.24,0,0,72000.00,71060.15,110.76,0,0,0,0,0,0,0,0,0,3134938.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153343.17,-106310.79,-70873.86,-35436.93,-141747.72,-106310.79,-70873.86,-35436.93,-139366.28,-103929.35,-68492.42,-120977.72,-70873.86,-137160.36,-62898.99,0.0
13,其中:对联营企业和合营企业的投资收益,30524.48,113685.34,-271495.35,86041923.66,41536438.38,41647196.29,670011.48,-4607197.54,-2927857.74,-1853881.45,-1718422.91,-4712214.68,-866593.42,-271871.73,4133.74,-75.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
