,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,5369034304.23,4062820205.68,2742845923.27,1421296140.78,5603762607.90,4189700330.90,2822249882.26,1370469301.74,5576006079.31,4008775525.61,2663533770.82,1320019544.92,4503335578.59,3032262451.41,2016915666.47,903280343.36,3391330276.21,2429019816.81,1575504305.12,735458218.75,3385390026.65,2407410179.96,447509891.15,197303872.92,1349429793.58,944897759.21,645220507.20,269866940.86,1438352194.23,1058564556.86,733076513.54,294928367.54,1747486399.44,1203063530.02,716766191.24,382652612.10,2018462238.89,1366621858.54,907720652.70,416050366.44,1443827048.23,982698854.19,621199688.39,279092117.12,1731638138.55,1205891429.58,829823897.30,382631224.57,1775801875.54,1359997199.28,915920597.86,435639038.47,1843267277.82,1295437366.89,277185537.64,122493557.31,531085686.15,404805917.69,281183483.81,143604944.36,559277588.48,396345028.74,248323021.79,112342329.33,484112045.57,340149783.24,212405434.34,91660984.54,233994054.46,150136564.65,97921589.08,217043891.58,290962976.55,0.0
2,营业收入,5369034304.23,4062820205.68,2742845923.27,1421296140.78,5603762607.90,4189700330.90,2822249882.26,1370469301.74,5576006079.31,4008775525.61,2663533770.82,1320019544.92,4503335578.59,3032262451.41,2016915666.47,903280343.36,3391330276.21,2429019816.81,1575504305.12,735458218.75,3385390026.65,2407410179.96,447509891.15,197303872.92,1349429793.58,944897759.21,645220507.20,269866940.86,1438352194.23,1058564556.86,733076513.54,294928367.54,1747486399.44,1203063530.02,716766191.24,382652612.10,2018462238.89,1366621858.54,907720652.70,416050366.44,1443827048.23,982698854.19,621199688.39,279092117.12,1731638138.55,1205891429.58,829823897.30,382631224.57,1775801875.54,1359997199.28,915920597.86,435639038.47,1843267277.82,1295437366.89,277185537.64,122493557.31,527454078.08,400116176.41,278127148.90,142334760.02,556943784.27,394772114.79,247361108.01,111911802.24,484100816.37,338750287.08,211577079.00,91342382.28,233820195.89,149912666.12,97878193.36,216467719.06,289325407.01,0.0
3,二、营业总成本,3949058938.05,2979884121.37,1997682003.98,1043634590.37,4341642266.91,3205909149.64,2156434279.54,1029288860.71,4402406598.98,3162133331.90,2099880272.23,1024782398.53,3629129987.21,2387386654.01,1544700955.25,678296611.23,2642488993.75,1962456017.62,1250698121.00,618529915.04,2762761779.91,2008971320.85,513475168.62,224915577.10,1399669431.47,972665432.01,675948950.24,288404068.73,1575724280.89,1141636369.94,787924349.29,321961901.53,2060444194.66,1372795369.87,773191835.98,368077938.09,1865039083.80,1307438380.49,879736624.34,405363401.74,1509700565.72,1026922297.32,645289574.70,278630573.84,1728603796.82,1192936273.07,818301159.75,379104013.32,1696125095.98,1318644578.23,902988221.15,422468055.27,1777191217.87,1257908671.63,259736187.12,114963625.36,505613801.74,379914920.56,264358358.22,136593922.59,537373297.87,379722886.61,234846853.25,106192687.38,442486654.56,309896488.40,189610749.23,81882325.52,187580555.71,116244205.40,75884780.48,178201240.10,250134935.96,0.0
4,营业成本,3503203390.35,2620038817.33,1776065012.11,939831407.90,3887718566.20,2892453241.67,1947728808.45,939587324.27,3966801633.21,2878245070.76,1929429474.83,941699603.10,3249966282.22,2083302889.06,1341873924.25,591722307.30,2320336491.26,1722164272.34,1111231935.73,553510195.08,2474332776.74,1804172231.35,441302769.02,194921570.30,1284231276.41,885600058.01,618092782.80,261207887.30,1408925624.70,1025303632.11,698904318.99,276533207.07,1821763837.86,1230554570.86,644088213.19,328345971.39,1748286048.37,1227306060.42,827606880.55,385957692.79,1414046469.37,973974539.92,611095736.57,264033122.67,1648214826.75,1147990929.31,787900047.41,367394875.45,1655139073.66,1279025854.86,864636457.00,411522722.43,1723865797.75,1204230422.17,251335289.44,111472732.89,479928284.26,364524665.93,253111300.42,130762494.97,507759477.30,364997347.93,224714973.97,103454901.99,415854369.32,291530471.05,177669921.77,76338184.06,175409753.10,106374161.89,70190714.34,169935685.45,243809879.04,0.0
5,营业税金及附加,22598137.16,23147746.10,14217910.34,7222178.00,25888220.14,20942693.14,12559780.34,6855526.29,26643607.38,19270620.01,10942745.28,8072075.52,25044272.46,15498368.73,9282225.16,2829253.09,14883814.46,8936353.51,7799466.90,2383053.77,12430038.86,5210671.77,4453227.49,1181449.68,8763122.30,5445383.97,4865278.58,2422478.32,10440323.78,9056334.89,5644741.99,898790.59,7471118.15,4895326.59,1813304.24,1144905.49,8807882.18,4584346.74,3791894.91,1629364.10,5967235.91,6065652.32,2732041.76,1980640.32,7799700.35,7386693.73,4240211.27,2239083.55,7419835.06,5754530.02,4024830.99,870367.24,11115436.45,4921591.06,638350.66,330435.55,2000002.35,854883.04,114273.66,0,449771.81,0,0,0,0,1648427.86,1076264.30,463708.90,1735668.63,1409391.16,865883.42,2061796.25,2273034.54,0.0
6,销售费用,66691462.62,53659931.76,35927184.44,16087007.65,83193937.54,61090381.38,40058285.53,19912661.43,80009394.27,54109793.47,31751193.20,13608741.24,52251823.85,38459495.73,27711994.85,14850478.12,44823131.94,35146423.43,23860323.17,9958820.62,39167518.86,26208740.43,8125976.73,3819960.57,15289328.43,11059218.45,7089428.43,3679096.28,14233658.28,10230121.89,6194349.94,2791279.33,17107890.85,12080213.61,9055497.38,4864041.64,22752540.04,19218584.77,14691244.01,6171131.71,17129771.08,8392840.03,5133274.75,3314422.68,16793458.45,10901513.87,7903048.89,1911287.04,12607456.36,8909251.12,12590775.69,3617303.91,14851505.95,10291436.36,2360380.95,1101459.46,10872311.46,7822226.50,5889765.14,2768175.39,15546176.20,8005488.21,5450616.69,1567772.70,14357709.60,7252774.61,4180419.76,2313413.94,3389906.50,2188732.77,1352727.76,1107552.45,667313.30,0.0
7,管理费用,144725264.14,102393677.43,57378073.44,35021413.88,127849452.37,72586717.15,148265125.22,76450745.32,320925824.51,198796780.32,107665235.88,45321641.43,218351865.64,163592602.21,101644631.42,47635359.58,194192048.74,143444686.08,91172967.85,46026350.11,166842496.49,119729966.50,24228474.48,6121253.31,47077061.82,31356950.71,23295575.31,9654175.15,58670901.91,43355802.01,30258272.66,12658207.17,55192038.41,42454524.81,31902847.81,14873594.09,49038633.62,28117694.92,18270599.26,7012010.94,35958822.62,18577035.96,13487523.12,2953704.50,21959403.65,9476811.97,6544920.28,2447620.63,-4514936.37,10264412.99,10195770.91,4300108.53,17888825.49,11025012.09,4581488.87,1649948.59,10250352.43,4630501.85,2924729.27,1530142.12,8369621.36,4555039.62,3052885.24,815375.10,10738439.61,5981522.02,4284095.33,1735901.10,4982923.76,4832775.79,2571885.28,4825949.52,3407750.10,0.0
8,财务费用,18782694.24,20818121.87,10157591.73,115466.81,17134528.01,18850330.21,5120053.06,-16772364.55,1331227.50,9854717.01,16827402.31,6581113.15,86699922.56,53401826.35,39746845.66,13502858.59,75509664.15,64043668.03,28553638.72,17102005.33,64577907.27,51414683.19,11414929.32,6172667.83,22591204.95,17148163.10,10514090.85,4402317.17,43491360.36,35612937.60,28570751.61,13236875.18,58192584.31,37425317.17,27245454.40,17632102.82,36222616.64,31340988.10,17853947.36,6521965.24,29713547.64,19479834.56,12357802.81,6093998.35,22508422.25,17399689.46,11932297.17,6352504.86,20766090.13,15197834.32,11965130.07,2157553.16,13722327.28,26840496.50,563422.65,409048.87,2562851.24,2082643.24,2318289.73,1533110.11,5248251.20,2165010.85,1628377.35,354637.59,1536136.03,3483292.86,2400048.07,1031117.52,2062303.72,1439143.79,903569.68,270256.43,-23041.02,0.0
