,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业收入,385489000000.00,311226000000.00,220386000000.00,133153000000.00,354363000000.00,289815000000.00,204694000000.00,124438000000.00,319809000000.00,258957000000.00,177556000000.00,108402000000.00,267014000000.00,213273000000.00,144706000000.00,83443000000.00,247202000000.00,193301000000.00,134514000000.00,73762000000.00,219778000000.00,165666000000.00,114145000000.00,63720000000.00,193137000000.00,149628000000.00,104068000000.00,53165000000.00,171451000000.00,132062000000.00,92295000000.00,49490000000.00,157934000000.00,122374000000.00,87238000000.00,47657000000.00,141662000000.00,105157000000.00,72631000000.00,40397000000.00,104313000000.00,81398000000.00,54225000000.00,28166000000.00,97835000000.00,82335000000.00,63456000000.00,33532000000.00,93008000000.00,68200000000.00,45204000000.00,21098000000.00,57526000000.00,51924000000.00,43944000000.00,396019455.00,194470661.00,-94625.00,33273730000.00,27160610000.00,26266720000.00,23214660000.00,0.0
2,已赚保费,313246000000.00,258274000000.00,185485000000.00,115833000000.00,299724000000.00,248111000000.00,177108000000.00,111985000000.00,263554000000.00,218360000000.00,151556000000.00,94694000000.00,219573000000.00,177599000000.00,122117000000.00,72360000000.00,189376000000.00,149307000000.00,102062000000.00,57427000000.00,172891000000.00,135202000000.00,95628000000.00,55456000000.00,159625000000.00,125149000000.00,87745000000.00,45865000000.00,147839000000.00,114565000000.00,80903000000.00,44570000000.00,137238000000.00,106474000000.00,75122000000.00,42054000000.00,119751000000.00,91564000000.00,63187000000.00,34886000000.00,84127000000.00,66333000000.00,45039000000.00,24668000000.00,84274000000.00,68011000000.00,47569000000.00,26919000000.00,65536000000.00,46094000000.00,31361000000.00,16537000000.00,47964000000.00,45580000000.00,40788000000.00,525996827.00,250202526.00,99083.00,32791560000.00,26904270000.00,25491280000.00,22351290000.00,0.0
3,保费业务收入,347517000000.00,286817000000.00,207809000000.00,128386000000.00,321895000000.00,266310000000.00,192633000000.00,121831000000.00,281644000000.00,233572000000.00,163785000000.00,101283000000.00,234018000000.00,189101000000.00,131537000000.00,78217000000.00,203305000000.00,160418000000.00,110891000000.00,62342000000.00,191805000000.00,151486000000.00,108413000000.00,61888000000.00,176923000000.00,138450000000.00,98662000000.00,51421000000.00,163228000000.00,127047000000.00,90511000000.00,49389000000.00,154958000000.00,121378000000.00,86875000000.00,48150000000.00,139555000000.00,108098000000.00,76066000000.00,42357000000.00,96342000000.00,77884000000.00,53836000000.00,29187000000.00,94016000000.00,76817000000.00,54645000000.00,30659000000.00,74236000000.00,54185000000.00,37672000000.00,19970000000.00,56034000000.00,50914000000.00,47333000000.00,523900712.00,246295949.00,198165.00,15245920000.00,12492320000.00,12465170000.00,13169610000.00,0.0
4,其中:分保费收入,998000000.00,711000000.00,458000000.00,227000000.00,1558000000.00,1483000000.00,1289000000.00,1092000000.00,2307000000.00,2248000000.00,538000000.00,11000000.00,159000000.00,109000000.00,67000000.00,28000000.00,185000000.00,168000000.00,131000000.00,71000000.00,197000000.00,116000000.00,42000000.00,25000000.00,137000000.00,107000000.00,50000000.00,30000000.00,148000000.00,128000000.00,72000000.00,53000000.00,101000000.00,77000000.00,63000000.00,20000000.00,98000000.00,66000000.00,38000000.00,12000000.00,67000000.00,49000000.00,34000000.00,16000000.00,64000000.00,54000000.00,34000000.00,14000000.00,68000000.00,33000000.00,14000000.00,5000000.00,26000000.00,11000000.00,54000000.00,2083329.00,3906577.00,-99082.00,1352250000.00,1213940000.00,1466540000.00,2490150000.00,0.0
5,减:分出保费,22358000000.00,16868000000.00,11211000000.00,5250000000.00,17563000000.00,13813000000.00,9400000000.00,4830000000.00,15784000000.00,12200000000.00,8456000000.00,3982000000.00,13649000000.00,10517000000.00,7486000000.00,4073000000.00,13405000000.00,10413000000.00,7345000000.00,3930000000.00,13437000000.00,10528000000.00,7476000000.00,3822000000.00,15295000000.00,9391000000.00,6864000000.00,3523000000.00,11795000000.00,9188000000.00,6625000000.00,3399000000.00,13384000000.00,10340000000.00,7306000000.00,3777000000.00,13422000000.00,10525000000.00,7500000000.00,4121000000.00,9791000000.00,7776000000.00,5538000000.00,2766000000.00,8435000000.00,6569000000.00,4690000000.00,2616000000.00,6761000000.00,5551000000.00,3719000000.00,2063000000.00,6393000000.00,4914000000.00,4944000000.00,143545131.00,64842171.00,0,0,0,0,0,0.0
6,提取未到期责任准备金,11913000000.00,11675000000.00,11113000000.00,7303000000.00,4608000000.00,4386000000.00,6125000000.00,5016000000.00,2306000000.00,3012000000.00,3773000000.00,2607000000.00,796000000.00,985000000.00,1934000000.00,1784000000.00,524000000.00,698000000.00,1484000000.00,985000000.00,5477000000.00,5756000000.00,5309000000.00,2610000000.00,2003000000.00,3910000000.00,4053000000.00,2033000000.00,3594000000.00,3294000000.00,2983000000.00,1420000000.00,4336000000.00,4564000000.00,4447000000.00,2319000000.00,6382000000.00,6009000000.00,5379000000.00,3350000000.00,2424000000.00,3775000000.00,3259000000.00,1753000000.00,1307000000.00,2237000000.00,2386000000.00,1124000000.00,1939000000.00,2540000000.00,2592000000.00,1370000000.00,1677000000.00,420000000.00,1601000000.00,0,0,0,0,0,0,0,0.0
7,投资净收益,67762000000.00,49515000000.00,32408000000.00,15554000000.00,53477000000.00,41130000000.00,27541000000.00,12742000000.00,51946000000.00,37408000000.00,23959000000.00,12573000000.00,45630000000.00,34149000000.00,21970000000.00,11169000000.00,55552000000.00,43830000000.00,31230000000.00,15173000000.00,44409000000.00,28538000000.00,17544000000.00,7911000000.00,32277000000.00,23674000000.00,15908000000.00,7013000000.00,22374000000.00,16606000000.00,10774000000.00,4627000000.00,20075000000.00,15811000000.00,11773000000.00,5472000000.00,21067000000.00,12861000000.00,9108000000.00,5322000000.00,19389000000.00,14683000000.00,8882000000.00,3273000000.00,14008000000.00,14818000000.00,16325000000.00,6991000000.00,27009000000.00,21602000000.00,13426000000.00,3952000000.00,9105000000.00,6199000000.00,3159000000.00,959542.00,30354.00,0,526740000.00,386280000.00,314880000.00,276930000.00,0.0
8,其中:对联营企业和合营企业的投资损失,494000000.00,387000000.00,277000000.00,213000000.00,335000000.00,238000000.00,161000000.00,94000000.00,74000000.00,36000000.00,-2000000.00,-5000000.00,18000000.00,26000000.00,17000000.00,9000000.00,35000000.00,8000000.00,18000000.00,12000000.00,22000000.00,0,0,0,0,0,0,0,0,0,0,0,16000000.00,16000000.00,16000000.00,3000000.00,-12000000.00,-24000000.00,-22000000.00,-44000000.00,85000000.00,4000000.00,3000000.00,-3000000.00,9000000.00,18000000.00,34000000.00,15000000.00,0,32000000.00,12000000.00,13000000.00,18000000.00,-52000000.00,-43000000.00,0,0,0,0,0,0,0,0.0
9,公允价值变动损益,801000000.00,906000000.00,898000000.00,1071000000.00,-2168000000.00,-1827000000.00,-1540000000.00,-795000000.00,1443000000.00,1284000000.00,767000000.00,541000000.00,-768000000.00,-243000000.00,-582000000.00,-609000000.00,52000000.00,-1343000000.00,278000000.00,733000000.00,713000000.00,672000000.00,166000000.00,-103000000.00,16000000.00,42000000.00,-72000000.00,47000000.00,99000000.00,66000000.00,77000000.00,28000000.00,-383000000.00,-528000000.00,-87000000.00,-37000000.00,193000000.00,245000000.00,1000000.00,7000000.00,140000000.00,125000000.00,127000000.00,132000000.00,-742000000.00,-695000000.00,-575000000.00,-416000000.00,235000000.00,399000000.00,411000000.00,513000000.00,411000000.00,66000000.00,-69000000.00,0,0,0,0,0,0,0,0.0
10,汇兑损益,56000000.00,3000000.00,-75000000.00,-103000000.00,53000000.00,142000000.00,52000000.00,-144000000.00,-140000000.00,-102000000.00,-71000000.00,-14000000.00,117000000.00,32000000.00,48000000.00,-26000000.00,109000000.00,76000000.00,-3000000.00,11000000.00,40000000.00,76000000.00,66000000.00,63000000.00,-280000000.00,-221000000.00,-190000000.00,-39000000.00,-11000000.00,6000000.00,2000000.00,-1000000.00,-71000000.00,-59000000.00,-40000000.00,-26000000.00,-200000000.00,-139000000.00,-99000000.00,-29000000.00,-14000000.00,-3000000.00,-3000000.00,-1000000.00,-132000000.00,-122000000.00,-115000000.00,-72000000.00,-252000000.00,-213000000.00,-142000000.00,-57000000.00,-153000000.00,-7000000.00,2000000.00,534950.00,80270.00,-96372.00,0,0,0,0,0.0
11,其他业务收入,3484000000.00,2431000000.00,1596000000.00,794000000.00,3117000000.00,2202000000.00,1491000000.00,650000000.00,2814000000.00,1988000000.00,1332000000.00,608000000.00,2462000000.00,1736000000.00,1153000000.00,549000000.00,2113000000.00,1431000000.00,947000000.00,418000000.00,1725000000.00,1178000000.00,741000000.00,393000000.00,1499000000.00,984000000.00,677000000.00,279000000.00,1150000000.00,819000000.00,539000000.00,266000000.00,1075000000.00,676000000.00,470000000.00,194000000.00,851000000.00,626000000.00,434000000.00,211000000.00,671000000.00,260000000.00,180000000.00,94000000.00,427000000.00,323000000.00,252000000.00,110000000.00,480000000.00,318000000.00,148000000.00,153000000.00,199000000.00,86000000.00,64000000.00,0,42405.00,0,482170000.00,256340000.00,775440000.00,863370000.00,0.0
12,二、营业支出,357422000000.00,288233000000.00,205880000000.00,125373000000.00,326108000000.00,269174000000.00,190988000000.00,118230000000.00,298786000000.00,243273000000.00,167956000000.00,105552000000.00,250942000000.00,200452000000.00,135804000000.00,80252000000.00,223022000000.00,172576000000.00,118945000000.00,66743000000.00,205356000000.00,153823000000.00,105031000000.00,59295000000.00,181269000000.00,139245000000.00,97180000000.00,50065000000.00,165407000000.00,128121000000.00,88834000000.00,48598000000.00,148292000000.00,114257000000.00,79717000000.00,43395000000.00,130972000000.00,99109000000.00,67551000000.00,36816000000.00,94772000000.00,76026000000.00,51172000000.00,27895000000.00,98584000000.00,79294000000.00,58202000000.00,31421000000.00,84512000000.00,60999000000.00,40519000000.00,18938000000.00,55522000000.00,50415000000.00,45543000000.00,686765694.00,318022870.00,11386138.00,37783960000.00,29665770000.00,27658350000.00,27333550000.00,0.0
