,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,722695468.61,558353575.74,318348464.76,128450028.54,678422268.82,559968335.56,342551163.11,136012373.00,687203991.38,537362274.17,318884694.55,142807073.43,779682466.35,609218963.13,359740573.25,151991795.99,786012209.80,598681829.71,350373052.70,146737248.93,742754150.97,557962991.64,327314861.23,149474203.22,667173449.78,520229497.75,300817512.09,117824263.94,589582321.58,443096637.36,267170086.15,108911639.78,555286111.23,237115294.63,136591060.56,53313809.15,190446810.85,134655935.89,83740369.69,47206561.50,183188092.77,123647104.86,71612471.46,30225225.64,146117596.36,101926533.46,61088275.14,22312625.87,154339289.17,109601014.05,64560270.36,23670530.09,125796325.51,95129730.73,53597303.45,20438910.35,110916322.62,80135945.56,44896151.41,16388935.53,109255213.39,83125885.49,48591998.50,20284016.10,64115537.84,39024517.42,85022729.22,60530904.27,0.0
2,营业收入,722695468.61,558353575.74,318348464.76,128450028.54,678422268.82,559968335.56,342551163.11,136012373.00,687203991.38,537362274.17,318884694.55,142807073.43,779682466.35,609218963.13,359740573.25,151991795.99,786012209.80,598681829.71,350373052.70,146737248.93,742754150.97,557962991.64,327314861.23,149474203.22,667173449.78,520229497.75,300817512.09,117824263.94,589582321.58,443096637.36,267170086.15,108911639.78,555286111.23,237115294.63,136591060.56,53313809.15,190446810.85,134655935.89,83740369.69,47206561.50,183188092.77,123647104.86,71612471.46,30225225.64,146117596.36,101926533.46,61088275.14,22312625.87,154339289.17,109601014.05,64560270.36,23670530.09,121712696.73,91454749.70,51321198.47,19652495.40,104655676.31,75294291.91,41991614.08,15487976.90,101629263.64,77207858.51,45034872.94,18850550.50,61236368.70,37401235.90,79706331.50,57826421.00,0.0
3,二、营业总成本,450108603.01,302349918.53,184190759.13,81871769.96,426644141.75,305994685.24,193121757.43,78326016.94,419130439.60,305073078.31,188196783.15,85687211.62,467521455.11,325342448.62,197328227.17,91719640.36,486533599.51,327019892.76,194395722.83,82446478.52,467267517.39,320735977.70,197890127.42,96809561.12,431398943.47,297453430.17,165313703.57,74494386.16,357812277.01,248946113.56,153095044.54,69196253.19,345858927.32,160346297.80,98343755.78,44804965.18,168246297.28,114860387.43,72940477.99,38948768.13,123782440.05,72440548.21,42164729.58,18641713.70,85370301.14,55046780.91,34327504.46,13204973.56,72498179.47,39201621.76,25803533.49,10318863.07,48115281.35,29837970.88,19404600.48,9864805.77,44748884.59,29285814.04,18790689.87,7945193.64,45385525.67,30365245.75,18405363.00,8365163.60,28252876.74,17253703.82,25719150.50,25756581.78,0.0
4,营业成本,237905352.79,159146170.55,99810294.27,42545483.36,222803008.18,153741550.90,95602563.64,39928245.29,205637596.52,139993684.92,85342818.60,38087337.32,197204848.92,138870697.24,81147762.21,38539854.72,193899111.34,131194113.87,81741140.29,37565501.89,184646157.75,131582400.37,84406870.16,41474044.56,159484718.21,108084516.53,66046646.23,31440912.29,135711365.00,95932170.23,63127659.42,30792534.26,131786343.90,52483267.66,33422830.23,15687794.78,43079373.10,29420884.30,21035005.32,12120786.86,29531188.68,21341232.13,12928258.11,5801804.76,27454829.39,19873535.27,12828071.54,5368451.64,29526631.72,20078058.54,13192420.23,5596218.52,19829510.55,13444642.53,8949759.73,4858244.29,16334691.89,11826710.18,7659276.53,3318400.72,14792891.34,10857411.08,7144610.37,3562973.32,12434495.62,8669295.36,13850246.79,14098288.71,0.0
5,营业税金及附加,15589727.32,10861977.09,7412846.52,3127721.74,14057920.93,10835341.14,7360244.64,3345001.90,14960918.79,11743757.09,7444294.07,4105749.49,22820513.80,12868658.19,11866238.58,7642571.20,39746932.73,29715159.21,17578199.39,6936442.87,34942731.07,25984778.28,15207180.38,7002372.09,31367686.38,24635702.52,13985734.36,5388689.02,27406470.54,20624818.17,12389757.82,4962999.00,25338591.35,13056807.24,7503765.24,2964892.96,10093762.82,7102080.34,4591298.25,2591134.43,9739878.78,6554257.07,3746217.94,1571306.73,7672071.08,5421050.94,3271191.61,1209343.66,8250986.77,5929037.43,3464738.65,1269841.54,6539818.79,4910119.14,2753921.08,1053362.48,5597323.17,4021084.63,2232680.22,763646.49,5442779.63,4125056.71,2401816.83,1006712.08,449293.39,449293.38,2520049.45,1812484.78,0.0
6,销售费用,68763254.87,56267469.36,30902482.84,13918595.03,59567685.87,67016492.07,42646404.61,14454521.63,69413601.80,70482288.19,40981136.76,17145277.86,107613608.52,82170363.15,46829465.31,18577633.33,114792740.66,89065147.40,45089733.73,15160813.04,111773767.80,71742197.53,37717481.48,15527445.19,90574993.88,56612371.59,28196061.93,10158481.21,73931626.56,47801544.72,22398173.51,5196047.71,74688051.60,18045483.63,10778642.18,3773566.88,23082790.46,18916927.56,9792397.70,4565918.16,21438862.37,12711644.58,7625411.90,3135335.29,10173164.28,8039019.58,4655213.54,1615338.87,9141802.64,1793417.76,1260517.01,482891.86,5774413.07,4382028.27,2832971.85,1556658.78,4923771.27,3296665.82,2050591.58,1454005.07,3860662.73,2431520.47,1600847.97,735091.13,2609092.01,2030013.36,2438885.99,2689796.98,0.0
7,管理费用,136190877.84,86490988.97,53318614.17,25196929.05,142642435.33,82010976.68,51063422.82,22143872.48,124531289.94,73994012.30,48548900.46,22539076.04,131812483.06,84754720.62,53745441.92,26009168.37,137797773.24,76806307.36,50017469.79,21995722.36,132337738.20,72410908.08,46741224.24,25261116.32,120349614.27,86562674.83,43013807.44,19754176.07,96979872.74,69452496.70,46269719.11,24263742.76,95333641.54,64838119.97,39006497.60,18960842.44,79359920.72,48987468.05,30811978.40,15291465.49,51917988.32,27007357.83,15799350.25,6915202.58,32032035.26,15861531.99,11254864.20,4692542.13,25848290.94,11844713.12,8217994.17,3234300.93,17823250.03,8373494.41,5402218.72,2693547.06,19774878.41,10183809.19,6806041.21,2405811.92,20155294.06,11817807.20,6319401.05,2518361.97,11801784.24,5621369.40,6471259.42,6181828.73,0.0
8,财务费用,-8340609.81,-10416687.44,-7253478.67,-2928218.27,-13254838.40,-8300710.97,-4856001.61,-1598538.77,4184989.25,8091630.03,5150446.32,3745997.57,7363830.42,5339932.06,2478559.49,930167.50,9941.66,-155062.55,-460652.22,833116.46,2846964.57,18204846.10,13013707.43,7511295.12,29211388.18,20657403.74,13170675.20,7752127.57,23765796.53,15007851.56,8682502.50,3980929.46,19133163.99,11887007.13,7596408.36,3417868.12,12438963.29,10087677.68,7695886.40,4379463.19,10832642.06,4807665.66,2072100.44,1218064.34,8153097.21,5494789.79,1961310.23,319297.26,-355294.68,-567839.76,-456371.24,-264389.78,-1851711.09,-1272313.47,-534270.90,-297006.84,-1881780.15,-42455.78,42100.33,3329.44,1133897.91,1133450.29,938686.78,542025.10,958211.48,483732.32,438708.85,974182.58,0.0
