,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,7139441262.13,4371706693.32,2504543588.48,9888258302.01,6595742956.50,4081672027.79,2118364035.34,8127247316.47,5710094418.91,3740158389.71,1928194620.31,8797774966.37,5595861424.97,3576928509.82,1966445932.20,8507984273.38,5940330343.42,3541255019.13,1904954494.37,7973617216.37,5511697538.50,3383355576.98,1826086720.02,7857795493.22,5121869341.87,3198864737.97,1687192333.49,6824800755.94,4167463137.10,2717001608.62,1429708606.47,6112097412.84,4018463034.16,2633282349.42,1248528991.92,6044965478.54,3972446230.72,2611772615.44,1315966209.46,5991358229.59,4006012823.02,2458002523.17,1042305673.95,4816500271.76,3419834797.16,2005373349.79,968002013.28,3563374141.70,2532243612.74,1542687518.35,827742623.65,2743318818.20,1932180448.27,1185115578.10,685395221.79,2322953623.24,1468103602.22,1009573889.43,2026740992.76,1790826757.79,0.0
2,营业收入,7139441262.13,4371706693.32,2504543588.48,9888258302.01,6595742956.50,4081672027.79,2118364035.34,8127247316.47,5710094418.91,3740158389.71,1928194620.31,8797774966.37,5595861424.97,3576928509.82,1966445932.20,8507984273.38,5940330343.42,3541255019.13,1904954494.37,7973617216.37,5511697538.50,3383355576.98,1826086720.02,7857795493.22,5121869341.87,3198864737.97,1687192333.49,6824800755.94,4167463137.10,2717001608.62,1429708606.47,6112097412.84,4018463034.16,2633282349.42,1248528991.92,6044965478.54,3972446230.72,2611772615.44,1315966209.46,5991358229.59,4006012823.02,2458002523.17,1042305673.95,4816500271.76,3419834797.16,2005373349.79,968002013.28,3563374141.70,2532243612.74,1542687518.35,827742623.65,2737657865.34,1929124400.89,1182982885.87,685395221.79,2319182709.17,1466941777.92,1008521764.59,2023615060.69,1787270033.42,0.0
3,二、营业总成本,6779470123.23,4203902590.99,2391160501.76,9383181032.63,6366836406.78,3951611028.75,2032182135.00,7783796348.80,5455651722.25,3580606786.23,1843495316.48,8530566408.88,5426089171.43,3466664323.49,1878748425.11,8232164683.33,5750930544.81,3419108303.18,1826310821.36,7768952293.58,5392964221.81,3281552937.02,1762875917.00,7665084460.27,5005828848.94,3100146408.40,1626457030.07,6695930841.02,4072501711.87,2647228221.62,1378976413.74,5942258250.53,3890873396.85,2520571537.65,1187054458.35,5638540852.68,3691155637.96,2447565950.93,1244238304.50,5580962472.01,3726002454.89,2299378932.69,981495234.19,4481111753.46,3203073113.87,1918998871.83,929338574.16,3426710651.64,2421616101.46,1482344265.47,794017802.82,2653427071.73,1858143096.40,1138402588.33,657729122.70,2229672235.48,1406497941.98,968209316.76,1941210390.29,1728228462.65,0.0
4,营业成本,6226913235.74,3931576379.36,2271094875.01,8664209237.03,6117057695.33,3815193028.60,1966102043.29,7284116869.56,5175605583.98,3380399637.63,1766016387.43,7793960684.06,4984738410.77,3120813316.14,1692223904.22,7467236732.28,5294719020.80,3147227299.05,1669528230.06,7008579738.63,4950437950.13,3006750667.32,1632290917.21,6967058115.89,4556675860.02,2807106532.19,1477568900.12,6139784127.05,3721829277.00,2413596703.59,1255970662.44,5470447129.01,3593375347.89,2339205716.10,1103185230.20,5128092617.59,3377443623.11,2258468959.47,1153880399.07,5186983610.66,3466488910.65,2139589256.55,906330476.67,4132192610.70,2991430773.23,1799260547.95,869340400.16,3274821309.38,2313475615.68,1415617830.33,758721127.68,2528451917.97,1762319789.54,1085517208.38,627334756.87,2124648930.35,1338764856.72,924859401.57,1847925013.95,1635811917.50,0.0
5,营业税金及附加,134663090.53,14139466.97,7574378.83,120101680.53,66869962.46,20046260.36,10999341.92,83031900.60,67200819.83,47483505.01,16385320.10,209776940.13,151312086.64,125060090.33,87894742.43,403577596.67,251662498.73,142236421.47,78238408.49,339538988.14,218953269.65,128592181.94,65173386.78,322297637.31,195866577.73,120768292.30,63997621.96,252365700.99,145253437.81,99131441.73,50764503.56,215722036.03,137382757.73,94428722.33,45259293.65,286733370.42,177957536.33,103732376.30,49679557.26,240619220.09,168278200.53,93858184.31,39598622.54,198650081.50,131026517.01,67295996.65,31278824.43,113651400.14,79300919.01,47195461.51,26189334.83,82803861.76,64712205.45,37254846.09,21928730.00,70343305.17,42962367.98,30317416.24,61564630.66,49700314.54,0.0
6,销售费用,9597064.73,6051843.64,4597310.24,10483729.56,9499288.11,5141511.36,4253259.71,24088572.21,26398209.24,21216838.55,9417525.59,33665175.92,28037938.20,18173490.42,7292813.81,30669438.99,22719048.55,14097170.09,5875699.92,32165076.92,17868746.34,10858742.22,3998127.43,26716442.23,20669952.00,13454744.34,5311960.87,21197106.66,15947718.87,11136981.79,4981071.50,23403670.06,10963979.48,7151882.74,1634776.33,5568890.95,4253129.63,3062112.26,2154572.97,9658750.40,9907979.52,7652119.67,1893504.98,12045146.93,6528454.90,4534991.46,701283.50,2987028.87,1904621.24,1451921.95,763960.44,574166.54,1358532.38,918604.54,366827.39,890114.18,1050106.51,596709.00,863037.99,1505023.75,0.0
7,管理费用,107163189.39,70087997.42,44376091.95,161056164.94,118603670.40,84152983.80,40957423.11,162795596.41,126882203.26,95314724.81,44514202.78,144119663.66,119489569.17,86789619.73,40081437.15,139978847.86,104747017.67,75996608.14,41045547.90,160754145.62,107253628.59,73902761.30,41185783.98,150132188.47,105552845.20,70136254.57,36279643.12,144528476.36,96987468.35,68780585.43,32126239.34,130914493.92,93757747.50,62064331.05,28629347.57,106770599.07,67583620.38,49338811.74,24578720.67,103367552.19,64964561.38,49898159.34,24924438.09,81032610.81,48948881.37,34278279.86,13738062.60,35276118.55,27501225.49,18852903.20,8296638.33,40325739.91,26854797.02,12688700.39,7096616.14,31552502.90,22094102.43,11864578.71,30396146.84,41590185.00,0.0
8,财务费用,64934373.97,37593090.78,23610894.84,130222216.37,97376718.32,62557411.09,32367787.72,150095360.22,98495261.95,65867106.60,25783064.96,233711059.53,123147825.01,90463558.95,39313431.11,124057271.63,86222549.69,53627051.98,34974360.38,136142582.96,88661619.92,55045146.59,28676129.04,145701652.42,110980351.41,82963724.30,37802231.06,108454499.96,91547992.69,55687171.42,36259318.75,104936322.49,62586071.98,25985673.38,12771261.84,90305653.54,66343788.22,36597455.48,18844702.54,33631946.59,30022063.62,20994133.29,12396221.48,35146123.52,32973774.21,18954022.03,7494628.11,4689116.14,-566279.96,-773851.52,46741.54,1271385.55,2897772.01,2023228.93,1002192.30,2237382.88,1626508.34,571211.24,461560.85,-378978.14,0.0
9,研发费用,236199168.87,144453812.82,46252937.85,280952514.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,-6345986.96,16155489.38,-42570927.84,-35480166.46,-22497720.75,79668049.80,-38930356.01,-29675026.37,-18621184.38,115332885.58,19363341.64,25364247.92,11942096.39,66644795.90,-9139590.63,-14076247.55,-3351425.39,91771761.31,9789007.18,6403437.65,-8448427.44,53178423.95,16083262.58,5716860.70,5496672.94,29600930.00,935817.15,-1104662.34,-1125381.85,-3165400.98,-7192507.73,-8264787.95,-4425451.24,21069721.11,-2426059.71,-3633764.32,-4899648.01,6701392.08,-13659260.81,-12612920.47,-3648029.57,22045180.00,-7835286.85,-5324966.12,6785375.36,-4714321.44,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-2148116.42,-385378.66,-362614.82,37130251.55,36127183.56,33631563.01,5479837.92,30349119.34,11520192.88,6302038.60,766577.14,36406073.84,18910714.99,16924590.19,-634353.04,-9232630.07,-6368138.63,-8146623.72,-4422189.08,39516737.63,31641808.13,350000.00,0,-2402890.43,417545.46,420000.00,0,420000.00,420000.00,420000.00,0,17949840.81,17949840.81,258601.18,398977.41,19247530.06,-1929803.49,-268298.77,31498.65,3727340.50,2845607.62,5500753.57,3969679.60,-528192.16,-727745.77,-696988.96,-77678.48,338039.85,307499.62,307499.62,0,-202603.66,280000.00,280000.00,280000.00,190392.07,316621.84,316621.84,7915.46,395670.50,0.0
13,其中:对联营企业和合营企业的投资收益,-2148116.42,-385378.66,-362614.82,37230251.55,36127183.56,33631563.01,5479837.92,29572681.62,11144654.40,6302038.60,766577.14,6796259.31,4359191.98,2373067.18,-634353.04,-9232630.07,-6368138.63,-8146623.72,-4422189.08,0,0,0,0,0,0,0,0,0,0,0,0,-301398.82,258601.18,0,398977.41,4666040.51,766047.22,-268298.77,31498.65,3307340.50,2425607.62,5080753.57,3969679.60,-538911.36,-503839.41,-473082.60,-567678.48,338039.85,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,3441372.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,366670797.02,177766821.88,113145312.90,546796159.07,271096964.15,166334288.03,94309617.23,376620014.20,265962889.54,165853642.08,85465880.97,303614631.33,188682968.53,127188776.52,87063154.05,266586959.98,183031659.98,114000092.23,74221483.93,244181660.42,150375124.82,102152639.96,63210803.02,190308142.52,116458038.39,99138329.57,60735303.42,129289914.92,95381425.23,70193387.00,50732192.73,187789003.12,145539478.12,112969412.95,61873510.98,425672155.92,279360789.27,163938365.74,71759403.61,414123098.08,282855975.75,164124344.05,64780119.36,334860326.14,216033937.52,85677489.00,38585760.64,137001529.91,110935010.90,60650752.50,33724820.83,90512192.81,76645907.87,47861539.77,27946099.09,95896584.83,64447087.08,44125999.51,87474390.93,64264938.64,0.0
16,加:营业外收入,1005982.86,448215.41,24884.26,15871233.12,17325599.46,14706318.73,335000.00,773865.39,2267841.04,1252905.27,1148827.38,5281478.71,2018998.22,1495454.48,1350000.00,4127102.88,2282780.50,1664079.69,74797.49,2654695.07,2039713.07,1067975.66,5000.00,23162519.20,22677424.93,813523.79,193746.64,9124460.06,7073285.20,6167431.15,2332110.55,8187354.60,5933121.58,2140387.91,1127960.00,8134732.34,7441449.74,4288106.58,2094765.98,2701101.66,1494682.69,1374881.92,1285210.00,21851138.98,21634214.15,16923930.79,846757.45,5871235.73,3428520.23,1335772.28,553286.40,3764178.70,3168537.30,1406076.30,254199.30,1244595.75,515888.53,54853.83,1478448.45,4533688.51,0.0
17,减：营业外支出,1362514.10,1361501.84,905788.46,264206771.60,2233159.82,1127469.83,39009.00,5031744.36,1441648.11,944063.91,923949.71,5506905.12,3076570.65,3055535.18,2235748.44,5506971.48,4984239.05,2979460.41,1035695.00,1457685.23,1353838.11,1331570.04,1195060.96,5151160.76,2321593.11,1753665.11,1416572.77,2140005.19,1633200.77,373476.46,164701.71,1475308.47,1320717.60,365503.01,110518.23,1317681.55,1228435.49,127010.43,67649.76,1499380.87,1416435.35,127499.69,103804.05,10152743.85,1836518.25,1618497.12,378820.32,1759399.95,1324874.53,623837.78,8772.00,758066.83,679698.19,585243.13,11243.98,724753.57,104127.56,42673.25,1195829.78,1336277.79,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,-361441.82,761.00,761.00,2567365.95,273656.28,273656.28,273656.28,2192406.15,-1728330.14,0,0,82533.86,14265.33,14265.33,0,1641408.23,398931.28,398931.28,-398931.28,6109.67,764049.55,17061.15,0,134551.04,110080.21,96389.19,292.32,54771.14,92491.19,48294.83,0,317347.75,0,6885.00,6885.00,257832.28,241465.98,177344.85,78718.05,156678.60,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,366314265.78,176853535.45,112264408.70,298460620.59,286189403.79,179913136.93,94605608.23,372362135.23,266789082.47,166162483.44,85690758.64,303389204.92,187625396.10,125628695.82,86177405.61,265207091.38,180330201.43,112684711.51,73260586.42,245378670.26,151060999.78,101889045.58,62020742.06,208319500.96,136813870.21,98198188.25,59512477.29,136274369.79,100821509.66,75987341.69,52899601.57,194501049.25,150151882.10,114744297.85,62890952.75,432489206.71,285573803.52,168099461.89,73786519.83,415324818.87,282934223.09,165371726.28,65961525.31,346558721.27,235831633.42,100982922.67,39053697.77,141113365.69,113038656.60,61362687.00,34269335.23,93518304.68,79134746.98,48682372.94,28189054.41,96416427.01,64858848.05,44138180.09,87757009.60,67462349.36,0.0
20,减：所得税费用,97240891.81,28338926.74,19314838.80,100459967.16,54583162.13,26462053.43,14268923.01,99861102.79,70292566.25,40502738.84,16085060.20,73772618.35,32761806.06,24378491.27,18740663.48,52367491.05,32795819.28,21379663.53,12635467.82,46457011.05,23596506.84,14543208.02,9750238.08,41927880.92,30502302.41,24194523.99,12811834.05,32535190.44,40884772.09,30645447.39,16964874.16,67634795.36,46768218.58,30988824.16,16229581.73,111645018.67,74040126.11,43515857.52,20605961.58,105871893.73,72155701.42,41260060.46,16692936.80,89869487.66,59599165.87,25680685.94,10374705.08,27176776.17,37189685.35,20141235.47,11308880.62,26351155.91,24746706.51,15506766.01,9175359.44,29772269.61,19350687.36,12992866.94,28980528.96,21422152.78,0.0
