,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1604234557.49,10656800243.72,7691096619.73,5499699837.72,2259187961.83,10150383314.43,7884075105.36,4485170114.49,2065895510.90,10908506573.81,6232991601.49,3487560071.60,1497509698.27,8066153040.83,4994283552.81,2711816785.89,1297814823.04,8119940514.06,4782471425.07,2737729355.70,1247220423.56,9532877480.09,6237838007.44,4094675087.07,1784302570.16,9235717731.38,5596043740.05,3847150318.44,1519676850.55,10154429389.40,7506732380.82,4372131687.77,1948037395.77,7175155707.73,3696173937.06,1790880960.54,906773691.17,5056724098.46,2031751271.14,1418802905.96,788999869.16,3139230391.43,1998063615.23,1298491452.23,594448637.54,1869313073.64,1149941451.39,914555112.20,439763741.67,1140716450.82,902238324.97,692283485.34,446945857.38,1121856946.84,436702187.64,323305951.43,126989935.26,645013375.84,399640420.08,299334633.60,572454849.60,503962006.57,0.0
2,营业收入,1604234557.49,10656800243.72,7691096619.73,5499699837.72,2259187961.83,10150383314.43,7884075105.36,4485170114.49,2065895510.90,10908506573.81,6232991601.49,3487560071.60,1497509698.27,8066153040.83,4994283552.81,2711816785.89,1297814823.04,8119940514.06,4782471425.07,2737729355.70,1247220423.56,9532877480.09,6237838007.44,4094675087.07,1784302570.16,9235717731.38,5596043740.05,3847150318.44,1519676850.55,10154429389.40,7506732380.82,4372131687.77,1948037395.77,7175155707.73,3696173937.06,1790880960.54,906773691.17,5056724098.46,2031751271.14,1418802905.96,788999869.16,3139230391.43,1998063615.23,1298491452.23,594448637.54,1869313073.64,1149941451.39,914555112.20,439763741.67,1140716450.82,902238324.97,692283485.34,446945857.38,1115250585.03,432901513.83,321670085.86,126989935.26,644262106.99,399529493.25,299095235.81,571160726.80,503838670.31,0.0
3,二、营业总成本,1498204665.32,9334096543.95,6752353746.87,4854372317.09,2037740378.02,8756768996.00,6812181712.94,3793694163.84,1823891739.90,9395754950.41,5267119475.51,2940542602.71,1287756929.34,6610637006.11,4191724201.10,2264503232.18,1119045060.93,7030883803.27,4252935892.80,2464458604.11,1080485628.57,8522159050.79,5426096760.19,3606637216.04,1575154425.57,8312054999.14,4912835038.47,3482018373.89,1359452750.81,9325724513.71,6853052067.97,4034585288.94,1810256431.40,6661659212.09,3352395026.47,1599683225.94,802159494.33,4603102516.60,1849382616.99,1295033709.78,723195359.32,2904136751.09,1854536464.03,1188744764.13,533877566.36,1738950871.49,1056055439.89,821310588.80,387294897.75,1030258333.47,785640141.02,599593605.03,368205499.88,1016643427.41,361149615.22,269849671.41,119892188.56,563958707.17,339017675.59,240029459.99,492262196.15,427037002.83,0.0
4,营业成本,1295224767.06,8290764502.98,6182115181.53,4400544834.97,1791885128.06,8193483339.77,6532739272.76,3539004395.50,1500368501.85,8055404367.43,4513396235.49,2510978156.59,1173710880.15,6309774653.55,4083084017.40,2182418763.89,963117059.79,6416070283.41,3880023721.14,2105666370.96,995493887.73,7870648937.43,5138293588.58,3358884557.72,1442822263.30,7623255198.22,4613429299.65,3233863487.21,1230835470.75,8697038525.56,6516510108.98,3854479394.47,1747337533.78,6257511029.15,3132144113.92,1539720272.34,791947297.63,4197824658.70,1743702654.09,1245645472.97,706245061.90,2815745069.79,1811717171.39,1143144803.41,517044749.32,1648199022.38,1000402026.90,782455324.04,380737402.44,1007354557.87,774865762.37,583608881.55,353888958.96,922538085.36,328561227.25,253949727.06,105606987.72,474741377.26,294982736.01,210861936.73,413298104.81,347967566.61,0.0
5,营业税金及附加,2083447.78,27891413.24,18383153.36,14559750.42,2047430.34,10898861.17,8411494.79,7230019.09,1833604.15,12669551.99,5346712.40,3753578.25,1008369.58,7976161.96,2980343.54,2447829.20,1261783.09,7326830.70,2896394.42,1914174.96,1147223.80,6586314.18,4493621.93,2086070.44,441406.24,7125510.09,2259182.00,1205179.45,556208.47,8303929.90,4810491.67,3804266.44,1813403.38,10254194.07,5758734.71,3444038.28,1946436.41,4821056.42,1164858.76,514697.65,65855.34,945095.13,737955.78,608894.28,218018.74,1039026.07,849941.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,销售费用,87060230.64,371324636.68,334026913.11,221392491.82,66332729.47,324664742.21,214078303.77,142414678.34,65060423.09,329447017.83,245215900.52,160040473.28,57744515.54,307058242.44,191978271.54,121492967.16,54550731.42,253974288.00,176255343.00,115266525.76,62146551.90,347269027.88,208724210.60,136404119.13,62242035.56,290714974.64,183900585.89,113137308.04,48459758.80,270145994.59,184408263.62,111826552.62,52149323.89,226578348.62,145312093.50,79521062.31,34118359.35,151230774.33,68760594.13,38402353.96,20366957.27,79130399.92,49703804.03,29371807.13,11628228.92,56700809.03,33043959.14,23428791.85,9667997.41,42807304.05,24298937.06,16409798.14,6530135.41,49041832.48,25937789.14,15403354.06,8299817.39,34977709.41,21799173.72,16157530.41,33743359.58,34123947.43,0.0
7,管理费用,125709925.32,551605422.76,398889486.44,249246182.52,66568653.78,334571927.40,228654330.42,169406445.08,75433265.48,368697995.19,237979772.07,168582856.57,73830884.49,326424747.46,213037195.81,140891872.01,68166554.32,309714999.82,205412671.22,146041139.99,69425627.05,295096172.05,194911307.21,122196769.71,51151313.52,322118057.18,204749754.87,148404153.97,59524179.56,274708018.20,203448145.29,112611835.25,30607316.81,150294418.56,78686020.16,53669926.36,25053382.94,125923590.47,42590424.81,31747874.27,8960098.24,63677993.99,40977649.28,25606948.61,11446060.29,58604710.45,34145740.91,28343211.70,10436653.14,33245505.87,25873597.73,18180361.54,7261881.17,39679497.82,5002573.35,-1691076.30,6247099.43,44595960.10,16203593.81,10481296.70,28199080.00,26417112.99,0.0
8,财务费用,-70838629.96,-223637202.82,-297030344.62,-106855059.22,95689176.05,-148505006.34,-227412030.10,5221653.21,267195952.29,446316560.83,327945925.79,195935680.17,69262423.93,-348901022.21,-148918579.95,-124543846.74,28501716.39,-358561770.16,-214722529.81,-76793124.09,-33470676.45,-170069070.05,-120161426.27,-97111648.47,-34318521.35,-19155118.65,-780214.72,5579453.25,15881976.02,-70616083.89,-61685559.60,-52468069.05,-29319217.31,24855979.22,45401063.84,18441682.14,1050800.14,-26496545.43,-20712569.62,-14415515.77,-9493279.47,-32241797.42,-15206148.12,-6399750.63,-3031463.39,-20658912.70,-8179925.47,-8710435.34,-13547155.24,-42741437.25,-19316160.14,1476559.80,524524.34,5384011.75,1648025.48,2187666.59,-261715.98,9643660.40,6032172.05,2528696.15,17021651.76,18528375.80,0.0
