,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,14053574128.39,9544733473.16,5852505878.96,2542757730.59,12264769135.44,8928816132.07,5566974168.46,2507349229.49,11019551807.19,7711366799.70,4761141685.72,2041538454.83,10327476311.96,7735073880.32,4975574704.33,2374858204.68,10577015943.44,7864989447.39,4772157910.52,2232454374.43,10607231706.45,8161570637.51,4896038089.92,2177552535.20,9316037547.42,6996475297.03,4139129375.36,1941983181.23,10279898405.53,7955737960.23,3766250762.61,1665359552.94,8421248949.37,5930631652.42,3002782144.12,1301716578.77,6083838542.92,4203634968.96,2435368787.91,1108333377.90,6190871657.22,3671881946.78,2422206550.67,853770060.19,4588400919.88,2966780150.08,1994531873.33,927736599.65,4532496046.24,2638467459.63,1477715732.83,514704777.64,2876979231.57,2086056250.84,1132360564.39,478865493.93,2329167841.43,1565931693.22,885825485.48,316816436.52,1763985409.48,1135629480.06,654991228.58,249197522.35,1110612214.16,742304145.06,435905465.86,271564542.25,1703806994.54,1104534186.78,722887798.23,288945613.23,1311969857.61,616394185.76,1029487456.73,441434633.52,844752554.79,418108468.74,582863582.02,231020169.02,397262430.24,340454901.60,272199062.10,304358679.45,0.0
2,营业收入,14053574128.39,9544733473.16,5852505878.96,2542757730.59,12264769135.44,8928816132.07,5566974168.46,2507349229.49,11019551807.19,7711366799.70,4761141685.72,2041538454.83,10327476311.96,7735073880.32,4975574704.33,2374858204.68,10577015943.44,7864989447.39,4772157910.52,2232454374.43,10607231706.45,8161570637.51,4896038089.92,2177552535.20,9316037547.42,6996475297.03,4139129375.36,1941983181.23,10279898405.53,7955737960.23,3766250762.61,1665359552.94,8421248949.37,5930631652.42,3002782144.12,1301716578.77,6083838542.92,4203634968.96,2435368787.91,1108333377.90,6190871657.22,3671881946.78,2422206550.67,853770060.19,4588400919.88,2966780150.08,1994531873.33,927736599.65,4532496046.24,2638467459.63,1477715732.83,514704777.64,2865807614.57,2078866308.34,1130896169.04,475905958.62,2307503817.90,1552285702.01,878580636.75,314043338.94,1744906678.70,1123124336.38,647146354.81,246426301.46,1097748298.76,731908535.37,429117728.86,270866447.30,1699377622.94,1099865517.57,719037104.62,287749396.78,1308568835.55,614312005.70,1025087335.79,441263297.77,844483326.30,417877392.04,582109079.57,230966801.78,396633830.24,340454901.60,272199062.10,304358679.45,0.0
3,二、营业总成本,13171920672.08,8833406096.58,5388750605.16,2405570297.38,11359316661.45,8187045423.11,5044749414.13,2328057643.76,10191567642.50,7060571341.27,4342925644.23,1867498204.29,9644952243.99,7186537812.18,4608744684.74,2212746309.98,10019991942.58,7375741876.48,4480676318.33,2104503849.63,10036646796.00,7657011858.85,4588216620.77,2072431996.86,8895968133.33,6638324979.87,3939158467.29,1872440956.49,9591668494.82,7344772199.77,3554868294.30,1596574356.84,7773204038.85,5439199396.68,2813780865.56,1244044509.91,5634625471.82,3870520994.85,2243284904.79,1047827386.22,5616485760.10,3341796448.88,2190919823.68,811759423.95,4291565675.35,2831418167.71,1903895039.06,895495809.13,4285624507.52,2486448524.70,1388523351.81,493560501.07,2796074220.14,2010539971.98,1095231598.54,462150893.07,2263012040.83,1521702846.26,857476979.98,314668207.72,1733910761.06,1118948825.04,651618766.93,252483651.30,1159154855.44,751267797.43,443960712.62,267284117.65,1618674211.18,1051742991.29,684071900.78,277907765.79,1247306806.06,580643052.51,929627582.88,399424400.36,755988571.35,355414880.38,516671019.56,196125552.13,336588908.47,292204615.92,231247980.01,263490133.48,0.0
4,营业成本,10668356016.12,7220050082.65,4391463209.20,1933228950.54,9161890062.22,6780529624.05,4205371735.15,1919027406.67,8215132099.09,5698323530.74,3494463859.50,1493766078.41,7870618455.46,5923109444.06,3763111740.98,1827382926.54,8338016299.63,6192187778.81,3726054974.89,1779807865.72,8491561636.03,6593964168.72,3932992597.37,1780263703.56,7471034086.38,5631317805.05,3321115304.62,1587028648.10,8228845790.42,6336686163.38,3006248192.07,1350986545.09,6695636771.47,4710215963.86,2387736479.62,1054219727.23,4786649221.27,3266202326.08,1865818252.65,878124965.00,4712043580.59,2758285574.80,1801127642.37,658726911.14,3559161575.86,2361823271.74,1606309077.26,754746122.23,3712788435.50,2144537206.23,1172266546.19,405623821.91,2477179445.29,1792787105.69,962688606.77,397590668.99,2041678023.61,1383132275.99,779375562.45,283963049.92,1568930856.84,1000710909.06,575377695.50,215332838.57,975486387.74,636729541.91,367182587.17,227883485.24,1439939312.80,932449467.12,607301602.68,243162737.23,1080105522.16,494467792.78,792410729.95,347114717.73,659469228.33,315690265.86,445421972.63,175850197.88,294702357.78,257344344.52,204663005.86,233138532.72,0.0
5,营业税金及附加,97620573.54,29188033.86,21060278.56,5905471.52,96659645.67,31356130.49,25254876.67,6545579.95,47983317.91,29777232.44,24018908.12,6787144.43,44596782.86,46524704.82,42416696.71,26314032.87,122317425.19,90914999.42,58600418.66,25751790.95,122475671.54,80158390.03,49387704.79,19976045.72,101184764.78,74370153.77,47262003.11,20561941.94,238671925.52,203417014.52,48887654.42,20080639.06,144443395.39,105717567.01,33822301.58,14049822.64,62039643.14,51027960.52,35279704.06,18021953.97,201867907.10,103009175.46,75626574.70,12471495.50,103120012.29,54558396.77,39154051.25,21455314.38,114769531.80,39038520.57,29041497.17,6214521.48,23176662.96,16501669.20,9606795.70,4005524.08,15327978.44,8878361.24,5278368.68,1714770.47,10006006.06,6446014.10,4034713.60,1738623.79,4408056.92,4290403.19,3346649.02,2409200.23,13129415.31,7968314.38,5130911.61,2095082.25,12188917.68,6047243.44,10808692.05,3617728.51,10499562.55,6413567.24,6617029.70,2373697.03,6001539.86,5925354.47,4681633.27,5240168.79,0.0
6,销售费用,1533375375.05,995391608.54,635792967.27,315414480.01,1276289810.18,856228300.14,516011857.18,259970242.43,1207357277.13,859535321.95,532562151.55,235042163.10,1141621504.73,802488303.30,528012238.74,249221838.29,1023358520.88,723619483.90,465972721.04,211319574.14,944045153.39,653362948.66,390607224.24,176179588.28,863106629.36,603289846.89,364758060.94,167059210.05,727853816.22,523951782.65,304252429.29,147551471.60,577936269.70,402690758.68,249128076.45,118194618.44,513635753.81,361933351.06,213136121.39,99912323.25,418182956.79,299418703.90,191564741.15,85942825.65,367432518.51,244883238.84,156352698.84,75637362.08,271900783.93,186222909.55,113623172.77,50025032.62,169940649.04,118794619.69,73460063.97,37063348.90,95519982.89,54940497.36,27292783.89,13725714.92,70414146.16,48031988.00,26711242.33,16294908.52,68147881.91,51671487.84,33510685.77,17504654.91,72132372.73,52592277.54,32851739.09,14351312.97,69064591.86,33952632.74,48509288.06,18449070.01,36422870.69,14086708.77,33380009.31,9720618.83,14250881.11,9112580.03,6965067.34,8328082.93,0.0
7,管理费用,742101339.35,497457848.99,281259695.92,124722433.17,668511244.50,425832530.52,245102798.66,122190321.14,640873095.95,428038979.31,266710123.15,115517684.08,529065911.25,365083698.00,243943984.73,99872198.65,488307140.41,336214031.76,210304878.14,82306675.85,407275051.25,274606223.01,164665442.81,76042544.00,390778915.45,281736766.43,176448174.44,87097102.78,352342156.53,251859308.84,181792552.37,72475362.05,292013058.18,210388991.28,139850069.39,57777163.22,247372514.10,174475551.80,125234966.70,53422431.99,246474362.27,154480458.98,102183137.44,52530907.42,212667277.18,150779773.65,98508538.26,41541025.87,151533811.97,104272709.81,66855706.88,25706801.76,119612492.89,75288576.30,49509624.59,22810672.71,110138586.61,67717827.12,43398649.06,14851718.37,82075079.60,61161006.20,43632601.34,16917141.90,93508544.95,62385095.76,43568522.17,19853356.56,90299850.03,57919576.62,38647885.52,17492028.50,79644994.46,41347023.09,71145729.60,23617214.99,48721900.94,19720621.62,42052610.60,17201044.55,17432294.11,19229454.87,14509200.02,17348995.09,0.0
8,财务费用,116290820.78,79764974.05,55119059.66,29812859.97,103856473.88,74346919.91,39581612.47,20090419.75,76927739.67,53693082.09,33967368.66,17248185.59,52187721.30,50008425.05,29533151.56,12696834.99,40452918.84,31254809.34,18628848.46,8599336.86,58562183.53,50021049.90,43813774.86,20124967.27,66201385.72,46034741.06,27557796.29,10574468.05,31240681.30,24285446.83,13553855.51,5804023.54,4879724.29,10171328.14,2972223.74,1712285.37,6631490.61,10160134.02,3477300.31,501305.20,14016683.58,16929188.76,13638608.36,5681869.16,14305546.68,23359962.50,7314419.25,5737237.57,9978387.34,12159418.54,6518668.80,5990323.30,6164969.96,7168001.10,-33492.49,680678.39,347469.28,7033884.55,2131615.90,412954.04,2484672.40,2598907.68,1862514.16,2200138.52,17603983.92,-3808731.27,-3647731.51,-366579.29,3173260.31,813355.63,139761.88,806604.84,6302779.90,4828360.46,6603247.62,6625669.12,875008.84,-496283.11,-10800602.68,-9020006.16,4201835.61,592882.03,429073.52,-565646.05,0.0
