,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,819119389.78,607613374.51,401500650.34,172496046.39,608053473.00,464042153.14,311219298.30,121782661.11,522538130.02,418230829.06,282395496.74,115727327.02,498860618.53,405790311.49,271499508.87,115473371.69,491430959.90,397011018.15,271777504.14,115948130.85,439980365.54,287663471.86,183698767.05,78570474.77,331615821.48,235743803.27,153315412.64,68253571.10,273979343.56,201853989.95,126890389.00,54446808.92,196701996.28,141769379.08,88714242.47,38436355.76,182051933.27,146306004.01,108879809.69,62052474.12,216810922.67,170840688.53,117444974.99,51479906.84,177222067.18,121999354.22,78548166.01,232090873.19,125728776.51,83940018.91,49210474.23,0.0
2,营业收入,819119389.78,607613374.51,401500650.34,172496046.39,608053473.00,464042153.14,311219298.30,121782661.11,522538130.02,418230829.06,282395496.74,115727327.02,498860618.53,405790311.49,271499508.87,115473371.69,491430959.90,397011018.15,271777504.14,115948130.85,439980365.54,287663471.86,183698767.05,78570474.77,331615821.48,235743803.27,153315412.64,68253571.10,273979343.56,201853989.95,126890389.00,54446808.92,196701996.28,141769379.08,88714242.47,38436355.76,182051933.27,146306004.01,108879809.69,62052474.12,216810922.67,170840688.53,117444974.99,51479906.84,177222067.18,121999354.22,78548166.01,232090873.19,125728776.51,83940018.91,49137954.23,0.0
3,二、营业总成本,633517859.30,442621700.37,286029174.16,128412431.46,465450350.00,330440681.76,221599875.04,89680140.82,405272650.39,302909284.19,201730657.41,86935570.40,403900009.56,311355589.65,206136721.15,90912588.22,445727818.38,301074376.92,204843327.92,89830721.72,328655557.61,219440654.95,136624021.36,61051266.94,255689094.55,182084646.05,117586944.61,52647352.19,201715821.58,150002193.97,32062134.38,44002838.86,148756530.49,106759992.48,66650936.81,28612793.41,134293290.31,107081815.16,83197404.80,50811883.47,178861270.72,140165484.20,97178240.15,44460821.34,146810533.81,95995636.09,57528939.78,199772043.93,110356410.18,73986882.74,39719929.05,0.0
4,营业成本,254765327.59,186687736.90,125185079.40,55413255.45,200426237.09,150909316.16,101530279.11,38999374.86,182208867.16,146439857.19,101384785.14,41118342.40,154453369.15,125381521.62,79771274.29,32564121.78,131126594.89,105110603.61,70823926.38,29812073.63,120252028.21,83534338.03,50831407.28,22388246.74,94989218.30,69085159.96,46909263.42,20341249.04,70621466.71,51934689.53,32062134.38,13651220.62,49847793.33,35501545.88,22046755.50,9357420.89,75350928.59,66918512.08,58325567.61,38449513.52,129171665.87,104695038.18,75252056.21,32771956.33,103078195.11,67317325.39,43026064.20,170615892.79,81495980.42,48168263.30,16609101.57,0.0
5,营业税金及附加,9704899.90,6924597.44,4597879.76,2127102.18,9323474.40,7118269.20,5146491.89,1930745.59,8300864.00,6203963.55,4120881.15,2044702.16,6171748.78,4903004.86,3279349.74,1062354.78,5423470.19,4739089.87,3456272.77,1523225.12,4663046.71,3751011.24,2284393.91,1032287.93,4119124.09,2941557.14,1809745.15,958474.61,2371039.19,1954464.44,1309234.27,588058.17,2137345.02,1560260.09,954130.33,508949.60,1513952.93,1197573.00,735804.15,312836.97,1156076.34,900646.70,587505.63,248256.06,1037283.97,740384.26,456846.74,840431.57,637274.59,546982.10,432530.87,0.0
6,销售费用,272495948.76,181395518.71,116688616.05,50293967.82,186284717.29,124669845.53,86437160.24,35416162.93,172640064.69,124149214.31,79044528.86,35949208.16,186618508.83,137543365.03,88913172.79,42011438.89,180841715.02,137372251.58,92716231.30,41394370.14,168174659.91,111261447.95,67722293.27,28690041.64,131103562.82,90725374.87,55966729.95,24903591.04,112263714.52,78815200.43,48816798.94,23068826.35,84082671.38,57105822.95,36670286.66,14613406.61,45181224.56,29369828.08,18527250.26,7963316.28,35487032.47,23251466.84,13781050.51,7734997.19,27526214.53,18492556.85,11141373.75,22154311.09,18065067.82,18504637.80,14086969.24,0.0
7,管理费用,46474253.18,30015600.26,19204640.27,10849441.87,39883807.05,26908403.39,27113450.42,13062717.71,39658696.20,23899929.52,14758549.15,7536976.49,58254754.92,43288725.89,32941581.44,15642181.59,63920546.21,49321686.19,32506723.40,14635742.98,38061975.25,23678941.57,15397828.99,7968986.22,28706632.84,19067094.89,12512167.25,6484662.05,22155368.86,17007751.05,11924319.02,6277770.66,19302389.66,13365673.42,8203549.81,3719042.52,16369166.36,11160717.00,7278152.47,3119327.95,13261024.43,10682770.57,7201048.48,3667646.43,14497613.51,9154119.85,1830890.34,4285267.54,7588649.17,5902230.27,7528203.20,0.0
8,财务费用,-603213.92,-769762.16,-567840.43,-304607.08,-2359428.75,-2293513.09,-1485204.67,-284531.45,-741965.83,-627666.90,-537040.60,-223030.91,-735501.00,-1195529.71,-667437.96,-278302.15,1714995.54,1126525.41,998132.82,520623.20,-5603654.08,-5243361.74,-2487481.74,-1184205.61,-6132844.95,-3109493.88,-2666264.17,-1633709.57,-7289875.75,-2240644.32,-1884317.29,-513581.68,-6974587.56,-2084743.88,-1941815.01,-192978.60,-5221110.08,-2909115.61,-2824355.26,-110492.77,-134618.43,126356.35,98264.34,54274.63,217592.04,191935.24,92032.74,916028.21,1383675.54,864769.27,1063124.17,0.0
