,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,223374757.15,1168217076.64,835522783.86,540654549.91,242182426.08,1054038647.69,806062401.41,539195003.17,237584139.14,592010244.24,380523856.05,250623525.10,121390652.09,429968076.77,332922159.93,228876644.90,116318259.30,434384399.94,361015784.72,244396372.33,101912336.20,548458142.85,437921201.52,277568063.93,136623054.19,566047540.35,426965481.31,269966397.29,120126482.25,541229946.14,424169843.06,285657142.49,124933864.80,560991753.02,413014556.09,257374352.48,110757103.91,410040518.15,319917049.08,205149692.36,87145329.52,350498825.32,265222291.23,164339330.29,69249003.37,389036950.93,301632340.61,371415828.57,283651872.86,0.0
2,营业收入,223374757.15,1168217076.64,835522783.86,540654549.91,242182426.08,1054038647.69,806062401.41,539195003.17,237584139.14,592010244.24,380523856.05,250623525.10,121390652.09,429968076.77,332922159.93,228876644.90,116318259.30,434384399.94,361015784.72,244396372.33,101912336.20,548458142.85,437921201.52,277568063.93,136623054.19,566047540.35,426965481.31,269966397.29,120126482.25,541229946.14,424169843.06,285657142.49,124933864.80,560991753.02,413014556.09,257374352.48,110757103.91,410040518.15,319917049.08,205149692.36,87145329.52,350498825.32,265222291.23,164339330.29,69249003.37,389036950.93,301632340.61,371415828.57,283651872.86,0.0
3,二、营业总成本,196026560.46,1062965939.81,755612205.92,488973220.36,229759610.71,964902682.39,724255798.78,484118133.18,222970506.88,576215340.58,360522280.83,237048339.17,115507728.34,421036932.28,310204876.13,214195936.58,112463790.67,429381043.38,338778977.39,230312909.73,99897741.00,517958568.61,405246443.50,255396155.51,129862652.57,579449424.16,416989906.80,264295589.31,117141654.19,535734432.18,390762076.36,256927545.21,116475081.60,485065377.43,354467793.72,217589690.54,96452606.82,329893878.16,259735936.92,168043771.16,75459423.75,287167108.79,218683133.39,137839024.75,61518149.02,327445225.74,255400288.12,307419567.24,238309365.90,0.0
4,营业成本,157334576.56,837511381.49,601139732.03,384192859.29,174818469.41,741463462.60,571811424.99,381967626.34,165785026.92,398199836.95,246214798.78,161296327.73,81964119.32,271879526.05,212202852.51,153591857.14,82797380.29,283051280.03,241917101.85,166841666.20,68175416.29,383229619.26,307822210.78,191964730.80,99528154.50,416890679.28,311675375.48,195186998.80,83920956.52,386545604.99,294949933.11,195088732.25,86388955.72,360886836.47,262651420.96,167046172.52,75668046.68,253500264.53,205704446.03,131518167.79,57618891.81,221878187.30,171172500.42,107206464.76,45634853.73,263239077.11,202305927.78,246463061.72,196038509.47,0.0
5,营业税金及附加,2679886.93,12715469.91,9067271.52,5818535.03,3024575.92,12858853.94,9345542.62,6703003.73,4202391.86,9763259.43,6916495.68,4551050.67,2896276.90,5957500.74,1739189.06,1086655.63,879455.19,3239705.76,2499656.47,1865454.95,997046.85,4325856.85,2475199.57,1847902.31,1157738.63,3654746.02,2424437.03,1881878.93,902222.70,5498501.40,4083028.42,3108138.53,1176205.66,3840234.27,2859842.87,1533159.55,1003604.50,2812402.45,2035659.09,1466444.83,667740.14,2717232.95,2345632.12,1415113.19,538305.62,3168553.38,2370298.87,3335485.42,2485784.62,0.0
6,销售费用,16573388.49,82125755.77,58424866.74,37379115.19,18783679.01,87779631.20,60815960.20,41766950.50,19728793.68,67430451.27,49724341.71,33620842.11,13649482.74,54166833.31,38465775.91,25433398.20,12342967.52,58439364.58,40199338.62,27536789.59,14528472.38,56763895.10,41085416.21,27261466.73,12655672.13,57046504.43,38477236.68,25323690.50,12358421.45,69369464.93,48951127.78,30403030.75,12875333.29,65496205.80,47283734.35,24912157.78,9957331.97,36919612.25,25131534.58,15499368.15,7133681.20,27853899.01,19164514.93,12689988.95,6300519.84,27490393.18,20765027.30,23447525.32,14478280.92,0.0
7,管理费用,16311769.23,75407379.42,51031866.88,34913334.91,17281165.99,62735418.47,52584785.65,48546950.66,24531926.64,74557419.02,44426184.23,28467998.72,13425340.69,61299365.55,48046654.88,27993114.25,15279070.49,61092051.58,41787361.62,26799333.35,14012350.65,61462675.28,46768583.37,30677221.55,14882709.01,64557586.20,46343983.58,29745817.34,14813205.56,58905174.20,38912105.56,27602691.50,13557234.77,57931783.67,39236350.13,25150475.43,11248598.29,39869870.02,28490698.42,18608610.26,8743133.16,29322299.24,22167720.80,13342190.67,7279442.98,24425203.60,20690951.85,24779414.42,22083582.66,0.0
8,财务费用,-6190239.79,16391914.64,9868999.26,9104161.84,7261831.47,1849165.51,1957865.06,1995247.83,8722367.78,15195088.71,9619748.01,5487527.36,3572508.69,4249423.20,4057566.54,2140371.68,1164917.18,7554507.17,7063632.66,4980255.64,2184454.83,9278391.45,6393021.24,3537492.34,1638378.30,22517326.69,16274898.55,10358228.26,5146847.96,7310099.42,2334524.32,-572736.62,2147985.63,-4197510.83,1621510.87,-1284994.12,-1424974.62,-4712459.53,-4136093.56,-1289598.60,1295977.44,3989294.21,3203142.81,2555644.87,1765026.85,10398587.17,8713247.16,7632500.39,3319118.23,0.0
