,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,863295155.84,3900341151.51,2865997898.61,2024730043.32,1143436670.19,3786416600.98,2827559055.54,1858026691.31,921952594.50,2176605410.02,1457026194.87,926680501.36,440072283.90,1755377466.75,1306416497.51,895511077.19,438305614.80,1845466915.08,1414557018.75,992216531.43,481484200.45,2089511118.21,1565295617.76,1014649056.82,493985238.04,1864395793.17,1351515720.38,885933647.31,433749951.80,1486249073.90,1076476659.50,689984625.93,337094161.06,1396710855.67,1041183277.34,640643896.65,318767357.13,844856512.90,578137749.56,354485553.30,150245750.97,493014453.54,362181862.75,221489802.32,107450196.70,421699745.86,338166150.98,207147075.65,79140190.62,302344513.18,213737862.20,119280263.03,37710611.62,180575561.31,126785506.19,80553705.11,29526112.00,155946359.30,113980844.12,73616346.67,120526444.31,84297699.29,0.0
2,营业收入,863295155.84,3900341151.51,2865997898.61,2024730043.32,1143436670.19,3786416600.98,2827559055.54,1858026691.31,921952594.50,2176605410.02,1457026194.87,926680501.36,440072283.90,1755377466.75,1306416497.51,895511077.19,438305614.80,1845466915.08,1414557018.75,992216531.43,481484200.45,2089511118.21,1544318289.36,1014649056.82,493985238.04,1864395793.17,1351515720.38,885933647.31,433749951.80,1486249073.90,1076476659.50,689984625.93,337094161.06,1396710855.67,1041183277.34,640643896.65,318767357.13,844856512.90,578137749.56,354485553.30,150245750.97,493014453.54,362181862.75,221489802.32,107450196.70,421699745.86,338166150.98,207147075.65,79140190.62,302344513.18,213737862.20,119280263.03,37710611.62,180246858.41,126448495.60,80336799.61,29526112.00,154862733.39,113225234.29,73329874.63,120063230.25,84470142.13,0.0
3,二、营业总成本,859429812.51,3813571049.45,2801462756.26,1974903926.10,1121460879.33,3728139495.42,2781403743.50,1827442986.75,901810247.18,2174561720.96,1424107591.70,906565817.31,426536923.25,1795525370.81,1319157036.78,893179636.10,431802653.35,1916173363.40,1408374483.42,973348538.49,466714142.52,2050312106.33,1535780180.30,990700715.70,479145130.10,1965766247.65,1379308517.40,891341802.43,422663327.19,1481127300.27,1067153840.66,677860907.07,326282070.06,1310009486.70,966072021.56,594884413.20,301121514.99,776705896.68,532364227.58,324426586.54,137635229.84,459256668.96,321475091.40,202545114.09,98302516.23,376862597.76,296402752.71,185747388.22,73459241.81,275907828.14,194752471.59,109081610.98,35603242.83,164477163.48,114472568.00,73002070.74,28058620.43,140852120.09,102602113.66,66889144.41,105086156.80,73105495.50,0.0
4,营业成本,708662600.41,3165496042.75,2349157596.13,1664315830.31,952185630.34,3098608757.52,2308238718.90,1515158544.78,764312762.88,1679728522.76,1087818095.07,684180130.29,320222894.75,1333407969.67,995629921.62,682032414.09,330772905.29,1408924958.03,1078691357.58,753417134.63,357350395.96,1585516138.54,1204912614.82,772355525.25,370397117.96,1481091467.02,1076351998.80,696324682.26,333361054.51,1136828727.44,834199589.25,532664957.05,255118351.31,1029386155.23,768247872.53,463271877.46,243729614.47,615712353.60,425306404.18,255495446.52,107988760.30,350055472.03,256163176.83,158278536.74,78236155.55,295723573.93,239271930.07,151116210.47,60407590.14,224567323.19,163876000.52,93523440.83,30271324.95,137342510.76,97383704.93,61292984.28,23188329.63,118062941.73,86178701.84,55226552.45,82050731.06,55994233.62,0.0
5,营业税金及附加,5751842.31,26737772.10,17598253.28,11354370.80,6017054.94,26616850.49,19069111.64,12720522.28,6130697.64,25738848.96,16632516.06,10462877.55,4116931.69,19139845.87,9604868.26,7282112.55,3729504.82,13986801.79,10925669.02,7731038.90,3755597.56,14231976.62,9807301.59,5570194.82,2197044.52,10266932.48,6855093.12,4895376.74,2162196.82,8589008.30,5336739.14,2634795.63,1166767.12,6032824.66,4124165.91,2544676.03,1460863.38,3601505.28,2324243.87,1419122.23,580686.88,3341372.43,2552137.36,1799539.34,666842.05,2173651.72,1882382.51,1059256.70,280704.21,1670697.83,1055492.18,105531.53,74596.00,800965.43,607672.80,358493.52,58067.41,898432.49,556810.20,366698.33,285184.80,590286.82,0.0
6,销售费用,53066240.84,196041133.67,134564663.03,94734630.97,61122238.90,191702631.78,139504238.50,89580864.21,40515638.25,138202073.90,95384004.37,62725894.99,30328318.04,114008575.13,79073367.72,52232695.41,31580310.34,138683047.19,91308479.89,63735502.62,36550641.83,138157557.96,100679148.78,67080811.62,34306738.33,143042732.06,94774344.69,57978367.31,29069177.46,93613744.55,72780330.37,46184346.53,24054770.72,86511444.18,61938481.35,42206209.75,19293634.57,45368454.31,30155344.42,19701002.77,7718903.01,30093982.11,18444858.78,12054109.79,6604312.15,20544261.89,12846594.81,7112543.36,3920289.94,13801389.68,9974548.58,5084568.48,2445133.22,8081289.63,4820320.25,3303388.47,1766631.77,6351109.20,5032425.98,3202823.68,8470132.95,6256347.04,0.0
7,管理费用,47833700.34,191677647.91,138087684.36,95697472.34,46041733.10,187385428.73,135228584.15,142954307.75,68404565.77,217355327.55,138385579.73,91602492.46,47179934.85,193596054.51,150492687.91,92380579.88,42301337.58,210114792.80,138864676.33,86340413.59,43790584.29,190365685.78,134371694.18,88759308.69,46700489.04,182651780.35,121814916.63,77542572.73,40157467.61,151127541.40,95204542.95,56720854.85,29399772.91,128365809.32,91678842.69,62646888.00,29924748.64,81237251.33,54825942.29,33986103.51,17987316.15,55027904.52,31349353.00,19513791.91,9095705.26,43182055.32,31394140.00,19454932.25,7369783.44,25417615.16,16466677.74,8499591.82,2059920.14,14910386.98,9572721.38,6606572.14,2377901.09,12979467.04,8849339.16,6889582.87,13061229.32,9559621.83,0.0
8,财务费用,20726683.36,96480052.04,73238265.87,50653271.32,25318915.95,95307545.03,78902230.16,50089226.85,23566582.64,101854582.54,71182236.30,42822611.18,23468073.42,90339926.03,68919015.60,44194549.06,23418595.32,102751858.44,72638175.83,46178323.98,25266922.88,103868428.85,76762628.53,47688082.91,25543740.26,87035709.17,64945552.63,40034191.86,17913430.79,79133226.92,50244885.55,30268199.61,16615204.25,46482128.52,33157219.02,17919847.57,7621167.30,22658168.38,14304568.06,8423186.75,3359563.50,13519653.33,9124976.48,7058547.36,3699501.22,13315220.08,9929926.43,5926666.55,1480874.08,5647379.68,3379752.57,1868478.32,752268.52,3342010.68,2088148.64,1440632.33,667690.53,2560169.63,1984836.48,1203487.08,1218878.67,705006.19,0.0
