,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,12397507679.81,9373802360.71,6327929674.47,2984470102.53,11974216937.83,8811318604.45,5851769782.54,3103511188.39,11810972034.87,8282304395.68,5308531841.29,2162164050.05,9849073706.86,6654948570.81,4454021386.29,1712605527.23,7570424103.48,4967255884.18,3086350350.79,1217073811.52,5408826244.29,3686308152.98,2129991563.46,1013681130.91,4086999427.28,2546712237.14,1760296506.08,872929812.87,3222501552.35,2364406333.72,1493546961.63,722519031.33,2045855478.42,1476696746.32,954230628.97,404511687.32,1288439999.42,828462394.60,490241017.35,203804790.62,967462908.30,695583248.13,413411195.51,201364659.91,1027985827.86,784708771.83,478274283.09,232053585.58,919951032.76,630874499.63,418113184.58,187958687.56,837797812.19,612482941.32,417817178.01,187813633.22,821756008.18,596797455.49,390999029.00,179735517.56,738039552.73,574055452.31,380694017.38,200855445.53,635433463.18,472769040.53,283905987.22,124420138.93,597866324.44,440388624.78,302069742.04,160000469.82,584586598.27,272573241.03,128797281.59,451020665.14,188062229.11,386813273.89,159108138.57,340032802.54,130762702.77,508734645.15,258109412.76,492031604.90,267167545.05,655690985.62,345505606.90,697655708.49,180944512.92,538434117.82,268423285.90,397439000.00,342655000.00,288664000.00,0.0
2,营业收入,12397507679.81,9373802360.71,6327929674.47,2984470102.53,11974216937.83,8811318604.45,5851769782.54,3103511188.39,11810972034.87,8282304395.68,5308531841.29,2162164050.05,9849073706.86,6654948570.81,4454021386.29,1712605527.23,7570424103.48,4967255884.18,3086350350.79,1217073811.52,5408826244.29,3686308152.98,2129991563.46,1013681130.91,4086999427.28,2546712237.14,1760296506.08,872929812.87,3222501552.35,2364406333.72,1493546961.63,722519031.33,2045855478.42,1476696746.32,954230628.97,404511687.32,1288439999.42,828462394.60,490241017.35,203804790.62,967462908.30,695583248.13,413411195.51,201364659.91,1027985827.86,784708771.83,478274283.09,232053585.58,919951032.76,630874499.63,418113184.58,187958687.56,836874486.05,611622354.60,417126725.14,187643608.26,821448199.88,595192383.67,390368016.82,179410124.16,736874037.13,573207190.83,380163454.57,200604509.85,634682311.19,472173998.57,283530948.84,124216562.18,597439878.67,440337399.34,302020219.42,159997480.75,584419379.65,272547446.02,128774619.74,448986320.35,187974959.01,384792392.40,158270639.99,328787240.65,125295679.42,498038541.15,253411108.42,477095785.06,259411860.75,630720257.35,345095879.66,646190235.68,179412849.94,538431280.73,268423285.90,397439000.00,342655000.00,288664000.00,0.0
3,二、营业总成本,12354268302.87,9357627384.51,6315581484.64,2975471467.65,11954634937.78,8800621625.32,5835239363.43,3096444103.82,11791897417.21,8266927102.42,5298066220.08,2155838144.43,9805238454.23,6637615479.43,4442235998.01,1708102236.78,7538175415.71,4936583854.33,3068116181.64,1212751967.62,5362629639.35,3655367044.70,2112004292.00,1010639424.28,4063920231.65,2521692267.44,1743616444.20,868575845.95,3194758367.70,2337678468.84,1479821884.14,717853667.47,2023932927.11,1457801895.31,946431189.50,401050883.79,1277568072.68,818571024.02,484408029.08,201215244.29,954621156.86,684678946.47,406467754.12,198409438.65,1026151518.21,776713934.28,472820065.77,227351082.36,902676177.96,618512653.73,410611793.03,184221537.04,824507259.05,604964111.33,413535811.79,185662942.53,813316453.74,592489227.58,387940556.29,178584601.23,738000572.86,572242838.24,378159411.53,200395341.83,636021375.77,470056743.89,282416017.56,123497930.86,640530965.16,451642561.89,311881819.10,167006946.97,574752021.42,265956232.20,126492179.27,437701317.86,182552863.32,370730492.02,157707064.55,324882672.09,122695491.06,486947108.14,0,465718751.39,0,617178415.50,0,632114849.66,0,494831432.01,204622057.94,324733000.00,282006000.00,243228000.00,0.0
4,营业成本,11796242115.19,9043418156.88,6120567722.73,2886703050.37,11571192739.16,8353257079.16,5674656208.23,3020884569.72,11477484875.13,8047929429.96,5163699301.46,2105868251.40,9546234532.61,6477361043.68,4341689482.97,1659097193.49,7288470303.15,4765562430.79,2962716490.12,1163192780.23,5122477618.33,3503992823.22,2014746733.16,966033455.38,3829758893.17,2384108465.51,1655912411.29,830054382.97,3029817702.43,2234815189.90,1420321416.67,689351789.48,1846721437.13,1332440843.53,859859111.42,363656537.17,1108813219.65,706368267.23,416864941.95,164703432.80,811509340.87,585049162.49,342233213.67,167115648.46,898842629.11,691177418.74,418256363.94,202234358.27,791589212.89,537017763.90,357038532.74,159098706.67,714468696.63,521700001.52,357466249.53,156858967.05,698678013.43,512896499.74,334514682.80,145301438.59,620509717.69,494027231.53,327448631.23,170592050.89,509532481.39,376261885.28,215315041.67,93155566.16,497808812.65,355554268.69,238882843.05,127259284.76,499246234.43,210713837.48,100223365.21,330747039.87,140851545.15,280773102.09,118610291.09,244997729.90,94892933.13,426719233.44,0,413103109.47,0,559190670.37,0,567691575.72,0,421960931.10,204622057.94,304955000.00,264739000.00,229912000.00,0.0
5,营业税金及附加,21428899.67,9921189.17,6773648.72,3088283.20,19346884.88,11662956.01,8146734.41,4550868.34,14290671.11,11565843.93,6924527.95,2960429.21,15778309.93,1866273.02,958085.26,362004.94,3052337.55,1784609.85,1280381.50,416316.66,1996543.65,820723.22,595015.24,336758.80,4540943.66,3780776.07,3378109.98,2403499.44,2101797.29,1391093.39,1137741.94,246796.47,3162640.23,2434333.02,2253047.84,846566.91,2613656.83,1928004.82,704430.36,396403.94,4582889.61,3176242.28,1809725.20,973769.47,2241107.99,1436149.57,611746.10,413755.15,2404958.19,1386855.38,724143.61,25544.97,2560083.35,1380626.05,866332.33,56690.78,3471418.47,2225578.84,1199395.21,1036980.81,2774900.62,1913628.11,1208323.10,919144.55,3228176.52,2582640.56,1516184.65,397056.87,2913788.00,1730591.81,1392244.28,963768.34,2985102.08,2026692.59,945976.68,5458504.11,2036606.25,4423237.64,1885485.35,3364062.22,1314257.69,3427586.37,0,3994377.12,0,5286005.42,0,8308701.97,0,15546922.01,0,19778000.00,17267000.00,13316000.00,0.0
6,销售费用,226379161.41,111359876.98,70275023.79,30157325.57,146944156.58,94132982.29,59930721.83,26283408.84,130054332.39,100997626.91,58725798.83,20266055.88,119573793.27,79725961.79,49036503.07,20239590.70,108618587.56,80384047.73,48503842.93,20297706.17,101209973.00,72766010.41,47827462.26,16685462.75,98490335.19,64600651.68,42128900.44,16870237.29,85607710.60,56752668.37,30232291.28,13763172.26,94499510.26,72630456.72,50157578.84,20902562.85,98904548.31,66352699.92,39750640.38,22171658.88,77006632.54,50738054.76,32705038.26,15350580.80,55916406.68,34865368.89,22332629.56,9563535.20,42251194.95,32642475.91,21314518.28,10560941.66,47797646.52,39897048.13,29288995.31,16085174.40,52406770.77,41445615.29,28205978.99,21186920.25,72712392.83,45258913.16,29576388.96,18028627.82,75895661.90,57579024.10,43609456.99,19072076.45,73524568.68,49254532.29,39116974.18,18467207.63,38266106.12,37839185.60,16417409.72,67583231.04,27623440.90,55373191.29,24819378.45,44924948.67,14188375.10,35944909.61,0,17583894.36,0,29069124.27,0,14804059.40,0,23227156.62,0,0,0,0,0.0
7,管理费用,133837291.05,81250298.50,47786610.86,20219855.03,93959099.78,71604347.60,48828775.47,23711206.20,100799712.73,68877534.49,45828886.22,21412710.87,81833270.60,59296416.12,38867673.31,20866966.99,88107938.51,63751200.96,38942743.25,20169531.21,94081940.98,55252371.12,33767852.28,20922593.60,94394501.09,57377965.98,34980143.03,16783603.30,72350786.18,50339531.47,29377380.62,14882906.30,74458991.41,45618251.63,30698036.96,14806513.22,61866622.61,39282751.17,24784228.36,13052598.68,56941265.52,40161836.54,27119323.81,13013732.02,56726442.47,42322205.44,26668025.02,13627606.76,60353058.41,44489853.51,30234239.72,14044047.92,58460168.33,41044414.87,25547973.79,12561811.03,58328188.25,35640315.62,23838468.96,10986638.81,42428210.91,31730877.24,20595546.71,11248724.09,48722186.30,34360753.75,22554089.05,11274805.61,66911795.47,45402832.43,32720224.97,20468580.87,34021656.65,14681225.70,8583580.42,32808953.12,11856589.36,31801683.08,12020610.83,26263327.93,11224705.73,13440906.78,0,19372467.97,0,24057247.99,0,35516103.02,0,27087417.32,0,0,0,0,0.0
8,财务费用,136434078.53,104065630.08,63675872.89,29653612.09,85551994.08,57412959.48,39706021.19,20521656.89,59295801.54,39520402.74,22409046.14,7329873.13,23937585.96,19480822.78,14564274.25,7469058.69,35634878.55,26393829.80,18349869.91,8722915.82,31108049.71,21444512.71,14606888.69,7227861.80,24374252.18,12128604.31,7091715.79,3080583.10,4510498.89,190122.44,276704.99,-418196.25,2436346.70,3268085.24,1735058.12,829086.34,4108249.33,3271602.70,1796184.56,838443.10,4291341.59,3283793.83,2607952.54,1900203.35,7130812.03,5724173.65,3912059.62,1383683.87,3894115.48,2689294.61,1122205.53,492295.82,1220664.22,942020.76,366260.83,100299.27,432062.82,281218.09,182030.33,72622.77,-424649.19,-687811.80,-669478.47,-393205.52,-1357130.34,-727559.80,-578754.80,-401574.23,-627999.64,-299663.33,-230467.38,-151894.63,232922.14,695290.83,321847.24,1189157.85,184681.66,-472895.92,371298.83,2832603.37,1075219.41,7414471.94,0,11664902.47,0,-424632.55,0,5794409.55,0,7009004.96,0,0,0,0,0.0
