,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,11135489839.00,8312640283.00,5357393662.00,2732969498.00,11417981750.00,8525305727.00,5749988088.00,3013914234.00,10397823108.00,7617619505.00,4932120233.00,2469115491.00,10688263140.00,8090288313.00,5434956134.00,2747694741.00,15173331658.00,12227266251.00,2970758775.58,1453114754.11,9544437406.39,7605758506.88,4971121870.13,2259199371.91,8262539718.23,6001553206.18,4181832627.81,1980242578.57,9084163843.14,6985357733.32,4804351364.94,2378317601.08,11394916418.38,8774581151.46,5890399909.20,3052200921.11,9676485635.08,7207663823.51,4594732217.05,2237890448.03,7773067208.15,5321686015.41,3292265670.35,1613204552.22,8017377386.16,6413544752.13,4505711316.81,2182972376.96,7900473044.48,5756507955.62,2508627501.28,1141552855.51,3743113671.54,2476881899.28,1663435567.07,724665610.29,2492489313.37,1875922440.22,1272275057.09,651547936.60,1886164525.40,1260932883.52,755219621.15,317084344.52,1181455433.20,806919551.77,521443114.83,260617761.83,763897012.05,574047709.70,361338938.97,156899270.45,565296821.11,268936805.69,430362098.31,202086962.02,421109156.71,295368277.42,239743246.45,0.0
2,营业收入,11135489839.00,8312640283.00,5357393662.00,2732969498.00,11417981750.00,8525305727.00,5749988088.00,3013914234.00,10397823108.00,7617619505.00,4932120233.00,2469115491.00,10688263140.00,8090288313.00,5434956134.00,2747694741.00,15173331658.00,12227266251.00,2970758775.58,1453114754.11,9544437406.39,7605758506.88,4971121870.13,2259199371.91,8262539718.23,6001553206.18,4181832627.81,1980242578.57,9084163843.14,6985357733.32,4804351364.94,2378317601.08,11394916418.38,8774581151.46,5890399909.20,3052200921.11,9676485635.08,7207663823.51,4594732217.05,2237890448.03,7773067208.15,5321686015.41,3292265670.35,1613204552.22,8017377386.16,6413544752.13,4505711316.81,2182972376.96,7900473044.48,5756507955.62,2508627501.28,1141552855.51,3735169878.92,2470275831.84,1658365630.03,724135555.46,2489788843.77,1875648784.51,1270579513.90,651047477.29,1880238259.25,1256431957.85,751509299.38,313843393.26,1174620628.72,791672215.89,510716094.78,255499054.75,750640408.45,566779510.30,358363479.50,154984007.67,556026996.75,264528961.37,427947352.48,198656464.97,421107184.84,295166325.12,239743246.45,0.0
3,二、营业总成本,9576242500.00,7073282331.00,4529018141.00,2263262920.00,9671395520.00,7239130166.00,4838491026.00,2384608264.00,8108044950.00,6081672163.00,3967134155.00,1952877097.00,7464726561.00,5304699116.00,3441074792.00,1759297106.00,11633702655.00,9541863309.00,3762857193.37,1683506679.75,10668988256.02,8481404289.04,5614192706.52,2558599960.68,9570428708.89,6790295838.44,4717699841.94,2219744584.55,10197144389.34,7806203694.26,5292153198.85,2576061966.36,11615599302.64,8670132444.30,5718567264.31,2992128602.12,9616123485.83,7121493260.84,4561170016.96,2234553136.33,8066373293.10,5513847158.94,3496940001.25,1748438912.43,8255650627.82,6299696626.34,4380213546.56,2113462439.07,7404572481.12,5409583239.69,2339083507.35,1091728797.78,3523260006.00,2302569036.88,1539051807.08,676921419.22,2251353424.85,1708626046.39,1168039636.76,609670832.27,1777298703.84,1180918687.69,710475577.13,304078393.64,1112155670.03,764655764.18,496951060.51,247968091.29,702655236.55,538308028.87,342257881.51,153956861.04,505080404.83,238453604.25,366280105.55,175737007.94,356478759.36,253899216.86,208634586.72,0.0
4,营业成本,7357134517.00,5456634644.00,3465300068.00,1733514645.00,7433746398.00,5568355058.00,3744717664.00,1793208808.00,6350759160.00,4801873322.00,3086426606.00,1501233918.00,5618473986.00,4060835069.00,2641998871.00,1295292748.00,8906372900.00,7394371277.00,2964736620.68,1362112738.58,8990203570.81,7251954439.51,4771945915.40,2187330486.45,8035826269.07,5838697489.76,4062156243.41,1934320498.04,8840163798.61,6823429328.67,4628963692.79,2279365781.42,10447582199.37,7906647763.02,5214271924.22,2743680898.92,8643346428.62,6449350007.74,4133894363.49,2008172684.86,7191370080.11,4889549153.16,3082076625.04,1554398550.76,7334289628.52,5724125238.50,4020423345.78,1933617453.21,6757325707.85,4932116753.59,2137096236.45,992705069.23,3199698875.04,2105087900.41,1408370748.29,612788484.47,1951876109.13,1521426021.75,1041008509.88,528521841.30,1589050359.13,1066538649.83,643454144.79,272579331.15,998808439.13,689047515.07,450416322.72,225604287.90,636233394.89,490533786.47,306374183.46,140365723.82,463021872.03,220897200.98,343126977.13,162204070.85,339330912.91,235683731.20,190829640.25,0.0
5,营业税金及附加,86802248.00,66890471.00,44189517.00,21793236.00,87172944.00,72698306.00,48465537.00,25513833.00,102055333.00,71045412.00,47363608.00,28536585.00,114146341.00,86839745.00,57893163.00,29823660.00,121805929.00,101907441.00,7145512.51,3869630.67,19524487.10,12500227.71,7581537.55,4235151.87,25265974.65,20509820.83,14785289.26,7462483.99,41758844.22,31646752.70,20456645.06,10259884.51,46605690.74,38179192.84,25070367.28,11763240.96,37397960.70,23899927.42,14901897.10,6857854.98,32725670.12,22210627.96,12965804.61,6745133.80,28836471.05,27938460.89,19373667.85,10626214.56,36464372.04,25279184.30,8388162.57,3858688.76,7759235.60,6634370.83,4809032.86,2531955.74,7317285.94,7939307.60,4514696.60,2361298.20,5586960.59,4437578.09,2061639.40,811667.10,3127883.48,2473661.33,1609145.08,556176.06,2159285.77,1631844.08,1260372.16,626142.90,1759774.80,1047485.38,536637.03,298560.23,625309.62,801142.69,535587.35,0.0
6,销售费用,1282742038.00,925283468.00,590008059.00,296007837.00,1214491598.00,816724977.00,525516980.00,267847270.00,1005421123.00,730907281.00,471895384.00,227649128.00,900475273.00,633917121.00,411228931.00,198059753.00,952871565.00,554902806.00,118571133.93,58559332.90,252209161.61,168075903.48,104265815.68,48429009.19,220396196.21,156439549.21,100152317.43,45479864.76,211434916.88,147603269.73,94187028.21,48825280.02,193679021.38,133377963.47,85660089.85,41815529.75,164364712.40,109913802.11,69769586.46,34190964.55,134769495.95,93183005.91,57304362.27,25042808.49,136597896.40,103499366.03,67620120.11,32377128.66,106373499.64,69872618.15,22515125.03,11376825.76,40512994.56,26688003.09,17848716.96,9404414.75,38799113.58,28514501.58,20011451.45,14203687.75,35405954.83,22741920.15,13628351.30,6598238.41,20421082.25,13215815.80,8364029.74,4209522.45,13675585.85,9545410.99,5849213.85,3167456.66,12672047.95,6432119.15,6452942.07,1714361.57,2588090.20,3431465.60,3740448.96,0.0
7,管理费用,618844949.00,474495841.00,327866051.00,160745599.00,662060522.00,538745530.00,491758277.00,296984275.00,721033442.00,541401053.00,363539550.00,181716509.00,849592390.00,539520575.00,362264270.00,177183694.00,980573478.00,853143826.00,263067667.15,123139194.39,726362956.57,530974905.05,343989964.72,162832612.74,632230284.21,435275967.66,268315371.13,138456459.27,596053780.46,430342552.77,282544042.81,140147195.40,497042030.10,377994220.31,257070149.22,129362274.58,483356409.33,346252600.86,217378359.94,117741046.74,431490892.01,338896795.83,229673086.23,105271112.45,440403523.64,283448725.98,179895554.81,95409959.39,290799778.85,240868236.04,94470781.86,49447674.59,137540648.88,65929122.77,43332820.05,18510505.45,136701503.92,66644956.91,49815521.39,38704179.95,56504601.20,29716076.65,17437979.94,8523579.66,33928841.83,19755501.63,11650115.54,6560181.63,22375542.85,16965795.18,14643279.33,5715465.55,16322004.24,6662891.42,13118672.28,7337229.90,10949458.05,10450984.62,10095271.57,0.0
8,财务费用,-63535915.00,-67933766.00,-23365189.00,-13894502.00,-44370696.00,47119600.00,20848316.00,-1069536.00,-57062707.00,-45471183.00,9246326.00,11238848.00,-32392590.00,9687371.00,-4332746.00,35979768.00,502569156.00,502266130.00,288132822.81,135825783.21,616657042.32,473516694.84,315545190.74,155772700.43,453191187.81,297445802.48,213818380.99,94025278.49,443667838.17,324894467.96,206758735.39,97409984.06,324518072.13,218971356.64,134073175.13,65506657.91,256755696.15,192076922.71,125225809.97,67590585.20,212322515.09,170007576.08,114920123.10,56981306.93,230070376.58,167007038.32,97275975.15,41431683.25,190450645.22,141446447.61,76613201.44,34340539.44,137748251.92,98229639.78,64690488.92,33686058.81,116659412.28,84101258.55,52689457.44,25879825.07,90750828.09,57484462.97,33893461.70,15565577.32,55869423.34,40163270.35,24911447.43,11037923.25,28211427.19,19631192.15,14130832.71,4082072.11,11304705.81,3413907.32,3044877.04,4182785.39,2984988.58,3531892.75,3433638.59,0.0
