,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,68470359.77,24590032.35,47169.81,30860896.02,71993005.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,36027424.80,1562462.20,1562462.20,0,158152336.61,149426956.09,149426956.09,0,141343408.12,155663878.41,141936510.79,124847125.14,165097185.91,4372518.37,4372518.37,0,245384192.75,2734566.16,2734566.16,0,38406632.24,2706039.14,2706039.14,0,18694359.67,1965038.85,1965038.85,0,52218090.38,3759495.18,3759495.18,0,-3068155.79,1691395.88,1691395.88,0,1330001.89,5405939.90,5405939.90,-221083765.83,306426629.25,9540005.93,9540005.93,0,-934099.50,13196581.21,13196581.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,420750.00,-31900.00,0,0,0,-8100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7668013.72,7668013.72,7668013.72,2069931.77,2737269.95,-11483426.74,-11522683.06,0,108688071.79,73595179.61,72351946.74,0,-122557982.11,-15540649.30,-9226804.84,-3794495.70,244278.13,-468786.62,-468786.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,19053.82,19053.82,19503.27,-484908.62,-1130697.98,-1324.37,-1058.75,-184440.71,-455534.83,72258.55,0,1115182.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2940924.84,-6161273.36,-7623709.24,0,72238.23,0,0,0,1091222.00,8386532.63,2994727.76,-912064.65,7393246.23,5712692.12,5712692.12,643575.81,3866211.23,2829528.95,2342680.33,253620.15,-154092.92,-178243.22,-178243.22,0,-1516008.93,-1231824.40,-1231824.40,0,-17429.56,2419160.31,2419160.31,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,259281344.81,130299226.58,-188935081.06,847940663.69,695444859.81,215067574.37,143742460.96,1104144213.79,766600288.98,299788410.21,270998621.37,-315986323.64,-577688514.76,-318929817.83,-448092827.30,-2509069038.32,-1772675965.39,-853776856.20,-421439940.05,-2097902754.53,-1273179264.37,-751171799.16,-185857327.13,82641727.74,159897078.43,90596144.88,83516400.14,138612229.89,43534910.13,185205004.70,20979440.60,515544273.21,650877227.45,464558508.33,198743509.28,619590328.80,548295161.05,395341227.93,198806318.43,82303368.52,19570440.18,-117554630.41,-67288199.33,65978735.65,587375134.04,480986819.00,138791360.55,438208023.75,308288810.93,165823765.59,55129296.67,175607021.96,133252171.08,66125636.93,-46050818.95,287178220.66,321052726.93,263733680.37,119873190.06,539121320.48,432155670.99,302447427.07,169729262.96,422059659.84,262149823.72,151849287.27,30368746.44,186753660.57,165004229.24,80942306.53,246859241.79,193787050.57,180761794.15,17482045.96,9031376.00,0.0
16,加:营业外收入,3433964.18,2941747.97,632719.35,1858258.55,1256141.55,649994.06,570292.58,3169635.00,2968234.94,2593258.85,1747835.37,361559993.22,28385224.66,7080627.56,1063150.33,54503961.72,44085595.29,43198136.94,881341.44,28084708.10,682693.28,533645.59,259005.66,10645752.78,6641008.68,6025528.03,184607.28,67537013.14,48438031.16,48570918.66,1235354.09,21736005.27,26843446.48,5062801.22,167655.90,3635124.71,2175617.49,1392292.49,1281191.80,502919.38,354218.03,34001.03,7635.03,755048.05,290782.04,281782.04,261742.13,2390971.88,880079.81,680810.81,300280.00,1537512.70,52779.10,47007.60,44210.60,72403.80,28814.96,10729.96,10729.96,302851.44,301709.15,15000.00,0,68121.26,18021.26,5978.42,15589.67,20873.80,29727.54,19400.09,125248.94,0,5600.75,0,0,0.0
17,减：营业外支出,1151607.82,964839.00,437379.00,6590425.75,181822.09,123792.00,119792.00,20611068.82,4504645.73,1127845.73,53412.00,8469240.41,2535781.04,1949803.74,379399.25,708669.35,547739.35,523988.21,319326.00,951617.77,180577.61,1207.70,400.00,10321800.65,2286437.34,254035.23,120651.83,14278848.55,491330.97,291347.00,290874.70,28462478.13,52120725.07,16089105.79,1650.00,17992925.80,1160064.44,756663.58,432000.00,4463640.46,4229423.83,611345.69,49.39,10894030.86,10893974.46,129479.85,23064.19,25854170.10,10089962.46,9663838.88,8998494.40,4753036.47,3441272.94,699277.77,167367.55,13815982.54,729629.39,617212.23,114425.08,4048732.96,3562039.97,492747.01,133572.50,35603360.22,10637003.02,10462891.84,481488.86,886242.98,308664.33,475893.24,7517345.75,134468.15,186029.45,337864.00,226565.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,16104923.09,0,0,0,0,0,0,0,0,0,0,0,37279.39,26996.38,807.70,0,9944683.25,2073589.94,84603.83,84603.83,10298102.98,490528.42,291237.00,290764.70,12450732.12,36109071.07,223931.38,0,16926206.10,172488.39,172128.39,0,3630084.92,3630084.92,0,0,10855024.00,0,0,0,25066803.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
