,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,117811673.85,71148171.01,45143567.06,2134063.03,99576992.01,62401943.50,40959743.87,4239551.48,81027760.07,51844129.42,32565148.59,-681674.96,73587595.23,41219302.93,27722410.09,196143.93,65625113.03,37357394.50,24790579.11,2667577.81,52867265.10,29219061.13,20295094.93,-1500821.50,47755235.64,44377070.55,38483555.41,0.0
20,减：所得税费用,15410448.76,11851998.07,7743183.26,647942.68,13623519.09,10684266.95,7229554.74,1612430.70,11496796.60,9414182.00,5858906.19,439370.70,12755096.06,7139834.21,5019965.35,53082.81,12240755.82,9056262.61,6035059.79,762288.34,11029570.53,6724639.05,4762711.82,214006.24,9977587.14,7818121.78,6351260.52,0.0
21,五、净利润,102401225.09,59296172.94,37400383.80,1486120.35,85953472.92,51717676.55,33730189.13,2627120.78,69530963.47,42429947.42,26706242.40,-1121045.66,60832499.17,34079468.72,22702444.74,143061.12,53384357.21,28301131.89,18755519.32,1905289.47,41837694.57,22494422.08,15532383.11,-1714827.74,37777648.50,36558948.77,32132294.89,0.0
22,归属于母公司所有者的净利润,87298238.46,54426183.10,35020187.86,3415837.37,71957880.61,45774255.53,29883452.74,2475035.94,61281642.92,37738923.06,23121740.64,-1474741.76,53973818.14,30296569.32,19612121.36,-363020.22,48419343.75,25541300.55,16937190.43,1798020.89,39791283.30,21347788.89,14783726.28,-1296269.51,36646614.16,36972124.62,32446224.07,0.0
23,少数股东损益,15102986.63,4869989.84,2380195.94,-1929717.02,13995592.31,5943421.02,3846736.39,152084.84,8249320.55,4691024.36,3584501.76,353696.10,6858681.03,3782899.40,3090323.38,506081.34,4965013.46,2759831.34,1818328.89,107268.58,2046411.27,1146633.19,748656.83,-418558.23,1131034.34,-413175.85,-313929.18,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.650000,0.410000,0.260000,0.030000,0.550000,0.360000,0.240000,0.020000,0.490000,0.300000,0.180000,-0.010000,0.430000,0.240000,0.160000,-0.010000,0.790000,0.420000,0.280000,0.030000,0.844800,0.450000,0.310000,-0.030000,0.780000,0.780000,0.730000,0.0
26,稀释每股收益(元/股),0.650000,0.410000,0.260000,0.030000,0.550000,0.360000,0.240000,0.020000,0.490000,0.300000,0.180000,-0.010000,0.430000,0.240000,0.160000,-0.010000,0.790000,0.420000,0.280000,0.030000,0.844800,0.450000,0.310000,-0.030000,0.780000,0.780000,0.730000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,102401225.09,59296172.94,37400383.80,1486120.35,85953472.92,51717676.55,33730189.13,2627120.78,69530963.47,42429947.42,26706242.40,-1121045.66,60832499.17,34079468.72,22702444.74,143061.12,53384357.21,28301131.89,18755519.32,1905289.47,41837694.57,22494422.08,15532383.11,-1714827.74,37777648.50,36558948.77,32132294.89,0.0
29,归属于母公司所有者的综合收益总额,87298238.46,54426183.10,35020187.86,3415837.37,71957880.61,45774255.53,29883452.74,2475035.94,61281642.92,37738923.06,23121740.64,-1474741.76,53973818.14,30296569.32,19612121.36,-363020.22,48419343.75,25541300.55,16937190.43,1798020.89,39791283.30,21347788.89,14783726.28,-1296269.51,36646614.16,36972124.62,32446224.07,0.0
30,归属于少数股东的综合收益总额,15102986.63,4869989.84,2380195.94,-1929717.02,13995592.31,5943421.02,3846736.39,152084.84,8249320.55,4691024.36,3584501.76,353696.10,6858681.03,3782899.40,3090323.38,506081.34,4965013.46,2759831.34,1818328.89,107268.58,2046411.27,1146633.19,748656.83,-418558.23,1131034.34,-413175.85,-313929.18,0.0
