,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
17,减：营业外支出,503909.70,500280.51,260.00,0,0,0,0,335426.64,1085071.15,517941.89,21864.81,4407.08,3500.05,3500.05,0,92823.84,0,0,0,0,0,0,0,90729.29,127476.00,70729.29,11529.46,200.00,65155.21,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,608995.24,495777.91,109.00,109.00,0,0,0,65082.03,0,0,0,0,0,0,0,70729.29,0,70729.29,11529.46,0,59655.21,0.0
19,四、利润总额,175185540.72,123695844.34,59090746.10,134262386.96,128849812.13,98304160.05,50944343.18,104956479.52,85903384.90,66240775.06,36775258.77,94345036.37,79985080.83,62412833.77,52376492.70,133572424.62,114242557.08,76008019.16,51262649.09,127478218.58,83408909.20,49904151.64,33915868.48,93928733.23,58611245.12,36380280.37,8087863.49,79381732.82,68468417.18,0.0
20,减：所得税费用,22953492.17,18127583.30,9165067.68,19708100.37,18976201.13,14334654.51,7570994.23,14664744.31,12537588.47,9983465.13,5528620.59,12572646.68,10897130.81,8976107.85,7807820.07,18488585.42,17423888.41,11658261.73,7652590.99,18666410.40,13089648.42,7359244.13,5155683.43,13911836.89,8828478.98,5930421.51,1586436.76,12132923.11,10858390.15,0.0
21,五、净利润,152232048.55,105568261.04,49925678.42,114554286.59,109873611.00,83969505.54,43373348.95,90291735.21,73365796.43,56257309.93,31246638.18,81772389.69,69087950.02,53436725.92,44568672.63,115083839.20,96818668.67,64349757.43,43610058.10,108811808.18,70319260.78,42544907.51,28760185.05,80016896.34,49782766.14,30449858.86,6501426.73,67248809.71,57610027.03,0.0
22,归属于母公司所有者的净利润,150128688.78,104966711.36,50576279.58,113096275.30,111141726.40,83670394.20,43925807.47,90330546.27,73943003.41,56727502.81,31253643.46,81727545.11,69206169.98,53494375.71,44568672.63,115083839.20,96818668.67,64349757.43,43610058.10,108811808.18,70319260.78,42544907.51,28760185.05,80016896.34,49782766.14,30449858.86,6501426.73,67248809.71,57610027.03,0.0
23,少数股东损益,2103359.77,601549.68,-650601.16,1458011.29,-1268115.40,299111.34,-552458.52,-38811.06,-577206.98,-470192.88,-7005.28,44844.58,-118219.96,-57649.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.472000,0.330000,0.159100,0.355500,0.349300,0.501700,0.262300,0.559600,0.463900,0.365100,0.209300,0.547200,0.463400,0.358200,0.298400,0.770600,0.648300,0.430900,0.817600,2.388400,1.695200,1.063600,0.719000,2.000400,1.244600,0.761200,0.162500,1.681200,1.440300,0.0
26,稀释每股收益(元/股),0.469300,0.328400,0.158300,0.353500,0.349100,0.501700,0.262300,0.559600,0.463900,0.365100,0.209300,0.547200,0.463400,0.358200,0.298400,0.770600,0.648300,0.430900,0.000000,0.000000,1.695200,0,0,0,1.244600,0,0,0,0,0.0
27,七、其他综合收益,3881210.27,1627195.21,-3159946.41,-1740176.68,4859447.66,-1438898.63,-8972.46,9.20,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,156113258.82,107195456.25,46765732.01,112814109.91,114733058.66,82530606.91,43364376.49,90291744.41,73365796.43,56257309.93,31246638.18,81772389.69,69087950.02,53436725.92,44568672.63,115083839.20,96818668.67,64349757.43,43610058.10,108811808.18,70319260.78,42544907.51,28760185.05,80016896.34,49782766.14,30449858.86,6501426.73,67248809.71,57610027.03,0.0
29,归属于母公司所有者的综合收益总额,154021768.89,106634265.14,47288704.30,112642582.17,116274321.55,82308235.78,43916835.01,90330555.47,73943003.41,56727502.81,31253643.46,81727545.11,69206169.98,53494375.71,44568672.63,115083839.20,96818668.67,64349757.43,43610058.10,108811808.18,70319260.78,0,28760185.05,80016896.34,49782766.14,0,6501426.73,67248809.71,57610027.03,0.0
30,归属于少数股东的综合收益总额,2091489.93,561191.11,-522972.29,171527.74,-1541262.89,222371.13,-552458.52,-38811.06,-577206.98,-470192.88,-7005.28,44844.58,-118219.96,-57649.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
