,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19970331,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3375870425.18,2575713112.05,1717756287.92,860845459.25,3146799184.83,2039166381.73,1493398172.71,656795171.17,5448916378.34,3217272645.28,2376693836.45,986172419.16,4757326623.69,2896921783.26,1779329876.02,923303638.51,4022112450.11,2623817927.14,1722200976.73,780330424.52,4835294625.24,3520675098.36,2250286665.06,1048590848.06,3539046825.57,2801921798.06,2056466518.21,796854680.13,3841363538.42,2657007380.09,1463580083.28,783498722.76,3736270436.39,2479277934.69,1572841717.17,655621900.53,3152638840.15,2138595348.54,1484398984.29,674032853.77,2190301113.17,1340903293.29,745008853.40,241143133.28,2142050853.68,1651143969.62,1188369447.27,312606642.65,1169795346.74,734694160.47,462363348.57,217080863.78,998443572.17,719702751.27,446589618.97,195459996.19,1053723493.78,713715840.84,470357300.73,217974620.25,915390022.19,622264261.19,370152593.28,135463486.02,732286955.48,459055415.78,289913662.49,170799793.14,488910719.33,281117428.53,185254087.94,84042873.83,448507753.40,203596152.23,378324938.37,166863989.27,479183518.23,262150806.89,658717051.11,243551437.45,422835765.77,189349307.06,92750502.72,245583181.05,151714986.19,131828565.11,0.0
2,营业收入,3375870425.18,2575713112.05,1717756287.92,860845459.25,3146799184.83,2039166381.73,1493398172.71,656795171.17,5448916378.34,3217272645.28,2376693836.45,986172419.16,4757326623.69,2896921783.26,1779329876.02,923303638.51,4022112450.11,2623817927.14,1722200976.73,780330424.52,4835294625.24,3520675098.36,2250286665.06,1048590848.06,3539046825.57,2801921798.06,2056466518.21,796854680.13,3841363538.42,2657007380.09,1463580083.28,783498722.76,3736270436.39,2479277934.69,1572841717.17,655621900.53,3152638840.15,2138595348.54,1484398984.29,674032853.77,2190301113.17,1340903293.29,745008853.40,241143133.28,2142050853.68,1651143969.62,1188369447.27,312606642.65,1169795346.74,734694160.47,462363348.57,217080863.78,1001344391.31,722213180.58,449182623.33,195949662.96,1054541748.58,713806922.74,470135723.83,217864776.55,915260787.40,621845410.57,369539052.08,135217415.00,732519871.61,457890388.95,289492107.24,170644475.24,487973439.57,280289621.38,184692055.51,83736767.77,445895950.06,202258029.72,370916108.43,164305391.38,473389269.54,261487780.83,645026410.85,241413885.58,420964684.77,188453475.85,92185325.32,245451877.89,150674881.26,130501812.66,0.0
3,二、营业总成本,3429784090.54,2607061235.93,1724018208.12,848020825.11,3907600549.87,2294853338.86,1644131028.45,744687568.51,5809946590.84,3422636119.15,2486805010.42,1036357611.02,6659246361.50,4039856183.27,2598489781.20,1350608768.90,5348991703.96,3310141805.96,2153087353.63,987060897.24,5071120379.11,3676574082.59,2353517729.82,1113518021.90,3863701576.34,2863558944.02,2048571915.16,804447753.27,3796347836.18,2608856283.19,1452006099.45,772072491.67,3660005724.15,2435848848.77,1549535892.85,648202434.12,3108174518.85,2117113844.81,1468205253.62,668550374.74,2184693326.89,1347689729.92,762271500.91,261141472.80,2124699707.30,1650871883.72,1182973826.18,313330976.48,1167051281.05,738880530.19,465747849.94,217626916.45,1124983340.03,717740856.15,447872124.74,196405111.47,1047110698.05,712365086.55,470819938.46,217963280.29,920259869.29,623659626.46,370460572.08,136205981.11,715878935.90,456659746.20,288442061.29,167461659.09,512240374.50,280376791.68,183214629.20,83636867.89,437147029.78,202492726.85,361054029.23,165059786.08,449837098.91,245197163.33,594043300.47,217626797.20,366667357.03,0,86241904.94,202944508.23,114615526.08,114033475.46,0.0
4,营业成本,2833373214.41,2173672074.42,1428238055.64,731972501.91,2998297676.79,1960882513.11,1419616018.23,640983699.91,4897438523.86,2979982554.60,2172977986.74,918302025.26,5615340654.38,3423445653.91,2232813907.06,1158423299.86,4563187634.11,2867709626.62,1861260453.95,848637929.77,4435059355.88,3235033302.75,2079055958.72,985476878.03,3335195356.15,2551485176.04,1845623036.90,720477759.43,3319639113.85,2334769314.67,1289117877.90,697541736.64,3267168686.52,2200922271.53,1404999815.59,583910974.95,2767997474.98,1898893454.14,1320105414.14,604680003.39,1918187879.07,1191338946.16,668323631.41,219541593.81,1900848735.18,1498303030.19,1077030585.68,278287128.19,1018036035.86,648847725.04,407430015.57,193516303.73,895512794.32,626967390.26,396936356.38,173626726.09,917653595.09,633218018.75,415124057.39,195364669.46,824339146.49,567587912.13,332865355.97,121535713.62,626272445.16,397753233.93,248462932.57,145719866.16,413300154.68,223523232.79,144911242.29,65921546.55,369102423.95,166127796.50,315372697.01,140944956.50,399385188.34,220159845.42,539775602.28,194601422.59,343536732.82,0,80001674.51,190937231.63,108835203.20,108396478.27,0.0
5,营业税金及附加,21918137.97,15875119.51,11370172.12,5301571.60,23367281.08,15254513.08,11321290.44,5670046.12,30587320.79,23713943.65,15670198.77,7655899.90,28615329.17,5618808.89,4243704.46,1361253.66,8383741.34,4730519.07,2304469.51,1451773.77,7012303.50,4907889.25,3719252.89,1654686.23,8466926.53,7068922.28,5512712.25,1119883.82,5445911.37,3640963.37,2305551.22,1374523.72,8833662.24,3606211.89,2446032.81,1917185.27,8497982.12,5831978.39,4233946.60,3004890.30,6980933.85,4434441.87,2139270.35,1160481.85,6945448.06,4741841.63,4119128.92,992758.24,2495742.47,802508.73,139145.39,27221.49,2924491.14,1541105.76,149475.97,405.75,3149216.73,2253387.66,1115192.76,225637.76,1223030.85,885216.16,885216.16,469142.69,3516815.39,1341388.96,1179587.61,1153278.21,1497421.94,1018938.82,717120.75,480013.57,2079830.70,981464.69,990043.40,105992.64,1916145.91,908712.42,897633.94,459359.34,91177.57,0,23296.50,464002.85,774738.90,675462.27,0.0
6,销售费用,239531495.38,172550579.46,118197721.21,45258369.87,211067709.86,124151938.93,80951897.96,37236750.64,278835669.17,184163539.28,134775075.86,29815793.35,439488297.34,322153764.19,181656552.31,89915013.10,361283074.27,212860635.50,144828815.12,60787251.23,318684185.12,218459869.56,135097289.57,74383878.35,250326044.70,148277793.92,92364022.72,40518701.96,240317569.50,135356409.76,72966688.45,35749809.97,208219889.47,119867367.91,70657410.28,33378717.69,190354176.97,119909689.85,78534106.51,31586873.81,140031293.38,72619456.06,42045192.19,16633140.67,115137724.76,66971524.77,46097792.50,16534499.56,74423014.50,44695766.59,27437190.57,10784769.96,68804890.51,39495975.47,16008782.19,8371009.54,53810687.48,27463860.82,18220255.57,10708283.41,36154259.11,17405392.40,10256564.89,4836091.77,28442331.70,18844805.33,9357381.60,4826915.18,35341690.14,10749275.45,7310723.09,3325388.69,16665956.35,6314021.87,9110090.28,3611038.10,10846977.17,5199306.58,16279404.04,5648640.09,5026658.81,0,1208180.50,2315180.70,1466541.56,1271270.59,0.0
7,管理费用,143720555.64,101521331.10,74226244.93,51803958.85,126609207.39,76341284.14,81722678.23,35289876.26,297504751.63,170579664.03,110207406.98,56302198.64,333432437.79,198491594.23,130992763.84,61411214.92,297347291.83,184872247.37,126334149.83,57747198.35,275911716.08,190990692.97,119259085.17,47712581.93,217862385.20,143131345.71,91795894.15,40166284.99,201489433.05,118840260.21,73659239.59,35734601.59,155353231.36,92531941.07,54748160.98,26639660.40,125790867.23,80742180.88,55816509.45,27960233.40,98744871.99,71169750.56,43910110.61,20633365.19,89263829.12,65785172.68,44329518.35,15256198.19,60945470.83,35453768.80,22878692.70,12690205.94,151903494.71,46199478.24,30757403.44,12362245.06,69710833.66,46634431.49,34945323.73,11292424.12,54480286.49,37696507.07,27391672.70,10551866.73,54005154.38,35595069.18,26970370.69,13761118.88,48979509.43,36020589.29,24165589.45,10892576.19,33818911.22,19737117.63,26873083.49,13007321.49,24780645.57,13290497.37,27355069.27,12329241.74,7718137.34,0,899617.17,2693593.51,1621748.45,2090727.24,0.0
8,财务费用,89336774.27,68659273.77,44844623.67,23944223.57,75447865.47,59067556.02,41002468.82,23712853.17,72485829.76,69574174.35,49758062.84,22565880.77,58026559.79,43686429.54,20497556.71,8862647.44,11805462.70,7763566.22,4512490.78,-304995.40,7394799.76,4863803.67,-2121959.86,-1957250.73,8638539.80,843955.46,524498.53,2165123.07,6843087.95,5375497.58,3082904.69,1671819.75,11035057.44,8545881.85,6309298.67,2355895.81,10163273.94,5115554.52,2894289.89,1318373.84,8597973.36,6831482.92,4557644.00,3172891.28,17093832.15,12571741.29,8898227.57,2260392.30,3835648.55,869991.67,-347963.65,608415.33,5837669.35,3536906.42,4020106.76,2044725.03,2786365.09,2795387.83,1415109.01,372265.54,4063146.35,84598.70,-938237.64,-1186833.70,3642189.27,3125248.80,2471788.82,2000480.66,13121598.31,9064755.33,6109953.62,3017342.89,15479907.56,9332326.16,8296902.35,7390477.35,12151741.92,5638801.54,9735590.94,4588133.44,10294650.49,0,4109136.26,6534499.54,1917293.97,1599537.09,0.0
