,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20050630,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业收入,855164000000.00,646942000000.00,442915000000.00,235501000000.00,773789000000.00,577055000000.00,387451000000.00,197198000000.00,726502000000.00,535773000000.00,362151000000.00,189525000000.00,675891000000.00,517774000000.00,357670000000.00,193889000000.00,697647000000.00,524628000000.00,356242000000.00,181164000000.00,658892000000.00,488589000000.00,328425000000.00,162633000000.00,589637000000.00,441917000000.00,298607000000.00,147760000000.00,536945000000.00,401473000000.00,265486000000.00,131017000000.00,475214000000.00,351729000000.00,232688000000.00,113817000000.00,380821000000.00,278690000000.00,181708000000.00,87338000000.00,309454000000.00,226634000000.00,148352000000.00,72887000000.00,309758000000.00,231717000000.00,155007000000.00,75640000000.00,254157000000.00,182374000000.00,116492000000.00,54520000000.00,180705000000.00,131693000000.00,84669000000.00,162378000000.00,76490000000.00,139342000000.00,124087000000.00,83487000000.00,77247000000.00,70413000000.00,42303000000.00,54445000000.00,0.0
2,利息净收入,606926000000.00,453146000000.00,299301000000.00,148190000000.00,572518000000.00,423630000000.00,277616000000.00,137012000000.00,522078000000.00,384151000000.00,250922000000.00,121970000000.00,471846000000.00,351358000000.00,234280000000.00,118810000000.00,507867000000.00,379945000000.00,252087000000.00,125283000000.00,493522000000.00,362934000000.00,237607000000.00,115825000000.00,443335000000.00,327636000000.00,215889000000.00,106717000000.00,417828000000.00,311369000000.00,204058000000.00,98816000000.00,362764000000.00,267087000000.00,174504000000.00,85376000000.00,303749000000.00,221663000000.00,143312000000.00,68401000000.00,245821000000.00,178249000000.00,116038000000.00,57748000000.00,263037000000.00,196567000000.00,131785000000.00,66287000000.00,224465000000.00,159705000000.00,102209000000.00,48102000000.00,163542000000.00,118654000000.00,76508000000.00,147993000000.00,68665000000.00,128608000000.00,116588000000.00,84762000000.00,48886000000.00,46473000000.00,42225000000.00,56224000000.00,0.0
3,其中：利息收入,1038154000000.00,775140000000.00,508157000000.00,249277000000.00,948094000000.00,700050000000.00,456807000000.00,225637000000.00,861594000000.00,636632000000.00,418353000000.00,203987000000.00,791480000000.00,590694000000.00,395228000000.00,200475000000.00,871779000000.00,656988000000.00,437295000000.00,216836000000.00,849879000000.00,627651000000.00,412613000000.00,203145000000.00,767111000000.00,566769000000.00,372507000000.00,184303000000.00,721439000000.00,537317000000.00,354522000000.00,174348000000.00,589580000000.00,426187000000.00,272719000000.00,130893000000.00,462762000000.00,338818000000.00,219865000000.00,106036000000.00,405878000000.00,300819000000.00,199277000000.00,100066000000.00,440574000000.00,327426000000.00,215011000000.00,105609000000.00,357287000000.00,256255000000.00,163798000000.00,78476000000.00,271649000000.00,198760000000.00,129038000000.00,234592000000.00,109223000000.00,198769000000.00,182949000000.00,154875000000.00,135468000000.00,158429000000.00,164265000000.00,178417000000.00,0.0
4,减：利息支出,431228000000.00,321994000000.00,208856000000.00,101087000000.00,375576000000.00,276420000000.00,179191000000.00,88625000000.00,339516000000.00,252481000000.00,167431000000.00,82017000000.00,319634000000.00,239336000000.00,160948000000.00,81665000000.00,363912000000.00,277043000000.00,185208000000.00,91553000000.00,356357000000.00,264717000000.00,175006000000.00,87320000000.00,323776000000.00,239133000000.00,156618000000.00,77586000000.00,303611000000.00,225948000000.00,150464000000.00,75532000000.00,226816000000.00,159100000000.00,98215000000.00,45517000000.00,159013000000.00,117155000000.00,76553000000.00,37635000000.00,160057000000.00,122570000000.00,83239000000.00,42318000000.00,177537000000.00,130859000000.00,83226000000.00,39322000000.00,132822000000.00,96550000000.00,61589000000.00,30374000000.00,108107000000.00,80106000000.00,52530000000.00,86599000000.00,40558000000.00,70161000000.00,66361000000.00,70113000000.00,86582000000.00,111956000000.00,122040000000.00,122193000000.00,0.0
5,手续费及佣金净收入,155600000000.00,124635000000.00,88501000000.00,46136000000.00,145301000000.00,113739000000.00,79260000000.00,41613000000.00,139625000000.00,107643000000.00,76670000000.00,40958000000.00,144973000000.00,113748000000.00,81715000000.00,43485000000.00,143391000000.00,111183000000.00,77120000000.00,37210000000.00,132497000000.00,100885000000.00,73228000000.00,37682000000.00,122326000000.00,95503000000.00,67382000000.00,34185000000.00,106064000000.00,79687000000.00,54804000000.00,28622000000.00,101550000000.00,78295000000.00,53791000000.00,25927000000.00,72840000000.00,54563000000.00,36889000000.00,18256000000.00,55147000000.00,41061000000.00,27744000000.00,13548000000.00,44002000000.00,34583000000.00,24480000000.00,12057000000.00,34384000000.00,24284000000.00,14868000000.00,6470000000.00,16344000000.00,11864000000.00,7866000000.00,10546000000.00,4867000000.00,8208000000.00,5624000000.00,0,-286000000.00,3192000000.00,-715000000.00,-2698000000.00,0.0
6,其中:手续费及佣金收入,171641000000.00,135606000000.00,95248000000.00,50237000000.00,162347000000.00,125930000000.00,87703000000.00,45664000000.00,158666000000.00,120973000000.00,85402000000.00,45090000000.00,164714000000.00,127797000000.00,90816000000.00,47744000000.00,161670000000.00,123761000000.00,85330000000.00,40728000000.00,146678000000.00,110598000000.00,79386000000.00,40550000000.00,134550000000.00,103698000000.00,72512000000.00,36629000000.00,115881000000.00,86184000000.00,58836000000.00,30526000000.00,109077000000.00,83273000000.00,56844000000.00,27326000000.00,78008000000.00,58029000000.00,39055000000.00,19281000000.00,59042000000.00,43642000000.00,29291000000.00,14239000000.00,46711000000.00,36313000000.00,25470000000.00,12784000000.00,37439000000.00,26315000000.00,16111000000.00,6993000000.00,18529000000.00,13296000000.00,8761000000.00,12376000000.00,5502000000.00,9780000000.00,7059000000.00,0,0,3525000000.00,1614000000.00,1451000000.00,0.0
7,减：手续费及佣金支出,16041000000.00,10971000000.00,6747000000.00,4101000000.00,17046000000.00,12191000000.00,8443000000.00,4051000000.00,19041000000.00,13330000000.00,8732000000.00,4132000000.00,19741000000.00,14049000000.00,9101000000.00,4259000000.00,18279000000.00,12578000000.00,8210000000.00,3518000000.00,14181000000.00,9713000000.00,6158000000.00,2868000000.00,12224000000.00,8195000000.00,5130000000.00,2444000000.00,9817000000.00,6497000000.00,4032000000.00,1904000000.00,7527000000.00,4978000000.00,3053000000.00,1399000000.00,5168000000.00,3466000000.00,2166000000.00,1025000000.00,3895000000.00,2581000000.00,1547000000.00,691000000.00,2709000000.00,1730000000.00,990000000.00,727000000.00,3055000000.00,2031000000.00,1243000000.00,523000000.00,2185000000.00,1432000000.00,895000000.00,1830000000.00,635000000.00,1572000000.00,1435000000.00,0,286000000.00,333000000.00,2329000000.00,4149000000.00,0.0
8,汇兑收益,-3711000000.00,-5015000000.00,-2262000000.00,371000000.00,-8810000000.00,-6979000000.00,-3189000000.00,1392000000.00,-379000000.00,-460000000.00,-145000000.00,1095000000.00,3204000000.00,2515000000.00,2242000000.00,1163000000.00,1894000000.00,1639000000.00,1404000000.00,765000000.00,3673000000.00,2754000000.00,3270000000.00,2548000000.00,6593000000.00,4522000000.00,4569000000.00,1666000000.00,4095000000.00,3173000000.00,3624000000.00,1508000000.00,1400000000.00,587000000.00,849000000.00,1300000000.00,735000000.00,445000000.00,119000000.00,-169000000.00,-1246000000.00,-1027000000.00,-366000000.00,392000000.00,-851000000.00,-1776000000.00,-2832000000.00,-3818000000.00,-6881000000.00,-2953000000.00,-1720000000.00,-707000000.00,-1329000000.00,-699000000.00,0,0,0,0,0,0,671000000.00,386000000.00,441000000.00,575000000.00,0.0
9,投资净收益,9500000000.00,1091000000.00,-1081000000.00,-2230000000.00,18821000000.00,12655000000.00,9898000000.00,2678000000.00,11927000000.00,6060000000.00,3787000000.00,1899000000.00,10020000000.00,6565000000.00,4114000000.00,1998000000.00,10409000000.00,7570000000.00,6080000000.00,3666000000.00,4920000000.00,3067000000.00,1827000000.00,431000000.00,3078000000.00,3775000000.00,2816000000.00,1211000000.00,4707000000.00,3842000000.00,2799000000.00,1728000000.00,8337000000.00,5770000000.00,3365000000.00,1218000000.00,3275000000.00,2245000000.00,1481000000.00,696000000.00,9904000000.00,8426000000.00,4523000000.00,986000000.00,3348000000.00,1968000000.00,1427000000.00,1111000000.00,2040000000.00,1310000000.00,850000000.00,455000000.00,1376000000.00,1320000000.00,-281000000.00,387000000.00,325000000.00,239000000.00,632000000.00,0,110000000.00,171000000.00,21315000000.00,13722000000.00,0.0
10,其中:对联营公司的投资收益,2520000000.00,1846000000.00,1340000000.00,637000000.00,3089000000.00,2042000000.00,1330000000.00,717000000.00,2950000000.00,2033000000.00,1372000000.00,671000000.00,2604000000.00,1956000000.00,1121000000.00,508000000.00,2330000000.00,1768000000.00,1391000000.00,871000000.00,2157000000.00,1524000000.00,1016000000.00,498000000.00,2097000000.00,1523000000.00,1055000000.00,576000000.00,2652000000.00,1787000000.00,1152000000.00,614000000.00,2444000000.00,1852000000.00,1321000000.00,593000000.00,2146000000.00,1877000000.00,1250000000.00,601000000.00,1987000000.00,1387000000.00,966000000.00,405000000.00,1978000000.00,1352000000.00,963000000.00,214000000.00,16000000.00,9000000.00,7000000.00,2000000.00,13000000.00,8000000.00,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动净收益,11312000000.00,10970000000.00,9061000000.00,6029000000.00,-6920000000.00,-5727000000.00,-3336000000.00,254000000.00,-840000000.00,1628000000.00,971000000.00,-100000000.00,4168000000.00,4607000000.00,3166000000.00,2028000000.00,2796000000.00,2083000000.00,-114000000.00,-1295000000.00,680000000.00,417000000.00,1202000000.00,1066000000.00,-151000000.00,-801000000.00,-263000000.00,692000000.00,-371000000.00,-567000000.00,-255000000.00,-5000000.00,-211000000.00,-778000000.00,-208000000.00,-83000000.00,108000000.00,178000000.00,-48000000.00,183000000.00,-101000000.00,-95000000.00,380000000.00,92000000.00,-71000000.00,-40000000.00,-213000000.00,-62000000.00,-128000000.00,-262000000.00,108000000.00,74000000.00,-12000000.00,182000000.00,0,0,0,0,0,0,0,0,0,0,0.0
12,其他业务收入,75537000000.00,62115000000.00,49395000000.00,37005000000.00,52879000000.00,39737000000.00,27202000000.00,14249000000.00,54091000000.00,36751000000.00,29946000000.00,23703000000.00,41680000000.00,38981000000.00,32153000000.00,26405000000.00,31290000000.00,22208000000.00,19665000000.00,15535000000.00,23600000000.00,18532000000.00,11291000000.00,5081000000.00,14456000000.00,11282000000.00,8214000000.00,3289000000.00,4622000000.00,3969000000.00,456000000.00,348000000.00,1374000000.00,768000000.00,387000000.00,79000000.00,114000000.00,-404000000.00,-45000000.00,-29000000.00,-71000000.00,20000000.00,33000000.00,121000000.00,293000000.00,415000000.00,360000000.00,65000000.00,277000000.00,290000000.00,177000000.00,126000000.00,784000000.00,372000000.00,576000000.00,3452000000.00,2633000000.00,2287000000.00,1243000000.00,6749000000.00,261000000.00,271000000.00,352000000.00,344000000.00,0.0
13,二、营业支出,464596000000.00,334844000000.00,233984000000.00,132402000000.00,402602000000.00,282700000000.00,192269000000.00,96912000000.00,364660000000.00,244984000000.00,166789000000.00,91122000000.00,315576000000.00,229244000000.00,163563000000.00,96367000000.00,338112000000.00,235754000000.00,162893000000.00,84775000000.00,299280000000.00,201084000000.00,134919000000.00,67273000000.00,252591000000.00,177880000000.00,120214000000.00,59525000000.00,229487000000.00,162423000000.00,105828000000.00,51416000000.00,204214000000.00,140485000000.00,91185000000.00,44235000000.00,166334000000.00,112917000000.00,71424000000.00,33421000000.00,143460000000.00,98547000000.00,63286000000.00,27409000000.00,166227000000.00,112212000000.00,71455000000.00,32331000000.00,140972000000.00,91692000000.00,58915000000.00,26737000000.00,109793000000.00,76577000000.00,34043000000.00,70712000000.00,30821000000.00,55337000000.00,54215000000.00,88388000000.00,71789000000.00,66765000000.00,65749000000.00,63854000000.00,0.0
14,营业税金及附加,7677000000.00,5601000000.00,3851000000.00,1852000000.00,7781000000.00,5936000000.00,4237000000.00,2015000000.00,7465000000.00,5622000000.00,3908000000.00,1839000000.00,17319000000.00,14598000000.00,13467000000.00,10176000000.00,42320000000.00,32266000000.00,21667000000.00,10780000000.00,41351000000.00,30750000000.00,20493000000.00,10190000000.00,37441000000.00,27928000000.00,18613000000.00,9232000000.00,35066000000.00,26092000000.00,17327000000.00,8698000000.00,28875000000.00,20963000000.00,13574000000.00,6493000000.00,21484000000.00,15752000000.00,10350000000.00,5119000000.00,18157000000.00,13364000000.00,8850000000.00,4420000000.00,18765000000.00,13855000000.00,9094000000.00,4506000000.00,14511000000.00,10390000000.00,6638000000.00,3087000000.00,11419000000.00,7949000000.00,5368000000.00,9419000000.00,4361000000.00,8270000000.00,7279000000.00,8024000000.00,8928000000.00,12288000000.00,12768000000.00,13037000000.00,0.0
15,业务及管理费用,199050000000.00,129426000000.00,82880000000.00,38646000000.00,185041000000.00,121597000000.00,77376000000.00,37818000000.00,177723000000.00,119831000000.00,76091000000.00,36608000000.00,175156000000.00,117223000000.00,76938000000.00,37646000000.00,177823000000.00,120815000000.00,79550000000.00,37973000000.00,176261000000.00,118873000000.00,78674000000.00,37528000000.00,165280000000.00,112117000000.00,72698000000.00,35402000000.00,153336000000.00,103575000000.00,66889000000.00,31913000000.00,139598000000.00,92176000000.00,59383000000.00,28709000000.00,116578000000.00,79131000000.00,51214000000.00,24298000000.00,101703000000.00,70082000000.00,44040000000.00,18680000000.00,91506000000.00,64132000000.00,43779000000.00,19168000000.00,87631000000.00,56945000000.00,36116000000.00,16295000000.00,64469000000.00,47424000000.00,28675000000.00,61293000000.00,26460000000.00,47067000000.00,46936000000.00,41326000000.00,38860000000.00,38631000000.00,34436000000.00,31799000000.00,0.0
16,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,资产减值损失,178957000000.00,137756000000.00,99180000000.00,58274000000.00,161594000000.00,116933000000.00,83458000000.00,42258000000.00,127769000000.00,89616000000.00,61343000000.00,31505000000.00,87894000000.00,63906000000.00,44433000000.00,23668000000.00,86993000000.00,61569000000.00,41951000000.00,20748000000.00,56729000000.00,32456000000.00,24167000000.00,13776000000.00,38321000000.00,28620000000.00,21941000000.00,12152000000.00,33745000000.00,25459000000.00,19237000000.00,10148000000.00,31121000000.00,24383000000.00,16881000000.00,8654000000.00,27988000000.00,17820000000.00,9693000000.00,3916000000.00,23219000000.00,14783000000.00,10212000000.00,4203000000.00,55528000000.00,33892000000.00,18315000000.00,8473000000.00,37406000000.00,23226000000.00,15401000000.00,7355000000.00,32189000000.00,20030000000.00,12218000000.00,27014000000.00,11723000000.00,30859000000.00,36293000000.00,6617000000.00,0,0,0,0,0.0
18,其他业务支出,78912000000.00,62061000000.00,48073000000.00,33630000000.00,48186000000.00,38234000000.00,27198000000.00,14821000000.00,51703000000.00,29915000000.00,25447000000.00,21170000000.00,35207000000.00,33517000000.00,28725000000.00,24877000000.00,30976000000.00,21104000000.00,19725000000.00,15274000000.00,24939000000.00,19005000000.00,11585000000.00,5779000000.00,11549000000.00,9215000000.00,6962000000.00,2739000000.00,7340000000.00,7297000000.00,2375000000.00,657000000.00,4620000000.00,2963000000.00,1347000000.00,379000000.00,284000000.00,214000000.00,167000000.00,88000000.00,381000000.00,318000000.00,184000000.00,106000000.00,428000000.00,333000000.00,267000000.00,184000000.00,1424000000.00,1131000000.00,760000000.00,0,1716000000.00,1174000000.00,0,0,0,0,0,0,24001000000.00,15846000000.00,18545000000.00,19018000000.00,0.0
