,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1217207650.47,823470988.40,347690617.43,1462026401.70,1104909036.42,725411250.57,299804968.37,1240197241.32,911244406.18,602054368.02,243183620.62,875175718.98,648289535.74,433715561.47,189181583.65,588568109.49,421352052.46,254248714.68,85805419.95,326514907.87,260366492.46,170466643.30,77307792.62,87481839.52,12292224.87,10267778.24,5681564.90,160928121.50,143790224.78,79202858.40,17330933.18,402509718.87,275282935.60,176285709.08,52137253.47,344613842.69,211624598.55,113361463.01,56401892.30,373535682.80,254852907.78,172591501.35,80462095.95,482936335.75,319280040.90,191498133.26,53121476.53,486235798.45,273160794.17,200048096.46,100671576.99,381905380.45,291600314.13,190112393.71,63299768.78,274814471.66,147654267.75,77703867.12,34620437.62,151827387.56,119678493.12,87717264.72,42992650.26,153540275.20,113228025.13,72013926.65,30763566.67,163358434.38,118937194.81,60637549.13,30245678.29,161299288.02,84623241.90,147521733.46,133501265.63,119865343.13,0.0
2,营业收入,1217207650.47,823470988.40,347690617.43,1462026401.70,1104909036.42,725411250.57,299804968.37,1240197241.32,911244406.18,602054368.02,243183620.62,875175718.98,648289535.74,433715561.47,189181583.65,588568109.49,421352052.46,254248714.68,85805419.95,326514907.87,260366492.46,170466643.30,77307792.62,87481839.52,12292224.87,10267778.24,5681564.90,160928121.50,143790224.78,79202858.40,17330933.18,402509718.87,275282935.60,176285709.08,52137253.47,344613842.69,211624598.55,113361463.01,56401892.30,373535682.80,254852907.78,172591501.35,80462095.95,482936335.75,319280040.90,191498133.26,53121476.53,486235798.45,273160794.17,200048096.46,100671576.99,381905380.45,291600314.13,190112393.71,63299768.78,274329184.27,147260167.20,77629788.62,34649026.56,150912051.63,119333466.55,87265588.94,42873798.92,152980860.42,112783426.44,71788594.81,30633803.40,162380956.93,118487342.71,60436755.62,30164535.68,160806047.45,84593999.49,147304351.10,133501265.63,119847006.64,0.0
3,二、营业总成本,1070781726.34,721251112.41,308848021.97,1316319375.89,970877963.40,637008765.02,264938769.58,1115311803.20,802188071.69,528687701.26,213983523.64,786024427.23,567891598.12,377184078.18,164701170.88,531060353.39,376784982.44,228973744.52,79326005.77,308584617.51,243569126.51,160517402.04,74186104.84,121655941.84,46034667.21,34794197.50,16329294.93,201141070.20,166562495.88,94377750.29,28490803.43,419236924.70,288018619.51,188210052.95,60996806.42,371679661.79,233263337.35,124295225.90,62231275.84,419507492.05,274103390.56,189966323.31,90203195.98,511644646.60,347157656.40,205566143.65,59826707.47,531575917.68,278891236.21,201555897.79,100667594.02,394665354.99,288995914.32,186617818.16,61703060.76,367268265.54,146149218.24,76447867.96,33822367.46,166941121.89,116842074.72,85862109.60,42607684.23,145137259.69,110284783.74,70995496.05,28280787.13,149465913.24,109415705.09,55583188.73,27376495.39,147252188.55,76028220.28,132333975.88,118555692.16,107915433.30,0.0
4,营业成本,883854764.13,597539742.04,253483849.68,1063480414.94,799203642.15,526633555.65,219592579.29,893259461.32,652204534.64,431333879.93,171583527.53,604085429.94,448176339.86,296549558.51,126804109.57,389816757.66,284723885.32,173802837.11,61572199.41,247209135.97,200205089.49,134486688.20,62105607.17,65922453.13,9319634.45,8747439.60,5091613.37,156346051.39,139282928.92,75399285.23,17218468.71,392512726.30,268477456.33,174185481.29,55109866.25,334159888.08,204234464.78,106175806.62,52719087.84,348545692.80,234435051.46,161900813.89,76629379.58,447541406.92,301442367.58,179696176.74,49864460.65,448439506.85,243833104.54,178725856.60,91573937.24,343323089.16,258638436.62,169654284.46,49500395.71,278257754.67,123137882.92,60322539.21,30163088.76,128870489.91,93891828.69,70656513.18,34029744.40,112193019.75,86008520.29,53403651.56,22951015.50,122844876.22,86517833.28,42576042.64,23130407.83,121139361.43,61262104.91,107847814.16,97646315.16,87493782.35,0.0
5,营业税金及附加,8684412.30,6448212.45,2954860.82,11379591.20,8289368.57,5060043.70,1047266.19,8246202.76,5887264.30,4091045.84,1611617.77,5084489.93,2593351.01,1727233.36,736680.48,2794726.98,2015829.70,1147898.08,112209.69,281888.20,235466.17,100631.53,36276.66,252465.70,170380.92,89894.04,10660.75,859523.68,658533.78,219886.41,104104.86,1097033.90,413829.91,128442.53,-199786.62,1497612.06,822596.97,471855.11,266307.30,1221009.06,908561.08,584897.12,373807.07,2331069.87,1559113.64,849251.57,288724.28,2525524.15,1894067.67,1005051.57,362448.31,2007233.98,1472952.04,892593.02,406751.71,1394933.38,980822.19,609233.85,175772.00,1285057.02,960602.47,562489.82,233030.24,628700.88,-5820.99,-119233.14,81332.16,991125.88,414967.79,200946.64,121642.80,952512.60,240149.38,1247158.32,1125252.88,555122.04,0.0
6,销售费用,130246514.01,86156864.57,38349845.73,174730163.93,122378784.64,77838144.06,32951832.12,155608728.38,110755970.38,73095463.67,32240684.89,123782957.89,83777688.74,55746067.57,24957166.51,87159666.47,64196008.51,39018911.12,12880182.75,39335660.87,29021584.24,18089266.19,7898781.67,9858646.66,1701093.21,1175411.58,596293.09,5812090.45,4852039.79,2044733.43,1068177.75,5923454.38,5451123.27,3267307.21,847751.82,9897953.75,7296793.56,5236585.17,2312048.16,18101477.38,14229180.82,8683216.89,3825556.99,16258275.63,11324196.10,6733875.44,2524716.03,18915280.25,10486471.95,7645226.56,2808732.63,15892042.49,9946084.68,5182798.04,3056874.07,17978918.34,9828844.25,5764554.58,1628394.14,15283597.98,10244923.08,7126872.01,3682281.16,12640420.84,10009778.54,7911984.85,2234458.73,12599048.11,7418141.24,4031374.06,1781106.31,12023378.71,6001323.34,11135955.38,8242704.55,8122971.65,0.0
7,管理费用,44778506.18,28984098.18,13797857.12,54031642.41,38658732.33,27394645.13,11596829.50,49218484.31,32345268.63,20846843.57,8810803.80,52553807.42,32599796.19,21951176.93,11647361.08,44225696.82,23772814.05,14491445.65,4456881.91,20464880.00,14010658.39,7888380.00,3989469.58,39239265.60,28720126.12,19126432.42,10139149.19,30017438.04,19396356.84,14806538.68,9606271.41,18989445.70,14641655.83,10820710.43,4535939.90,24650696.03,20137227.58,13941580.54,4601655.85,37674907.46,22546944.19,17272585.71,8695337.25,29268756.39,20696740.06,12179896.52,4923121.59,25714487.46,15224620.59,9636619.18,3340395.00,20883505.56,11646797.28,6678513.50,4848545.69,51468327.13,8581578.49,6507610.63,1671782.33,18284883.32,10674804.87,7956965.76,3849571.20,17832847.69,13000860.05,9245910.21,3335911.12,11701985.67,13417284.83,7693679.93,2678361.61,12377689.86,6196598.23,8075264.05,6968328.05,7856483.69,0.0
8,财务费用,818192.60,389171.17,-246409.47,-2233044.27,-1673870.83,-1089142.90,-249737.52,-395626.02,-1000781.20,-743378.23,-263110.35,454085.75,744422.32,1210041.81,555853.24,2485926.45,2076444.86,512652.56,304532.01,969592.62,96328.22,-47563.88,155969.76,1750485.05,1381798.18,913385.53,452378.53,1899611.48,1449398.50,983295.49,493780.70,2297119.16,1937056.32,1335974.77,703035.07,2724341.24,2849721.58,546865.58,2390763.39,2980466.09,1803927.12,1345083.81,679115.09,12832900.74,9586098.65,5734963.63,2225684.92,17097659.08,8069611.53,5159783.95,2582080.84,14340567.37,7291643.70,4209629.14,3890493.58,18168332.02,3620090.39,3243929.69,183330.23,3217093.66,1069915.61,-440731.17,813057.23,1842270.53,1271445.85,553182.57,-321930.38,1328877.36,1647477.95,1081145.46,-335023.16,759245.95,2328044.42,4318610.97,4008827.86,3887073.57,0.0
9,研发费用,2399337.12,1733024.00,508018.09,3910545.74,2773414.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,11020061.94,1247892.48,1171519.38,0,9374552.45,1995814.94,63846.48,0,63656.30,0,0,0,4577579.01,0,0,0,323459.85,0,0,0,4632625.70,4741634.33,4741634.33,39200.00,6206355.16,923238.05,924011.05,0,-1582854.74,-2902502.15,-1527863.28,0,-1250829.37,-2077467.12,-2077467.12,-58586.70,10983939.26,179725.89,179725.89,0,3412237.05,2549140.37,371979.75,0,18883459.89,-616640.07,-616640.07,0,-1781083.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-290827.00,564263.66,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,414953.10,324320.23,147124.95,123295.68,-15586.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,72550.68,0,0,0,22926416.87,24816843.28,0,0,-949605.90,-959244.39,-959244.39,-1133059.15,3736631.77,693158.08,0,0,-11220799.50,0,0,0,57441.41,0,0,0,240000.00,240000.00,0,0,-181902.58,0,0,0,3924414.24,3934246.57,3934246.57,0,0,0,409754.93,0,0,-191434.41,432009.68,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,414953.10,0,147124.95,0,-15586.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,153392327.49,106171276.56,41645255.84,157294046.98,141033616.80,93106237.40,37079294.29,136567484.16,109056334.49,73366666.76,29200096.98,89151291.75,80397937.62,56531483.29,24480412.77,57507756.10,44567070.02,25274970.16,6479414.18,17930290.36,16797365.95,9949241.26,3121687.78,-34174102.32,-33742442.34,-24526419.26,-10647730.03,-40212948.70,-22772271.10,-15174891.89,-11159870.25,-16654655.15,-12735683.91,-11924343.87,-8859552.95,-4139402.23,3178104.48,-10933762.89,-5829383.54,-46921415.15,-20209727.17,-18334066.35,-10874159.18,-24971679.08,-27184457.42,-14068010.39,-6705230.94,-56560918.73,-5730442.04,-1507801.33,3982.97,-12702533.13,2604399.81,3494575.55,1596708.02,-91905632.95,1745049.51,1255999.16,799680.16,-14945636.91,2986418.40,1855155.12,384966.03,12827429.75,7127487.96,5202677.17,2582779.54,13892521.14,9521489.72,5464115.33,2869182.90,14047099.47,8403587.21,17703095.61,14945573.47,11949909.83,0.0
