,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20070630,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040630,20031231,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业收入,10057362378.64,8452503344.61,5861033277.28,3421048826.60,7712277101.82,5848859537.47,4114364963.23,2335322025.03,9838147762.07,6673005772.99,3967146009.47,1731018310.49,9164639102.50,6446282008.85,4052899618.96,1844308084.51,16571087246.74,12350227134.76,9520704700.78,3189131825.25,6601422929.86,3459412411.74,1922140670.23,914210134.48,4019544554.70,2967176730.71,2392423286.96,1374954238.20,3651701015.91,2841976601.08,2112610145.85,969374473.10,4498480695.74,3519945982.57,2649925683.45,1340754385.63,5054075247.29,3224165576.48,1948209915.44,839269903.25,5594129092.41,4175169095.46,2622642049.64,1153240409.62,3691020843.50,2991342033.29,1879945586.81,9824396500.86,3877121756.13,2036581884.04,944760000.00,683948951.46,178600000.00,518364488.22,248140000.00,105811450.52,34070000.00,473076663.78,235084206.41,607848202.86,275621719.00,508953999.00,712737325.00,0.0
2,手续费及佣金净收入,5710719113.08,4565467955.70,2871840065.02,1462031637.23,4911310711.04,3417043043.30,2277797680.86,1086590715.03,5623619323.30,3525861193.96,2091565424.63,1044561241.26,6093255665.01,4343495567.44,2926993090.13,1424343995.85,10262307650.86,7673046926.34,5545273271.04,1894261168.39,4102328927.82,2361147636.95,1319618678.91,674266379.98,3330787903.96,2362557246.38,1523147476.00,785757099.69,2239978797.15,1657304455.03,1149456130.52,571237320.52,3208166769.18,2661056937.62,1824388658.31,910334592.69,3889008758.29,2557307214.34,1715762025.38,852317497.47,4483703920.52,3437331583.49,2033584722.69,841530671.41,3363973133.97,2745292721.92,1789924231.01,4884432731.70,1631182376.66,837063555.45,0,319621866.31,0,237351823.43,0,85059758.11,0,366990698.85,179121473.83,301233437.52,167263291.50,336041954.00,536183858.00,0.0
3,代理买卖证券业务净收入,2512361239.98,2001159435.11,1378023949.97,686344811.60,2204168687.74,1803986210.71,1234199395.49,680029931.45,2645627911.42,2028208760.97,1244578621.32,645175702.06,3113331795.93,2400323681.52,1620694030.35,839339723.00,7493838827.49,6101573057.90,4386756872.92,1458364487.05,3064261683.67,1728471200.35,928436256.35,534472287.69,2323038520.74,1735265299.09,1073143668.62,562066000.70,1543434489.44,1182663286.53,815147986.11,420884964.69,1861230934.43,1535048484.44,1087983994.36,589534457.72,2747760593.23,1841022075.77,1229427940.28,653995992.98,3640515203.68,2930791167.59,1756211387.68,725237281.23,2571811719.96,2029940820.83,1603436635.41,4272683832.00,0,688305068.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,证券承销业务净收入,1377543026.27,1174419870.23,799473960.45,401980009.47,1058996562.08,597219688.60,362302534.41,96508583.83,1139005629.83,610185263.09,313502960.14,165278636.15,1465593213.02,1168550976.48,749481319.60,369069431.65,1211183044.69,804985707.44,604322822.33,254436085.99,249688457.69,192298425.92,109611153.36,9483203.26,377428022.78,217932274.69,185634773.76,97058759.07,241737693.80,138486789.87,109317006.32,37887852.90,698367743.65,594945016.66,454265486.48,178925092.25,480380825.03,243306394.00,162980404.00,30167404.00,242433391.36,88860214.60,30352214.60,1079901.94,180999289.00,169376169.00,155227071.90,186263625.54,38623788.49,98432919.77,0,5189729.77,0,3190424.94,0,325000.00,0,105010742.30,23632707.79,92237385.50,51949092.00,109342021.00,127800174.00,0.0
5,受托客户资产管理业务净收入,1236941715.19,959002276.93,402440099.32,224877006.93,937744947.24,504630483.10,341193742.00,143630339.74,1101915601.14,398172205.82,199095109.60,53612490.35,867687849.37,377286675.19,277697432.05,85266868.98,910304969.16,390402850.00,282871764.08,58411740.30,389601809.36,161358544.38,104289765.49,130310889.03,224182779.50,409359672.60,264369033.62,126632339.92,454806613.91,336154378.63,224991138.09,112464502.93,648568091.10,531063436.52,282139177.47,141875042.72,660867340.03,472978744.57,323353681.10,168154100.49,600755325.48,417680201.30,247021120.41,115213488.24,611162125.01,545975732.09,31260523.70,425485274.16,34361232.53,50325567.36,0,22138663.96,0,103733.81,0,103733.81,0,888960.50,-8570859.39,0,0,0,0,0.0
6,利息净收入,1572934467.46,1185935457.53,777108160.21,406389079.21,1717125943.00,469835493.69,268762405.75,135947220.08,1245500101.00,1042906199.40,688566807.07,469590341.03,1595721846.68,1128928218.15,681677731.91,229524850.18,2219817432.16,1743775505.99,1363794884.99,595111493.68,1268207358.53,849493869.35,564108739.58,305367895.27,924382633.02,630787136.26,369335620.66,156643897.59,648653332.46,529991967.95,348538692.33,177564688.58,908308853.88,712798230.82,491108935.39,269504253.66,733109959.72,572088416.68,370092660.79,158995299.32,560815556.08,364416333.81,221307520.18,105975449.58,498689141.39,359156217.88,224728459.26,278148392.67,-50565093.31,42123714.90,0,-22317207.22,0,-25276534.73,0,-13169968.32,0,-30145315.88,9818612.42,-38639227.59,13226503.36,63467058.00,65443970.00,0.0
7,其中:利息收入,5935779427.80,4465260501.69,3039856212.09,1570741265.89,6589032918.82,4086879978.83,2661849100.85,0,5128882837.26,0,2451965727.81,0,4867387193.27,0,2570972367.66,0,6839323048.03,0,3490288006.99,0,2558766882.62,0,973736835.77,0,1504503320.91,0,643568213.72,0,966292247.62,0,488420000.71,0,1184729034.61,0,603998921.88,0,915048640.25,0,453441050.55,0,687393132.20,0,268254268.29,0,832746911.26,0,0,511124349.06,135117487.05,98740928.54,0,41511668.36,0,67951950.04,0,36135597.22,0,88580643.60,45351008.52,110669488.82,58462321.13,135056743.00,200373519.00,0.0
8,利息支出,4362844960.34,3279325044.16,2262748051.88,1164352186.68,4871906975.82,3617044485.14,2393086695.10,0,3883382736.26,0,1763398920.74,0,3271665346.59,0,1889294635.75,0,4619505615.87,0,2126493122.00,0,1290559524.09,0,409628096.19,0,580120687.89,0,274232593.06,0,317638915.16,0,139881308.38,0,276420180.73,0,112889986.49,0,181938680.53,0,83348389.76,0,126577576.12,0,46946748.11,0,334057769.87,0,0,232975956.39,51109860.84,56617213.64,0,22519423.17,0,32457568.09,0,15019028.92,0,38596949.52,22080205.31,59920785.26,31289821.30,71589685.00,134929549.00,0.0
