,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,63289995891.42,44419466216.42,25653897620.64,11412457870.33,47430343193.91,31154619682.70,20209913397.38,9291818953.26,57322739812.79,45470214026.83,29536168638.77,10900241240.52,59194819685.94,38225232244.89,16537036413.67,5604991791.06,56655550297.82,48078694472.07,28708407746.43,12304253902.20,62404460871.80,46454861153.90,29681937341.60,12040606791.40,50100298922.44,29149749930.15,15419658906.55,7259461584.71,40825859541.14,29969470696.62,18472983265.04,8035342630.01,35243298621.82,25823677950.08,16612891339.69,5988222150.49,31712717588.98,21772229375.29,13563800737.87,5320011266.15,16184275465.14,9931641486.73,5214701515.83,1701431338.54,25754533965.94,22638799799.32,14357832566.48,5132584555.16,34455808485.17,26798455141.67,17714249167.68,9459288043.22,28061968270.64,19766953034.48,11665828186.64,3784157524.62,13416386398.51,8204678637.33,5209399770.24,1977664557.84,7193915449.52,4674416632.49,2981026365.78,1259101282.18,4092454783.50,2554259994.98,1347829290.66,533028664.07,3004825614.77,2101820144.00,1447009598.64,455795005.37,2872669325.30,1420913509.95,2538015095.42,1124909469.76,1961099085.73,887177136.32,1788480399.49,745988947.64,1563866735.76,1953790613.61,1694140009.83,0.0
2,营业收入,63289995891.42,44419466216.42,25653897620.64,11412457870.33,47430343193.91,31154619682.70,20209913397.38,9291818953.26,57322739812.79,45470214026.83,29536168638.77,10900241240.52,59194819685.94,38225232244.89,16537036413.67,5604991791.06,56655550297.82,48078694472.07,28708407746.43,12304253902.20,62404460871.80,46454861153.90,29681937341.60,12040606791.40,50100298922.44,29149749930.15,15419658906.55,7259461584.71,40825859541.14,29969470696.62,18472983265.04,8035342630.01,35243298621.82,25823677950.08,16612891339.69,5988222150.49,31712717588.98,21772229375.29,13563800737.87,5320011266.15,16184275465.14,9931641486.73,5214701515.83,1701431338.54,25754533965.94,22638799799.32,14357832566.48,5132584555.16,34455808485.17,26798455141.67,17714249167.68,9459288043.22,28062200113.23,19761474266.81,11664985669.13,3784060593.65,13403582317.83,8192753356.90,5206438936.63,1976099447.94,7193845979.39,4674781641.15,2981172827.17,1259034903.58,4091287984.30,2553869968.79,1347419161.73,532985235.86,3002821521.16,2101751857.00,1446932335.86,455760153.85,2872464194.02,1420718308.84,2537477322.96,1124518032.10,1957833064.71,887075060.63,1788257199.67,745915896.07,1563717096.14,1953630119.63,1694041338.35,0.0
3,二、营业总成本,62037216225.66,43582070212.27,25148993263.33,11188768633.54,46986190810.84,30772291253.08,19922293872.29,9162693085.63,57180459711.65,45276806613.63,29450582730.43,10811850052.10,59190755723.22,38254593553.85,16577965180.68,5717167720.32,57043798773.21,48552098091.47,28713284698.79,12304684182.55,62331442320.32,46322736619.06,29658838043.90,12022459247.45,51681661726.73,30664532800.35,16229764801.87,7405544698.43,40868321441.69,30054146606.97,18294992762.92,7769206275.00,34309818230.01,24817046553.17,15916091620.18,5743559821.12,31135426005.14,21328304019.67,13352156818.46,5133047434.38,15703611002.34,9663556626.36,5244264429.98,1924228387.59,28917629824.89,22086597049.33,13762767264.11,4975680173.22,33588804845.71,25315750193.47,16609812326.64,8819813092.29,26643849264.88,18831795676.89,11069693276.77,3607972781.15,12803419275.56,7854605752.79,5027854407.71,1901547022.04,6935033329.30,4535621765.38,2911656853.39,1229401090.11,3970689422.14,2499376874.81,1313451556.38,515202746.50,2940703532.04,2061119772.00,1413590299.33,449409073.02,2795537394.41,1371168350.20,2384540301.59,1031705527.43,1808185811.19,818130875.15,1687053921.99,667381385.41,1432494277.29,1772782149.02,1528811455.49,0.0
4,营业成本,58682224824.16,41313666140.03,23713586684.39,10510086398.21,43809786003.91,29172363176.44,18911642958.34,8746760152.95,55109893576.18,43998293795.39,28678145316.11,10446898102.68,57182408589.11,37024271804.67,15755198728.96,5310999426.77,55009157360.15,47110300520.05,27931738695.07,11945930464.86,60129633043.31,44748166454.21,28670224130.55,11578775799.29,49560160398.39,29282804606.20,15315885225.58,6934695762.51,37951759290.30,28212791226.91,17112549050.51,7237517129.32,31208290614.58,23051369667.61,14739407677.13,5254832901.28,29226144794.92,19982276330.89,12467259757.37,4726273112.05,14009739025.63,8602702402.17,4573025525.15,1642477079.11,25073271914.41,20861490074.22,12982026349.78,4573215029.13,31790941714.69,24179211328.10,15940575277.57,8504651605.38,25835669178.70,18388162837.34,10787241383.95,3498376651.36,12217097020.23,7482006276.00,4774313712.08,1794133611.48,6569118409.63,4311874707.83,2769347977.79,1173456162.36,3721474422.71,2330368190.91,1212012764.08,468413741.65,2725978340.84,1909033627.00,1313122198.81,411827579.27,2643762324.10,1300004190.77,2210242480.50,963735471.43,1668580323.61,765247182.65,1599576681.80,646004930.85,1315662150.22,1618466956.54,1426916437.82,0.0
5,营业税金及附加,314643354.39,244473833.40,159801145.16,86685657.53,299539628.40,176535888.44,131724138.82,66895840.01,217510096.93,149923057.76,91114177.47,33350567.38,93986267.30,33682343.90,21027065.71,9002104.71,65456756.60,39741479.70,24341118.49,11611504.57,67901328.78,48924373.49,31485988.78,12789991.84,167855439.21,105939827.29,70711978.00,28137843.39,193068332.96,116198734.85,75622018.26,27584433.97,171037090.90,123970059.34,76374653.80,25282365.79,88731158.92,65478129.09,42849484.20,22242477.32,88055783.30,59987433.50,32188482.34,13128422.08,113472007.82,85304980.81,57415858.55,20671988.94,156860253.05,113106652.90,49328195.24,17405971.05,44629757.15,36470142.08,31203052.82,7370306.41,48938056.98,19203818.67,12045450.33,6005754.80,6686959.13,5697525.99,3302002.11,1563943.23,12738308.21,9323735.89,5536402.04,1043502.34,14988751.63,11136936.00,8426869.67,1185395.72,10818161.55,7602594.59,6779328.19,5944221.28,6172001.97,2899611.45,7996068.34,1882965.20,7241362.91,9452364.31,2551205.63,0.0
6,销售费用,598194108.71,369335371.20,224222924.86,101409113.58,442382655.60,266230059.71,176308877.44,73629739.25,405950958.62,265872755.62,162722476.69,71622191.19,383531686.93,248887729.76,167164180.06,82250367.75,355656544.33,266778052.66,173059569.14,78080646.68,396025153.40,285611464.24,167329125.20,70085794.26,368093221.73,250859698.90,166383732.20,77392269.79,322652141.13,218237572.11,135423276.00,61991239.28,317298762.11,232877785.78,143005427.88,60246555.85,292382632.53,197490293.07,125877253.56,58799217.13,231901987.63,158991266.23,92378446.33,32707947.19,319209344.25,194699145.24,117678163.25,46997029.81,240336060.70,164420053.66,96532469.61,42451182.95,111450424.10,75854587.52,86226300.77,30176665.18,122556893.29,96362505.90,67975890.40,21628982.81,81853492.82,55897688.96,35993170.19,13687850.08,67432522.13,42795807.28,26955834.84,11578346.91,52065817.57,38317572.00,24234586.22,12561754.43,25192244.43,8250863.89,19723420.95,6976695.98,17638333.79,8395382.61,16815740.11,2396172.63,10529906.91,8434378.00,6917631.09,0.0
7,管理费用,1399012867.75,899427032.95,545738542.34,273467148.54,944587982.26,541815478.81,365201884.08,172336749.24,637565542.98,475008412.37,275578072.20,148575384.35,697476098.81,468364742.91,286235001.82,145260861.45,615626587.82,446112323.03,286193479.26,141497028.73,822818313.11,606513147.12,358684919.14,150598322.25,908329694.40,606057849.78,387519063.25,171672924.37,926983422.02,664527390.59,417609909.92,193348613.77,1054996286.28,769233025.75,470466997.24,177565811.34,793216451.62,576852021.08,376951010.93,155934216.97,681242758.10,410377039.45,252496609.94,98113239.27,694851601.33,382677217.18,243259712.24,146296074.00,427595932.64,354961151.28,138593104.45,132441118.93,193720860.68,113947832.23,59552690.16,25598498.41,152029046.09,63125006.90,43232327.89,16764062.18,96920438.02,49535115.34,31449489.48,17879062.33,83612937.44,53571481.95,31698536.66,16130857.96,68137234.84,44956740.00,29812313.49,13841931.43,50466567.08,28619634.91,69358022.15,17191083.48,57384051.38,18290005.89,30390973.97,8090539.01,42815865.83,50029745.51,43919803.27,0.0
8,财务费用,953110000.32,706927894.97,473560843.08,204891806.31,884504391.27,583684759.29,332387425.52,103398691.46,543040055.05,378593226.15,232630230.71,111403806.50,669795400.47,475845405.69,344798677.21,169654959.64,868659290.44,685739541.16,293518135.42,127564537.71,758624067.41,623107015.40,420419161.19,210209339.81,592343815.13,418117079.73,287093551.83,193645898.37,1056864783.84,828747301.74,539943109.50,249130527.92,767208779.65,611572635.70,461941908.24,225760047.44,698634247.01,509105740.95,342688894.62,169798410.91,642675438.80,464282738.21,325000762.37,164782467.57,932848425.83,598139506.00,383609242.88,231226626.23,895920084.30,491487056.13,356516040.51,122573722.63,458379044.25,217360277.72,105469849.07,46450659.79,262798258.97,193908145.32,130287027.01,63014610.77,180454029.70,112616727.26,71564213.82,22814072.11,85431231.65,63317658.78,37248018.76,18036297.64,79533387.16,57674897.00,37994331.14,9992412.17,65298097.25,26691066.04,78437049.80,37858055.26,58411100.44,23298692.55,32274457.77,9006777.72,56244991.42,86398704.66,48506377.68,0.0
