,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,0,49216381.98,45119802.69,23505969.04,-1470070.43,73702385.23,44880131.03,35939101.69,17899518.53,153794556.29,21837431.25,9905536.04,461330.43,27122922.43,19324151.40,19035129.76,6542886.16,169619812.31,19052265.87,12720438.98,8515281.33,240670869.12,125140521.87,9883182.22,10988587.97,-7425473.77,13528357.21,5840232.43,3300106.25,61855534.71,28661645.22,19034051.52,14168147.85,7968773.15,6478912.96,5241425.10,8627591.11,40768598.71,47277129.10,46461265.68,0,23776966.39,0,0,0,25432314.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-10960000.00,56202532.37,63483900.00,70283900.00,45066800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-20395.42,12572043.39,-4520710.91,-2491508.21,-1404000.00,-6977356.22,-5052689.55,-1463935.72,0,184700.00,0,0,0,2488091.23,2781630.00,2781630.00,11130.00,174710043.12,22262808.42,10304528.30,-1495528.26,60568995.68,37042969.26,17255747.96,80390.92,93996517.54,62644411.20,27133486.60,4218151.28,61238453.90,52861573.12,28036432.84,8384748.22,75186844.44,58761444.90,31399289.54,8341473.58,33693001.94,30596134.86,5064343.78,0,0,0,0,0,17337816.55,16724926.90,16724926.90,15478878.96,0,0,0,0,-5393965.28,-2438445.07,-1606287.81,-649833.67,-4320091.42,-930701.09,-507235.86,484080.04,-11947227.90,-344063.96,-126264.92,0,820188.64,-314726.45,-314726.45,0,-307732.76,228152.59,228152.59,0,1281985.57,1669342.43,46072.56,277368.80,3607229.72,0,0,0,2554000.00,1934627.50,5904403.00,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,-4235405.43,-4525875.47,-2496672.77,-1404000.00,-7032766.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93996517.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612889.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,17778494.18,1471909205.31,1254261085.04,612357362.35,24734278.28,914314869.62,668590931.93,252325005.27,-162571637.55,692099303.15,638825802.42,243597940.47,-145684462.55,133959454.19,207080707.78,-44414466.82,-230076887.64,53820839.91,-6549817.29,-105470366.71,-195146404.22,524492082.94,691715472.30,265768774.08,-121809184.00,496970252.42,420195365.85,125971907.11,-93656220.92,92189612.67,102565887.88,-19546344.95,-103910274.26,357789132.90,479374074.09,314550580.07,47476035.22,529272930.57,461174317.13,280857276.66,79364249.90,426944850.69,354598782.18,175456229.04,53374471.21,191775357.31,167232154.03,56771313.77,-8957848.56,-8196870.09,18343216.32,7528235.03,-16434335.08,34352081.38,28047422.40,17940151.95,-4609994.83,18506407.18,16444290.77,14916315.36,-4279379.12,44331666.70,48386068.57,21445117.22,1800838.72,54934096.19,40394002.50,18690324.21,696269.28,56223240.76,48107250.49,26190375.94,2363967.24,62060854.02,35682462.32,67026793.95,34810910.49,47143046.52,9422180.56,33617941.56,4321413.94,24183962.27,13573019.04,28328929.99,11870941.78,15682805.51,0.0
16,加:营业外收入,1977064.33,81938721.56,73253531.13,37425219.75,4765565.51,13977581.05,11542967.84,5591583.93,827801.37,20378154.11,109169625.52,4500561.64,6761997.70,62979902.06,39480835.56,14778679.37,2411013.51,116153790.77,83381032.37,46647959.15,10916387.51,189809110.85,113019042.04,56448283.70,14915664.24,188903027.80,97312404.82,28948550.77,8275569.91,136571732.64,95250807.60,46227877.06,6552583.44,98140545.58,73697265.77,29056231.77,10856206.82,95706966.33,57390724.86,27334975.51,7186966.34,120695264.01,76760632.80,43249105.45,4113936.53,93138880.52,64966433.15,29691978.12,9032913.93,49597801.13,41191176.38,23916481.56,9056350.14,655170.34,665321.30,139028.72,500.00,737171.03,280535.10,552570.85,416948.09,1753632.01,524196.94,396871.00,217060.00,586008.16,155609.19,0,0,110.00,4500.00,0,0,15042.00,10842.00,1236006.69,39964.00,4630559.32,3971280.95,3895510.07,1817504.37,3873563.72,0,1832754.15,51829.63,460815.23,0.0
17,减：营业外支出,2971898.34,23033531.77,11462739.46,3422368.31,1247294.33,91754963.40,3631052.97,1320532.66,343392.27,48448146.37,39775787.17,28337076.10,648990.28,10773805.02,1485231.61,851019.63,175093.54,9274598.41,5314176.91,1062144.80,497323.68,23992329.90,2031885.29,505223.34,195729.56,10163819.70,4977203.46,4431289.31,1160440.30,5680872.30,3434234.97,2263345.32,511198.53,6792174.15,4347251.84,2538661.84,1652221.73,13601821.30,8721406.25,5303183.95,504363.45,2298079.40,2809412.90,1221955.18,196330.78,21159128.90,11993729.05,3171004.24,641081.54,3775404.96,2424231.96,1045289.01,660848.58,5311124.69,3521659.94,2410342.67,1328161.28,4143944.69,3571550.83,1437044.19,700593.03,3764220.55,2214547.39,1327687.27,644736.00,3358004.25,2488177.95,1743374.08,688830.00,3428649.12,201203.00,95866.00,316005.00,269664.25,96656.75,1597985.16,250139.18,264367.28,158093.95,68366.71,62349.00,107667.39,0,140420.00,90780.00,86505.04,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,38075203.10,27169416.61,28636.91,7554863.14,387122.81,0,0,1907247.38,206941.53,0,0,21798403.66,564159.70,129105.21,0,3272723.42,490549.47,122473.35,0,1816087.05,662709.62,522739.72,0,3538471.68,1429814.36,663568.93,0,0,2335142.54,0,244233.77,0,597190.68,0,34092.60,9834150.35,4714611.34,0,90758.46,534256.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
