,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0,0,0,3995938.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-486622.58,4808844.65,8583827.54,-546517.94,305265.15,6405784.86,1768493.77,1733509.17,1740008.84,-2459074.86,-5932139.40,-6066042.91,48438.71,4748066.60,-134323.03,-73867.66,-10542.35,6644736.43,-88000.75,-89778.76,-100807.80,57596.34,3191.36,-17495.42,-35846.95,72366.96,-9336.93,51699.78,20542.15,-2560046.41,-2553913.60,-2569176.01,2139968.07,1119832.16,1124367.00,1085407.94,486221.21,-16156.86,-159823.58,74177.18,-19574.97,1612261.24,244534.60,206374.41,-179889.12,59606483.83,14853787.83,13328901.42,179812.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364390.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-308410.10,-308410.10,-75368.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-937476.49,-667094.63,-418551.48,-249846.35,124249795.76,84496103.35,-11896.23,-69101.01,-604177.69,-592087.14,-571619.34,-342161.40,11307381.37,10746091.05,5542232.08,444678.09,5056186.47,5095319.15,237228.42,130358.19,1707503.61,6343521.80,6192252.72,5726005.56,9552633.50,2563971.70,1699922.63,835873.56,3428032.79,2563971.75,1709314.50,906509.59,1465126.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546407.15,854817.25,659038.28,287400.15,-7704030.43,-5903940.50,-3930419.44,-1963610.71,-7825203.17,-5920563.19,-3947042.12,-1973521.06,-7911693.76,-5891989.76,-3933665.07,-1973521.06,-5093006.45,-1426792.15,813599.11,-185669.39,22315686.61,-3671756.18,-2136851.00,-781023.42,-10796734.86,3511624.35,25824564.72,48220623.38,16466408.16,-375292.65,9040301.94,9134391.90,2458090.70,-772411.56,691722.00,16120.77,0,209444.98,7310372.87,3036811.63,5621794.83,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-937476.49,-667094.63,-418551.48,0,-363975.50,-94075.93,-11896.23,-69101.01,-604177.69,-592087.14,-571619.34,0,-1300111.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-16040891.59,-6917121.09,-4432180.67,-1821665.26,74061430.66,41294514.04,-25132330.89,-9977882.27,-83446899.77,-58210817.38,-39140554.18,-21194882.64,51683398.88,-29978909.43,-20593405.17,-16108006.42,-23986357.41,-8715626.27,-4947081.09,-2615333.03,4091048.52,-1279926.70,3257089.46,5450251.43,-1153745.22,-2107459.54,-3301934.39,-2006885.41,-11791650.12,-7959843.25,-3657971.92,-1458462.82,64514425.96,63250442.16,-12022770.95,-21778019.33,-40754421.99,-34014692.32,-28098897.81,-14448708.17,23914020.43,7865117.20,9583344.32,4051032.50,108967061.09,112885029.55,42865587.34,1736562.10,51954121.13,23002921.16,20098930.16,7886419.19,19653702.42,8961335.53,4838959.01,4251793.40,12326444.48,23211951.81,14650560.94,4447309.66,49394754.84,41543438.52,28976238.50,3924959.20,60572615.00,59228553.32,53760055.98,-1146195.08,6275989.32,-12980206.45,-8365432.41,-2148912.55,-48211267.01,-1662765.81,19053837.65,63451903.41,30634809.58,-10353401.51,-95323576.15,-11330450.42,-16017176.66,28474674.96,2253894.50,4088200.40,18012454.76,3147786.74,-18223786.61,1951849.64,44357588.04,63047800.00,61049614.74,21991387.66,0.0
16,加:营业外收入,6241372.81,4981739.55,3426043.02,1912484.30,2277833.35,0,263257.46,107794.29,483922.02,383101.66,292952.23,157983.80,2929711.25,752590.23,528224.40,82114.56,418749.75,317448.68,215257.40,51024.66,201568.55,148003.19,109730.51,46431.78,330214.34,86157.58,51433.64,32914.50,2439133.91,576995.75,555197.26,521870.88,362694.51,257411.79,215295.60,119984.44,592404.06,408445.05,361902.21,58051.56,24894559.58,24826055.67,24765448.71,105586.73,587362.41,391422.34,196483.78,112123.79,1117359.46,707112.29,312095.72,261064.24,1138575.07,927011.18,845852.98,71664.92,858884.71,544173.55,349189.51,76327.31,549344.65,312943.32,118663.29,38972.42,296542.91,181563.49,35747.54,0,12865.00,3065.00,3065.00,3065.00,24445.81,5069.00,18343292.67,2767450.15,12855080.84,18222890.98,16631073.18,3785388.85,27971964.61,0,29578761.73,0,1242435.94,0,2448340.25,0,388891.17,0,723337.01,180.38,0.0
17,减：营业外支出,50700.44,5700.44,5700.44,100.00,27598.76,0,41521.01,18383.80,1813987.78,91435.10,11784.85,2140.42,2815251.21,2056883.05,55883.92,15514.59,471360.20,135680.86,87998.08,3342.09,223101.06,6822.74,6486.14,2850.17,94976.52,31704.38,31704.38,31301.69,103621.84,45250.93,32138.36,54730.48,4293589.05,462583.08,168598.72,79745.98,1459779.92,1268498.45,1145572.80,14000.81,1806684.20,1543124.64,1476390.27,75925.97,1946240.62,1027915.35,250757.40,7.76,976443.83,983845.12,871685.22,648406.23,3018750.14,2343711.91,1290961.91,45904.16,754011.83,179271.49,58520.56,6147.50,4642532.55,735240.38,294354.12,0,54501.71,54501.71,54205.71,4.61,4124229.35,102.04,102.04,0,820845.05,484907.89,31388683.62,2522852.30,6641343.87,13894967.22,49758453.96,1102962.60,1267735.68,0,11592538.74,0,1554070.02,0,10264248.43,0,3164036.89,0,97851.75,23881.94,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,4094.18,4094.18,2057.38,12592.16,0,9008.41,0,87940.73,0,75897.10,0,197830.34,0,3635.97,0,66351.04,0,31301.69,0,340.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
