,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,1244055229.19,980748448.10,588191091.61,189681709.65,1323599079.50,1201625084.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,80568054.95,21306435.53,3320654.56,-474296.77,2646278.73,206856.59,-2139901.00,-1731109.78,13544889.52,-8396387.34,-8253121.77,0,5417006.06,472847.73,472847.73,0,21863190.17,1358962.86,1358962.86,-600000.00,27961590.98,1938811.40,1938811.40,0,3626999.51,3025469.05,3381354.72,0,6091421.88,751088.43,1044292.48,0,2280722.04,1645005.34,1645005.34,0,2607126.36,685978.66,1744970.43,0,1067480.57,723919.16,843948.36,0,3671491.28,242773.40,242773.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,2055106.58,2495029.66,4066144.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5815736.31,1732350.64,2310217.79,1568496.54,-7943102.35,-5156442.21,-3437850.31,-372871.95,1636643.32,6640554.62,3894500.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,31012839.73,43935847.31,13793231.06,-8166011.60,254230771.23,159283377.76,21052286.36,5107673.36,1419047.41,-3526738.89,1304762.35,873607.88,4443723.62,745071.61,-540326.95,50000.00,1832977.12,704581.91,704581.91,256657.53,5118761.29,2269299.59,2104396.00,505822.48,3967421.31,1376234.11,445281.77,291736.99,2117735.97,486045.94,455458.16,67513.06,564942.39,525254.53,389115.78,58970.62,184659.37,104351.15,117339.53,12911.55,-4154605.29,885644.92,402303.81,186981.76,-1249708.84,113060.05,100688.15,0,5025671.82,-17020.00,0,0,-2862791.67,0,0,0,-1962287.95,0,0,0,-59964.97,-59964.97,-59964.97,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,21289102.85,37374890.25,10280252.58,-10158359.02,44546359.40,7814455.29,15328961.05,4107673.36,-1746850.67,-3193304.66,-343422.08,0,97441.64,745071.61,-540326.95,50000.00,-434213.54,540494.25,340494.25,0,2546785.78,1650800.97,1743431.62,0,3852018.77,837981.74,160165.70,0,2095284.27,486045.94,455458.16,67513.06,564942.39,525254.53,389115.78,58970.62,184659.37,104351.15,117339.53,12911.55,589314.10,486388.13,402303.81,0,135665.51,107525.50,95153.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,28986.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,4156240306.90,3350150051.52,2298316624.93,1128927877.13,4789344948.33,3270754396.31,85603061.51,15107709.17,144520633.60,100866511.76,66522919.84,16343346.92,113450564.42,106119535.79,65919959.67,18492577.53,138007187.37,91069806.06,59025553.20,20497086.19,130459105.66,115185908.10,78674618.77,38136027.58,112577197.26,102657911.08,55269496.07,12401984.27,58772170.44,44714181.27,29245301.92,9125876.18,50198186.73,48932601.16,37764863.00,15441036.53,80827247.28,64502275.16,46343156.18,16105095.43,74145375.47,54417092.20,38890595.16,16325028.55,33921545.73,19454361.07,9334810.45,3638610.78,27269138.43,24626326.97,16205735.04,4866548.36,22477726.54,17611731.88,10959923.53,3686894.04,15475025.99,11000103.47,7210846.53,1650378.26,15397360.76,14853942.01,10578270.34,5257233.91,21186696.73,14629372.82,10284601.86,3706876.90,19147899.53,20311624.42,0.0
16,加:营业外收入,105936025.35,54415858.87,41666498.57,20111722.99,40784288.69,37890330.93,411631.75,44961.75,7862831.19,817882.39,260611.57,1970969.46,3487555.73,2486101.14,1885019.72,352216.95,8695855.75,2377005.57,1379205.65,979995.81,4337599.19,2659488.02,1624308.09,696822.95,4921657.50,4069527.71,2485267.64,1548328.30,2809939.23,1515632.94,547445.77,7722.00,2632978.88,820536.07,625109.29,452482.35,1234249.30,448488.50,274935.10,134788.25,1004549.47,840104.45,621342.40,96326.00,572280.86,7603.00,4958.00,20.00,220384.28,132229.76,14846.76,550.00,8982.03,7089.00,2740.00,1340.00,34755.08,6176.00,4336.00,850.00,620.18,84810.86,84810.86,84210.86,0,0,0,0,50.00,60526.79,0.0
17,减：营业外支出,77603394.35,50622099.78,28613772.00,10182366.22,414012110.77,104158004.12,508995.20,209755.78,1970300.09,963894.86,605299.62,25293.56,3851813.80,2360290.84,1484785.98,1294105.22,8085949.73,1153138.84,501982.44,92856.88,2408504.08,1233264.65,990185.88,132550.70,2717449.54,2192467.38,1508120.57,608136.51,3079771.47,723848.10,667980.20,76635.26,231080.92,251415.44,75479.76,14977.46,3733694.40,239974.99,201356.13,85705.87,851584.30,97075.81,75257.94,469.61,4409774.25,96276.91,39685.63,3200.00,1314954.66,80843.91,78937.33,437.39,147257.98,28559.00,18559.00,18559.00,105527.90,40767.82,30767.82,6321.53,182991.78,51756.09,51200.49,50000.00,203558.88,0,0,0,212566.51,164013.24,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,123056.87,94260.25,15758.04,1281066.58,481019.32,232075.98,229503.59,7205670.09,409541.48,303163.06,36439.66,876310.67,783862.59,702433.22,0,51787.34,133272.03,123316.03,4306.82,1729034.34,579973.19,570208.66,0,60726.61,0,4615.38,0,3051009.94,0,120819.21,75546.00,319217.20,0,0,0,3889277.03,0,0,0,1238556.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,4184572937.90,3353943810.61,2311369351.50,1138857233.90,4416117126.25,3204486723.12,85505698.06,14942915.14,150413164.70,100720499.29,66178231.79,18289022.82,113086306.35,106245346.09,66320193.41,17550689.26,138617093.39,92293672.79,59902776.41,21384225.12,132388200.77,116612131.47,79308740.98,38700299.83,114781405.22,104534971.41,56246643.14,13342176.06,58502338.20,45505966.11,29124767.49,9056962.92,52600084.69,49501721.79,38314492.53,15878541.42,78327802.18,64710788.67,46416735.15,16154177.81,74298340.64,55160120.84,39436679.62,16420884.94,30084052.34,19365687.16,9300082.82,3635430.78,26174568.05,24677712.82,16141644.47,4866660.97,22339450.59,17590261.88,10944104.53,3669675.04,15404253.17,10965511.65,7184414.71,1644906.73,15214989.16,14886996.78,10611880.71,5291444.77,20983137.85,14629372.82,10284601.86,3706876.90,18935383.02,20208137.97,0.0
20,减：所得税费用,571434176.66,437288533.79,327704056.55,181946964.22,468952247.82,320580411.85,13205574.28,3337016.71,27387895.76,18813699.40,13235484.97,5064253.52,19618935.58,16125503.66,10809961.00,4456839.85,20296793.96,20135753.71,12810534.93,5142658.38,28792083.33,22150559.67,16082290.00,7917162.26,27202418.00,19159288.82,10769975.86,2629752.59,18683269.41,10262196.53,8060513.91,1426834.40,15616674.11,11004046.47,10229958.08,4268602.62,18213927.00,13918655.03,10058510.95,2840065.93,15389967.58,7189381.35,5051635.60,2264985.61,3269898.36,3944296.20,2648590.05,1355350.21,9740864.68,8281963.11,5237444.54,1320551.44,8328154.39,5857324.75,3711428.54,1347192.30,6383115.04,3799121.53,2629438.21,844651.47,5497582.62,4894844.58,3463785.63,1746176.77,7004029.36,4818207.18,3405658.35,1269541.30,6362915.09,6706620.73,0.0
21,五、净利润,3613138761.24,2916655276.82,1983665294.95,956910269.68,3947164878.43,2883906311.27,72300123.78,11605898.43,123025268.94,81906799.89,52942746.82,13224769.30,93467370.77,90119842.43,55510232.41,13093849.41,118320299.43,72157919.08,47092241.48,16241566.74,103596117.44,94461571.80,63226450.98,30783137.57,87578987.22,85375682.59,45476667.28,10712423.47,39819068.79,35243769.58,21064253.58,7630128.52,36983410.58,38497675.32,28084534.45,11609938.80,60113875.18,50792133.64,36358224.20,13314111.88,58908373.06,47970739.49,34385044.02,14155899.33,26814153.98,15421390.96,6651492.77,2280080.57,16433703.37,16395749.71,10904199.93,3546109.53,14011296.20,11732937.13,7232675.99,2322482.74,9021138.13,7166390.12,4554976.50,800255.26,9717406.54,9992152.20,7148095.08,3545268.00,13979108.49,9811165.64,6878943.51,2437335.60,12572467.93,13501517.24,0.0
22,归属于母公司所有者的净利润,3628134009.48,2833362122.71,1925673109.51,909432969.64,3549309194.46,2463275203.69,72168373.78,13219770.87,118892403.53,78202846.99,51185566.30,13484798.19,90062230.64,87041395.84,55477564.83,14707890.64,116221367.62,69502323.35,46529328.07,17446953.11,97970670.27,91097786.46,61423583.09,31118983.46,82548601.57,80292174.21,44778811.95,11914800.90,36277217.67,30258000.25,17616908.61,6843157.90,34422592.45,34554952.48,25136191.40,9910538.76,54430858.07,45912754.94,31910842.49,12148951.03,53758826.65,42151483.97,30462059.91,13188126.70,25250631.91,13921239.41,6702959.88,2726725.01,16932882.60,15729596.50,10317833.45,3274815.00,14040052.04,11804580.31,7368867.87,2508209.38,9034809.86,7159165.07,4654222.36,918913.63,9769517.74,9977080.12,7142082.83,3538845.76,13976226.48,9807594.78,6878162.12,2442143.90,12570385.87,13500255.39,0.0
23,少数股东损益,-14995248.24,83293154.11,57992185.44,47477300.04,397855683.97,420631107.58,131750.00,-1613872.44,4132865.41,3703952.90,1757180.52,-260028.89,3405140.13,3078446.59,32667.58,-1614041.23,2098931.81,2655595.73,562913.41,-1205386.37,5625447.17,3363785.34,1802867.89,-335845.89,5030385.65,5083508.38,697855.33,-1202377.43,3541851.12,4985769.33,3447344.97,786970.62,2560818.13,3942722.84,2948343.05,1699400.04,5683017.11,4879378.70,4447381.71,1165160.85,5149546.41,5819255.52,3922984.11,967772.63,1563522.07,1500151.55,-51467.11,-446644.44,-499179.23,666153.21,586366.48,271294.53,-28755.84,-71643.18,-136191.88,-185726.64,-13671.73,7225.05,-99245.86,-118658.37,-52111.20,15072.08,6012.25,6422.24,2882.01,3570.86,781.39,-4808.30,2082.06,1261.85,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),1.680000,1.310000,0.890000,0.430000,1.680000,1.170000,0.240000,0.040000,0.410000,0.280000,0.190000,0.050000,0.340000,0.330000,0.210000,0.060000,0.440000,0.260000,0.270000,0.100000,0.560000,0.520000,0.350000,0.180000,0.470000,0.460000,0.260000,0.070000,0.270000,0.230000,0.140000,0.050000,0.270000,0.270000,0.230000,0.090000,0.500000,0.430000,0.300000,0.130000,0.600000,0.470000,0.338000,0.150000,0.280000,0.155000,0.074000,0.030000,0.190000,0.175000,0.115000,0.036000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),1.680000,1.310000,0.890000,0.430000,0,1.170000,0.240000,0.040000,0.410000,0.280000,0.190000,0.050000,0.340000,0.330000,0.210000,0.060000,0.440000,0.260000,0.270000,0.100000,0.560000,0.520000,0.350000,0.180000,0.470000,0.460000,0.260000,0.070000,0.270000,0.230000,0.140000,0.050000,0.270000,0.270000,0.230000,0.090000,0.500000,0.430000,0.300000,0.130000,0.600000,0.470000,0.338000,0.150000,0.280000,0.155000,0.074000,0.030000,0.190000,0.175000,0.115000,0.036000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,62380000.00,0,0,0,-17350000.00,62250000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200.00,7200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,3675518761.24,2916655276.82,1983665294.95,956910269.68,3929814878.43,2946156311.27,72300123.78,11605898.43,123025268.94,81906799.89,52942746.82,13224769.30,93467370.77,90119842.43,55510232.41,13093849.41,118320299.43,72157919.08,47092241.48,16241566.74,103596117.44,94461571.80,63226450.98,30783137.57,87578987.22,85375682.59,45476667.28,10712423.47,39819068.79,35243769.58,21064253.58,7630128.52,36983410.58,38497675.32,28084534.45,11609938.80,60113875.18,50792133.64,36358224.20,13314111.88,58908373.06,47977939.49,34392244.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,3690514009.48,2833362122.71,1925673109.51,909432969.64,3531959194.46,2525525203.69,72168373.78,13219770.87,118892403.53,78202846.99,51185566.30,13484798.19,90062230.64,87041395.84,55477564.83,14707890.64,116221367.62,69502323.35,46529328.07,17446953.11,97970670.27,91097786.46,61423583.09,31118983.46,82548601.57,80292174.21,44778811.95,11914800.90,36277217.67,30258000.25,17616908.61,6843157.90,34422592.45,34554952.48,25136191.40,9910538.76,54430858.07,45912754.94,31910842.49,12148951.03,53758826.65,42155155.97,30465731.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-14995248.24,83293154.11,57992185.44,47477300.04,397855683.97,420631107.58,131750.00,-1613872.44,4132865.41,3703952.90,1757180.52,-260028.89,3405140.13,3078446.59,32667.58,-1614041.23,2098931.81,2655595.73,562913.41,-1205386.37,5625447.17,3363785.34,1802867.89,-335845.89,5030385.65,5083508.38,697855.33,-1202377.43,3541851.12,4985769.33,3447344.97,786970.62,2560818.13,3942722.84,2948343.05,1699400.04,5683017.11,4879378.70,4447381.71,1165160.85,5149546.41,5822783.52,3926512.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
