,报表日期,20191231,20190930,20181231,20180930,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,6069237197.93,4185955141.21,4108185009.40,2779335967.05,0,107889231.59,98720604.59,93226352.34,2693717.64,61389756.94,23681916.90,20632016.92,14613109.06,187596980.40,142586646.93,106754116.51,52819954.44,511336270.64,504778707.00,397969028.90,223169549.20,239550447.49,8785698.33,6533832.99,3886775.63,95027221.81,78212689.12,76412879.32,44338257.85,356934281.46,291015257.82,171263698.51,169026317.38,368609284.33,112380197.64,110437630.76,1909899.69,950783417.40,396125862.45,252090344.90,60545920.04,678644829.25,356016386.57,235037457.93,85904185.05,709227682.57,275180129.93,496274480.34,184436853.69,547929602.97,209908755.81,608016585.67,325837009.22,528535266.24,175640713.40,448694439.51,206698263.63,446872532.55,395854510.00,522630820.00,0.0
2,营业收入,6069237197.93,4185955141.21,4108185009.40,2779335967.05,0,107889231.59,98720604.59,93226352.34,2693717.64,61389756.94,23681916.90,20632016.92,14613109.06,187596980.40,142586646.93,106754116.51,52819954.44,511336270.64,504778707.00,397969028.90,223169549.20,239550447.49,8785698.33,6533832.99,3886775.63,94650380.59,78024268.51,76224458.71,44338257.85,356561785.89,290826837.21,171075277.90,169026317.38,368232749.83,112090487.85,110147920.97,1909899.69,947851003.38,393417795.94,252512037.81,59683202.25,678992496.92,354128940.47,233861717.03,85263585.00,709404619.37,274775369.05,495044179.90,183646037.61,548019878.24,208147003.21,607703510.36,325549086.27,527686558.47,175060649.61,448295338.18,206458244.47,446872532.55,395854510.00,522630820.00,0.0
3,二、营业总成本,5516365699.62,3682309641.24,3840123212.97,2599359106.49,0,120022629.62,73817235.78,61892445.94,2926168.66,75545912.32,14907677.32,11731483.65,5792693.58,149383988.69,93720864.13,68261781.69,30126294.59,396528866.72,425265187.72,363679492.37,206755884.40,226970823.43,17839700.41,13615652.69,2785591.20,61046422.15,45721212.76,46189786.32,26894715.00,222316226.23,183047175.54,113409323.50,103566809.07,260258685.61,99431506.89,93156785.12,6945579.29,880071456.13,391847872.63,247682023.23,59733256.60,666400471.99,351156112.82,227505049.66,84862452.42,768458153.06,273317332.96,487802871.71,170911085.98,530394758.53,203552931.05,611723058.07,309096501.00,482573229.83,0,409939547.37,190936320.24,409969524.78,356326070.00,484066590.00,0.0
4,营业成本,4973040279.57,3284644195.06,3372372593.62,2288796665.55,0,56842510.26,49517654.27,46754476.87,910636.10,56124771.55,3952493.48,3041857.38,1840425.37,123431868.94,73845522.23,54879138.42,23242733.12,346453837.53,375658019.94,325673747.26,189190677.65,194082839.60,2882466.55,2081444.03,1178978.96,47469745.79,34033500.74,33232478.21,20996889.68,180932142.49,148025727.74,88261605.67,87460583.14,212576340.52,73370145.35,72569122.82,801022.53,782505380.33,331796151.52,205529452.63,44650090.46,599708057.01,300281880.53,195059736.95,69328908.48,712026988.32,243603487.08,434001185.02,146377051.25,460431178.12,175813787.87,551418873.79,270188030.58,429475058.01,0,351887750.51,152418806.40,339675584.78,318040890.00,480876120.00,0.0
5,营业税金及附加,10243936.93,6312640.16,11225830.63,8837652.87,0,36605166.55,7346212.81,6982994.69,152368.19,10539015.04,3458955.09,3279390.59,914531.19,12042415.60,9143853.89,6855976.11,3410780.50,32650294.35,32245374.08,25427222.36,14265157.07,15409675.68,502018.41,378165.81,232577.65,5112174.46,5012882.30,4913892.77,2861659.29,23091953.42,18841453.80,11079554.91,10966862.08,24691717.29,6164976.84,6058135.66,105044.48,18483694.69,71736.09,63339.48,27114.84,2240509.75,870313.39,364818.04,54965.24,3999951.87,765717.70,1445410.50,914756.75,1808181.69,140447.46,3569085.02,2304691.94,2105567.70,0,1243025.05,81571.46,837727.44,0,15219490.00,0.0
6,销售费用,51454811.32,38715021.27,32894960.61,25575495.76,0,1024552.50,140731.50,31881.00,0,51449.50,51449.50,44542.50,43342.50,1051919.40,698723.60,181920.00,39567.88,847300.70,2351237.42,2308477.42,99032.70,7058336.70,1677626.00,1474726.00,24956.00,1963303.71,1353358.71,1284399.10,160898.20,1561026.52,2583496.98,2552016.28,393305.78,3226913.30,2546160.10,1852940.00,713483.80,5074751.33,2648449.14,2825090.12,568929.96,3429338.24,49400.00,49400.00,30000.00,62720.00,12720.00,61000.00,11000.00,72404.00,41000.00,225720.00,1894365.58,221135.00,0,384836.00,116356.00,607699.37,433280.00,1898700.00,0.0
7,管理费用,152664435.88,111177987.44,115987500.08,75378244.73,0,12125974.22,8774749.24,5780628.78,1999559.99,11021784.49,8794549.20,6557320.70,3387094.80,12780110.44,10094878.90,6289912.14,3401285.16,15914604.87,13654741.33,10013572.77,3148363.38,10341143.87,12772207.86,9599578.14,1388426.32,6784084.66,5255131.86,6262413.88,2658927.03,12978288.54,10726928.88,9079066.31,3385811.28,12398121.77,10701550.29,7962280.11,2998030.69,45152746.32,35033756.03,23318042.28,7563825.72,26305828.01,22678495.96,13923525.95,6705593.43,23333627.25,10921398.34,24174141.17,14628705.27,36943418.06,13637084.99,23772946.87,18902699.44,22313104.36,0,38162340.84,24663324.64,42726342.53,34262370.00,28245780.00,0.0
8,财务费用,108390989.54,81883763.61,106851643.74,63945568.61,0,12786523.30,7068512.82,1373429.40,-136482.70,-1867766.32,-1318316.17,-1164823.74,-378431.59,-152175.80,-68840.64,-27210.77,14856.48,839169.03,2136279.94,-81465.78,-27498.20,-218842.58,-108920.26,-55671.20,-6381.26,-282886.47,66339.15,496602.36,216340.80,3752815.26,2869568.14,2437080.33,1360246.79,7365592.73,6648674.31,4714306.53,2327997.79,28854883.46,22297779.85,15946098.72,6923295.62,34716738.98,27276022.94,18107568.72,8742985.27,29034865.62,18014009.84,27411911.66,8695883.37,31139576.66,13920610.73,32736432.39,15806713.46,28458364.76,0,18261594.97,13656261.74,26122170.66,3589530.00,-42173500.00,0.0
