,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,915896295.30,560830049.59,157656381.18,1999010492.67,719836746.00,497866494.34,178649887.23,1955572433.28,1024051178.92,686960389.34,236546890.77,2002730978.07,936943750.11,707158661.28,274104037.77,1849322333.46,903423020.13,541907093.43,243620044.54,1606267313.31,647377318.22,429374281.03,185158067.03,1051698550.55,643511175.08,361162020.05,187490175.62,1043354243.01,599189194.42,460715169.40,274328750.96,1386544009.92,1006582144.65,729840191.07,496438225.10,1785829479.40,1395048873.82,1054167700.90,446366410.40,1727899967.14,1274380026.68,687236983.96,254926456.35,1150569449.41,200978307.87,119340878.39,64075574.18,296881588.07,265221603.17,193333200.93,99129449.52,412596379.95,314991931.04,217853057.80,100603692.77,259969165.65,191649206.45,118635652.28,51042463.94,203027601.49,152122926.83,107152466.66,51006077.73,245087182.39,184328135.01,120017689.83,62789597.41,219520623.03,158328504.02,100850312.71,190335220.50,146719342.54,0.0
2,营业收入,915896295.30,560830049.59,157656381.18,1999010492.67,719836746.00,497866494.34,178649887.23,1955572433.28,1024051178.92,686960389.34,236546890.77,2002730978.07,936943750.11,707158661.28,274104037.77,1849322333.46,903423020.13,541907093.43,243620044.54,1606267313.31,647377318.22,429374281.03,185158067.03,1051698550.55,643511175.08,361162020.05,187490175.62,1043354243.01,599189194.42,460715169.40,274328750.96,1386544009.92,1006582144.65,729840191.07,496438225.10,1785829479.40,1395048873.82,1054167700.90,446366410.40,1727899967.14,1274380026.68,687236983.96,254926456.35,1150569449.41,200978307.87,119340878.39,64075574.18,296881588.07,265221603.17,193333200.93,99129449.52,377594574.06,314991931.04,217853057.80,100603692.77,258478998.25,190627099.22,118023178.71,50670989.37,202020123.16,151527702.62,106716937.68,50584908.34,244129373.25,183415232.64,119520706.84,62712200.01,219361501.11,157890307.20,100619388.14,190106805.24,146699332.20,0.0
3,二、营业总成本,870480763.65,530660936.20,157649044.25,1894061826.76,704375879.82,476277757.85,173875739.27,1833425841.22,984112034.86,650923407.60,211428852.81,1865808547.23,902792976.43,671699907.37,262240759.30,1737107794.91,853268302.24,511381003.13,226764560.64,1557678056.40,605672254.07,408429711.30,165273137.43,984833929.66,618794372.44,345565594.96,169642418.38,1013452648.87,598749398.44,454849652.67,272670107.85,1364619357.67,989813912.01,710907992.61,477064681.79,1532059033.04,1202049485.18,892350306.93,412019135.21,1554071697.89,1171657239.55,617083975.48,218129730.51,968583198.95,222816586.28,131108114.93,71961091.65,331157261.90,261651652.30,185124026.22,94210850.30,384715255.57,296267564.25,203960926.16,94061796.11,241221577.12,177278842.92,108399299.48,47458806.37,186235972.78,139969678.12,97648199.86,46653820.35,217693808.06,164311013.85,106803773.32,57664132.31,194466093.68,139339683.22,92112245.78,165771174.10,129857293.43,0.0
4,营业成本,601027451.10,358777389.73,94972272.84,1465147853.53,439161101.93,301883668.18,98020490.83,1434284146.58,741031788.20,489745750.69,141923133.12,1478766230.68,661070500.37,512531002.56,192898573.73,1386230722.06,631239471.60,367667379.66,162505883.76,1161613258.88,415703540.39,275911038.35,109021111.80,722025725.64,454047416.19,244170606.93,135448633.14,764261862.43,434498276.00,335645103.32,213760085.44,1082792809.67,795181981.08,583504319.31,415839003.68,1267606706.08,1021345593.81,781780514.91,348541448.51,1393898133.52,1052002482.20,540507606.78,181181109.24,770803799.47,164289762.98,91247967.84,48258187.41,232769080.84,203539944.02,147539733.54,78248125.52,296894825.38,230056115.03,156818740.11,70935799.22,197344698.31,144531715.49,88410837.30,37916085.63,146211882.14,110809357.80,77201071.12,36575539.14,170342566.57,126034960.84,84001213.13,45898444.18,154303446.74,111551966.97,72646546.34,125923062.13,107238939.83,0.0
5,营业税金及附加,9334767.44,6571898.04,2426311.94,15381934.17,10823236.52,6715429.30,2714533.10,16039288.24,11778063.27,10565332.73,3693211.67,13955082.75,3395212.94,2497580.00,1012549.79,4600042.24,3070340.88,2164288.57,647202.01,3642597.23,2074965.67,1311071.06,474614.77,2636365.83,1914701.55,1286398.35,880798.42,3261491.75,2632118.11,1977265.09,1034746.54,3228591.38,2656715.83,1799269.43,873330.58,2710278.54,2532896.84,1954333.70,624315.30,1055130.40,778274.35,326635.88,133549.52,1015402.56,372068.41,216643.70,91542.76,1173905.50,1154991.87,705247.27,224307.42,1629442.22,1196609.10,775307.46,294071.62,1131900.21,768248.68,377305.77,196756.94,1265644.95,849969.56,646594.86,338260.60,1433050.54,1014674.15,747263.27,311118.40,1602641.73,1359956.33,954332.92,1013889.62,882525.82,0.0
6,销售费用,48402177.07,27615352.95,9663427.51,65868632.86,36725714.73,23465399.01,8838348.79,52132024.77,33510713.96,21533438.33,8775577.65,62645371.10,39337060.56,28756080.03,10394614.10,60917650.66,41670204.00,26899036.27,9820327.93,62445532.29,37052873.30,25114081.77,6471847.09,38399313.01,30734138.75,19991786.38,6328963.37,46678897.65,29630375.36,20214706.09,9562088.42,42715546.03,34751585.64,21089472.95,7056849.39,43751520.82,23827787.77,14607291.74,10901302.93,17764257.42,10490264.06,6893193.08,3185324.19,15982906.55,12492969.38,8566868.73,5489982.00,33313271.82,19544109.96,11955674.13,4963132.32,29217346.85,22340823.30,15424056.11,5232194.22,15946527.13,11269525.22,6379473.44,2771486.82,12887507.34,8450400.75,5289429.05,2895447.92,15811680.97,12562650.42,7350351.73,3477360.50,12843929.33,9114730.96,7010478.69,14752679.58,10515696.49,0.0
7,管理费用,129200728.99,75190895.68,40300269.36,215149698.34,138387672.95,138231634.50,60720614.36,301430642.33,185752177.20,120440908.96,51928414.82,283541839.85,187556566.87,120675230.95,53860817.30,251565009.40,162812957.60,104563151.19,49873809.81,287125631.42,146900470.45,97098557.04,44920854.88,223176366.24,141038340.39,86196327.86,37986547.27,193946649.82,129082768.68,88258870.50,41338546.69,192224530.45,126680219.92,84569569.21,41920635.83,178536562.66,125492439.57,81014038.28,44390074.09,113251532.82,85178200.58,55135088.16,28499368.41,146501314.72,34621644.77,22205908.87,14073847.39,39277450.33,29103146.74,19912502.02,10106152.90,48723432.30,34986219.80,25731886.97,14927760.84,30164097.56,23623692.93,15164851.18,7282187.15,28335372.19,21784944.08,16109550.69,7635030.91,28785804.50,22055887.79,12628231.98,6439330.18,20871781.35,13698147.81,9092995.67,19631127.08,9457378.12,0.0
8,财务费用,-2130029.07,-1760646.98,1262493.00,9938684.75,8022782.12,5766654.65,3581752.19,17766063.02,11927992.23,8526676.89,5108515.55,16760604.62,11218375.95,6990013.83,4074204.38,19808502.99,12871863.46,9042007.89,3917337.13,18585883.86,8149822.62,5388986.29,2727168.35,12935299.50,7806089.00,5861580.57,2142045.55,21685331.79,13950597.22,11203107.77,7359014.02,27258791.44,17144672.46,11124017.77,6716244.19,20883136.39,14428665.91,7230848.11,4522556.42,16127063.30,17231905.86,11383133.77,3167964.99,20094638.26,1795694.93,1281238.58,1157404.34,-2120986.94,-1274748.18,-652517.77,-290364.53,-1286717.46,-927379.28,-670822.50,-229299.05,-3365646.09,-2914339.40,-1933168.21,-707710.17,-2464433.84,-1924994.07,-1598445.86,-790458.22,1320705.48,2642840.65,2076713.21,1537879.05,4844294.53,3614881.15,2407892.16,4450415.69,1762753.17,0.0
