,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,602070830.55,404046038.47,222220243.48,659404116.18,386337716.82,248957671.34,109489227.89,604728400.87,446697068.56,315328902.05,160968879.39,609611922.62,388288204.75,259247304.53,127936873.98,789293896.83,575072409.08,376140808.30,176785047.85,844880008.50,573957920.27,405877361.99,201612469.37,814631098.67,591789761.71,329554622.01,130943386.94,707746144.17,540226622.09,362510258.95,193550861.15,682711033.74,514569150.93,315261140.27,145582300.78,568734577.22,396081958.70,228549153.88,92522163.28,409586576.19,282191112.76,169995924.25,71104605.40,321077047.73,212644737.66,126806391.05,61478955.30,261483695.11,191129837.94,247408229.15,166753478.57,0.0
2,营业收入,602070830.55,404046038.47,222220243.48,659404116.18,386337716.82,248957671.34,109489227.89,604728400.87,446697068.56,315328902.05,160968879.39,609611922.62,388288204.75,259247304.53,127936873.98,789293896.83,575072409.08,376140808.30,176785047.85,844880008.50,573957920.27,405877361.99,201612469.37,814631098.67,591789761.71,329554622.01,130943386.94,707746144.17,540226622.09,362510258.95,193550861.15,682711033.74,514569150.93,315261140.27,145582300.78,568734577.22,396081958.70,228549153.88,92522163.28,409586576.19,282191112.76,169995924.25,71104605.40,321077047.73,212644737.66,126806391.05,61478955.30,261483695.11,191129837.94,247408229.15,166753478.57,0.0
3,二、营业总成本,607199016.22,405809706.55,221347700.37,724326111.15,438350287.49,276879744.45,120361157.96,616298993.94,457947296.61,321440243.96,159339260.30,603316898.86,389339265.10,261719383.88,130462615.69,873382199.01,590464385.89,374803960.45,176892190.01,853348511.56,580083214.55,406909141.04,200944624.02,872720875.23,623791609.64,347051494.88,139002432.30,704526788.55,515409625.60,336736870.06,179002181.32,627112336.03,464717904.61,288986918.38,134179110.68,515811248.10,350746236.93,209017544.04,82808856.14,347198632.18,233624020.72,141678627.01,62506862.38,267987866.83,174354422.21,102252217.86,48410880.25,214303850.81,154940961.62,208210530.57,145259073.42,0.0
4,营业成本,487966713.35,326729379.10,172311714.25,539123097.78,324474210.13,208133007.18,89295003.99,484387083.69,358720042.47,253403270.70,126584495.06,482632511.68,302751054.63,207542592.39,106311957.18,669239561.11,476020889.27,304862211.99,145770330.75,692012293.92,472361297.57,333602950.44,168543169.06,706364371.83,510907817.29,279153403.67,108269564.33,562463422.40,417407457.45,274313398.57,146106985.10,499505755.60,375725154.87,233827837.02,106826015.80,402649154.32,274000507.79,159074496.37,60776366.74,262339336.96,176631087.22,104518350.87,45411064.36,195772424.72,124941509.72,71784907.47,34350046.36,160673435.92,116354878.24,169327360.80,115205981.24,0.0
5,营业税金及附加,6829639.43,4944297.34,2678160.04,10230211.61,7701752.41,5430595.84,2095033.04,10919857.25,8012704.07,5581531.58,2116893.17,8301163.19,1798903.12,1461786.85,868780.33,5251821.66,2376491.10,939083.75,313848.74,2683255.49,463075.98,141815.32,27321.01,3776343.04,1844030.61,1031940.13,379860.50,4619249.26,2640124.22,1871118.36,1450986.16,3871537.30,2861246.48,1737574.76,924763.52,1933884.18,1125450.67,525525.34,111692.73,2035982.32,1605149.34,1066508.29,887508.15,1967672.17,1427065.78,1015860.84,545788.89,3160973.79,2312304.92,3891629.17,1664839.41,0.0
6,销售费用,38261085.89,25176307.13,14107078.31,49633616.66,34715843.57,24562084.20,9848374.30,38437441.72,29433040.42,20637934.71,11262211.99,36012184.24,26185704.95,15634882.72,7605300.97,60206609.89,33583386.04,21411727.09,9208857.03,52845284.05,34980585.31,23940122.08,7981788.41,55927738.55,37277501.38,21375297.08,8659381.73,41170222.29,28933634.44,18378827.66,7339110.18,39599982.25,27390868.09,18468476.33,9018225.86,45522644.96,30246854.20,20455367.84,7550931.23,33684473.38,20195180.13,13447095.75,6637231.02,23737748.04,16246663.73,10349336.88,4572062.50,16938867.32,12125554.64,12586257.40,6894979.55,0.0
7,管理费用,58237177.30,38994026.70,23031667.18,82066863.15,56336466.89,43021353.86,18643819.99,76331676.33,57293914.03,35969074.33,18214475.28,71622280.41,55181217.12,34814143.19,15976632.80,95566654.29,71585759.93,43170498.50,21183646.07,90651710.10,64800576.04,43613370.20,22772858.31,89579825.57,65841391.84,44919126.64,22894732.42,88512227.05,60939341.01,39731473.13,19547071.08,73550722.39,52916399.94,33703072.16,17096311.27,56723558.00,39846363.38,24904540.98,12812346.00,44264582.46,30658506.56,19628016.89,8457293.17,37194359.89,26216816.38,16194874.88,6985384.00,24254113.62,17850686.68,20600047.51,16350951.31,0.0
8,财务费用,-3078329.46,1299698.22,1133048.38,-4352860.53,-4422919.63,-2459441.54,1669590.96,8756641.73,6919122.05,3992533.16,1683910.36,-3144448.31,-1302355.41,-1421083.10,61911.57,-6488555.86,-4964721.02,-912286.60,-621863.30,-753205.69,-524419.80,-835430.93,-286186.09,1727385.27,-118635.97,-696499.83,-784105.00,-498570.33,578802.44,2076096.89,1799110.52,3493154.06,2234965.85,987934.12,379375.08,2769960.88,2101932.45,1775686.40,1350798.20,4021115.80,3115382.33,2165948.96,1113765.68,8293248.19,6522366.60,3975657.54,1957598.50,5641043.87,3771264.18,3267395.36,2556410.87,0.0
