,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,11713948477.46,7504905392.97,3678837478.22,14927081526.13,10714612412.69,6940209662.52,3218609258.26,14806613721.37,10753542079.80,7117429838.67,3654478713.28,12505963090.84,8474364785.88,5644315459.17,2783865179.01,9809929398.84,6859358238.93,4700061122.26,2397520875.38,8712813026.98,6074875585.82,4122683129.74,2039154173.21,7291826322.14,5258064435.22,3233605682.11,1482454918.92,5599700057.95,3899759198.54,2432094328.27,1126511544.55,3682431442.24,2683947000.71,1782093334.88,863223005.50,3333110387.32,2472114956.36,1485322737.39,667747800.05,2813599528.03,2109390969.14,1279173010.78,511283344.01,2683072661.73,1958989870.24,1304108165.20,597117761.38,2643248354.76,1673937710.87,884358045.01,411910147.32,1498659025.39,1008477440.23,549459983.50,227230559.56,396793772.14,280628075.76,192745062.31,52381625.61,268207087.37,207967323.76,150675550.30,234347907.63,150883272.11,0.0
2,营业收入,11713948477.46,7504905392.97,3678837478.22,14927081526.13,10714612412.69,6940209662.52,3218609258.26,14806613721.37,10753542079.80,7117429838.67,3654478713.28,12505963090.84,8474364785.88,5644315459.17,2783865179.01,9809929398.84,6859358238.93,4700061122.26,2397520875.38,8712813026.98,6074875585.82,4122683129.74,2039154173.21,7291826322.14,5258064435.22,3233605682.11,1482454918.92,5599700057.95,3899759198.54,2432094328.27,1126511544.55,3682431442.24,2683947000.71,1782093334.88,863223005.50,3333110387.32,2472114956.36,1485322737.39,667747800.05,2813599528.03,2109390969.14,1279173010.78,511283344.01,2683072661.73,1958989870.24,1304108165.20,597117761.38,2643248354.76,1673937710.87,884358045.01,411910147.32,1483768250.57,998217496.79,544287442.87,223721164.15,391499764.50,273216943.48,186539299.42,51711039.03,264650866.35,205272635.41,149737235.84,232986015.49,150101011.77,0.0
3,二、营业总成本,10810530273.90,6960472170.34,3491649472.11,13961384146.89,9983151383.40,6499269896.29,3004985819.52,13585687172.73,9807188516.46,6514361370.94,3329778934.81,11423937971.77,7801768246.78,5211297426.38,2588455640.83,9380416052.77,6518938586.68,4415071580.85,2247198141.69,8054097017.02,5517747345.23,3755710361.82,1894847602.76,6864080734.93,4951200657.02,3027351320.07,1391664512.39,5383451176.80,3743767538.70,2337571296.48,1049515059.58,3402067054.43,2449924190.40,1600078113.08,764576520.67,2993936274.45,2216789515.85,1326713514.65,605555946.92,2637947538.83,1961240684.31,1211236216.86,499821236.86,2573808823.94,1837875498.42,1216413995.12,556369076.51,2442496614.50,1503580885.08,810394856.79,384103144.48,1376629907.94,907295452.94,489327256.60,197345829.37,383201344.33,265456432.20,182093043.13,57095518.87,223842526.03,172675768.42,120043862.01,189108021.03,122502693.13,0.0
4,营业成本,9378743343.89,6020191854.18,3011214358.00,11972050848.10,8651060526.50,5612227587.65,2579301182.41,11680977654.51,8451317319.30,5608655066.84,2892080048.75,9821568703.54,6760531709.97,4522436034.55,2230479412.69,8040936530.15,5576675920.08,3766395014.16,1895729626.08,6922714881.74,4756394087.61,3244052650.62,1656722101.38,5793197747.05,4197794372.37,2573411624.34,1190964089.64,4536704386.08,3157163347.41,1944466315.58,903395994.64,2895754063.06,2120429949.36,1397428442.91,668740510.11,2570822886.29,1928698305.49,1159027297.63,520803051.93,2205195129.15,1668954197.03,1028301961.60,421958138.02,2192254750.27,1582591616.04,1056425631.48,486504307.84,2137607006.11,1326135876.03,700838894.42,334137356.87,1178646207.14,788487083.73,427195771.49,171447767.14,309266294.26,218096355.38,148840265.82,43514962.05,181536275.57,142346477.74,99470312.30,150492030.90,98163724.65,0.0
5,营业税金及附加,45588728.41,31428300.44,22059994.33,67243666.00,51738339.65,38578879.38,21162791.63,82221064.24,53471049.74,38420883.52,23114139.46,67935500.93,36248350.67,25944332.46,16475784.61,45908392.83,28203947.05,22609382.11,14030010.96,39905980.28,28112022.28,19059641.09,10349877.67,31464923.92,19500017.80,12721666.71,6300269.03,23826937.55,11663541.15,7835858.38,4114796.76,17094097.83,10496378.80,7212875.56,3323026.55,8380710.42,5133187.36,3435156.47,2063782.94,4639383.31,3340529.01,2070501.50,692916.81,5673031.74,4313286.70,2971456.16,902473.21,2989985.10,1813632.76,633126.70,-41660.27,4014766.58,2951367.26,2274790.07,1077418.59,1885540.53,1490650.86,1167867.44,256171.30,802850.19,1104779.92,816133.28,1144797.19,615445.13,0.0
6,销售费用,356917193.89,227040467.46,106915552.05,477112937.72,311811459.62,205436176.25,93859024.64,450781524.99,324319027.55,216502831.91,120247500.64,380082955.97,245228079.31,160433699.48,83530697.33,300571371.29,201790639.26,130071611.27,65421945.23,271067968.50,183129402.87,124731698.04,56949964.43,230170339.35,168032541.25,111109577.26,53639015.92,196002095.86,150185478.98,80505364.34,41614464.11,136633227.07,91448830.16,56249317.59,27688058.96,120410858.68,89025839.07,54701883.69,26797217.47,90768014.54,65497987.87,38498137.31,15711994.05,90635718.99,61540058.65,41993619.44,14219146.01,104161895.58,57275878.55,35013157.04,15724099.95,54911279.95,29379235.26,11660063.50,5274013.08,13142100.71,8451628.19,5269055.75,1930641.87,7565590.16,5946139.55,3363163.74,6514531.14,4142329.96,0.0
7,管理费用,644255268.58,407036234.91,189048564.08,801425745.85,597821957.78,605343834.14,271042204.03,1152454513.52,856956768.62,580656951.18,260847871.98,997158752.12,701527188.06,460186131.20,234040119.32,922904143.01,689330140.66,455996745.04,236074324.87,729099313.26,487676833.09,326514621.13,142791598.28,655095888.46,472877123.65,294185344.73,117039767.21,507016191.89,347098493.34,230433319.45,95650076.67,335078791.49,225356938.93,134088184.82,61771948.88,264205361.80,180049252.41,111405822.40,54199936.60,251966563.54,160563219.15,103965120.88,46712857.21,204623942.35,143324848.49,85205070.88,42091787.94,172860050.81,104475874.86,67132241.88,31226849.94,114497764.81,67120372.26,34149695.76,13992371.35,46730193.16,30138845.85,21921266.97,9339478.34,26793928.13,18183335.52,13733199.62,27716831.87,17653994.80,0.0
8,财务费用,33349215.03,31984227.95,32107769.32,9398255.92,-4081926.95,15901063.58,29509919.12,92108504.51,80827443.90,40568962.13,10313313.19,8658264.34,371325.40,467655.18,1816600.75,19277480.44,6568596.78,11509573.27,5367420.50,30866776.42,9754110.64,6889811.78,3246806.35,20862078.42,26671706.19,10600053.92,7402987.49,7159831.82,642816.83,8203027.47,-9443417.74,-3888668.67,-5442304.40,-2927600.52,566228.15,-4390360.79,-4003702.22,-6525877.37,-3472588.30,38974831.69,39141573.67,26775760.72,12406566.13,60232953.28,41211169.10,26565992.45,11643484.04,13599376.85,8944905.81,3541281.96,2307811.76,24559889.46,19357394.43,14046935.78,5554259.21,12177215.67,7278951.92,4894587.15,2054265.31,7143881.98,5095035.69,2661053.07,3239829.93,1927198.59,0.0
