,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,6400020715.29,4516767515.51,3049432938.76,1613917561.22,5908850696.14,4205758340.11,2937286095.03,1583568738.62,5780119975.40,4051223310.98,2749339834.93,1462881075.96,5241450275.18,3596969193.16,2514976951.04,1358993669.16,5366107668.56,3834632612.29,2756734420.59,1515925331.16,6054679420.32,4230329453.54,809465956.66,460807456.22,2099550247.37,1342533383.89,994390770.59,580085212.32,2146480249.89,1435406571.90,1014629969.49,566410420.31,2210316167.51,1533115782.91,1063979306.94,579645850.74,1983421994.73,1346243241.09,918965234.81,485192410.33,1708078645.72,1137127659.78,824756092.86,433345405.37,1713507796.34,1201950529.64,840004337.77,486227989.74,1530853482.66,1016816023.59,682772673.86,375676066.17,1227393606.30,804142904.90,557520578.23,313618181.07,1245016177.75,837533600.42,578706373.66,312572131.86,1075792841.47,715076665.81,517873373.35,281849394.88,1070989035.05,711510719.47,471050191.19,288012908.23,970654186.02,681072066.08,468215569.98,260255775.80,998239706.74,497320818.16,867469832.71,414836081.49,753860420.72,369688268.19,837141908.37,438924088.75,866565330.64,468602604.12,927857509.50,495079541.82,893924009.65,461194800.00,908457000.00,460278996.96,0.0
2,营业收入,6400020715.29,4516767515.51,3049432938.76,1613917561.22,5908850696.14,4205758340.11,2937286095.03,1583568738.62,5780119975.40,4051223310.98,2749339834.93,1462881075.96,5241450275.18,3596969193.16,2514976951.04,1358993669.16,5366107668.56,3834632612.29,2756734420.59,1515925331.16,6054679420.32,4230329453.54,809465956.66,460807456.22,2099550247.37,1342533383.89,994390770.59,580085212.32,2146480249.89,1435406571.90,1014629969.49,566410420.31,2210316167.51,1533115782.91,1063979306.94,579645850.74,1983421994.73,1346243241.09,918965234.81,485192410.33,1708078645.72,1137127659.78,824756092.86,433345405.37,1713507796.34,1201950529.64,840004337.77,486227989.74,1530853482.66,1016816023.59,682772673.86,375676066.17,1186396246.06,781630506.96,543275227.11,306540653.51,1213876961.10,818466491.23,566585031.60,307279312.80,1052912348.52,703508841.77,510045591.99,278492750.31,1058094578.22,704506746.88,467749046.24,287221776.58,966143809.40,678927248.67,466830555.52,259934290.20,990095254.64,492951376.97,858837770.28,411212348.64,745370937.38,366651407.90,827478611.11,433866824.93,861710417.99,467731131.47,920582301.66,490568177.91,885802145.32,456734500.00,892672000.00,457242106.85,0.0
3,二、营业总成本,5958215186.19,4121097833.74,2755620448.08,1455252253.07,5474919215.25,3866481012.53,2689369292.28,1449821661.28,5288302113.72,3718132379.99,2518972224.07,1341119333.57,4793342733.25,3296960358.58,2281341571.48,1225952281.40,4927053216.20,3489455821.71,2490545333.13,1359396448.94,5597653366.12,3879823271.48,783428901.21,440009969.92,2016303205.11,1271269728.26,928037560.85,535260999.77,2045756478.32,1347224521.30,938167083.72,520296931.86,2104343984.31,1435315579.88,985698148.73,533442500.07,1891656018.78,1270353100.98,852197244.52,447017941.47,1625636524.83,1069515905.79,760087786.04,396848857.11,1614215937.77,1116625607.01,777539593.91,448146175.48,1443173508.79,940592541.52,627789029.16,345982682.00,1168468412.78,755993681.09,523052009.27,292026462.80,1219431610.42,824428643.34,567477009.57,303416519.42,1058446109.95,712354695.56,511741803.72,277619230.27,1050080636.59,705106258.46,465558066.01,281054252.18,954910158.11,669303745.89,459393808.31,253839946.68,1000041052.12,478977937.74,837331749.38,395511870.63,724775285.98,351878316.69,798698589.96,422333276.13,826250302.12,0,875521209.42,0,823446734.21,0,0,0,0.0
4,营业成本,5088029138.99,3569821112.34,2403002252.34,1270187455.10,4637308206.27,3270788826.79,2263629867.04,1227700494.87,4472163708.36,3135906804.86,2129005039.93,1140126312.80,4056754698.31,2778720587.68,1942001922.44,1051716765.43,4205570708.30,2978385019.15,2149468497.36,1179472257.12,4818358576.12,3328352607.48,658070849.80,373637553.67,1750248434.57,1086785342.49,800744738.36,467971509.61,1752622403.88,1148594690.60,808748387.43,455776002.45,1800049515.48,1233100352.34,851877489.59,460809803.17,1603519297.28,1075325792.74,725155000.00,382258785.20,1377338972.15,916543034.09,661002245.69,346447314.51,1383361849.10,971316173.10,677186187.47,398189676.16,1237107491.57,814603428.24,545093160.19,300062500.51,996538626.94,647279675.57,451073661.92,253585248.37,1046818822.99,710932886.70,491084641.09,258077598.45,906632037.19,600976654.68,434562130.74,235199908.77,874647139.47,598767126.90,393826207.51,240308454.69,802965700.59,565927904.92,395506726.20,212617393.06,844816377.49,419327170.83,739674555.47,358117316.08,647754230.66,314060652.91,718145742.65,377213775.11,733687499.83,0,774126742.45,0,755211955.96,0,0,0,0.0
5,营业税金及附加,80938398.59,56237264.86,35953356.95,20181951.34,72272066.90,50315541.94,31404880.68,17142613.48,69698045.49,49895876.28,33368147.54,16823592.13,67068028.57,40183437.26,27571050.06,15996614.70,60946835.36,45094092.68,30770590.26,16847875.72,70131405.37,51666380.49,9098925.39,4479052.62,18162257.90,12015624.87,8186111.73,3874980.16,16370298.58,12367377.49,8116011.03,4724824.65,17745028.41,12898789.27,7868879.44,4881620.88,15105114.07,11556297.31,6728516.11,3391582.77,13704881.59,9822369.17,6600643.31,4082400.49,16816263.35,13473929.61,8900909.07,3447448.37,13498279.59,9497276.24,5543382.33,3304739.11,7955512.53,4015481.03,2311627.67,1530393.20,6762705.23,3387024.07,1922330.61,1307280.64,5630941.94,2700600.66,2111270.93,1315444.04,5239030.98,2820663.27,2055128.54,1763150.79,5114452.28,3487891.59,2536172.94,1624432.05,4177380.88,1722729.57,2983559.09,1388363.18,3037661.24,1440633.90,3039914.03,1581664.96,4303406.34,0,5175555.59,0,4931167.62,0,0,0,0.0
6,销售费用,385204411.31,261496092.26,172964616.29,84106891.56,415998099.18,265484061.21,217928602.64,112657420.27,440232159.27,264963574.97,175948246.66,88145773.87,391005577.93,246834210.56,166025752.53,86289076.97,381646506.40,254086279.99,171116860.08,91502496.95,393645531.32,254776709.79,42985139.13,22462811.07,97958143.03,58847343.36,44074006.01,21895640.65,110698122.23,57472501.34,40173677.29,17507426.84,115116247.58,60219150.59,43859397.19,22552436.43,105892307.38,56342118.71,38033670.68,18283772.20,72185971.07,48754651.91,32068385.07,14315002.85,51681754.07,27939265.59,19895885.19,10319438.66,39651646.75,22842607.67,15943921.54,7520424.84,22428979.47,18446350.66,11301574.46,5758698.68,30782724.23,19244324.49,12932912.22,8315128.08,24935728.85,19114486.05,13968688.52,9931022.08,49676737.50,20105621.95,13762634.59,8038825.48,38098990.30,27647062.22,11953004.72,13920356.91,39316592.62,17317121.13,25740056.03,11212337.58,17363523.32,8312753.58,22631817.28,12669739.43,23504757.00,0,28476400.83,0,21849936.65,0,0,0,0.0
7,管理费用,436061930.29,269445679.55,173451589.16,86615952.89,395392137.11,301913814.01,183922438.85,95359687.09,324023688.50,270777317.35,180380647.05,96189444.05,299831076.42,237634313.10,151579690.55,76607169.04,309573293.46,229121929.57,149439833.03,77248879.23,323768687.80,245991234.81,71268706.91,38327883.15,140474959.37,110101576.05,72986188.66,41391746.54,161536161.89,125714374.67,79139814.71,42246870.38,161737393.05,122393073.39,78845620.43,44277135.32,154646919.11,119453915.88,78101706.68,41617378.28,152585674.61,89207411.74,57680161.63,31507962.67,157054616.66,97950899.18,70249583.54,35845057.17,146745908.84,88665005.48,58969224.83,33742339.37,135860985.15,82198446.34,55435766.02,29552772.74,125123618.76,80966654.95,54829763.73,32543855.77,109118434.86,78706724.33,54409440.43,28273225.04,105594442.13,71595135.68,47891787.04,27315604.49,93958236.20,61642828.65,42269483.51,22259338.43,95847106.61,34283441.94,56765518.77,19515472.70,44675089.98,22950227.24,47741473.18,27797365.30,54184898.07,0,56570949.32,0,38940411.07,0,0,0,0.0
8,财务费用,-32018692.99,-35902315.27,-29751366.66,-6141175.16,-48987421.92,-22445252.65,-7939998.29,-3304352.14,-15343045.25,-5371403.79,-1630249.97,1190900.23,-23948597.74,-5751074.86,-4952315.14,-4191135.21,-30152496.28,-16137212.67,-9088219.92,-4853850.91,-6739622.49,-1968560.53,3015430.99,2118042.71,4143175.35,4364304.84,2907047.71,963185.97,5243850.25,4411905.26,3713314.83,2024821.95,10168958.33,7856357.25,5119237.35,2898179.06,12085773.99,7774492.67,5665334.71,3066935.54,9482562.86,5762916.34,3550427.36,1907191.41,4237112.88,1714767.01,1747228.21,1146336.92,5736200.89,3729770.44,2141371.77,1352678.17,5684308.69,4053727.49,2929379.20,1599349.81,9943739.21,9897753.13,6707361.92,3172656.48,12128967.11,10856229.84,6690273.10,2899630.34,14923286.51,11817710.66,8022308.33,3628216.73,14772778.74,10598058.51,7128420.94,3418426.23,15883594.52,6327474.27,11880613.90,4670901.55,11370661.30,5082348.50,7191264.51,3091789.82,10569740.88,0,11171561.23,0,2513262.91,0,0,0,0.0
