,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,115562.80,-484875.86,-484875.86,0,52616839.06,15029920.65,6049407.41,0,6924191.42,1205499.17,1205499.17,-3820330.55,24799300.95,17175059.27,16838930.60,37500.00,18449616.87,-507314.16,-507314.16,0,14745647.18,-664249.54,-701749.54,37500.00,4921862.37,-407218.03,-444718.03,37500.00,108632540.65,244956.36,244956.36,-75000.00,12855540.97,-1132271.09,-1132271.09,-1380000.00,-4183875.23,-21657598.51,-19044383.38,-14724001.32,36798643.16,-636182.19,-636182.19,0,11348653.43,1306683.29,1306683.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35577.34,27595.00,17739.00,887.00,-45205.00,-25396.00,-7500.00,-3813.08,0,0,0,324836.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,91672444.70,77516161.39,75026054.30,-63752730.46,-22608079.75,-19199915.19,-9033580.34,97405881.24,87784009.56,45295950.58,23039850.82,79347462.90,66517782.54,41258260.76,11291821.04,273916689.39,236575689.89,216135846.03,65479461.59,160227968.15,112434968.21,74525575.97,21955504.03,121743923.14,81981027.39,64264684.66,33907380.40,114275963.19,29141089.83,26092156.21,22190167.74,297981755.67,138621704.84,135635271.32,70639502.85,70493256.80,57569194.87,44520390.42,24133051.80,199015978.44,143292263.57,110621867.87,83875242.99,21317579.98,10712636.00,-15645024.12,-4023414.18,187777476.20,40187404.97,10213067.48,11616000.00,12039932.81,12034745.59,13454321.80,13200000.00,4359697.57,2742673.72,11911758.96,0,300401.28,300401.28,0,0,965395.91,21573.37,21573.37,0,0,0,0,0,0,0,0,264600.00,264600.00,0,0,22340.00,0,0,90500.00,217300.60,0.0
13,其中:对联营企业和合营企业的投资收益,71431972.80,58078613.76,74223130.03,-91699429.11,-46540157.04,-35952719.45,-13098911.60,71449204.69,70596583.99,32188525.01,22703785.25,41710812.47,34496865.92,11298546.33,9006588.80,200893940.42,175731335.23,165603416.80,50539963.88,92042359.04,54866025.77,30291374.86,12982636.25,55993071.16,51784892.87,34322450.14,27241084.08,16425599.83,13106639.83,10311606.21,6663517.74,12935607.61,10643647.93,7911114.41,5472490.70,53589932.75,0,0,0,61502057.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,59470384.18,55071762.77,64264398.23,-116011427.07,-60723433.05,-46867872.24,-20347726.95,-21774138.85,32541874.38,12515524.92,8711741.70,8883295.37,15519217.96,11953295.08,2205363.97,156185160.39,151803353.19,154185044.14,44805972.25,8439523.61,25922621.16,16457455.51,-3224545.35,3242645.75,14084770.10,25159002.52,13793335.62,6854104.39,-39981707.86,-17164791.57,3605989.44,4560140.91,28965306.19,67166802.51,28474280.19,-67825252.28,-13155116.79,4088812.73,9571552.84,56073806.84,65109216.33,47467671.37,45941444.69,-143996987.81,-46186803.15,-56430839.20,3012363.22,84278126.64,-21722918.51,-25304560.69,11075808.30,23934631.71,30402283.49,28692414.21,18770584.32,29603015.16,35944963.07,40330051.38,19107532.14,82815377.76,81882258.72,56726346.12,28035614.02,95595607.27,75936501.78,50291325.45,24418725.80,84776809.10,66745654.34,38829991.70,18654341.80,79404834.37,72960058.97,60083503.84,87295901.22,41944339.93,73181639.03,33726994.01,55585692.89,28094954.91,55429327.19,34793296.84,28142480.38,0.0
16,加:营业外收入,19660.20,13106.80,6553.40,219400.00,0,0,0,22568067.54,101990.53,0,0,1.00,0,0,0,4159853.55,22767.78,22767.78,22767.78,1652671.64,10823287.16,10823287.16,5411643.58,244533.98,246733.98,244533.98,0,0,0,0,0,1434264.97,1135230.80,130341.97,4223.82,12587.92,2887.92,2868.19,12868.19,386.04,386.04,0,0,1110260.34,137787.70,116294.76,116294.76,1191251.15,1116812.48,260530.77,21909.50,484248.38,351596.89,112976.24,112976.24,739597.65,78328.34,77118.00,37850.00,23355.15,22683.35,10160.00,9100.00,144175.34,121176.11,28524.53,6954.70,2457167.06,1881014.67,1174984.10,571699.71,2255346.22,1141866.29,1141361.29,2674606.66,1352644.29,3156315.44,1515309.61,3028545.72,3865.02,1005875.33,1839613.91,161859.20,0.0
17,减：营业外支出,0,0,0,41890.93,14576.24,4348.75,4404.23,10481.31,0,0,0,223429.00,223429.00,223229.00,200000.00,539613.32,417863.77,417863.77,7892.60,50200.00,0,0,0,42021.28,11736.40,10736.40,10736.40,307030.00,1030.00,1030.00,1030.00,2407752.03,14130.60,14130.60,0,13429788.07,204934.50,118476.50,100000.00,284278.03,90247.29,64303.77,250.00,11543940.03,144017.51,138964.16,138220.59,44105575.35,25287393.87,4092074.25,736815.09,2800530.95,2141649.65,1629759.79,1057440.92,1513631.53,1379859.47,902085.23,522601.27,1416840.93,877302.75,381901.17,230584.25,674631.75,406815.33,220964.43,83404.31,271856.15,97719.45,75847.55,7842.96,97193.50,75940.12,35087.44,364093.44,62025.31,108141.17,6390.00,337122.62,7152.62,60518.71,261820.48,236195.34,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537273.32,415523.77,415523.77,5552.60,50000.00,0,0,0,0,0,0,0,306000.00,0,0,0,2356852.03,13230.60,13230.60,0,13282778.07,12466.50,12466.50,0,159457.78,0,0,0,11398167.84,0,0,0,37077031.30,14195140.38,4013166.65,706723.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,59490044.38,55084869.57,64270951.63,-115833918.00,-60738009.29,-46872220.99,-20352131.18,783447.38,32643864.91,12515524.92,8711741.70,8659867.37,15295788.96,11730066.08,2005363.97,159805400.62,151408257.20,153789948.15,44820847.43,10041995.25,36745908.32,27280742.67,2187098.23,3445158.45,14319767.68,25392800.10,13782599.22,6547074.39,-39982737.86,-17165821.57,3604959.44,3586653.85,30086406.39,67283013.88,28478504.01,-81242452.43,-13357163.37,3973204.42,9484421.03,55789914.85,65019355.08,47403367.60,45941194.69,-154430667.50,-46193032.96,-56453508.60,2990437.39,41363802.44,-45893499.90,-29136104.17,10360902.71,21618349.14,28612230.73,27175630.66,17826119.64,28828981.28,34643431.94,39505084.15,18622780.87,81421891.98,81027639.32,56354604.95,27814129.77,95065150.86,75650862.56,50098885.55,24342276.19,86962120.01,68528949.56,39929128.25,19218198.55,81562987.09,74025985.14,61189777.69,89606414.44,43234958.91,76229813.30,35235913.62,58277115.99,28091667.31,56374683.81,36371090.27,28068144.24,0.0
20,减：所得税费用,482719.44,482719.44,0,766111.77,95113.97,95113.97,0,-11133603.08,-1509922.01,-1509922.01,0,-1247237.57,-642671.48,-642671.48,0,12216150.13,-3353396.68,-3286206.64,0,-2824152.34,121153.14,121153.14,0,-3354811.70,219392.26,219392.26,0,1307079.30,120629.51,120629.51,0,-34578445.19,0,0,0,-7830609.31,0,0,0,4413608.93,5414419.40,4761115.62,3681000.33,-8039902.56,0,0,0,133236.82,9281.31,4071.66,970320.80,7962485.81,7414286.78,6009776.32,2947871.60,556150.25,60014.56,101855.78,558156.06,4210274.08,6236095.62,5518075.84,4352187.93,0,10178598.78,7167751.11,3898163.03,7210478.33,4974247.44,3018957.91,1741781.38,7913268.48,10148751.10,10806130.40,15300052.28,5844553.83,11408015.01,5294097.24,8747886.06,4214718.79,2267219.54,1786738.36,4746817.09,0.0
21,五、净利润,59007324.94,54602150.13,64270951.63,-116600029.77,-60833123.26,-46967334.96,-20352131.18,11917050.46,34153786.92,14025446.93,8711741.70,9907104.94,15938460.44,12372737.56,2005363.97,147589250.49,154761653.88,157076154.79,44820847.43,12866147.59,36624755.18,27159589.53,2187098.23,6799970.15,14100375.42,25173407.84,13782599.22,5239995.09,-40103367.37,-17286451.08,3604959.44,38165099.04,30086406.39,67283013.88,28478504.01,-73411843.12,-13357163.37,3973204.42,9484421.03,51376305.92,59604935.68,42642251.98,42260194.36,-146390764.94,-46193032.96,-56453508.60,2990437.39,41230565.62,-45902781.21,-29140175.83,9390581.91,13655863.33,21197943.95,21165854.34,14878248.04,28272831.03,34583417.38,39403228.37,18064624.81,77211617.90,74791543.70,50836529.11,23461941.84,86369079.90,65472263.78,42931134.44,20444113.16,79751641.68,63554702.12,36910170.34,17476417.17,73649718.61,63877234.04,50383647.29,74306362.16,37390405.08,64821798.29,29941816.38,49529229.93,23876948.52,54107464.27,34584351.91,23321327.15,0.0
22,归属于母公司所有者的净利润,59007324.94,54602150.13,64270951.63,-116583904.65,-60816998.14,-46951209.84,-20345342.30,11949166.42,34175239.29,14041801.70,8718553.62,9939566.86,15961949.94,12389317.60,2012203.97,147625080.09,154788324.60,157093206.71,44829207.87,12920329.03,36668074.64,27190038.95,2200728.55,6871550.79,14155734.50,25221427.07,13816805.79,5341017.09,-39996342.06,-17212614.08,3626040.68,38257611.03,30276213.40,67441568.98,28545914.48,-72496508.78,-13013268.79,4231954.00,9561322.97,52693856.68,59963538.83,42879434.98,42323898.68,-145413904.27,-45720333.03,-56143078.69,2945831.33,43097150.56,-45014073.97,-28490659.99,10357366.12,14174398.32,21410124.03,21354284.14,15559120.78,26298216.77,30987558.50,38324020.89,16652795.48,70329688.15,66074266.55,44394447.50,20161140.08,77280310.61,59330283.80,36906944.20,18288060.57,74307624.22,57655570.52,34246384.85,16221209.58,71153880.30,61925638.03,48681983.75,72593293.19,36985046.32,64820925.07,29941816.38,49529229.93,23876948.52,54107464.27,34584351.91,23321327.15,0.0
23,少数股东损益,0,0,0,-16125.12,-16125.12,-16125.12,-6788.88,-32115.96,-21452.37,-16354.77,-6811.92,-32461.92,-23489.50,-16580.04,-6840.00,-35829.60,-26670.72,-17051.92,-8360.44,-54181.44,-43319.46,-30449.42,-13630.32,-71580.64,-55359.08,-48019.23,-34206.57,-101022.00,-107025.31,-73837.00,-21081.24,-92511.99,-189807.01,-158555.10,-67410.47,-915334.34,-343894.58,-258749.58,-76901.94,-1317550.76,-358603.15,-237183.00,-63704.32,-976860.67,-472699.93,-310429.91,44606.06,-1866584.94,-888707.24,-649515.84,-966784.21,-518534.99,-212180.08,-188429.80,-680872.74,1974614.26,3595858.88,1079207.48,1411829.33,6881929.75,8717277.15,6442081.61,3300801.76,9088769.29,6141979.98,6024190.24,2156052.59,5444017.46,5899131.60,2663785.49,1255207.59,2495838.31,1951596.01,1701663.54,1713068.97,405358.76,873.22,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.121700,0.112600,0.132500,-0.240400,-0.125400,-0.096800,-0.042000,0.024600,0.070500,0.029000,0.018000,0.020500,0.032900,0.025500,0.004100,0.304400,0.319200,0.323900,0.092400,0.026600,0.075600,0.056100,0.004500,0.014200,0.030000,0.052000,0.030000,0.011000,-0.080000,-0.035500,0.010000,0.078900,0.060000,0.140000,0.060000,-0.149500,-0.030000,0.010000,0.020000,0.108700,0.120000,0.090000,0.090000,-0.300000,-0.090000,-0.120000,0.010000,0.142000,-0.150000,-0.090000,0.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.121700,0.112600,0.132500,-0.240400,-0.125400,-0.096800,-0.042000,0.024600,0.070500,0.029000,0.018000,0.020500,0.032900,0.025500,0.004100,0.304400,0.319200,0.323900,0.092400,0.026600,0.075600,0.056100,0.004500,0.014200,0.030000,0.052000,0.030000,0.011000,-0.080000,-0.035500,0.010000,0.078900,0.060000,0.140000,0.060000,-0.149500,-0.030000,0.010000,0.020000,0.108700,0.120000,0.090000,0.090000,-0.370000,-0.090000,-0.120000,0.010000,0.142000,0,0,0.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,-630172.50,19535347.50,54194835.00,-101457772.50,-52304317.50,-97676737.50,-5671552.50,29291493.36,14500080.00,11324880.00,23284800.00,-64361356.74,-109802477.20,-118269677.20,-104781600.00,25038865.35,-58564800.00,77175000.00,-24696000.00,241421706.23,-3528000.00,-16317000.00,-5746630.32,-10146265.28,-27470591.51,-52856062.35,45642.45,-70730828.86,-146160217.50,-80640120.00,-22909125.00,-161160781.28,-112555514.74,-68043644.74,72298980.81,-99330034.36,-105998294.24,-85086676.35,26176526.16,286564943.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,58377152.44,74137497.63,118465786.63,-218057802.27,-113137440.76,-144644072.46,-26023683.68,41208543.82,48653866.92,25350326.93,31996541.70,-54454251.80,-93864016.76,-105896939.64,-102776236.03,172628115.84,96196853.88,234251154.79,20124847.43,254287853.82,33096755.18,10842589.53,-3545901.77,-3346295.13,-13370216.09,-27682654.51,13828241.67,-65490833.77,-186263584.87,-97926571.08,-19304165.56,-122995682.24,-82469108.35,-760630.86,100777484.82,-172741877.48,-119355457.61,-81113471.93,35660947.19,337941249.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,58377152.44,74137497.63,118465786.63,-218041677.15,-113121315.64,-144627947.34,-26016894.80,41240659.78,48675319.29,25366681.70,32003353.62,-54421789.88,-93840527.26,-105880359.60,-102769396.03,172663945.44,96223524.60,234268206.71,20133207.87,254342035.26,33140074.64,10873038.95,-3532271.45,-3274714.49,-13314857.01,-27634635.28,13862448.23,-65389811.77,-186156559.56,-97852734.08,-19283084.32,-122903170.25,-83258325.28,-1581099.70,100844895.29,-171826543.14,-119011563.03,-80854722.35,35737849.13,339076842.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,0,0,0,-16125.12,-16125.12,-16125.12,-6788.88,-32115.96,-21452.37,-16354.77,-6811.92,-32461.92,-23489.50,-16580.04,-6840.00,-35829.60,-26670.72,-17051.92,-8360.44,-54181.44,-43319.46,-30449.42,-13630.32,-71580.64,-55359.08,-48019.23,-34206.56,-101022.00,-107025.31,-73837.00,-21081.24,-92511.99,789216.93,820468.84,-67410.47,-915334.34,-343894.58,-258749.58,-76901.94,-1135593.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
