,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,122638662.26,67958899.95,49573112.53,17429611.48,84147051.28,60138158.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-2693460.40,10977185.91,12972816.62,11341047.20,-30850.09,17924836.46,2152313.74,1582120.20,-3223154.66,56663765.53,10467348.14,7259197.79,4714980.26,165020281.31,45264396.52,42695733.94,13050965.57,45507350.47,29725188.14,25759844.59,-1219466.17,128246283.45,41977480.43,21133883.75,2303270.58,32314264.80,9539312.71,4220081.14,374082.45,18754157.23,7696287.43,4968260.48,-1524974.40,6837505.42,-615348.55,-1499243.64,-978745.39,-3838460.99,-7043399.17,-5703784.57,-6503873.00,8993405.45,2438654.72,2918995.62,0,5471691.67,0,-209685.82,0,-1414772.96,0,-403706.11,1156129.27,1629644.33,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-51671230.05,-49296747.26,-37320953.52,-16987624.29,63065713.59,-4386550.31,-4889580.96,-3000915.45,-3779311.57,-5317531.73,-4279125.56,-3081921.17,982302.27,-1316201.32,-1457798.41,-2136058.02,2905832.51,-1625073.09,-831362.69,-547446.94,113483661.45,1470599.68,1215205.35,-831415.58,5250767.08,1711414.95,905444.27,0,2392012.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-51671230.05,-49296747.26,-37320953.52,-16987624.29,-1805480.65,-4386550.31,-4889580.96,-3000915.45,-3779311.57,-5317531.73,-4279125.56,-3081921.17,982302.27,-1316201.32,-1457798.41,-2136058.02,2905832.51,-1625073.09,-831362.69,-547446.94,5448543.18,1470599.68,1215205.35,-831415.58,5250767.08,1711414.95,905444.27,0,2392012.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,56688449.04,14155162.86,-24266056.89,-49032066.17,-48509248.52,-114593649.06,-40024804.85,-17182655.42,-55590904.72,-96931483.53,-76619377.21,-40589665.35,-63294229.57,-36554235.06,-33867439.19,-22444484.29,-580013725.31,-313931147.59,-187437125.57,-94979260.14,-252125618.95,-252482930.09,-162009963.66,-47257364.10,-521125934.22,-292868130.76,-173291165.29,-73012293.13,-197186590.81,-107737704.95,-74654187.26,-37002631.80,89950102.65,72206710.42,58178793.96,28182239.53,99675850.22,48768563.27,29755893.78,4203301.59,49528596.14,38136853.65,29077372.96,6168044.85,47824021.92,32429162.06,23762147.24,3026382.85,52458031.47,28340323.22,19701616.61,2204634.43,46344662.12,16266421.13,10606561.54,37948626.22,37459237.89,0.0
16,加:营业外收入,52491134.16,22561847.58,163585.43,49671.53,2422721.48,2023927.87,1206400.10,39590.24,2174961.93,6169416.43,4487093.62,6726303.08,24747096.85,12629197.75,11001875.51,4549106.00,22786451.61,14820369.50,8943104.87,5058785.70,128755689.40,77789018.58,10902703.46,3311715.88,74113738.39,63562649.88,62248740.97,7624471.26,17277358.14,3569578.13,1708243.29,616216.29,5702366.23,4274370.66,2561633.60,1944355.17,7498519.46,1721343.59,1304767.28,949954.36,2340528.91,1646418.34,922755.34,0,5375736.94,1407039.67,1403504.48,400004.48,2138438.98,649322.29,61503.15,27800.00,102359.66,49851.78,32484.31,155656.68,178968.37,0.0
17,减：营业外支出,4600047.29,2303035.18,1854075.66,580771.66,6118018.21,5507915.02,5673431.35,990636.54,5399563.26,3693415.92,1334139.05,394170.15,8268207.03,5770955.04,4168154.43,601389.00,4801302.31,2309214.04,1717227.42,667709.13,3524302.73,626443.13,877883.06,382814.44,66052824.89,57809472.36,57596004.88,464218.48,17742413.14,1375042.71,498918.70,17671.06,273990.01,173782.84,11728.28,2834.24,3587823.74,233557.78,185964.45,1130.44,337183.46,184958.03,17245.43,2626.23,600344.32,287412.36,262742.00,602.90,565904.66,123530.36,241446.18,8041.15,58073.79,26615.87,19103.32,49064.59,124255.15,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,535109.94,314520.29,83252.00,5173738.77,5022281.36,3519796.08,202873.28,1158889.32,27082.62,23015.52,1732.84,1142229.27,208735.04,202042.00,180685.51,7754841.70,302228.89,300504.89,300504.89,362404.04,306162.50,255275.90,2414.70,10783.68,11934.56,10572.86,2789.24,27116.27,0,0,0,148372.99,0,0,0,2420.31,0,0,0,0,0,0,0,0,0,0,0,0,0.0
