,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,169266661.07,548735086.55,400533561.09,255619569.02,128553511.28,258443047.41,39049768.95,10303480.01,2584380.75,255152393.37,241587454.55,176857667.82,1622637.33,194679657.83,31340486.52,25836420.16,22408993.72,491810832.38,461762208.96,271285318.02,139365976.10,526640338.93,433820253.85,266436895.57,100340446.59,1122349637.90,390379648.77,254182807.07,133894421.30,636590486.83,324281922.02,218755706.26,89283648.00,199209139.22,117453101.39,88007473.87,41902729.48,310942518.76,135161357.67,125707542.10,12856590.19,553856903.50,376671906.89,178469426.32,16024790.39,356383132.98,55194505.49,28311362.35,11412348.26,486759259.41,452002458.85,395811888.98,335948012.50,211711242.43,158073063.53,102185448.24,51118008.21,211083583.99,152774414.75,96589017.03,45438684.74,155645248.30,108890847.00,66765905.09,28114772.02,143740435.81,112529879.17,72786382.71,36783070.92,105757678.12,81688856.39,50372785.16,23183641.91,89951685.87,45236123.63,86555526.10,38084027.03,77598042.48,32853161.54,75483167.55,35585487.53,89333653.77,56085353.70,78125926.23,37780780.71,55343817.67,29483322.17,43013261.32,38791169.80,92318188.21,80069252.71,0.0
2,营业收入,169266661.07,548735086.55,400533561.09,255619569.02,128553511.28,258443047.41,39049768.95,10303480.01,2584380.75,255152393.37,241587454.55,176857667.82,1622637.33,194679657.83,31340486.52,25836420.16,22408993.72,491810832.38,461762208.96,271285318.02,139365976.10,526640338.93,433820253.85,266436895.57,100340446.59,1122349637.90,390379648.77,254182807.07,133894421.30,636590486.83,324281922.02,218755706.26,89283648.00,199209139.22,117453101.39,88007473.87,41902729.48,310942518.76,135161357.67,125707542.10,12856590.19,553856903.50,376671906.89,178469426.32,16024790.39,356383132.98,55194505.49,28311362.35,11412348.26,486759259.41,452002458.85,395811888.98,335948012.50,211689436.03,158057204.33,102175536.24,51116025.81,211057812.79,152756573.15,96577122.63,45432737.54,155598709.10,108890847.00,66765905.09,28114772.02,143715086.22,112496153.58,72774443.16,36774409.49,105722280.58,81606388.65,50310802.77,23167969.47,89874044.57,45200482.37,86404173.10,37932674.03,77598042.48,32853161.54,75476410.81,35582236.49,89325875.59,56058258.64,78125926.23,37767380.71,55343817.67,29483322.17,43013261.32,21104323.02,92308722.74,80069168.71,0.0
3,二、营业总成本,124837123.02,524756663.07,361374317.99,234845154.45,117748711.06,314621996.82,105788776.98,67253051.44,-9465048.28,384124703.57,222792097.18,160210385.51,23953930.62,300812499.84,138617104.77,109476877.26,49432632.36,473800519.52,386796458.74,211730897.26,116888703.90,424947354.05,327012681.41,192209420.03,74075128.42,852790292.66,307299428.80,200421898.61,103505375.87,436886573.99,243932213.09,168593609.17,67677048.17,177331234.07,130327153.03,100036377.23,53889019.30,251565915.57,124156288.39,112760269.06,27257596.98,469595254.65,333845057.41,177272947.19,42867082.43,297563950.82,98598585.75,51639785.67,17498035.76,643722093.67,517557886.11,450165221.09,267560532.57,231651708.37,164616731.48,108523194.40,56163050.56,223892668.20,166894111.69,107839161.18,52570634.10,169743268.86,123466105.75,75812706.02,33776509.30,134057356.71,103666731.96,68143675.12,33247936.65,109028204.54,84149453.60,54261977.39,24100980.52,86352058.22,41449247.94,83701194.50,39103046.35,77424613.49,34355687.44,73576179.02,34787281.86,88407626.18,0,76501910.38,0,57324623.46,0,39730475.76,0,74801483.21,74288806.13,0.0
4,营业成本,21457300.52,66175023.44,48172450.73,31532925.94,13476389.21,124999931.57,15715166.75,4230675.01,509279.80,133539092.58,126495626.56,92824861.88,979929.62,125241587.58,24267080.64,20186163.68,19318296.28,239151926.15,225164977.91,109747068.57,72570551.01,250599860.98,223290442.35,110783694.10,42680772.97,574045442.51,178318344.02,115156307.21,61933661.13,313861344.95,156294154.37,108943102.86,40663738.86,137723337.49,100363656.61,80478245.37,44244998.99,175206187.99,80151456.05,73541453.44,14869400.30,286592747.14,217466035.01,107631001.74,18905145.20,204814742.17,68665857.17,37119899.71,14896504.30,355563844.09,347050215.08,295749780.11,243054806.51,200627534.71,147055467.96,96622256.04,49137406.24,201896391.43,149015982.78,96165196.90,46404911.70,151679138.25,109650853.27,65813907.61,28504758.48,112609845.98,86736603.48,55944328.03,28206077.16,86292483.19,65631839.70,42098510.73,19768689.82,74221591.43,36641405.60,69264004.38,32097287.93,63632126.84,28697319.39,60525957.61,28407609.62,74903933.93,0,65610725.76,0,50706162.70,0,35936474.58,0,74996217.98,66004242.64,0.0
5,营业税金及附加,1343919.05,6236062.43,4412395.15,3191146.13,1457295.66,29125985.02,3827837.47,1718488.76,482462.16,25264139.75,15021059.19,10734157.93,702182.55,12617184.98,143052.46,132301.34,83574.88,74212642.35,59700534.52,35602449.93,17542387.04,70318308.36,55847989.26,49044126.53,18356735.43,142560825.19,73076995.19,47659557.56,25125789.13,75685852.69,54975376.29,35014691.64,15116094.34,8916255.20,2307955.83,1411678.23,111517.05,41058115.89,13001642.92,12966388.19,19164.16,101455397.63,50888756.17,21003384.42,1674963.98,45709653.24,269175.96,21076.75,11273.54,61742151.19,16846142.89,16167623.18,15693933.19,1507852.60,1248172.47,1066625.93,448935.64,1287517.29,969028.45,667586.60,211705.08,1220044.18,805286.98,578418.18,266212.80,1397854.15,1152283.75,729518.83,449676.91,1046487.03,882498.66,530480.55,265737.22,925211.11,503238.85,990394.00,411588.84,880987.33,360541.93,840017.63,360856.51,793996.27,0,526564.34,0,131492.63,0,1210775.28,0,679441.48,2020931.79,0.0
6,销售费用,63057907.30,279460377.65,184267911.74,120635279.33,58877618.73,32975617.55,24787121.00,12105525.73,4774873.86,26436460.05,21232502.43,15262544.93,3958302.51,20393011.45,5465865.06,1174688.92,638912.34,9797122.99,13282214.87,10476630.85,3779258.34,10232337.50,11198556.72,6907829.49,3524267.61,24837159.35,13828331.41,6786182.25,2135828.75,13855831.33,14247948.06,11803531.41,6546656.69,1990451.12,1480939.71,1010194.62,380996.55,4598267.82,4003876.24,3637470.01,2342044.41,12395984.10,9466745.13,5442869.42,1608801.88,10197605.10,5721364.34,2710063.00,42953.50,3598548.79,1303442.07,910991.60,377284.20,0,0,0,0,0,17194073.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750.00,161299.79,0,160563.23,0,0,0,31386.57,0,919174.82,519960.62,0.0
7,管理费用,24093584.39,108897424.96,89194258.76,61833800.88,33246858.12,83094524.11,66353714.61,74182343.19,24790705.16,83453347.82,52196790.34,30880094.55,10050352.61,60890390.00,55614802.33,44167732.55,20324070.78,95707271.25,63006993.30,38438008.30,17136628.29,89276214.75,54356934.50,34967820.96,21266817.37,59794102.63,34438260.27,23887892.38,11561447.74,34952346.30,24458778.49,16911350.02,9246492.02,34744044.77,31967271.04,20836255.81,10688964.63,36170692.23,28279717.62,24721089.17,13262927.81,54508986.87,43078890.97,28582625.65,13569899.84,45873472.08,35613962.93,23597806.79,13068792.60,44023194.05,32738890.41,16845050.39,8421537.12,31738065.69,18047477.11,11862951.91,6969310.31,21222612.08,-284972.77,11092364.43,6010481.49,17409339.06,13264849.80,9606465.37,5134580.07,20686326.24,16172991.86,11745696.23,4682133.89,22465563.87,18210900.10,11999260.98,4244078.15,12253338.55,5019104.79,14346177.34,7248180.75,12182993.64,5404004.24,12254937.45,6071073.43,12561984.02,0,9967124.55,0,7806573.96,0,6810890.30,0,7817974.10,973117.70,0.0
8,财务费用,4579420.30,18554201.90,13392443.69,9991586.10,5038443.03,1386781.88,-42051446.77,-38652294.75,-39910159.20,12841517.29,7142209.94,9569437.60,10649171.68,47195212.11,39555479.01,28577728.41,10608198.72,30844727.70,10298705.60,7994625.06,1585607.02,33848030.02,9132734.48,-1801167.30,-1843370.64,25805319.30,-4114567.21,-2682976.69,-1394324.86,-5405428.64,-3313569.87,-1154912.80,-289668.70,-4409238.12,-2984625.57,-786874.50,995751.07,3765540.18,2023305.20,567308.90,227547.76,15834851.14,15562040.42,13678673.59,6262190.03,4233641.99,3470463.84,2817513.85,1878879.47,3873268.70,2875830.97,1285075.45,12971.55,-2221744.63,-1734386.06,-1028639.48,-392601.63,-513852.60,0,-85986.75,-56464.17,-565252.63,-254884.30,-186085.14,-129042.05,-636669.66,-395147.13,-275867.97,-89951.31,-776329.55,-575784.86,-366274.87,-177524.67,-1048082.87,-714501.30,-926794.10,-681424.05,-327424.70,-106178.12,-44733.67,-56007.70,-13587.83,0,236932.50,0,-1319605.83,0,-4259050.97,0,-9611325.17,4770553.38,0.0
