,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,438041885.55,299429464.62,110166763.90,437891734.33,290500746.36,195848324.10,76000921.27,508047408.59,337657258.19,216997096.53,81724981.83,486470680.99,315213236.85,198484971.55,101537197.88,507283135.69,319952534.09,195831675.76,109819365.95,642085984.14,422004299.57,263087712.39,119991988.70,541120086.93,394960058.55,269032418.67,131811477.84,458713626.88,315728473.82,157375998.60,48232306.52,320677836.21,223753442.09,139738344.32,56629916.78,299922369.46,135451101.26,79423975.09,18429259.00,239888314.20,130565524.94,89595237.71,40673895.27,187813526.86,94494909.70,49648378.08,14246720.86,151510683.49,54218106.77,35653554.81,5499506.19,112536698.54,37601242.14,21953752.87,101177431.07,76527363.87,0.0
2,营业收入,438041885.55,299429464.62,110166763.90,437891734.33,290500746.36,195848324.10,76000921.27,508047408.59,337657258.19,216997096.53,81724981.83,486470680.99,315213236.85,198484971.55,101537197.88,507283135.69,319952534.09,195831675.76,109819365.95,642085984.14,422004299.57,263087712.39,119991988.70,541120086.93,394960058.55,269032418.67,131811477.84,458713626.88,315728473.82,157375998.60,48232306.52,320677836.21,223753442.09,139738344.32,56629916.78,299922369.46,135451101.26,79423975.09,18429259.00,239888314.20,130565524.94,89595237.71,40673895.27,187813526.86,94494909.70,49648378.08,14246720.86,151510683.49,54218106.77,35653554.81,5499506.19,112536698.54,37601242.14,21953752.87,101177431.07,76527363.87,0.0
3,二、营业总成本,486794969.58,331633291.44,149195110.90,715729761.49,424919598.84,274042093.72,110470653.32,572757702.69,381842108.78,252200067.17,103925671.55,535606633.11,353723303.69,219072605.33,104805235.18,574428882.71,367364975.35,231135019.09,125304594.36,644087622.62,442652547.25,284180067.90,133832836.97,556021350.17,359577641.04,224652272.45,110892034.82,372829954.41,231468076.68,116433402.66,45291823.29,226290512.86,159313281.24,100798183.86,40706795.80,201115426.95,97945115.69,59761563.39,18750656.74,185951891.10,101463303.00,65734689.33,32647095.45,129564345.68,74127361.88,39199564.54,12490408.59,97095974.77,46511545.33,30610912.51,10476321.39,79339348.29,31656056.83,18572759.58,73820572.53,49530167.94,0.0
4,营业成本,245450371.09,171523078.09,73721195.01,282947626.44,194499935.68,129600195.81,49720155.32,294970639.97,193652673.69,123994468.32,44266028.92,264885302.64,169390750.16,104903827.43,55809080.58,311131554.07,208758653.27,133357460.99,76333702.02,440938394.02,306231715.09,201279602.11,91699902.13,373343279.50,238344114.21,157655163.04,74688282.67,241467860.06,138221744.33,62981060.61,21062463.71,130880109.48,90101769.83,55096172.50,22004784.80,121289081.01,49414145.64,31129684.22,7685960.25,113786166.65,52214689.59,35411454.69,18644259.68,72334323.73,37355750.19,19047170.45,5321807.69,58962311.08,21021586.16,15497061.48,1947912.13,48061982.44,15587459.97,9229765.59,44270028.69,26568060.81,0.0
5,营业税金及附加,10988177.46,8296791.47,6133963.53,10636744.75,4824984.39,3406638.17,1658468.63,6356069.32,5174816.77,4009630.54,1450263.80,4189767.74,1620506.85,798287.91,636150.94,3991769.07,1944287.79,1305643.20,425128.09,3852429.46,1655183.15,779442.21,273497.85,3620574.86,1723172.21,1107159.62,699204.63,3900433.68,2774066.73,1549261.70,526152.12,2934711.10,1543886.15,1214017.36,412025.92,2631166.37,657882.32,416231.53,94464.88,1027625.75,449878.44,299503.64,161509.56,1076426.95,596320.39,385038.14,208686.89,811863.23,338671.28,140394.58,33059.77,721977.08,141771.57,72165.51,226070.42,370636.40,0.0
6,销售费用,82478478.68,56460681.49,23642403.16,92111082.59,66539053.15,41446188.24,18213577.40,81155143.55,58246600.05,39427113.12,16041962.72,74587529.00,53694240.79,29047942.90,10979335.52,79849121.12,51384196.06,27482489.55,13639709.53,70764781.75,42106719.37,25054368.48,12415998.55,67386082.87,42736502.05,21792510.06,12194194.06,37298344.70,24658592.43,15805039.16,7876210.64,27979353.08,19761123.25,11029660.21,4669088.33,18616343.59,12707103.39,8070798.66,3408058.29,18759967.71,14538374.61,8420134.77,3691641.70,15847549.31,11492019.82,6972918.71,2209302.19,9238653.52,7003395.80,5068856.09,2266466.75,6849242.33,4737509.39,3415427.36,6799829.83,4575604.37,0.0
7,管理费用,88473661.77,57749954.51,28278888.17,134460487.60,94747292.07,83788162.02,29763484.33,147455005.14,111212103.87,76939425.28,34678838.40,172506484.77,114187562.58,70319525.85,29717989.07,142263219.79,88232715.73,57718790.19,28830924.75,109701754.79,76746791.67,47224219.51,22321723.98,101756917.29,66814094.53,37497095.79,19911015.68,88127704.01,61501284.33,36624266.24,17269097.99,64247329.03,43180257.31,25635572.16,11520131.01,47379390.77,33933180.46,19604064.63,8839225.24,45012072.38,31448406.49,18903983.22,9153636.39,36998643.99,24446493.30,13328978.37,5373676.85,27014082.54,16946396.54,9347404.03,6289499.11,23947999.68,13733476.96,6857023.52,20816369.09,15569560.77,0.0
8,财务费用,17475169.98,12511210.25,9438541.48,28167919.12,20569943.88,18970602.97,10245356.51,13294995.01,13110087.80,4556184.24,3296496.13,-944578.49,-983236.83,290562.25,953689.31,422294.24,2988614.14,2271775.71,836795.24,2276890.04,524536.21,279312.28,524004.38,2319147.27,1348578.62,642028.03,567836.63,-3175132.47,-3738866.41,-4386979.30,-2169317.12,-3131545.44,-918628.37,1699085.18,882698.79,2953622.66,537402.59,327293.26,146536.03,701628.42,658857.96,-97294.01,-134563.20,-1681274.02,-1688461.00,-1339597.49,-815833.50,214181.08,497611.62,266456.09,67933.68,-134879.38,-109141.70,-65266.50,351570.73,372260.63,0.0
