,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,77382967.08,46454176.55,28655644.71,127639636.89,102610712.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,2400510675.52,329596371.68,59180233.39,1425206.60,231210578.97,28050783.21,29586957.31,-879962.88,10283084.37,11052644.84,13637466.64,-1030408.87,21080037.48,10825423.65,12298441.09,0,27836891.66,7645649.08,7645649.08,0,33145688.22,5005522.30,5005522.30,-10786.57,3421372.59,1392569.29,1392569.29,0,7618199.95,4190064.33,4190064.33,0,3505941.49,2468868.66,2564109.11,24000.00,53692486.57,12713275.82,3740966.30,-500086.31,4018968.04,-11065.58,1651.19,0,41578210.52,58688564.12,68946872.72,9500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-266969.29,-284991.25,393856.76,0,17100.36,28718.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-306555.03,-229960.15,650256.99,5720702.76,10021774.27,10021774.27,0,-8416823.31,-6804480.00,-11496870.00,0,2035738.40,1596584.00,1596584.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-140099.30,7251.75,3801.95,236362.26,105031.45,76416.70,43911.00,15395.00,-106694.55,-110255.05,-85000.00,-18000.00,125721.76,33721.76,33721.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,11489621.68,9688467.16,8044905.96,1237291.87,7737413.15,-903567.57,2415226.31,582224812.46,459671080.83,454773897.33,9053940.11,322822364.03,45230243.36,27958438.26,10514109.64,119211190.67,92962611.38,69296094.85,16214548.34,29167345.97,-7744224.15,-9587761.25,-6380362.72,21536054.57,10788.45,-5605615.43,1630084.34,68267586.73,70071844.93,76657954.45,71155237.41,68126053.79,38293351.39,49281029.90,20494662.95,49085540.69,30826677.67,21499122.14,7065205.34,66923535.58,45736290.87,29420989.88,14251579.26,38118609.70,40166727.21,37293671.55,27261624.55,86010249.15,98973318.74,69758514.64,22086158.66,17533448.61,454735.38,-441389.41,6787125.11,23304537.73,21561397.37,13980626.83,6337166.91,32716067.30,20983986.00,14054683.94,5375694.43,22260909.41,15327498.46,9977138.86,5092658.43,10244544.99,2354160.61,248563.05,-347018.79,42930519.49,38957417.37,24502888.98,4665760.32,5033463.73,5982899.77,13460355.24,8808238.35,6420086.12,5424496.00,3742500.48,796600.48,3508164.53,1191000.00,9711340.84,1422460.80,-9407.30,-48627.15,4426.37,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,9274494.02,7992196.72,8294634.76,-2713797.63,3686218.38,2459372.43,2415226.31,111296264.98,34510603.62,29770998.89,9150674.01,58665580.36,46439823.29,29153399.66,10610843.54,119163804.55,92818491.36,69065965.68,16311282.24,29374414.39,-7608889.63,-9459818.25,-6283628.82,22426194.91,159476.36,-5412147.63,1726818.24,68532449.06,70249348.36,76819250.28,71219799.34,43269015.46,14225578.81,25156279.72,20579294.96,32265234.36,24226222.42,15209615.20,4015797.55,50923935.65,34370908.89,12872774.74,4308303.92,9908706.32,15415029.67,16619039.81,0,407466.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-750921921.49,-320578481.89,-137957521.00,-3218904889.09,-810662005.49,-391451721.85,-198726730.49,318434430.84,484606791.41,403206901.60,-33250259.63,615726641.13,146102283.29,85117889.05,48728191.11,446883112.99,224232378.83,92973950.19,51434054.18,78733974.02,46206704.91,28504722.04,10608189.40,30232950.10,28177950.63,15853576.40,10842448.76,111376980.44,88191590.13,79822834.34,89416766.07,155264774.92,103212756.28,85487675.59,47399081.44,106630849.82,77070601.67,52598821.61,24213495.86,82187789.86,70189145.30,41673959.77,17811098.58,87444034.63,90126137.51,70163561.96,38693259.92,92748056.92,47605440.30,27510109.25,25282828.59,57048520.30,51013278.93,30980410.60,13368559.37,53180802.79,45304330.26,30749179.89,13460665.94,50098992.74,50617560.30,36182519.04,21323709.45,50690397.39,41534929.13,23533538.59,10575991.62,55425958.63,37697855.18,23972925.99,11917466.20,123226469.23,109393513.57,87596410.39,9456779.85,22220240.06,10920911.35,14605357.67,7374461.54,17035573.38,6672475.63,10544763.17,2416077.25,5084187.47,2340000.00,14693430.08,3569744.24,4755395.06,2983255.67,3219666.21,1186097.74,1433477.61,556792.58,603165.29,167219.24,0.0
16,加:营业外收入,1160802.93,807961.49,277300.85,9979434.01,1690948.48,703157.18,3150999.24,26925998.44,7438559.12,4215318.90,2460431.82,52553524.89,29101502.20,20668103.38,3728600.08,41163634.09,29243430.42,4047540.15,3746398.14,21416670.47,7733557.11,6743585.51,527062.08,49300558.58,26326336.33,16668646.75,11649521.11,28366095.85,10680718.87,3889773.79,3003664.02,50382899.63,41029164.65,34469858.46,32319611.35,13927982.18,6701805.50,2505235.00,1990000.00,6255562.12,2602503.54,2043078.04,1880264.00,6266841.76,551365.82,312445.00,330300.00,3986452.18,1491811.21,653426.25,40955.81,2071894.50,1725535.57,1586902.94,199437.85,1001141.96,250285.27,227691.61,177908.51,1755841.03,1133972.93,1037690.93,4342.00,6887843.58,817948.97,466660.04,65120.02,715285.09,223676.60,67047.56,1719.80,438720.09,89825.03,4936476.88,6564.00,60585.80,24946.00,4547344.70,600.00,155050.43,0,465832.13,0,365079.20,0,0,142798.14,43361.06,0,75248.99,141350.24,0,0,67256.66,47827.75,0.0
17,减：营业外支出,1655879.40,1063638.42,666198.76,30790638.67,13258181.58,10148859.26,331666.97,39725697.06,35515102.91,35221074.87,121108.90,195274180.37,699910.21,338493.40,10246.05,1867694.03,676081.20,1420778.96,135349.04,916497.70,71722.51,46957.44,33741.47,2280871.18,1597570.16,294335.86,241284.00,696908.71,256759.95,50249.52,19135.29,435057.41,101404.63,38335.79,17910.33,1497219.93,117336.43,83150.95,14337.60,240606.25,89710.72,168038.85,3230.64,2132724.18,1729083.53,1422904.17,8238.03,21999235.45,623831.00,204548.56,40235.30,892734.76,764960.87,637976.98,231460.12,1384783.34,867695.78,267372.40,98518.83,600847.71,1619073.35,3248514.10,379913.48,507247.21,498543.13,309840.40,39335.92,1808977.77,773747.28,354110.68,4669.00,345192.59,649670.84,18238596.53,3703.68,34890.46,34440.61,93934.71,510.00,316787.02,0,65350.00,0,72943.01,0,0,1314.18,125352.41,110329.10,80589.28,23280.23,60127.00,60127.00,2091.13,2091.13,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,977220.68,972828.80,27792.22,1821205.65,17069.77,15951.65,10116.36,210527.49,29022.73,19358.68,12097.32,236982.83,63256.85,46502.39,33510.47,404096.10,49650.18,45849.80,9130.67,625453.88,235507.12,38211.52,19135.29,371490.40,89005.07,25936.23,6268.33,405316.73,78163.43,46682.95,6107.60,96372.58,32598.60,8460.00,2830.64,551076.14,299376.79,135062.18,5603.15,2634019.35,181459.37,181459.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
