,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,378578237.10,230213571.61,106501248.19,572861387.91,515914889.74,437328832.71,250149181.25,981023762.62,620460589.01,364931618.79,240009144.85,1098977643.06,932692182.25,777946325.51,146127862.67,921782372.69,477330822.03,325474739.92,208377615.42,1069987066.24,632730593.73,494586321.60,265450439.75,790638350.29,710186186.65,616446657.46,362714187.58,627889303.95,523636223.36,312615927.25,106223694.75,464148862.45,295499725.75,217854299.84,106724556.64,449922594.03,382936473.97,174398879.91,34641935.18,2021809949.94,1922244245.36,1756556285.70,962156712.28,2480654167.95,1990628836.75,1381823007.09,721297494.54,1860169584.60,1520233857.23,1030181571.39,492956890.89,1484826673.24,1165068945.69,779156021.04,410938935.01,811649815.44,1332221914.28,239741947.69,109498337.38,452069820.65,332070893.86,207794718.16,105091062.49,179699963.83,81085774.35,54196747.32,21910766.59,90499924.31,62389776.83,42378112.53,14631679.38,81733922.99,43040530.55,76282896.02,62790584.09,55670686.53,0.0
2,营业收入,378578237.10,230213571.61,106501248.19,572861387.91,515914889.74,437328832.71,250149181.25,981023762.62,620460589.01,364931618.79,240009144.85,1098977643.06,932692182.25,777946325.51,146127862.67,921782372.69,477330822.03,325474739.92,208377615.42,1069987066.24,632730593.73,494586321.60,265450439.75,790638350.29,710186186.65,616446657.46,362714187.58,627889303.95,523636223.36,312615927.25,106223694.75,464148862.45,295499725.75,217854299.84,106724556.64,449922594.03,382936473.97,174398879.91,34641935.18,2021809949.94,1922244245.36,1756556285.70,962156712.28,2480654167.95,1990628836.75,1381823007.09,721297494.54,1860169584.60,1520233857.23,1030181571.39,492956890.89,1481284645.51,1162489210.70,776929186.64,406438086.45,811210488.60,1330225955.02,239625178.21,109423890.78,451991709.55,332193797.30,207806683.17,104958970.04,178791652.35,80365200.91,53668051.77,21768126.59,90769137.96,62562083.12,42550838.82,14632439.38,81686840.61,43004898.03,76259425.82,62791220.19,55673536.53,0.0
3,二、营业总成本,410708934.01,233875587.52,115680922.62,1981698882.86,382368719.02,305396992.79,156558001.14,983531287.15,426747659.85,265160409.20,171718619.19,917361305.26,765635500.98,637389772.83,111664064.16,882558936.57,454865482.84,315623971.43,185060531.39,1017029943.16,614725840.05,471127687.35,232638629.78,770074497.37,677841630.86,589715327.96,332984961.90,658966529.85,501167551.93,287538179.36,104409083.03,493376241.22,288066477.08,206955022.09,100456465.92,394040876.52,307088180.30,154520439.17,46417619.05,1910259047.97,1821263295.71,1684219004.43,932991490.14,2375744500.35,1908597702.42,1332408187.09,709964512.26,1792085462.48,1481501159.71,1009778649.41,491979533.44,1534367770.61,1140684453.63,760967926.19,402699814.36,853937275.97,1303279976.17,235064051.99,113606097.78,443915210.02,322786116.15,199535614.31,102463376.28,168447097.12,73871302.15,43536074.20,18168313.44,79400500.38,53451125.09,38762488.74,15640906.26,63429124.57,33328579.22,56950334.07,49270318.63,43895655.15,0.0
4,营业成本,250557189.09,145617296.67,67263530.14,418848900.73,256138208.11,213822313.95,116137219.30,513787694.12,319148697.26,197023394.36,139730850.94,695389285.91,631664686.41,538635527.00,77628276.84,731284356.64,388125206.39,267240120.28,159337599.18,869671570.09,531005335.30,406338061.02,194080177.76,641316096.72,593006130.07,524514727.00,286349498.77,531267667.09,425077553.29,237548992.29,86784571.88,390085947.08,232573853.82,172015322.21,82164862.95,302830624.05,243061641.98,113438191.75,28475803.05,1755076556.77,1683008938.38,1573819196.81,863509934.94,2221463799.89,1787376627.38,1241647197.88,648376686.83,1675947697.45,1362303339.84,929699440.76,446905370.83,1343021954.21,1043821417.13,694398950.59,363810169.19,735291127.45,1180868141.36,197285898.61,95524314.15,364853539.54,271252823.04,167757838.19,87056851.69,117982301.11,43522903.26,22191021.76,9409174.17,34644114.00,25750653.48,17997535.69,7224145.05,31470543.44,16527186.40,31171190.11,28070417.88,24210556.21,0.0
5,营业税金及附加,4560242.49,2941307.77,3877712.61,17929634.62,14046985.02,12644558.24,7309429.74,25151198.40,15637003.80,9151629.50,6843365.04,50109635.14,28079915.31,25157522.39,6413651.74,47597542.67,11722922.01,8163865.43,6803632.51,45934692.41,22237270.27,19616621.26,16438005.25,40746279.95,29866336.44,28957840.96,27064016.79,24237388.88,21188234.60,15864201.63,1070934.63,12266724.25,9374051.16,8252948.79,3891991.68,23449221.35,15594917.59,8061905.37,86515.38,19755840.00,10040033.88,3164717.94,2003550.91,3911402.74,3503090.19,2612003.17,1185080.99,3297953.95,2794601.22,2176886.38,1724141.90,3095411.31,2673648.12,1861044.97,882128.17,2588712.25,3429712.19,1593780.57,706360.47,2775558.66,1888360.61,1137211.89,675859.84,2856711.38,2036846.08,1581854.47,290295.38,-35342.46,806242.83,558243.48,179581.12,1151182.78,623471.58,1054056.01,650183.02,329008.07,0.0
6,销售费用,23669261.06,11897760.40,5689272.05,31675814.63,17962085.50,11256842.81,3840706.30,15993938.85,11328442.83,7890636.33,3973705.99,18981166.29,12217755.11,9325879.38,4170871.13,17331046.31,8976216.42,5794443.49,3013078.94,24743327.91,13240042.71,9237336.00,5384951.59,26186032.77,16550322.18,11509435.41,4514852.81,27058007.78,15775904.16,9128584.25,3996295.46,28323572.15,13200332.37,6168896.83,4535155.01,17974191.58,16628952.24,12704129.91,5990746.08,52981810.11,56315150.46,46496801.25,41237803.37,55135994.81,51486148.98,36304850.50,37758249.67,40437093.58,46874601.38,27713787.78,14075664.66,41086374.62,28462970.66,18878192.02,10564454.87,56366695.83,48540388.45,18841760.74,8996387.91,51574099.63,33540670.16,20502687.06,9828840.55,36464472.73,19896710.16,14449891.22,5941762.75,34811121.02,17881954.48,13400976.58,5888161.04,24082485.74,11617157.71,15543749.98,12144808.45,11573652.52,0.0
7,管理费用,121762073.86,69038579.63,31303637.53,127744214.62,84966845.25,63502797.75,29020442.87,104066335.43,74953689.95,49280336.46,22284252.70,106676047.19,72068670.55,46296076.33,18605926.00,44331098.94,29609997.62,19322760.37,8807948.48,43781504.97,24888406.02,18501189.81,9511005.18,29196515.01,19432460.39,12168295.03,4900650.75,29192444.80,17806314.12,11123260.70,6187195.09,30730106.24,20876614.82,13154799.63,7155607.80,32291170.21,23958633.60,16699291.90,9485298.29,58486308.80,48437084.37,38351996.20,16479286.79,72807611.75,39822243.31,29390637.74,13495746.88,56638270.44,38234491.81,32684486.40,14833573.20,132121241.24,45966990.93,36620811.27,16155818.76,54809158.80,44211936.04,16051597.84,7073604.30,23673030.35,15850654.13,11125193.19,5361881.29,12955985.27,9706823.20,6393602.80,2996864.34,12558818.96,10222589.74,7498472.83,2529754.91,8010778.57,4679550.94,8143789.72,7373641.16,6452868.08,0.0
8,财务费用,-15823433.72,-12054545.78,-9992652.68,-36620113.74,-26289094.39,-17787890.74,153715.42,-33003828.22,-3459032.43,-2329550.80,-877619.68,28297043.06,17670941.31,11109793.56,4240702.38,23511107.07,15325835.27,11366453.97,6270597.51,30875619.50,24072052.08,16365461.96,7224490.00,29486725.52,18776996.89,12361523.02,10155942.78,28675839.72,20158720.62,12683648.48,6370085.97,19771322.27,12041624.91,7363054.63,2708848.48,14190785.44,7844034.89,3616920.24,2379256.25,8275755.43,10450964.01,7594497.62,9860914.13,24465063.54,19892533.38,15936438.62,9148747.89,15929353.15,26447561.24,12657483.87,14440782.85,15042789.23,19759426.79,9208927.34,11287243.37,4881581.64,26229798.13,1291014.23,1305430.95,1038981.84,253608.21,-987316.02,-460057.09,-1812373.37,-1291980.55,-1080296.05,-469783.20,-2578211.14,-1210315.44,-692739.84,-180735.86,-1285865.96,-118787.41,1117607.18,951209.19,1329570.27,0.0
9,研发费用,25983601.23,16435188.83,4425443.37,55456285.68,11815660.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,13113979.60,1366664146.32,23728029.45,21958370.78,96487.51,357535948.57,9138858.44,4143963.35,-235935.80,17908127.67,3933532.29,6864974.17,604636.07,18503784.94,1105305.13,3736327.89,827674.77,2023228.28,-717266.33,1069017.30,0,3142847.40,209384.89,203506.54,0,18535181.58,1160825.14,1189492.01,0,12198569.23,0,0,0,3304883.89,0,0,0,15682776.86,13011124.61,14791794.61,-100000.00,-2039372.38,6517059.18,6517059.18,0,-164906.09,4846564.22,4846564.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80058.93,80058.93,0,0.0
11,公允价值变动收益,0,0,0,-135376904.25,-85024362.00,-51746384.25,-22301472.00,135376904.25,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,27571.21,1265.70,1265.70,1265.70,2605.30,593.93,593.93,0,-31066.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,4462237.15,5295394.44,4929498.63,15215689.06,10799185.77,7364029.20,3482648.40,118473955.66,114143839.03,107687799.24,2607106.80,148114999.88,1058642.51,848486.95,848599.73,25883730.54,25415016.83,27026269.57,-2691.53,6537345.20,-100823.74,-150745.30,-346018.84,64935910.78,32913088.19,28593828.36,-615336.99,97950850.26,50483870.90,25359541.37,0,211831245.75,188159668.20,1799192.06,0,10738259.22,1875935.62,1875935.62,0,90750871.08,40828860.08,328860.08,0,94660.51,0,0,0,1840966.31,65378.55,65378.55,0,-1757768.98,538769.10,538769.10,0,11272295.69,0,7069596.98,5886825.27,4135810.81,0,0,0,1787923.50,2050077.23,2050077.23,7867.34,7594935.75,8105210.70,8105210.70,0,2842734.50,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,-592224.83,240932.46,-124963.35,112877.75,-398615.39,37677.36,-432451.60,-176861.66,-219191.27,-814.38,-2893.20,-25600.86,210007.07,-148.49,-35.71,-932880.52,-1546104.40,65148.34,-2691.53,130340.87,-119952.57,-169874.13,-365147.67,32550605.65,32871712.47,28552452.64,-615336.99,71594423.37,0,-889351.16,0,-4250373.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,-33997016.95,4001485.66,-500113.99,-1520629987.63,68769628.79,96439704.69,80247698.86,260911443.59,319562026.23,213647477.95,70897632.46,329731337.68,168115323.78,141405039.63,35312398.24,65107166.66,47880356.02,36877038.06,23314392.50,59494468.28,17903929.94,23307888.95,32465791.13,85527334.91,65258909.68,55326423.56,29115154.39,66876229.66,72953136.26,50437883.19,1814611.72,182572800.98,195592916.87,12698469.81,6268090.72,66619976.73,77724229.29,21754376.36,-11775683.87,202301773.05,141809809.73,72666141.35,29165222.14,105004328.11,82031134.33,49414820.00,11332982.28,69925088.43,38798076.07,20468300.53,977357.45,-51278433.92,24935706.65,18732112.58,8240906.11,-31010121.61,28955666.00,11747492.68,1779064.87,12290421.44,9284777.71,8259103.85,2627686.21,13040790.21,9264549.43,12710750.35,3750320.49,18694359.68,17043862.44,11720834.49,-1009226.88,21147532.92,9711951.33,19252503.02,13520265.46,11775031.38,0.0
