,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,3506018.19,269909.09,269909.09,269909.09,3251685.73,824701.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-887198.61,25711477.61,3790133.75,3965333.75,0,52326765.30,-82429.96,-82429.96,-348229.50,14774330.16,29535.16,0,0,101184397.37,222383.69,222383.69,1740473.36,27894856.32,3770.73,3770.73,0,6375140.13,108.20,259770.11,0,1251532.90,-48674.10,-222.25,0,342248.30,-425142.20,-425142.20,0,568088.41,34297.10,34297.10,0,553317.16,11765.70,11765.70,0,-1180794.50,-491124.30,-343294.27,0,-1161292.98,2325765.60,2325765.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116390.37,25900.00,114343.24,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,118164021.33,23622829.04,46454547.53,42136064.14,125883186.98,73937115.55,43323897.66,41062910.83,112381083.01,107166190.33,45250386.78,45100645.40,617778394.07,589127288.39,389566792.66,199808459.22,822698672.14,676497276.86,403631487.24,180388358.45,711805796.67,564346105.00,313291046.11,152658443.63,249223567.44,149558020.78,113409203.35,27690934.39,123858611.37,89944985.84,64082406.12,-719171.17,69844019.87,17144456.17,8038981.68,-8067770.60,706134.83,993941.51,8608993.26,-5057524.30,59934244.84,44026504.80,42965691.69,11327135.57,45663309.32,57724063.33,62459485.83,27994610.68,165389963.42,144405324.55,80143629.06,4492862.35,-3239382.80,-2418046.10,-1642673.40,-821336.70,-3285346.80,-2464010.10,-1642673.40,-821336.70,-3134114.00,-2312777.30,-1491440.60,-799849.37,7813321.50,1502373.45,1457662.21,1414676.10,-4907625.72,-1234667.39,2295211.81,1157936.42,-3503963.83,67613.08,-411548.78,-254254.45,20063909.66,-384810.33,4357214.04,1689355.06,16112217.00,3631020.00,20502576.00,2763560.00,4943517.00,3367850.00,681222.00,0.0
13,其中:对联营企业和合营企业的投资收益,73689670.36,13482792.23,37661791.65,40778194.25,63364652.04,65834191.97,35366578.52,35608257.57,76450615.67,75064477.07,36999171.82,41424684.60,559378766.22,532185521.81,381327854.05,198938793.95,758657323.53,612844459.98,381275860.10,165203362.75,599643488.52,452436652.82,224186027.42,74148189.15,179562876.06,116225344.13,80453136.16,27412416.71,90402883.76,57241687.68,31626412.47,-739933.41,-18079881.03,-9322654.54,-18241018.32,-9407345.60,-12894986.16,-11142065.85,-4683122.02,-5057524.30,59525957.34,43855257.30,42916574.19,11327135.57,45047907.37,57724063.33,62278810.83,28077565.08,0,144445409.41,80157302.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1129430912.81,823784595.63,660266268.46,479048667.79,887024868.03,578841520.73,416318567.70,337922828.72,431765145.02,533756755.27,449605782.67,368210818.03,2446876663.21,2708376960.22,1940125405.23,1064871430.07,3265469533.67,2863674931.52,1802629469.59,860000983.18,3158295717.52,2496261791.41,1479592191.76,686338419.88,1264829368.24,907622038.55,476229467.60,86648500.57,231985088.38,189805574.12,117636172.29,596324.36,39273637.86,-17969225.91,-9329847.84,-50336044.37,70309250.00,91336869.98,68254394.57,37574018.39,153860565.82,205649864.21,184885958.04,78203830.51,79684815.84,84918319.51,144436994.93,102408577.89,791644613.24,699029351.40,479781936.55,199367101.90,168821625.55,133328896.63,71588835.81,35006379.81,116500531.72,84149727.62,33905417.61,-2631320.57,183040992.67,135359003.90,80883928.01,35526055.89,30395870.50,-8507477.22,-7498648.41,-3542783.15,-14610226.48,-9861320.69,-2850347.43,-2090330.60,-746644.30,-10324396.10,573484.34,3721222.43,22800499.10,6870259.42,46086512.18,11389693.78,38023758.00,16611728.00,37035370.00,10463016.00,11087268.00,10905764.00,6539772.00,0.0
16,加:营业外收入,16898538.80,13462539.23,3264547.95,2700039.18,7902982.35,3195577.22,1733001.61,1267653.28,7154019.89,7405862.06,17876002.86,6485615.63,28461391.62,21273878.49,15612141.58,5509678.34,23149323.32,15116383.33,10161718.11,6117284.58,15447159.06,10354658.63,7286727.12,11891523.73,11121946.75,7418447.14,5527291.89,2076824.51,14005189.62,5906521.54,3694246.57,1618053.11,7778196.41,5883924.49,3717149.50,1419814.86,8163443.00,5291476.23,2714872.26,1372390.42,8682486.59,2397416.63,1668944.42,740472.21,9675632.14,3365433.80,2357437.71,1018965.50,8292488.57,577904.60,563600.00,563600.00,716250.40,9000.00,0,0,542000.00,42000.00,30000.00,6200.00,627775.00,551300.00,51300.00,5300.00,8178.57,0,0,0,0,0,0,0,315895.42,308138.00,229119.38,163393.89,157569.80,24686.97,45161.65,0,89485.00,0,4806972.00,0,549545.00,195187.00,10749.00,0.0
17,减：营业外支出,8972857.88,3186342.48,1755814.81,438359.05,12705072.33,6438034.49,4426759.04,3223989.46,8527012.51,1231871.50,609718.60,65203.34,3541570.25,469679.25,131035.25,131035.25,7298852.68,1015658.66,938288.76,43002.76,35834045.75,380903.32,182840.07,5400.00,30355004.65,902918.41,437936.01,261601.22,1371374.65,405672.43,172915.82,50855.82,652402.72,96954.00,46954.00,0,1048237.52,197258.54,3314.74,3314.74,619618.22,280599.00,274187.00,234187.00,977787.79,859301.77,759895.22,87000.00,1970029.78,1472255.44,1314808.35,252287.21,5516333.01,1368213.56,1180873.56,62576.16,790412.80,186816.00,116636.00,59318.00,727555.31,498855.84,498855.84,60000.00,9794530.09,576394.03,576394.03,800.00,312214.55,379707.31,366299.63,0,1386993.38,415896.95,193360.05,5966.67,569490.89,411223.62,89723.23,461.50,93847.00,0,130204.00,0,59335.00,116796.00,308668.00,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,857606.57,273318.01,203.34,10210.00,0,0,0,3355995.77,3020.90,0,0,35676627.42,252518.32,76205.07,0,29445135.00,183387.36,182836.21,67014.64,854048.65,107012.43,755.82,755.82,273871.50,1044.00,1044.00,0,859063.52,8084.54,3314.74,3314.74,299019.22,0,0,0,69400.24,0,0,0,403408.05,73709.77,9983.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
