,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,52513675.41,36237099.40,16922114.62,62920437.64,32563674.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,376255.34,14026685.13,13487782.77,5902136.02,-2549102.66,16760213.83,17084839.49,8253058.92,1824830.92,12486020.53,-756784.41,3926875.31,-3884200.42,13707268.96,4582211.72,2907938.06,-1780197.99,16838935.16,7607173.24,1368074.19,-4189365.40,3977158.93,173961.60,-971194.06,-3696825.49,12271755.91,1029850.16,-690157.81,-963783.19,7050139.88,1344701.85,-964918.92,-2303051.54,8933459.02,1666046.22,779022.25,-1103616.94,3009460.48,1779976.03,455730.35,-1088523.71,7316253.23,2660450.98,1135437.58,339531.47,145862.16,-985350.35,-1091052.38,-1346606.40,3327637.53,1766796.48,1092469.20,0.0
11,公允价值变动收益,0,0,0,-239342.47,0,0,0,239342.47,0,0,0,-11342.47,-11342.47,-11342.47,-11342.47,-1513589.04,-1524931.51,-1524931.51,542465.75,1524931.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,623424.66,623424.66,313397.26,3394301.37,3221123.29,0,892602.74,372194.20,0,0,0,1754776.57,1706143.91,1706896.03,1425707.90,9025781.08,5622190.53,4682274.15,2031390.65,5636832.26,-34961.91,-31754.73,-19914.68,-291589.12,-206490.64,-158665.66,-73300.60,-427943.21,-309639.50,-190956.16,-151047.81,-124295.18,-142400.64,-103865.30,-69628.22,-69270.05,-32113.22,-128145.90,-70969.07,37084.07,-51325.98,-50786.92,-483.46,-31418.88,-14656.92,-4287.05,-1651.58,-45747.17,-5905.62,-5983.70,-41861.79,22023.77,92470.07,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,-56846.90,0,0,0,-4956.88,-4958.31,-4206.19,-2101.03,-17849.63,-8344.29,-5692.18,-2855.93,-81660.89,-34961.91,-31754.73,-19914.68,-291589.12,-206490.64,-158665.66,-73300.60,-427943.21,-309639.50,-190956.16,-151047.81,-124295.18,-142400.64,-103865.30,-69628.22,-69270.05,-32113.22,-128145.90,-70969.07,37084.07,-51325.98,-50786.92,-483.46,-31418.88,-14656.92,-4287.05,-1658.58,-45747.17,-5905.62,-5983.70,-41861.79,65575.10,128762.85,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,103390233.73,65237525.55,12105038.22,60267078.31,34505084.56,21881633.60,2243689.33,33298689.49,12141673.48,5152554.39,-6340297.54,-26539453.91,4574008.06,3195909.88,-8619704.45,2851376.71,6732383.80,5702476.19,-4499993.12,30776836.23,15591841.19,4370284.66,-5850517.29,13312470.45,6140879.12,1041858.13,-9911998.14,14974481.18,10184473.03,1263309.57,-11912759.37,22972023.57,14978618.72,2920844.44,-7022807.98,44184610.25,33293519.94,12642981.36,1894147.13,42067003.38,27976823.93,10694848.93,877395.20,32158751.63,28952383.14,10799816.86,451585.23,23807430.60,20222844.68,8449971.19,3091811.05,22843411.95,14434470.98,17553006.65,0.0
16,加:营业外收入,35005.31,16020.26,0.20,780461.94,1696026.52,891105.31,3387.16,2.23,17447203.51,13010283.30,8536530.08,62953742.73,29855239.69,14943700.31,10544838.11,34185588.38,24701030.59,15186259.12,6984719.51,33228004.32,21259204.15,16528221.98,7372421.30,23031235.90,16388785.51,8884324.65,6619730.71,21282710.21,11996810.27,7706899.02,8133629.39,12856905.71,5202915.47,3879716.43,571389.46,13528237.07,6871956.28,4094948.77,2599555.17,9728162.29,5932306.76,3527310.41,2110847.91,10464307.61,5560168.17,3132365.53,1759132.73,14211872.50,11818434.39,7180847.93,5256377.78,317845.11,6335185.45,1569617.05,0.0
17,减：营业外支出,94933.34,94075.34,6966.15,26165.01,23560.40,924.00,924.00,16758.91,4170.00,4012.67,3775.67,246742.68,178047.50,126764.83,34143.74,1394694.43,268554.09,178972.99,32784.87,6437792.04,259646.44,138130.02,40364.73,274199.36,194137.53,126192.95,25000.71,376153.08,298937.72,189957.25,72931.57,249852.15,163283.91,89282.85,12445.22,258350.15,173083.01,90809.06,33625.72,233304.66,156553.23,94887.16,38956.12,562884.49,514961.83,398892.29,36331.19,181946.40,132639.71,73022.15,32231.96,171306.48,96401.24,73372.62,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,4170.00,4012.67,3775.67,69550.23,5709.18,5709.18,0,59205.67,59205.67,49275.37,903.20,6004804.32,9299.65,4973.65,0,12200.69,10931.28,10371.29,0,132308.63,127612.71,103862.50,0,14543.10,0,0,0,3198.54,0,0,0,18779.31,0,0,0,884.16,0,0,0,0,0,0,0,0,34671.30,32683.60,0.0
