,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,14682044.29,7818555.31,5542510.87,2280986.86,10759582.94,10685925.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-305314.12,3144734.74,148383.14,113184.09,-87394.30,579108.52,-108368.73,493948.00,-60808.65,2705602.06,627796.35,636583.96,-65.00,13146743.26,2933087.09,2933087.09,0,5496402.36,-97985.49,-97985.49,0,1568603.53,-10793.72,-10793.72,-250.00,9979259.48,903577.14,903577.14,0,3779564.89,1533220.59,1533220.59,0,768611.06,0,0,0,1714317.42,138757.68,0,0,-67936.47,0,0,0,2645094.78,347293.31,347293.31,0,285269.30,0,1047298.02,349346.12,0.0
11,公允价值变动收益,10103454.65,14822422.52,0,6192883.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,9090702.37,9300218.80,8776427.72,404.05,9106763.70,9106763.70,9106763.70,0,58712793.11,6235754.57,5622193.33,356579.17,4191457.63,4191457.61,374666.51,0,3575899.18,3575899.18,3575899.18,0,8066250.25,8066250.25,8066250.25,387586.05,28435333.99,25910638.37,251335.13,251335.13,2006076.71,161994.00,161994.00,161994.00,2501917.81,2501917.81,0,0,144433.33,144433.33,144433.33,144433.33,2060834.25,2060834.25,123300.00,123300.00,92500.00,92500.00,0,0,36200.00,36200.00,28960.00,0,64687.53,31100.00,-2188.82,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99495.60,0,0,-1810498.24,-1287150.81,-640564.95,-753646.25,-90285.92,-233600.62,-348222.15,-1363465.63,-1273160.13,-665274.40,-322071.19,-981851.84,-577101.47,-215885.90,-26637.63,0,-94182.60,-63466.36,-20672.63,0,-1987264.37,-1751581.80,-1041425.92,0,0,0,-23793.35,0,0,0,0,0.0
15,三、营业利润,125737984.44,88985504.03,51570871.47,19351351.20,95190316.55,89775868.63,82479215.15,22390262.34,253891065.31,105715189.51,82468959.95,14887668.62,75010914.39,43672879.13,26927931.94,17438421.65,77019875.00,62843823.02,10711831.09,4087797.96,39939327.85,22754615.79,15651479.78,1073522.33,37971909.06,14906390.94,1835037.66,1468260.86,-72709689.90,-37632080.36,-19911058.60,-13172254.68,-56548543.32,-33383919.83,-25285459.85,-7849847.25,-26622807.00,-12668075.68,-9574019.69,808428.19,7378146.70,11213830.40,5013244.76,-1262401.81,4010742.10,8913635.09,8205651.76,1015209.88,14410948.47,19935257.75,16343881.90,4853646.89,23259088.22,19211490.82,10683536.44,14208166.76,0.0
16,加:营业外收入,81993.38,97870.38,31840.30,34667.33,3170927.59,103970.95,58683.03,13060.40,128284.67,130596.34,83819.66,80664.80,6955774.87,3039219.94,1724510.16,393716.53,10453568.15,2755023.16,2032137.16,543160.75,4434769.87,1345773.87,1061772.00,35300.00,8321076.58,6517152.52,5511824.12,533626.39,8884438.50,2685604.63,2314063.87,650823.19,65339684.85,2714078.74,2656511.01,407207.33,2469783.67,2673207.88,1944046.62,1927118.12,1514183.12,1429310.10,1326707.22,382532.46,1354751.72,238757.09,199900.00,126900.00,9203676.08,525717.88,505717.88,9470.02,1151989.19,663442.37,2759814.11,1285845.80,0.0
17,减：营业外支出,2920994.10,47354.60,0,0,4045242.66,3775535.79,3770535.79,14638.09,6068656.65,8233.31,8233.31,6191.30,873508.24,29000.00,28000.00,28000.00,1999093.16,1801558.78,1651558.78,1090571.97,1193208.71,1111218.31,1091157.31,35151.63,3953541.73,2973801.93,1670239.04,201119.00,4217126.25,399363.74,205363.74,16842.88,2520998.31,38600.35,5737.35,2488.11,2726234.96,371802.97,98426.69,26418.73,613993.64,97836.53,41436.53,900.00,1245498.05,341117.03,323363.04,12800.00,848373.46,766673.46,28000.00,16400.00,216542.46,179586.01,149661.87,120229.48,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,2760.21,2760.21,2760.21,744007.49,0,0,0,158416.20,80881.82,80881.82,49895.01,1156564.40,1087037.00,1087037.00,34151.63,532260.81,66290.64,66290.64,0,0,0,0,0,0,0,0,0,7951.82,7951.82,8191.69,0,432757.11,0,0,0,9043.99,9043.99,-490.00,-900.00,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,122898983.72,89036019.81,51602711.77,19386018.53,94316001.48,86104303.79,78767362.39,22388684.65,247950693.33,105837552.54,82544546.30,14962142.12,81093181.02,46683099.07,28624442.10,17804138.18,85474349.99,63797287.40,11092409.47,3540386.74,43180889.01,22989171.35,15622094.47,1073670.70,42339443.91,18449741.53,5676622.74,1800768.25,-68042377.65,-35345839.47,-17802358.47,-12538274.37,6270143.22,-30708441.44,-22634686.19,-7445128.03,-26879258.29,-10366670.77,-7728399.76,2709127.58,8278336.18,12545303.97,6298515.45,-880769.35,4289995.77,8811275.15,8082188.72,1129309.88,22766251.09,19694302.17,16821599.78,4846716.91,24194534.95,19695347.18,13293688.68,15373783.08,0.0
