,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,12223474252.32,8142140653.71,4057485579.82,19302066717.55,14218237956.09,9073372471.54,4601386528.69,18741738574.13,13385238107.84,8384792664.80,3967597578.44,16840937066.60,11837410785.62,7394247522.91,3280077517.56,16098085185.45,11656204138.89,7341947920.16,3486997935.94,18444915959.83,13194170998.94,8225167340.36,4019170346.08,16661124004.23,11143303857.14,6499260925.60,2916580265.15,10639570117.84,7292145787.40,4467580729.29,2102886613.18,7835999796.19,5279408885.11,3142789332.04,1439572265.07,5248384826.76,3647790673.19,2293812326.88,1122175427.69,3975377635.82,2753086524.83,1706098426.42,836106258.54,3607178593.46,2270306935.64,0.0
2,营业收入,12223474252.32,8142140653.71,4057485579.82,19302066717.55,14218237956.09,9073372471.54,4601386528.69,18741738574.13,13385238107.84,8384792664.80,3959612530.04,16840937066.60,11822772489.30,7386751555.49,3276612096.42,16098085185.45,11655307312.22,7341704620.16,3486997935.94,18444915959.83,13194170998.94,8225167340.36,4019170346.08,16661124004.23,11143303857.14,6499260925.60,2916580265.15,10639570117.84,7292145787.40,4467580729.29,2102886613.18,7835999796.19,5279408885.11,3142789332.04,1439572265.07,5248384826.76,3647790673.19,2293812326.88,1122175427.69,3975377635.82,2753086524.83,1706098426.42,836106258.54,3607178593.46,2270306935.64,0.0
3,二、营业总成本,11966007898.50,8009904187.76,4042373387.13,19096167935.44,14052462166.39,8994581843.29,4415844660.64,17542458535.39,12504808748.90,7859767331.25,3751114648.80,15896569021.18,11232556680.91,7001229213.56,3132978451.29,15448631595.60,11352785894.96,7153031086.98,3398652391.29,17546924614.01,12705185221.41,7910904064.85,3829046755.50,15734602804.99,10631944816.32,6126644035.17,2679864176.03,9837435852.16,6788061902.32,4098434962.78,1883406244.28,7232577704.99,4905932347.50,2882803647.78,1295065362.68,4897979847.45,3415293611.98,2134560976.60,1029375203.08,3656553792.91,2548698327.60,1561008934.46,752166847.50,3439357035.02,2165593651.77,0.0
4,营业成本,9988230808.17,6707475281.94,3369145888.40,15693016551.41,11564841419.64,7370537473.13,3599331478.78,14211763491.00,10130954326.42,6292274277.66,2971822123.66,12650311478.29,8864832496.99,5412423611.45,2378363049.69,12187989798.74,8992052296.13,5650303428.79,2667860345.20,14391323150.56,10397943111.87,6415361750.96,3127087048.55,13206309364.64,8938574527.59,5128928225.53,2264098327.08,8357863670.58,5759166237.66,3470438101.23,1591675027.24,6151086982.84,4161810117.31,2431416021.08,1078023091.61,4046191263.58,2826821932.80,1752881294.37,840391037.13,3017800356.18,2096303431.21,1273327781.62,616794554.08,2867561521.49,1786308463.21,0.0
5,营业税金及附加,34935459.49,23206465.30,11325257.34,52196410.67,38702316.88,25393491.70,12689453.34,48278389.28,33379991.73,22149069.79,10531883.97,32092468.45,2713755.53,1833267.53,780434.63,3316432.57,2204249.80,1320705.08,498431.93,3493645.53,2467762.52,1663080.12,655174.10,3306708.13,2114110.68,1305216.29,526813.46,3034542.83,2465637.10,1681958.85,689918.81,2490766.41,1722153.37,1090106.04,568368.46,2025398.49,1396482.93,712554.82,338168.74,2099389.86,1599226.77,1077057.88,620875.46,2418315.89,1578084.55,0.0
6,销售费用,849696725.12,581501036.49,285941874.74,1521826818.81,1123986543.20,742494055.76,379804409.02,1676302941.25,1249932637.89,821013603.16,407760747.58,1734504187.50,1292112491.67,858160306.90,414558212.49,1819161467.20,1342903931.12,864474777.93,428952511.12,1913851815.74,1401120353.66,915789039.01,425377229.73,1576981148.51,1057803456.49,618876897.18,246879685.02,927690421.31,645426993.73,395445121.52,177258583.72,683627390.75,471877648.90,293785338.77,132084300.52,529836951.79,371681480.07,237982386.01,109508922.34,376955551.19,260355695.30,160017953.49,73983764.70,324603970.46,254873734.53,0.0
7,管理费用,683315515.77,430572549.48,216762208.10,960500893.62,789799496.73,692543812.04,338012995.02,1336512827.43,895663478.66,599074260.30,295601906.70,1269840958.60,906363390.69,619674066.90,291487153.23,1259825864.98,861963877.15,539992673.49,247820423.08,1116954388.41,807181984.80,517107145.13,237295045.62,912151636.37,587313220.87,353477964.02,155650411.12,567994798.51,384186172.04,236466995.71,112202279.32,404305597.64,280205593.95,163221795.15,82975360.29,311491074.87,201888419.87,129325558.91,70714054.26,230801305.68,164825217.48,104607818.42,50245327.63,202668553.50,116830314.95,0.0
8,财务费用,155591213.18,107316827.54,56347584.06,247227799.37,179478251.29,106594952.76,42589879.05,157449169.73,107803256.57,67318713.19,29634185.47,118880277.39,88289294.72,52531480.11,24592990.71,119786113.22,92731129.11,56743967.83,27537840.30,95051663.21,53662756.97,30399563.47,9495440.12,10325311.26,1737253.60,-3098275.55,-3444132.69,-30967621.69,-23576070.02,-19320623.37,-5994125.92,-33170233.41,-18501912.83,-13545833.02,-2663338.63,-2583215.53,7804085.00,9083058.54,6070823.00,25323334.89,19621736.93,13515928.54,7195093.09,32509723.68,19677786.39,0.0
