,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
1425,000554,泰山石油,0.8029999999999999,0.2313,16.0277,240.6039,66.0974,33.9026
1426,300263,隆华科技,1.7135,1.28,27.0134,1843.1578,66.0923,33.9077
1427,300805,电声股份,2.7981,2.6178,51.6464,-7524.8296,66.0741,33.9259
1428,002166,莱茵生物,2.3335,0.7797,53.7152,1491.4384,66.074,33.926
1429,300378,鼎捷软件,1.4305,1.4176,52.2004,17527.0032,66.0569,33.9431
1430,603090,宏盛股份,1.7480000000000002,1.5290000000000001,27.7972,-1230.2719,66.0568,33.9432
1431,603315,福鞍股份,2.2978,1.755,34.4853,1026.5199,66.0539,33.9461
1432,603300,华铁应急,1.2289,1.2233,58.9517,796.6873,66.0501,33.9499
1433,300549,优德精密,2.5935,2.2078,36.1959,554.1155,66.0462,33.9538
1434,300311,任子行,2.1789,1.8898,30.2468,44534.0902,66.031,33.969
1435,002664,长鹰信质,2.3117,1.9583,86.2115,4482.9783,66.02600000000001,33.974000000000004
1436,300471,厚普股份,1.1983,0.7324,16.2201,133.0196,66.0237,33.9763
1437,603609,禾丰牧业,1.4246,0.9695,55.0537,1658.6799,65.9951,34.0049
1438,300807,天迈科技,2.5878,1.7527,35.2704,1603.9563,65.9775,34.0225
1439,600825,新华传媒,1.8482,1.4754,96.8677,6.9387,65.9747,34.0253
1440,002907,华森制药,3.2107,2.9298,101.2258,6294.0186,65.9624,34.0376
1441,600482,中国动力,2.8196,2.1756,52.0064,1608.251,65.9594,34.0406
1442,603228,景旺电子,1.9485,1.6387,34.0545,-3280.7786,65.9432,34.0568
1443,002949,华阳国际,1.9416,1.8846,33.4413,-6855.1437,65.9414,34.0586
1444,300735,光弘科技,2.0804,1.8546,21.9746,-8679.4168,65.9303,34.0697
1445,601098,中南传媒,2.5787,2.2955,167.2804,-1027.2332,65.926,34.074
1446,603185,上机数控,2.0842,1.7102,36.7796,154167.3674,65.9217,34.0783
1447,300041,回天新材,1.7439,1.4671,34.754,4452.1177,65.8901,34.1099
1448,603801,志邦家居,1.7335,1.4813,59.0746,-18535.0275,65.881,34.119
1449,603989,艾华集团,4.0387,3.1319999999999997,30.583000000000002,1607.1981,65.8302,34.1698
1450,600761,安徽合力,2.3023,1.8003,52.7008,-4916.9555,65.8269,34.1731
1451,603329,上海雅仕,2.2459,1.7818,57.1406,-297.584,65.8234,34.1766
1452,300505,川金诺,3.2868,1.9886,142.3263,1950.5301,65.8168,34.1832
1453,688007,光峰科技,2.8652,2.3541,71.5446,957.7235,65.7995,34.2005
1454,603043,广州酒家,1.9966,1.8134,149.1832,-1954.9216,65.789,34.211
1455,600577,精达股份,2.1794,1.7273,44.8578,736.1359,65.7643,34.2357
1456,300498,温氏股份,1.6274,0.8131,8.7239,3415.8916,65.7332,34.2668
1457,002545,东方铁塔,1.4076,0.8113,24.709,836.9102,65.7228,34.2772
1458,000025,特力A,1.3977,1.3869999999999998,35.3627,1703.0204,65.7061,34.2939
1459,603638,艾迪精密,1.3596,0.6193,17.0992,2576.5484,65.6096,34.3904
1460,000545,金浦钛业,1.2787,1.0107,23.1918,417.9176,65.5964,34.4036
1461,002599,盛通股份,1.7756,1.4312,42.2026,1363.8047,65.5772,34.4228
1462,300078,思创医惠,1.8242,1.5618,28.32,517.2155,65.5384,34.4616
1463,603393,新天然气,4.6138,4.5763,320.5367,1234.6928,65.5354,34.4646
1464,603006,联明股份,1.9634,1.3658,13.7506,834.2648,65.4706,34.5294
1465,603356,华菱精工,2.2852,1.9107,29.898000000000003,2036.9011,65.4686,34.5314
1466,000735,罗牛山,1.2984,0.5958,33.8013,-64.9868,65.4648,34.5352
1467,600378,昊华科技,2.6038,2.2617,101.5017,7867.1995,65.4401,34.5599
1468,300258,精锻科技,1.235,0.904,43.8344,2257.9016,65.4308,34.5692
1469,600313,农发种业,2.0249,1.5728,25.178,-48.4488,65.4177,34.5823
1470,603858,步长制药,1.1245,0.8782,35.0778,2126.1495,65.4054,34.5946
1471,603063,禾望电气,2.7409,2.1631,44.4439,16552.3021,65.3895,34.6105
1472,603709,中源家居,1.9395,1.692,87.5024,-548.5846,65.3773,34.6227
1473,002559,亚威股份,1.8739,1.318,64.0233,-1597.6717,65.3306,34.6694
1474,300698,万马科技,2.4318,1.896,9.7855,333.3604,65.3255,34.6745
1475,600371,万向德农,2.0916,1.8663,174.493,-937.0462,65.2833,34.7167
1476,601238,广汽集团,1.5381,1.349,89.6823,5840.3616,65.2533,34.7467
1477,300436,广生堂,1.0373,0.8783,49.0546,514.8801,65.2422,34.7578
1478,603557,起步股份,2.5037,2.1244,71.1994,1061.743,65.2416,34.7584
1479,002120,韵达股份,1.4606,1.4502,24.031,102980.8944,65.2285,34.7715
1480,603303,得邦照明,2.2702,1.9306,58.0608,-3560.5424,65.2247,34.7753
1481,600845,宝信软件,2.1236,1.8626,99.0348,-2169.9847,65.2133,34.7867
