,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603225,新凤鸣,,,,,,15881.5,,,09-03
1,603299,苏盐井神,,,,,,10591.69,,,07-11
2,600903,贵州燃气,,,,,,2926.89,,,05-07
3,601968,宝钢包装,,,,,,8769.37,,,04-23
4,000166,申万宏源,0.15,,,6.04,,103179.01,,,04-09
5,002797,第一创业,,,,,,15493.45,,,03-01
6,002736,国信证券,,,,,,150421.4,,,02-28
7,002948,青岛银行,,,,,,79399.15,,,02-26
8,300388,国祯环保,,,,,,4423.71,17.29,,01-25
9,002941,新疆交建,,,,,,2413.16,,,01-08
10,601997,贵阳银行,0.71,,,,,127960.27,,,12-25
11,300567,精测电子,,,,,,2256.32,,,11-05
12,002703,浙江世宝,0.24,,2.58,9.49,0.07,6270.1,,,11-01
13,601880,大连港,0.1,-16.67,2.89,3.3,0.13,42386.23,-18.9,,10-31
14,603056,德邦股份,,,,,,36184.25,,,10-31
15,600058,五矿发展,-0.48,-160.41,7.76,-5.94,5.42,-51898.42,-160.41,,10-31
16,600075,新疆天业,-0.04,-114.57,4.04,-1.07,1.02,-1916.53,-114.47,,10-31
17,600830,香溢融通,0.19,-44.11,3.6,5.22,-0.12,8388.91,-44.17,,10-31
18,000155,川能动力,-0.27,58.82,2.64,-9.67,0.38,-12583.48,58.38,,10-31
19,600546,山煤国际,0.67,-51.45,8.6,6.65,-1.2,66452.43,-35.7,,10-31
20,600166,福田汽车,0.67,57.96,5.32,14.09,-0.09,155737.42,75.54,,10-31
21,600582,天地科技,0.67,7.42,3.97,17.93,-0.16,80853.83,29.27,,10-31
22,600997,开滦股份,0.39,-26.42,5.6,7.19,1.12,48093.32,-26.65,,10-31
23,002345,潮宏基,0.58,-13.43,8.01,7.4,0.77,10495.11,-13.43,,10-31
24,601390,中国中铁,0.2,17.65,3.54,5.8,-0.59,427270.7,17.81,,10-31
25,601615,明阳智能,,,,,,-12013.27,,,10-31
26,600691,阳煤化工,-0.42,66.29,-1.94,,-0.03,-4766.54,66.31,,10-31
27,601727,上海电气,0.22,0.72,2.35,9.71,-0.17,286844.0,0.72,,10-31
28,600315,上海家化,1.07,62.12,5.6,24.38,1.75,47800.43,70.7,,10-31
29,600338,西藏珠峰,-0.25,66.67,-0.71,,-0.15,-3964.37,68.85,,10-31
30,600730,中国高科,-0.01,-95.11,2.54,-0.2,-0.19,-152.03,-95.12,,10-31
31,600360,华微电子,0.04,-65.0,2.43,1.44,0.22,2382.48,-66.32,,10-31
32,600746,江苏索普,-0.12,-362.17,1.35,-8.6,0.11,-3695.27,-361.28,,10-31
33,000792,*ST盐湖,1.15,-37.48,9.64,12.57,0.51,182816.85,-24.45,,10-31
34,600782,新钢股份,-0.55,-350.0,5.6,-9.39,-0.03,-77037.61,-351.34,,10-31
35,600098,广州发展,0.27,64.17,4.6,5.54,0.91,67940.36,97.7,,10-31
36,600115,东方航空,0.32,-36.98,2.13,12.11,1.03,362975.5,-36.98,,10-31
37,600153,建发股份,0.5,-25.37,4.0,13.01,1.14,111573.38,-25.12,,10-31
38,000997,新大陆,0.14,7.69,2.82,5.01,-0.06,7029.65,7.36,,10-31
39,000606,顺利办,-0.01,-116.44,1.6,-0.75,0.08,-445.89,-116.43,,10-31
40,000626,远大控股,0.06,-84.55,1.95,3.05,-2.25,1183.04,-84.54,,10-31
41,600641,万业企业,0.01,-91.28,2.97,0.39,0.39,955.58,-91.31,,10-31
42,600283,钱江水利,0.04,-81.82,3.27,1.08,0.23,1044.67,-83.23,,10-31
43,600696,ST岩石,0.04,14.29,1.48,2.77,-0.16,1378.7,15.83,,10-31
44,600320,振华重工,-0.15,400.0,3.33,-4.32,0.34,-64480.87,378.85,,10-31
45,600735,新华锦,0.03,153.91,1.19,2.49,0.09,610.98,155.02,,10-31
46,600753,东方银星,0.0,-130.77,0.78,0.49,0.0,48.98,-129.53,,10-31
47,600403,大有能源,1.28,-7.82,6.48,20.81,0.59,106819.09,-7.82,,10-31
48,600789,鲁抗医药,-0.17,-241.88,2.67,-5.99,0.07,-9667.98,-241.92,,10-31
49,600052,浙江广厦,-0.05,-121.74,1.98,-2.1,0.05,-4203.7,-121.13,,10-31
50,000839,中信国安,0.07,20.58,3.67,1.9,-0.27,11020.93,20.56,,10-31
51,600807,ST天业,0.04,-63.64,1.52,2.45,0.04,1184.36,-67.68,,10-31
52,600460,士兰微,0.02,-93.33,1.94,0.91,0.14,1551.07,-88.13,,10-31
53,600085,同仁堂,0.34,26.79,2.86,12.13,0.57,43774.65,26.78,,10-31
54,600843,上工申贝,0.08,2.35,1.62,5.19,0.21,3716.66,2.35,,10-31
55,600104,上汽集团,1.46,1.74,10.39,14.85,2.18,1613068.64,21.36,,10-31
56,600120,浙江东方,0.59,,6.7,9.13,-0.26,29899.47,,,10-31
57,600877,*ST电能,-0.16,35.58,0.44,-31.01,-0.02,-11180.3,35.59,,10-31
58,600138,中青旅,0.63,19.23,6.81,9.87,0.22,26296.38,19.24,,10-31
