,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603045,福达合金,0.62,266.88,5.49,12.05,0.1,4597.82,264.46,,04-25
1,603348,文灿股份,0.55,,,20.76,,7884.21,16.33,10派1,04-04
2,300782,卓胜微,-0.0,,0.07,-20.34,-0.06,-16.58,,,03-23
3,300504,天邑股份,0.2,-57.45,4.2,14.07,1.22,3963.36,20.84,,03-13
4,603680,今创集团,1.44,100.79,,30.15,1.34,51808.25,100.79,,01-31
5,603712,七一二,,,,15.86,,18705.33,-12.14,,01-30
6,002927,泰永长征,0.93,,,32.45,0.23,5555.8,,,01-30
7,603709,中源家居,,,5.88,70.04,5.22,2526.78,275.88,,01-25
8,603871,嘉友国际,,,8.74,24.35,0.99,5692.07,83.6,,01-23
9,603156,养元饮品,3.7,15.7,,62.51,5.12,183053.64,15.7,,01-22
10,603516,淳中科技,,,3.33,46.94,2.33,4456.06,12.99,,01-15
11,300739,明阳电路,,,7.63,19.98,2.32,4516.58,,,01-15
12,300737,科顺股份,0.24,9.09,3.71,35.96,0.17,7855.98,98.72,,01-08
13,603895,天永智能,,,,51.92,-0.15,4737.18,0.86,,01-08
14,300738,奥飞数据,0.12,-340.0,1.21,48.69,-0.02,399.67,-7835.2,,01-08
15,603356,华菱精工,0.55,,2.0,29.46,0.61,5517.83,64.49,,01-03
16,688196,卓越新能,0.56,-49.09,4.6,12.77,0.88,5049.2,-49.17,,01-03
17,603327,福蓉科技,0.03,,0.9,3.33,-0.19,589.55,,,12-29
18,002957,科瑞技术,2.74,,6.04,56.19,3.43,31969.59,,,12-29
19,603530,神马电力,0.1,,,12.63,1.74,3928.36,,,12-29
20,603687,大胜达,,,2.4,2.43,0.55,1542.12,,,12-29
21,603982,泉峰汽车,0.56,,,15.03,,2788.42,,,12-29
22,300798,锦鸡股份,,,,26.53,,7292.18,,,12-29
23,300765,新诺威,0.72,,3.58,21.24,0.62,10823.54,,,12-29
24,603115,海星股份,0.41,,3.23,13.55,0.51,6387.02,,,12-29
25,603786,科博达,,,,44.84,3.52,33159.17,,,12-29
26,601698,中国卫通,0.14,,,7.0,0.37,51293.12,,,12-29
27,600929,湖南盐业,0.22,,,12.58,0.45,16469.13,,,12-27
28,300736,百邦科技,0.72,-6.49,3.66,21.42,0.45,2877.45,-6.39,10派5,12-26
29,002925,盈趣科技,0.31,19.23,,64.07,1.36,11797.39,90.25,,12-26
30,002956,西麦食品,1.03,,,23.08,3.63,6040.99,,,12-22
31,300779,惠城环保,,,,-0.67,,-133.16,,,12-22
32,002923,润都股份,0.79,0.0,3.64,23.71,0.77,5951.99,0.27,,12-18
33,002951,金时科技,,,,34.92,,20187.34,,,12-15
34,300770,新媒股份,,,,9.97,,1746.23,,,12-15
35,002921,联诚精密,,,,15.44,0.71,4860.89,56.35,,12-13
36,603080,新疆火炬,0.96,47.69,1.78,50.76,0.86,8907.46,48.29,,12-12
37,002922,伊戈尔,0.29,-36.96,3.1,7.29,0.91,2609.16,-36.68,,12-12
38,603329,上海雅仕,,,,22.41,1.04,6684.79,17.78,,12-12
39,300735,光弘科技,,,,16.97,,6899.0,83.98,,12-11
40,603655,朗博科技,0.56,-1.75,3.28,18.57,0.47,3511.15,-1.86,,12-11
