,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2402,300267,尔康制药,0.66,4.76,,29.02,,60457.87,109.71,,04-06
2403,600639,浦东金桥,0.47,1.71,,6.35,,47151.95,9.72,10派1.4,04-05
2404,002516,旷达科技,0.4,-40.34,,12.55,,25130.46,49.13,,04-05
2405,603236,移远通信,2.74,176.77,8.12,40.58,,2739.81,177.31,,04-05
2406,300775,三角防务,,,1.88,0.2,,125.3,-90.48,,04-05
2407,603377,东方时尚,0.89,1.14,,47.86,,32908.0,0.86,,04-05
2408,000826,启迪环境,1.1,15.29,,16.53,,93073.96,15.77,10派1.5,04-05
2409,600066,宇通客车,1.6,-9.6,,30.19,,353521.59,35.31,10派15,04-05
2410,600406,国电南瑞,0.53,0.0,,17.09,,129921.66,1.26,10派2.7,04-05
2411,600161,天坛生物,0.02,-92.0,,0.51,,997.72,-92.23,,04-05
2412,300107,建新股份,0.04,-71.33,,2.64,,2315.07,-42.95,,04-05
2413,300112,万讯自控,0.05,-44.44,,2.3,,1271.85,-44.35,,04-05
2414,600653,申华控股,0.03,-126.6,,2.88,,5298.45,-126.63,,04-05
2415,300069,金利华电,0.09,-30.77,,2.17,,1054.74,-32.81,,04-05
2416,002164,宁波东力,0.03,-40.0,,1.02,,1115.26,-53.24,,04-05
2417,600219,南山铝业,0.21,-55.32,,2.48,,56028.39,-38.63,10派1转15,04-05
2418,002598,山东章鼓,0.18,-28.03,,7.36,,5472.47,-28.04,,04-02
2419,002684,*ST猛狮,0.01,-90.0,,0.38,,278.36,-74.05,,04-02
2420,300076,GQY视讯,0.02,-77.78,,0.46,,489.96,-74.96,,04-02
2421,300306,远方信息,0.23,-69.33,,5.28,,5574.06,-38.31,,04-02
2422,000561,烽火电子,0.13,116.67,,7.8,,7646.27,103.8,,04-02
2423,002057,中钢天源,0.08,-15.85,,3.25,,1640.81,-15.9,10派0.1,04-02
2424,001896,豫能控股,0.65,51.2,,15.54,,55990.83,51.18,,04-02
2425,000716,黑芝麻,0.48,97.11,,7.71,,14913.82,139.62,10派1转10,04-02
2426,002029,七匹狼,0.36,-5.26,,5.57,,27303.08,-5.43,10派1,04-02
2427,000572,*ST海马,0.1,-23.77,,2.23,,16246.08,-23.78,10派0.5,04-02
2428,000701,厦门信达,0.31,-43.64,,5.26,,10924.73,-32.24,10派0.55,04-02
2429,300051,三五互联,-0.24,-1300.0,,-14.16,,-7974.52,-1534.13,,04-02
2430,000755,山西路桥,-1.08,-961.97,,-34.43,,-50522.33,-962.26,,04-01
2431,600037,歌华有线,0.59,10.73,,8.99,,67276.08,18.29,10派1.8,04-01
2432,000829,天音控股,-0.24,-1300.0,,-10.89,,-22749.36,-1341.24,,04-01
2433,000927,*ST夏利,0.01,-101.09,,1.18,,1805.19,-101.09,,04-01
2434,002587,奥拓电子,0.06,-80.0,,3.56,,2141.61,-68.18,,04-01
2435,002345,潮宏基,0.3,15.38,,10.27,,25532.69,15.68,,04-01
2436,300050,世纪鼎利,0.46,130.0,,5.7,,11443.36,160.92,,04-01
2437,000800,一汽轿车,0.03,-67.2,,0.61,,5294.81,-67.17,10派0.43,04-01
2438,000951,中国重汽,0.66,-35.92,,6.21,,27851.99,-35.42,10派2转6,04-01
2439,002156,通富微电,0.21,8.37,,4.5,,14732.54,21.93,10派0.3转3,04-01
2440,002499,*ST科林,0.15,87.5,,4.03,,2763.39,156.8,,04-01
2441,603869,新智认知,0.35,9.37,,10.51,,7135.62,37.52,,04-01
2442,000911,*ST南糖,0.19,-119.0,,4.41,,5985.34,-120.88,,04-01
2443,002364,中恒电气,0.27,-44.9,,13.54,,14347.83,14.14,,04-01
2444,300371,汇中股份,0.56,-28.21,,13.84,,6715.79,-9.68,,04-01
2445,000037,深南电A,-1.05,90.91,,-66.58,,-63462.37,92.01,,04-01
2446,603613,国联股份,0.42,121.05,2.33,19.66,,1200.75,107.67,,04-01
2447,000949,新乡化纤,0.13,33.0,,5.64,,13830.84,52.72,10派0.3,04-01
2448,601288,农业银行,0.55,0.0,3.48,16.79,2.53,18058200.0,0.62,10派1.668,04-01
2449,002502,鼎龙文化,0.35,191.67,,6.5,,12034.87,250.31,,04-01
