,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20161231,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,67158588.82,67158588.82,70092661.03,70092661.03,70092661.03,70092661.03,11151605.87,11661605.87,8214349.77,8214349.77,8214349.77,8214349.77,8214349.77,8214349.77,8214349.77,8214349.77,0.0
42,长期待摊费用,101907451.19,105411413.24,106725999.01,107044248.93,83005015.86,110494458.99,55243715.94,54827794.37,53221311.61,61594936.94,57507199.42,60023705.78,63234180.02,60440614.88,18168267.14,426346.55,0.0
43,递延所得税资产,28531785.65,28449250.31,18580730.39,17771269.00,22583342.75,23933102.26,7155047.26,5813684.98,5213818.25,4768587.93,2050856.62,1668638.94,1505561.95,2212057.43,662383.15,1096609.17,0.0
44,其他非流动资产,13317824.15,9775842.67,26697976.26,33102924.31,28587929.93,23510775.40,48960608.36,30998639.31,58411191.62,44585389.96,6107507.26,2483510.05,13270416.03,79121.67,993050.00,989364.00,0.0
45,非流动资产合计,944309467.23,936246653.21,869165470.18,802281270.26,778497960.17,771033727.44,619830680.53,500979873.68,445086168.26,426588399.29,296432624.60,277003105.08,272011091.38,243434147.04,230371537.97,135947995.25,0.0
46,资产总计,1867442538.05,1700206819.50,1667018859.96,1577988119.45,1680159539.95,1407347375.82,1264040314.93,1210016941.38,1084290505.68,1005092019.49,1006611982.86,665187679.03,612763973.24,499384050.59,414484487.71,302274143.05,0.0
47,流动负债,,,,,,,,,,,,,,,,,
48,短期借款,326753392.10,270027470.00,257278050.00,247386150.00,334800750.00,255000000.00,208000000.00,166000000.00,102854029.00,51756212.00,95595503.00,93597920.00,88326420.00,52544538.08,94000000.00,31000000.00,0.0
49,交易性金融负债,524450.00,0,51030.00,0,0,141888.00,2801654.60,1922402.60,0,0,62720.00,0,0,1724310.00,0,0,0.0
50,应付票据及应付账款,308741309.72,210499169.73,210010663.81,181431926.59,202162880.37,196965069.18,165763865.95,182222302.93,145883372.78,125479220.72,0,90194097.76,65020725.76,73167391.09,41245409.27,0,0.0
51,应付票据,74140867.00,7546835.30,4355968.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,应付账款,234600442.72,202952334.43,205654695.51,181431926.59,0,196965069.18,0,182222302.93,145883372.78,125479220.72,96640602.56,90194097.76,65020725.76,73167391.09,41245409.27,46396720.19,0.0
53,预收款项,16404954.10,7213999.73,7953710.59,5059287.28,8317950.65,5449021.54,6575972.03,5106749.75,7227670.27,3323990.04,7241405.87,4374085.34,3733623.62,3477414.20,2808632.67,5518802.23,0.0
