,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,981992198.91,997875636.18,1174861629.93,1536971353.24,1024135770.51,919966113.38,1061305562.04,1678041052.74,1179658072.98,1340993915.41,1251604082.49,2004534645.28,1224045703.77,1060756111.85,1452325685.76,2068546987.95,902102485.93,953130963.38,1038831871.94,1431263586.83,888535864.77,982645569.26,945743995.15,1648935646.86,733609140.63,911266353.31,786305042.60,1178832609.41,1029008878.93,1160217706.77,1169807117.22,1331362513.84,799302503.07,878310779.68,507838409.84,743961072.19,726396565.86,615394587.86,389483845.53,707430652.98,415885528.27,712039138.66,361357536.19,511300210.71,294750383.53,375325235.54,358498220.66,554167382.62,245788184.18,282774337.38,217565347.80,330062475.75,254355670.94,309910065.17,331928194.10,267027942.29,187026996.98,151089841.60,142622022.66,212746154.03,223532213.03,193388473.99,217917127.53,454317804.59,231865430.50,190198427.76,276657317.86,314890144.86,247346783.58,312360760.75,52928286.10,39711373.74,33611859.42,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487359.63,350687.27,306491.31,352335.50,415467.00,371728.51,0,0,0,0,0,0,0,0,4309797.40,5090797.40,2781000.00,54133801.92,53442458.42,53442458.42,50000000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1558218413.19,1768956675.30,1795129730.71,1551755439.32,1298533500.77,1318785685.02,1139490236.86,1186610075.72,0,1513807418.17,0,1309621354.73,0,1410023146.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,112082519.69,108701478.89,93467069.30,81474408.58,53828425.61,42947184.53,52315875.76,64601312.17,71627502.14,108571504.92,152422679.76,121402014.69,94727376.87,54359363.14,33621493.83,86468105.87,19443974.10,15562974.89,16515318.44,22752421.97,36211033.99,17747986.00,30976870.42,34560002.48,14192984.86,19293380.00,2697061.58,10134827.46,21148210.20,20780574.20,3707941.00,4928131.60,14977844.31,2210576.80,7479500.00,789500.00,851189.50,1050000.00,184520.00,97613.59,1834601.11,4543511.66,911509.27,2759559.27,1553776.46,14318693.59,6971851.03,9427544.40,6148063.20,1587832.90,3107115.92,11065267.80,6481190.70,2406330.85,2768626.00,5736173.31,12098049.15,18075676.85,17145380.28,20359272.88,6081082.94,22857517.25,3220708.85,8263287.50,5816200.80,0,0,7159826.00,244281.00,2406170.00,3179250.00,0,0,0.0
7,应收账款,1446135893.50,1660255196.41,1701662661.41,1470281030.74,1244705075.16,1275838500.49,1087174361.10,1122008763.55,1276466275.23,1405235913.25,1269690525.75,1188219340.04,1311080102.01,1355663783.48,1196446959.46,1112957028.15,1005963833.86,1078755932.54,953609225.24,998754786.26,1033228781.99,1080995080.75,975942610.02,1029371389.54,886867293.01,844208941.59,723226913.56,655680686.65,751106805.23,706879029.32,717913849.52,680511491.48,675643810.75,614255133.99,604270859.11,595940919.15,1129824557.35,1085161963.86,924011053.96,762951996.41,866497053.43,787912005.73,715270391.91,700490971.65,812925006.36,740342238.72,732522880.53,637449802.83,639938734.74,615270569.81,543397781.68,463043766.10,442674091.02,421105498.31,371061849.32,350582316.83,388256841.24,215766721.56,208170808.18,185798969.33,202726768.94,174280645.58,189100946.25,161445406.51,140824444.21,133878812.07,50790529.80,49332773.94,93999609.27,74169050.40,23171629.74,20818690.09,1654081.06,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
