,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,216431333.44,103641790.81,86979774.43,81617744.94,60475610.31,319173932.57,159184628.06,219967848.10,127782418.99,85155010.48,440412119.37,300170160.24,117056328.57,155160372.61,1654474647.09,1073673929.60,3379649306.11,3873570793.25,3967067469.27,2953347804.43,3737673962.28,3488006475.72,4097778321.20,3007431778.64,3802449137.46,3375766600.89,4546568079.63,2365655178.52,3482908093.34,3279000721.51,3885054747.95,1794205219.28,3383997265.36,1938913039.22,2847366294.97,1945276729.30,2111296396.68,2173351407.25,2663079727.38,1227721981.79,1888314377.50,1790139803.88,1681032902.85,835238085.20,976643275.30,891440282.51,761725580.84,559559019.94,673981005.64,609308838.27,792450075.27,227986482.94,330014616.63,392910663.27,463345047.86,402042044.10,546694703.85,441903219.45,206242084.86,60290194.20,183256626.21,88307196.96,181241492.26,111504313.75,231872411.82,88571070.10,115126513.27,85158980.78,101189582.59,89240110.55,100225723.37,37057756.36,120703163.97,42295418.77,45154605.99,20588740.33,13362163.40,13700478.01,34324446.12,31528010.40,0,31366421.14,0,44465450.90,0,100078000.00,0,59595307.29,0,0,0,0.0
10,其他应收款(合计),72918550.03,102260546.00,65435760.35,89298006.12,58066945.51,50821669.05,52320748.30,71635951.30,0,31625483.45,31669174.72,36985553.84,0,1253895442.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81138.71,60102.75,39297.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,6943426.41,0,9057835.72,19182835.72,4860000.00,4860000.00,4860000.00,9831650.41,4050000.00,4050000.00,4050000.00,4050000.00,1944000.00,4852410.47,1944000.00,1944000.00,1944000.00,1944000.00,1944000.00,1944000.00,1944000.00,1944000.00,1944000.00,1944000.00,2312308.02,1620000.00,1620000.00,1620000.00,1620000.00,1620000.00,1620000.00,1620000.00,1296000.00,1296000.00,1296000.00,1296000.00,0,2076000.00,1296000.00,1776000.00,288.00,1539975.96,1539975.96,1539975.96,6677667.68,6677667.68,9337157.11,9270243.68,1296288.00,1296288.00,1216108.97,1296288.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78440.93,78440.93,0,0,294000.00,0,202428.20,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,102260546.00,0,70115170.40,0,45961669.05,47460748.30,61804300.89,26055305.49,27575483.45,27619174.72,32935553.84,499942284.73,1249043032.13,567344980.62,2364656478.41,23904216.08,20754499.63,32746691.92,40500967.06,39546889.03,35241490.63,44031297.54,42370509.41,56840246.93,80667103.42,83586667.37,81526183.94,292586012.58,171034426.34,196210143.83,160301893.92,195198139.62,119298980.67,131503145.18,76358045.98,91240074.93,168483427.67,74269458.12,47774461.43,97206028.23,86032877.98,73010184.84,48474701.37,80014395.01,66994675.39,91076513.53,39702145.20,71712796.60,75792038.78,162605304.85,44119827.87,24003314.58,35356279.92,84120175.44,23618411.85,38674055.32,69252738.81,28468275.26,10364413.69,31622245.16,33753961.01,33189848.83,23575672.97,47507546.53,36564254.76,44293270.29,59134211.53,63206476.45,61748647.83,47608969.22,46024826.14,69777400.70,70773409.16,318926598.40,312342569.56,236135139.98,228038622.82,171782622.60,265330846.66,0,204519921.52,0,166854365.94,0,182289000.00,0,70472895.77,0,0,0,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,672688813.20,825938561.44,452695152.39,432878204.22,431862685.62,450929551.16,281914697.05,345661699.43,396118879.80,603772416.82,253241426.05,208446255.41,227938190.31,320313426.56,845792119.90,561462467.49,2338115519.52,2617408120.88,2688110994.17,2836653785.45,3119396406.98,4047531948.99,3693989384.95,3770942275.40,4585582696.96,4967191009.12,4728463202.46,4688734205.76,5095526149.77,5026252745.83,4445221015.40,3413405470.56,3733340552.93,4052681296.70,3454342784.61,2893350481.48,2875845736.88,2306426910.24,2247840159.94,1785333758.61,1659396785.05,1457913609.84,1149330613.10,1331898768.49,1088713906.34,966848619.67,1126281080.02,1030291924.14,1225099223.15,1188153300.39,1177801303.03,835017669.10,965944724.40,821543366.49,635815338.91,557916814.07,742151289.15,680835266.66,273797185.61,321181199.90,220598384.16,298963421.45,298928836.63,169109609.48,226423161.44,186707550.35,235551211.92,110554166.96,205569595.53,79754794.49,96783327.96,73519745.87,129523763.79,104446323.76,63651708.05,69913037.74,55890918.21,35264688.35,30544364.58,29275047.07,0,37843597.32,0,55094900.07,0,75526000.00,0,49781651.80,0,0,0,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,1206.65,4827.08,8447.51,80922.89,1501.33,8366.50,24092.94,43505.19,29228.41,123364.45,237521.75,353162.72,24679.50,87655.39,155224.57,155224.57,442500.00,885000.00,442500.00,1398500.00,19153.35,172449.66,626368.17,944388.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000.00,30000000.00,0,1000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122021.42,1121514.55,57042.14,355334.63,204073.71,633520.94,319253.10,515764.00,841882.13,882588.04,126929.29,852268.24,766360.49,1063254.00,957247.20,1084018.51,864627.87,804242.33,104533.17,81310.84,100880.56,715005.45,136812.15,673706.11,963484.71,1310741.05,1854737.17,1921196.45,2596412.86,0,3724678.59,0,5094811.45,0,6555000.00,0,7872065.26,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182381.00,2265598.28,2265598.28,5332159.57,5553059.57,0,0,0,0,0,-6006.33,0,0,0,0,0,0,0,0.0
