,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
10,其他应收款(合计),41595029.48,43244581.03,41581796.98,41250378.14,43377489.57,14166565.14,13785800.72,13647807.86,13932052.80,0,965043.74,0,6485543.76,0,4944975.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,2374268.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,39220761.48,0,41581796.98,0,43377489.57,14166565.14,13785800.72,13647807.86,13932052.80,1851628.23,965043.74,3397445.54,6485543.76,5089476.84,4944975.95,7040663.24,7329761.51,7700274.42,7490970.44,7911258.69,7922378.34,6221170.46,4662035.40,3294436.37,3285472.08,36267888.56,4313250.32,7596294.01,10864192.53,4533871.66,37663882.96,37863978.70,37536945.31,10759025.08,1794365.65,1417329.97,2567017.54,7575003.36,1931998.70,1223643.48,4466854.88,2514445.94,1597313.48,1487263.82,1677528.18,6257403.86,1488422.13,5075893.43,1870526.59,17040686.08,27610711.75,24837688.02,3660871.35,33182849.35,63131326.07,25075083.19,25683818.40,60957678.39,57002260.96,78560688.27,65951792.53,129474160.26,107490433.09,107913413.96,35656729.79,21163979.54,11009434.78,16009032.61,9715611.40,31255089.57,5426906.20,4537153.48,4120581.47,3929613.84,8870217.00,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,7810774.54,18641228.18,7465245.47,8165220.30,8127648.08,25279087.20,6209354.66,12456964.89,24658287.60,45173428.25,6728358.33,28681212.45,35774476.55,57296221.11,6481106.65,16813274.25,21980121.13,30660636.48,7252497.47,31353033.75,42654675.98,80738991.70,8029945.64,24375378.99,47103035.25,39948522.08,15815781.28,22799860.68,28350705.59,31927757.51,4423471.08,7240093.26,13954266.15,23621896.90,5485412.94,5840793.84,4845998.26,13969010.71,7145351.83,6160777.04,5122242.38,9440026.44,7505609.22,6312253.82,5392921.33,11774168.76,9178823.82,8319887.75,6804911.54,26419071.35,18206099.76,17526349.23,17394325.50,25446829.72,22737610.92,24018190.27,28936161.66,37832098.60,39107048.20,29437789.21,27366843.80,30076635.00,25674706.34,22523179.56,215533006.26,145539548.31,117049630.80,59148291.66,53475186.25,33968781.27,6422256.69,5994360.70,19071249.16,16694949.76,544312.74,0.0
16,划分为持有待售的资产,0,0,0,0,0,0.00,0.00,258789.97,258789.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18774.77,25812.77,2853.57,6691.32,61281.91,203971.11,292746.12,309200.00,0,0,0,0,0,106791.41,123174.65,215555.66,307936.67,0,0,63900.00,125000.00,3183.00,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,6874970.95,7658815.85,6656292.74,5496267.12,4159475.91,5452714.71,13487481.09,44269525.14,28913701.46,36584755.08,43317807.17,72512629.88,66985905.74,55708276.97,72921057.62,74838957.43,65736713.29,4918938.94,3267405.74,7074850.30,8802745.96,0,0,0,0,0,0,0,0,0,187800.00,112358.99,148133.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
