,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19930331,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,3130437241.26,2097144947.79,3377556465.20,2215645390.01,3266007569.57,5019898078.63,3303896866.50,2935241482.69,2923564164.09,2609315350.24,2464520560.10,2599072096.36,2839313619.64,2131318989.49,3713858146.12,1934062420.91,2219064425.33,540593040.19,947982599.20,1665298934.25,2075765232.35,1297408000.28,1337969210.58,1697054177.32,905361424.78,1723269359.95,850789358.92,631783476.15,640261758.54,774085707.26,674183469.89,932086504.35,1223135916.53,1411342215.09,1476407071.00,1124144386.04,735138549.79,916280489.64,1175505417.38,1606946453.96,1635938273.77,874349106.44,356349750.37,314226159.04,233143439.12,245707626.39,165052415.27,253223710.47,313531886.99,275617374.14,209825364.83,232575396.71,281296148.43,325060991.05,286057188.40,210251933.27,174169229.55,358459845.92,185959520.61,417645219.22,302800124.24,337545426.89,516352109.27,317283313.18,249138211.21,615617194.39,220423978.77,201182187.00,217546590.72,295142946.14,331613340.01,215070849.25,38150403.77,45983677.86,85855871.26,36613198.25,177011026.35,99029678.71,22004315.46,198934537.90,0,84215405.01,0,53596078.35,0,33282000.00,0,11987042.55,12319301.16,0,20184462.51,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179421503.26,260811958.68,401211707.81,141671690.03,63693400.00,22163263.00,62436293.00,175000000.00,176000000.00,181206992.36,179276992.36,47276992.36,136476992.36,175076992.36,7126992.36,0,7126992.36,0,3800000.00,0,500000.00,0,1700000.00,146200000.00,0,186000000.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,16734455.41,15040799.09,12520620.56,10920976.02,21471900.82,20602885.06,17711407.30,18261157.00,0,23391536.77,0,18993359.70,0,28650916.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34190000.00,0,0,0,200000.00,600000.00,0,800000.00,0,1000000.00,0,0,0,0,0,0,0,90000.00,490000.00,0,0,0,750000.00,0,0,0,0,0,0,0,1860000.00,0,3000000.00,0,0,0,0,0,0,0,21000000.00,0,0,0,20000.00,277095122.38,347095122.38,367630122.38,378722622.38,350356249.03,390054610.02,56206557.87,61266930.07,28860967.48,56934702.60,14581400.00,53554997.85,11640800.00,113010320.43,0,19534950.82,0,11686000.00,0,0,0,0,1000000.00,0,0,0.0
7,应收账款,16734455.41,15040799.09,12520620.56,10920976.02,21471900.82,20602885.06,17711407.30,18261157.00,22982362.94,23391536.77,20453004.81,18993359.70,29430993.78,28650916.25,24749632.59,20736698.54,18012062.37,18648070.07,14642769.23,16965982.78,54233343.95,29133250.49,26410944.50,41873843.73,21374998.53,23250671.95,18644781.41,18764271.13,22901559.11,19398545.43,18747340.53,17904340.01,23777207.94,24633884.25,20084607.60,19950816.97,25448633.90,24854623.41,23855338.15,17973065.09,20713440.90,21437598.74,21172454.38,19169587.19,8757925.92,7704575.06,7705324.17,9198115.84,9605625.89,12956220.46,13895040.76,13166307.35,45818598.52,70489994.92,48242549.80,20495621.37,23387553.05,4365436.15,12067373.10,12067373.10,0,0,0,0,0,40204878.74,33464022.68,23586603.86,38830275.57,37688069.33,43282284.54,33191246.44,40991659.51,44820933.47,87401192.25,128120755.30,142275997.14,124036686.65,58850572.71,55121300.34,0,51082516.33,0,200263410.54,0,0,0,68255210.60,12335147.34,40707316.42,28999828.93,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
