,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1302898584.82,1080269896.40,958572999.51,1104305270.33,1149597917.57,996796028.72,1150440230.47,1308293177.93,1537211089.82,1321017704.19,1895729371.87,1044779077.69,1469474638.53,1070595708.81,1601045072.16,1600603963.31,1001700997.00,832991256.28,1191332363.03,694142528.36,651796207.62,767618674.82,854247947.39,1088392321.51,1184130310.02,1224901766.72,2127723172.40,744401282.16,987424821.62,1494923864.57,1227941111.49,1619902873.21,1707426282.08,907561675.46,646929853.20,869410774.48,1255076032.02,925294975.31,1105582018.42,623783933.42,526520295.08,719460100.32,342654756.92,327630050.42,327930387.57,367088272.59,360731082.31,316404311.10,225934897.33,147914649.48,139491418.09,122647214.66,143855218.28,158004055.42,178209162.98,157502706.79,164872507.02,202431994.45,251859041.82,269669935.81,235907927.93,284747044.39,332881655.75,23825595.21,21309491.99,4976933.39,0.0
3,交易性金融资产,19454400.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12669937.00,0,10127717.00,6427620.00,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,1768500.00,399900.00,94650.00,0,0,924900.00,0,0,284000.00,0,1808300.00,695900.00,0,0,0,0,1899350.00,98050.00,0,3052400.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1712846522.11,2935169214.24,3083134089.20,2780433447.43,2567295510.27,2334273442.78,3057198726.85,3322687782.16,3577763245.95,0,3398168947.39,0,2054794997.49,0,2049432342.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,593527655.36,692100181.21,484016415.15,290102098.44,287573524.27,781600355.59,1268881430.60,1754935721.39,1464287173.02,1556080321.65,1144834630.05,561441796.38,745388077.65,638894605.07,460503252.36,503890501.16,660467919.50,844863221.49,915553225.53,884041343.49,744467714.26,818783529.66,621187462.06,520800564.99,694162927.37,397906534.97,249354327.58,430035667.06,400987925.19,324062839.79,246719895.65,469039838.86,437334328.66,663333708.66,441523491.44,448523408.37,473632277.38,428890302.82,395947820.04,318765093.12,176303171.39,147906658.53,141136069.09,295481193.69,219179756.82,232905923.79,116671736.45,96029135.37,7433580.00,2011761.51,1263772.50,4171190.00,160000.00,2639850.00,2553768.00,4910284.00,2726000.00,1971900.00,4584077.62,11695682.50,1687943.02,4429286.50,8744753.24,605000.00,1170000.00,0.0
7,应收账款,1712846522.11,2341641558.88,2391033907.99,2296417032.28,2277193411.83,2046699918.51,2275598371.26,2053806351.56,1822827524.56,1851430572.05,1842088625.74,1857237518.47,1493353201.11,1434239937.91,1410537737.13,1239470626.77,1079838556.20,1203859372.94,1314503702.03,1229792864.69,1230250049.53,1166750879.81,1237585989.77,1233271362.66,1079415115.22,1053421989.45,1228577410.33,1097987034.40,987285021.83,927856039.21,1197757352.61,1024960646.56,853263832.44,860499425.15,848702286.16,768111747.09,645453041.03,633369651.57,686212995.04,513792690.68,458408325.85,370530189.87,442024593.89,363061391.67,281993319.24,406856265.03,524757350.72,408847514.72,325426674.52,130235614.73,117857568.38,110637304.82,105590097.68,115586582.10,112068922.45,93040717.36,110632658.93,105343459.72,106171565.29,96050881.12,99988410.78,110998180.00,105112572.61,83679772.37,64143340.63,50371150.69,0.0
8,应收款项融资,666825168.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
