,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
32,固定资产及清理(合计),186190789.74,188099523.08,161833809.30,129345748.03,130031470.12,133204790.33,134597078.73,137720183.59,0,120053770.88,0,124704276.50,0,119165090.14,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,188099523.08,0,129345748.03,130031470.12,133204790.33,134597078.73,137720183.59,130374777.82,120053770.88,118797850.37,124704276.50,117259811.73,119165090.14,120109924.77,121375384.42,121924886.57,122366541.16,120712674.93,111622756.80,27356690.65,25958223.01,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,37244934.31,37460414.49,37675894.67,37891374.85,38106855.02,38322335.20,38537815.38,38753318.98,39146303.91,24664271.34,24806563.77,24948856.20,25091148.63,25233441.06,25376233.20,25519025.64,25661818.08,25804610.52,26090195.40,26661365.16,27232534.92,27703537.79,0.0
40,开发支出,0,0,0,0,0,0,24301.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,45255554.84,45255554.84,45255554.84,45255554.84,45255554.84,45255554.84,45255554.84,45255554.84,44653354.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,0,0,0,0,0,0,0,0,22760.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43,递延所得税资产,4496681.07,4495131.41,4717401.90,4566247.93,4720760.92,4547838.06,4817622.49,4589154.22,4772270.57,4448416.36,4575557.73,4505360.60,4716572.97,4688916.69,4680154.77,4570167.77,4495027.18,4427365.78,4478625.90,4521745.25,3595420.71,261548.99,0.0
