,报表日期,20200331,20191231,20190930,20190630,20181231,20180630,20171231,20161231,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,
51,应付票据,60511561.44,54680869.12,38143833.54,23147608.18,0,0,0,0,0,0,0,0.0
52,应付账款,235030198.31,297473286.80,219777195.01,201992320.98,0,0,0,0,53800160.95,56904073.79,42451245.20,0.0
53,预收款项,0,77123161.04,85893114.92,52084400.45,54493696.92,81813391.17,53197700.88,56878771.17,11368773.45,11153746.66,4610200.02,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,90735969.62,86360049.25,64522754.38,45654276.29,66344593.06,40077861.75,47620133.69,35253661.99,16790363.22,16068901.92,10635737.64,0.0
56,应交税费,21777588.90,25525010.32,11803425.83,23389655.59,18385107.22,16320150.64,12274827.35,16169283.25,14176614.16,9658230.83,6971965.00,0.0
57,其他应付款(合计),5390182.04,17232622.38,5759822.07,4857796.01,5254831.25,0,3666484.93,4958573.01,0,0,0,0.0
58,应付利息,0,0,0,0,0,0,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,0,17232622.38,5759822.07,4857796.01,0,16267084.08,3666484.93,4958573.01,4188864.92,4789482.64,2440590.05,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,4289871.92,5418493.80,6642810.80,6552867.28,4837393.49,0,0,38470833.39,0,12048834.95,11625280.19,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,30097258.06,0.0
66,流动负债合计,543338128.62,589813492.71,477442956.55,402878924.78,391286237.48,331725133.08,307439530.96,291452289.49,112224776.70,120273270.79,118232276.16,0.0
67,非流动负债,,,,,,,,,,,,
68,长期借款,0,0,0,0,0,0,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,36020833.35,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),2361167.34,2847546.33,3652263.02,5153872.52,3378689.60,0,11940966.06,0,0,0,0,0.0
73,长期应付款,0,2847546.33,3652263.02,5153872.52,0,10194499.57,11940966.06,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,53729168.98,58225958.29,39041091.17,38572765.21,25595872.55,8074018.72,6187724.01,7818958.17,9112347.55,5421192.90,6156714.61,0.0
76,递延所得税负债,0,0,0,0,0,0,0,0,0,0,0,0.0
77,长期递延收益,4299294.86,4382234.87,4465174.88,3581114.89,1746994.91,1912874.93,2078754.95,2410514.99,2742275.00,3050000.00,3000000.00,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0.0
79,非流动负债合计,60389631.18,65455739.49,47158529.07,47307752.62,30721557.06,20181393.22,20207445.02,10229473.16,47875455.90,8471192.90,9156714.61,0.0
80,负债合计,603727759.80,655269232.20,524601485.62,450186677.40,422007794.54,351906526.30,327646975.98,301681762.65,160100232.60,128744463.69,127388990.77,0.0
81,所有者权益,,,,,,,,,,,,
82,实收资本(或股本),86400000.00,86400000.00,64800000.00,64800000.00,64800000.00,64800000.00,64800000.00,60000000.00,60000000.00,17000000.00,17000000.00,0.0
83,资本公积,802020836.64,801438416.64,69846733.30,69264313.30,51243451.97,50704211.97,50164971.97,39396161.06,39396161.06,2740000.00,2740000.00,0.0
84,减：库存股,0,0,0,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,-3668651.61,-3668651.61,-4210339.78,-3668651.60,0,0,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,53201281.18,53201281.18,29427822.77,29427822.77,29269493.53,12704421.62,12704421.62,4787523.24,4574876.73,8244865.22,8244865.22,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,457464547.35,442009400.78,381200558.00,351015476.08,284346493.33,174838091.35,193854775.99,114307659.53,63435768.05,98602247.54,74325234.74,0.0
90,归属于母公司股东权益合计,1395418013.56,1379380446.99,541064774.29,510838960.55,429659438.83,303046724.94,321524169.58,218491343.83,167406805.84,126587112.76,102310099.96,0.0
91,少数股东权益,16623442.60,16623729.15,14499649.65,15767305.49,13874734.25,9347513.62,11360290.38,6875518.75,2673045.23,2442891.27,535314.34,0.0
92,所有者权益(或股东权益)合计,1412041456.16,1396004176.14,555564423.94,526606266.04,443534173.08,312394238.56,332884459.96,225366862.58,170079851.07,129030004.03,102845414.30,0.0
93,负债和所有者权益(或股东权益)总计,2015769215.96,2051273408.34,1080165909.56,976792943.44,865541967.62,664300764.86,660531435.94,527048625.23,330180083.67,257774467.72,230234405.07,0.0
