,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1485486851.00,1848632953.00,1686467643.00,1475700477.00,1507762428.00,1683038453.00,1700742920.00,1402522509.00,1392937947.00,1550067781.00,1632676308.00,1391517607.00,1469286073.00,1834011453.00,1995815223.00,1285362414.00,1758101356.00,1586965072.00,1574940993.00,1145365071.00,1525736599.00,1861541927.00,1872746726.00,1367818182.00,1791798246.00,2227183337.00,2604496665.00,2227470828.00,1853385412.00,2019281763.00,2889593997.00,2532967197.00,2513214548.00,2575302305.00,3345960311.00,2489804162.00,2252055903.00,2625771144.00,2722003197.00,2545210286.00,1962980968.00,1693719560.00,2152559189.00,1748573840.00,1544685792.00,1408119694.00,2151748656.00,1322898600.00,1319066509.00,1163896314.00,1584223707.00,1192475575.00,1269164074.00,1206831395.00,1534113325.00,1161141055.00,1164097573.00,1179537473.00,1345432950.00,1061786603.00,1011652307.00,953907610.00,1027802505.00,892624619.00,821879076.00,742035126.00,838786118.00,670501476.00,695657165.00,721170172.00,0,760053925.00,0,803976460.00,826401609.00,198570665.00,112905394.00,168238397.00,132814558.00,185903827.00,212273280.00,0,22309000.00,39771000.00,18946000.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,21200000.00,21200000.00,21200000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15089364.00,66580000.00,65000000.00,50000000.00,20000000.00,85000000.00,50000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,198265958.00,186131192.00,712241039.00,530821071.00,440502614.00,610623976.00,783925320.00,508593173.00,0,545956739.00,678360396.00,383532655.00,0,406687363.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,473671893.00,288667988.00,223654454.00,367210884.00,512840891.00,244796818.00,230591154.00,378804230.00,481064037.00,210470027.00,109459835.00,216068017.00,345165151.00,113988122.00,134588926.00,335703960.00,472187453.00,138315319.00,222610122.00,270389669.00,284073362.00,79702753.00,84237982.00,163517664.00,258449493.00,92635701.00,115486469.00,118836176.00,103153851.00,56268482.00,92136551.00,56026700.00,60160623.00,31447207.00,45305302.00,32735374.00,62665033.00,38107831.00,36004142.00,27503326.00,57652223.00,13378706.00,28626603.00,16038555.00,28749970.00,11524698.00,10585982.00,7262220.00,22986661.00,11150117.00,6340674.00,6650380.00,10081840.00,6586840.00,13476540.00,8461680.00,11887768.00,3079612.00,6899919.00,9700408.00,14021730.00,10022617.00,6917866.00,11058930.00,19200791.00,12476084.00,8909848.00,13955908.00,0,15067931.00,0,957360.00,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,198265958.00,186131192.00,238569146.00,242153083.00,216848160.00,243413092.00,271084429.00,263796355.00,225773801.00,167152509.00,197296359.00,173062628.00,194924910.00,190619346.00,252068992.00,197795091.00,159907612.00,130804645.00,189865830.00,145672411.00,164732525.00,125882945.00,151125593.00,177109516.00,131709140.00,119197728.00,160393733.00,135217384.00,191826356.00,132176545.00,150777482.00,126906526.00,120363981.00,95255224.00,137140049.00,100113271.00,94108109.00,75491906.00,65149130.00,98022443.00,96912371.00,54858028.00,106004756.00,82343029.00,78496564.00,62058063.00,85823963.00,82490201.00,42784306.00,18939032.00,75872273.00,71519265.00,72216214.00,46140451.00,58908460.00,60434028.00,33499719.00,21597994.00,51681617.00,55891768.00,72030859.00,51939707.00,67339153.00,95303112.00,67095411.00,86612402.00,118194913.00,115597086.00,127615406.00,124013942.00,153430000.00,140804743.00,0,161362507.00,141943582.00,118576162.00,111703430.00,133576746.00,165275106.00,137651005.00,136937361.00,0,0,0,0,0.0
8,应收款项融资,213036791.00,372281872.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
