,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,197166869.49,244235040.14,488872972.59,273992900.76,374662264.41,591716726.18,541684812.53,333063479.53,1136028626.55,848554381.16,816678278.72,632379785.45,335908341.29,154320517.40,293098795.50,124968696.30,311254644.76,127164018.07,283810191.83,231416525.75,947979804.22,941669651.63,953507943.72,299159353.49,424996243.84,334789033.51,556755342.00,432288055.54,282512878.17,259963398.96,254031791.19,126667794.53,246778411.67,175642835.92,350804947.83,331094383.68,404779868.21,427368954.32,494891880.89,442917158.86,374638987.82,330257000.67,426531791.85,293985529.51,761545958.37,645029426.19,488550135.70,499959304.99,276303132.73,101435048.49,59199233.47,134774655.09,151751725.65,93195455.30,69326041.60,65128226.84,99070658.22,82301970.66,99761124.26,102673675.60,131222334.31,70276021.62,123983085.11,55420134.07,48979059.14,24681083.69,45608133.60,46600755.43,29192225.23,47354055.29,28965849.52,6817640.05,7226259.36,1472033.65,7757622.72,1412996.62,4429058.57,4159676.18,13507491.59,702678.24,0,5126403.00,28294466.00,10309375.00,0.0
10,其他应收款(合计),868217950.06,1120205188.79,4220598156.84,4377886418.60,3967983918.88,3479004762.59,881871205.83,770906736.28,0,751639997.81,0,570920345.70,0,562165442.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,1900619.65,5900619.65,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,80345557.87,32571158.81,32571158.81,0,74057400.20,74057400.20,74057400.20,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78310.32,78310.32,78310.32,78310.32,0,5907310.32,0,5907310.32,0,0,0,0,1943000.00,1943000.00,1943000.00,1943000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,1033959011.27,0,4345315259.79,3967983918.88,3404947362.39,807813805.63,696849336.08,847203463.06,751639997.81,528733978.05,570920345.70,598703944.24,562165442.69,576449149.86,540446079.50,875175299.73,591910890.03,616084505.82,549447172.54,645365484.92,566595759.40,1217545852.55,3018821176.46,2488286352.26,2379933054.41,2320147347.72,2031455227.15,153493855.80,23736219.09,25143252.80,21117207.63,42767976.83,44867858.68,53037833.26,44791698.94,108333518.70,105086680.53,83255428.94,84300966.36,146247526.71,155793874.09,117845079.41,119415020.11,138741657.86,12390987.33,20101539.91,12362085.01,18361479.06,18312564.18,14349182.60,41135129.94,92435255.61,64353761.44,60939882.94,59973228.19,45482369.41,13149982.66,81188350.80,58150856.64,78932716.41,84775054.51,76430918.94,51167929.95,35176144.82,35800871.20,46306995.25,8895971.56,119996013.26,84642164.02,23070279.79,22797392.55,48420220.87,57923373.47,138707519.67,23921800.69,17845769.71,15369219.18,14253662.05,14650373.26,0,8549667.00,19834948.00,37054456.00,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,963654151.00,839576313.88,784515533.41,839787195.20,901291909.35,830554605.90,890521459.42,909564150.94,896968087.28,753682590.40,625676409.03,734364005.99,539772222.18,492228212.93,540984461.84,601329483.84,636088888.50,543902525.71,677310148.00,767702367.94,707098335.77,624989644.61,573592270.15,708477108.55,618980191.31,618944441.50,637944599.34,354597096.78,484032615.33,354659324.67,261122970.93,234483043.19,192681501.44,249275376.02,260103535.55,186550358.82,230476734.25,262419203.80,221444895.02,198393952.58,245108313.10,283370180.23,225755490.56,443621343.99,185364462.05,140847061.94,220621001.90,304056377.28,136907784.47,162631140.60,165900991.38,180237176.96,173247540.61,108565239.36,111070550.04,169296982.37,183268476.96,146933988.04,95675694.28,97862090.74,97872135.38,85568020.85,64583753.56,80308786.79,64355123.63,93216107.17,65400376.97,52334666.38,47269266.48,56897660.24,51459524.31,48672214.30,46844509.10,66801125.97,36746855.20,32504321.11,45466784.19,55537860.39,46838741.45,72811592.36,0,68922808.00,75534980.00,50234004.00,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,1323984773.31,1139238905.65,870767656.11,870767656.11,0,198183617.68,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5595676.33,2081441.55,3147871.74,4848002.26,1582713.78,2639359.36,5182753.80,1280898.24,1607576.76,4919870.84,6045202.98,5050004.05,1842188.93,3213283.81,5135193.48,1287231.11,1559446.85,1139929.63,1419288.20,915320.15,1755677.95,2019222.90,1060162.84,2225312.82,1765452.42,1266187.60,911818.97,1211680.75,554631.92,0,750210.00,658962.00,1294717.00,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,1064316882.64,1082736061.30,1105529860.76,1134033924.53,1987974903.16,2140118871.36,2166247774.23,2745545887.21,2146478804.89,1910596430.17,1246229519.00,1113800184.89,723569322.44,645188546.60,534867518.69,512018382.48,330599940.41,254910007.16,256715689.87,326278083.88,246899926.04,223832570.44,309399422.29,333517061.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,10340180566.82,10435303455.66,12758061215.44,13937267903.80,13304033526.85,13177194810.44,10294149548.46,11874273207.98,12934484543.91,11500285713.34,12622230806.38,12102442899.17,8162328271.82,6930916431.15,4897900144.32,5750252523.84,5978269103.28,4871264600.42,6231976761.41,6359911780.65,6375601126.71,6862773403.44,7283715228.70,7785373245.75,6974020146.55,7171680495.02,6655097474.79,4228042120.66,2503918232.73,2110416732.99,1840984029.19,1678146110.31,1596354649.56,1679118136.44,2025583158.43,1728978995.23,2005613801.34,2265541400.62,2157177773.80,1636098786.11,2116479149.66,2183276440.29,1799685892.74,1777551230.74,2111762231.67,1664220261.23,1774892556.72,1776340951.65,1182004622.78,1423617026.15,1439526579.65,826168229.12,1113015064.58,977679660.30,970648705.91,834297381.83,977233772.98,901796772.98,847852148.18,922038879.22,1177335501.55,1240827393.86,1286441901.13,1091169619.59,970386814.14,932786345.23,1014747003.15,886444705.48,890567905.22,884628617.32,796787531.52,677387869.06,752058153.24,595632848.17,637807017.01,381610002.21,470235119.74,330147388.29,330100973.14,250604449.11,414398029.82,229542253.00,172165049.00,271439938.00,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
