,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
13,其他应收款,0,23321071.26,0,21972336.92,22921757.74,24386131.17,21126823.86,17698409.53,29583281.15,28959989.21,27317678.42,26373694.89,23261317.57,21500061.60,16917886.89,25026395.64,32307479.51,28984922.67,22123119.24,24316077.67,20686594.26,15755278.63,16583499.61,12527819.68,16545864.48,14254745.46,16733139.87,15492323.49,17281238.13,16681418.98,14209674.68,14448468.74,14386106.31,13772144.05,10200019.84,11821562.77,11073862.43,10694415.87,8656609.16,7156088.79,6383314.51,6575194.54,3433833.65,3806868.83,4310496.71,3055504.19,4449031.49,3636857.44,4685123.32,8023294.99,7495906.60,6005904.17,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,395386931.52,405546135.75,418189270.20,400859310.90,406603935.36,386482529.99,381964264.74,381033897.00,393907370.10,403689973.67,431883387.91,436774633.67,392967236.49,375009408.70,396850091.11,343849533.24,317831028.21,293568326.41,282237959.12,270632882.33,245962031.07,252226996.43,272617222.17,271564985.96,265762156.19,250734459.33,261824929.26,235166643.50,238158405.71,258809513.40,264753222.36,251123980.09,229275179.63,249193876.35,265606589.02,211307515.23,227878283.84,238920477.52,208661408.11,177829559.07,173559395.74,162421511.69,169187119.83,161690738.38,138886095.89,116077679.89,123414541.54,109887005.54,80983125.20,71850208.52,68723792.03,43753990.21,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,1098777.86,1103392.04,0,30414493.15,30358225.65,104916806.94,103629712.94,103432371.77,104449124.54,24164354.33,29223778.23,20699607.03,25161470.26,21303052.73,138071886.56,146332552.14,40000000.00,70000000.00,150000000.00,150005334.50,150000000.00,150000000.00,0,0,1005982.96,1415498.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,1183558323.77,1150807738.73,1071379331.33,1115800456.33,1119480686.65,1105752055.59,1042315302.70,1110201680.31,1103483022.12,1055389088.31,995246099.61,984008280.01,1034883557.43,1170211282.43,1155042112.68,1213763017.50,1135614079.64,1127220040.65,1095340165.33,1131480524.58,1069004177.71,1000966132.12,1015934332.12,638447676.16,618031552.47,581835132.57,539386979.72,550549895.28,526316996.07,499029141.32,522480582.05,525790818.99,502612134.92,494494482.75,505657103.73,470916244.76,483963061.49,471279224.35,434272843.49,438800285.03,447303609.44,420442204.67,399508718.39,430228946.92,412152646.40,365029314.25,350986421.69,209595813.93,179373676.07,168061042.90,158163394.65,112406915.21,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,0,0,0,0,56846.90,56845.47,57597.59,59702.75,61803.78,71309.12,73961.23,76797.48,79653.41,126352.39,129559.57,141399.62,161314.30,246412.78,294237.76,379602.82,452903.42,571207.13,689890.47,729798.82,880846.63,862741.17,901276.51,935513.59,1005141.81,1042298.64,946265.96,1003442.79,1074411.86,986001.81,986540.87,1036844.33,1037327.79,1054089.75,1064459.62,1067095.09,1068746.67,1108588.22,1314493.84,1292470.07,200000.00,0.0
28,投资性房地产,3685515.06,3727221.89,3768928.73,3810635.56,3612679.41,3650184.03,3687688.66,3725193.29,3695084.55,3741523.61,3787962.67,3834401.73,3865947.80,3912888.34,3959828.88,4006769.42,4014575.99,4061516.53,4108457.07,4155397.61,4154702.06,4201526.95,4248351.85,4295176.74,4064688.66,4109472.62,4154256.58,4199040.54,4057421.07,4100379.01,4143336.94,4186294.88,4611393.03,4657937.55,4704482.07,4751026.59,4874254.97,4921782.66,4969310.34,5016838.02,5072819.13,5112212.58,5151606.04,5190999.49,5073685.07,5110608.18,5147531.30,5184454.41,5221023.91,4566397.87,2632863.69,3380998.69,0.0
29,在建工程(合计),236145664.79,220997286.02,210214322.79,208134944.72,191317454.26,190372945.77,185964429.45,185615449.37,0,145596237.33,0,131058937.00,0,90419384.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,220997286.02,0,208134944.72,191317454.26,190372945.77,185964429.45,185615449.37,181694083.32,145596237.33,138295034.64,131058937.00,113706631.77,90419384.19,86432167.11,72667842.79,45465171.28,29368192.78,29059990.63,4183164.25,1449660.24,926075.35,429245.24,1196014.63,0,0,6282298.00,6558693.19,872817.00,800000.00,0,0,331002.00,178987.00,50000.00,0,12035989.57,10294512.73,9622572.41,9648573.68,9652164.10,7479381.90,0,0,1850928.90,1823328.55,1700670.55,978448.55,650823.55,0,0,37679588.78,0.0
