,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1675671730.02,1124967217.82,790109843.37,907437881.05,670869268.91,508245577.36,513400825.59,721596158.10,426966538.31,517997543.85,367083291.54,637926022.26,387540691.27,487828788.58,417243504.75,623118748.24,667256770.01,750635182.37,599972171.65,777505475.71,834962637.61,1008505087.17,1138454077.51,1236434140.67,303494879.08,261135868.26,239251374.80,255119800.06,57822150.35,32476701.68,31070862.59,12034369.81,63586602.54,95369758.02,34199611.02,193468740.12,38920616.39,32747077.04,24839873.78,45544810.88,60141096.16,44539367.89,40194531.70,91018663.54,115989493.83,67743474.99,70745306.02,77053418.96,113427680.09,31413225.27,85072605.84,84097823.53,57567744.03,80109930.44,97311299.44,96719310.85,60545832.17,57137309.66,67536066.15,85351056.01,66034246.26,66717045.91,66028544.48,65514434.70,66505975.55,87605407.14,61457482.46,34810806.91,77765433.62,46885634.80,35622244.37,31797840.28,19550441.51,6204558.75,6594801.16,7901373.19,7869386.58,9706499.14,12418626.17,15149089.58,0,11734113.68,0,9356822.54,9327247.00,0,0,0.0
3,交易性金融资产,0,0,0,0,0,0,5803212.59,4248122.06,1139262.77,0,922644.67,0,0,0,0,225277.55,886081.46,1165175.74,1637912.19,6023860.00,9564700.00,9564700.00,9564700.00,9564700.00,2126611.00,2126611.00,2126611.00,2126611.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814109.10,571464.97,0,518818.60,0,0,0,0,0,0.0
4,衍生金融资产,0,0,14230598.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,2770961145.35,2718058830.57,2611170567.37,2346437107.95,2559871078.49,2782005723.70,2469684489.72,2094419600.38,0,2638664704.77,0,1874828275.09,0,1864112779.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,847477364.62,717664123.37,599074456.30,586186915.26,698317468.88,772401848.98,616680070.42,622317113.65,943907577.75,938942913.86,719048612.12,545346482.93,457580187.52,404798855.30,333662587.53,339677942.15,348921822.84,347212494.31,382122052.35,462421129.58,434140766.48,384779872.46,424742276.46,317136582.16,257945494.31,189615458.86,206636430.62,180784532.90,0,1570000.00,3603796.80,830392.48,23766334.76,5316627.24,3764200.00,115444951.14,1431337.00,2451849.00,3927640.00,1945179.20,1613594.18,2384800.00,1099354.31,820000.00,8694317.88,8388040.00,5480109.00,6590000.00,3150000.00,2417500.00,10626121.00,7460000.00,950000.00,1606136.57,960000.00,810000.00,270000.00,620147.67,680000.00,5617441.59,0,2018963.20,500000.00,1625000.00,400000.00,0,140000.00,62540.00,0,20000.00,90000.00,4900000.00,3560000.00,0,0,50000.00,0,0,585000.00,240000.00,0,0,0,0,0,0,0,0.0
7,应收账款,1923483780.73,2000394707.20,2012096111.07,1760250192.69,1861553609.61,2009603874.72,1853004419.30,1472102486.73,1736688544.09,1699721790.91,1577533609.86,1329481792.16,1547767588.31,1459313924.19,1244390531.50,1075042325.35,1161101042.79,1157017193.07,1049979726.94,985243993.36,1067828857.92,1071582717.28,915054678.72,883822801.57,904088385.15,941489437.44,819231302.10,828236605.89,0,97627856.00,66496739.32,40222081.16,66470442.90,67220039.01,93844713.50,532948988.38,34744301.37,39715192.36,29722509.85,53967389.92,51887707.21,53957654.10,62120824.36,50720078.18,77172634.09,67616118.45,83936959.30,78607649.37,80657441.95,73883927.20,64818169.25,71307274.20,70301493.85,81660423.06,82969431.55,88691079.63,48736959.60,49482668.33,88873038.98,83487599.83,52330111.94,50097590.16,45145139.54,55130552.83,55344529.71,77410470.96,90087585.50,69576816.92,70411904.06,93849875.31,101759858.37,99735502.79,165594766.82,116871466.97,127166275.11,133597623.07,129909372.20,105416172.54,129771857.80,109354705.38,0,99306924.02,0,83154849.44,57670855.34,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
