,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,122693000.00,129134000.00,158007000.00,132958000.00,128397000.00,112929000.00,131608000.00,76265000.00,149900000.00,55936354.72,85420250.76,666273404.80,265886833.89,240409513.90,228699003.41,163893576.95,89767884.45,76466278.09,80648016.96,112865558.18,479517020.97,405628817.51,343509666.47,311784984.69,399141795.96,435195522.78,366366348.14,102342345.22,430103274.63,366316759.80,211679845.03,125717165.79,193514572.43,247344852.95,151296708.83,141066142.91,151557361.76,182857467.92,178040472.03,75473981.97,182998253.74,147265110.06,90306363.15,63258328.68,211076348.15,182153370.86,145159065.25,105873027.64,76781893.42,77407856.97,53622242.59,32704955.62,57604257.31,40898273.49,32925776.27,27911704.95,78015337.76,63825151.04,49525918.21,23374680.85,135557278.66,60056798.49,51502383.54,19478249.25,22690710.56,7546468.72,10817700.27,3519588.39,0.0
10,其他应收款(合计),43127000.00,61074000.00,269336000.00,255962000.00,173810000.00,126244000.00,43429000.00,166020000.00,0,609784122.71,658518598.08,541820694.70,852697174.39,775541213.81,738094617.17,778077042.51,840378304.11,820854818.11,879203109.11,844017251.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,7000.00,15650000.00,19115000.00,10787000.00,4111000.00,790000.00,3223000.00,8565000.00,10511000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,1900000.00,1900000.00,1900000.00,1900000.00,1900000.00,1900000.00,1900000.00,1900000.00,1900000.00,1900000.00,1900000.00,4050000.00,4050000.00,4050000.00,4050000.00,4050000.00,4050000.00,2650000.00,2650000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,2120000.00,2320000.00,558685.65,1250000.00,0,0,500000.00,1007500.00,500000.00,626684.00,500000.00,500000.00,80.00,80.00,580080.00,580080.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,45424000.00,0,245175000.00,0,125454000.00,40206000.00,157455000.00,54850000.00,609784122.71,658518598.08,541820694.70,852697174.39,773641213.81,736194617.17,776177042.51,838478304.11,818954818.11,877303109.11,842117251.01,912296941.16,932397517.45,992226780.91,972724846.02,705830821.94,664121327.04,637874090.04,573789608.11,374874276.57,252910425.26,271173239.84,263656669.16,242215731.94,199906977.84,185101584.72,159286496.11,133405268.69,113297131.72,104020479.73,97890572.51,116355234.91,97747503.89,76469505.75,78694645.13,70893955.41,81284597.59,82145616.35,118281080.03,199872805.09,96404678.16,74096919.33,61558782.04,90681917.25,70070410.79,71639613.45,51747362.12,73300080.45,68876870.38,57029586.46,47365452.33,39396845.65,35007520.18,30147704.92,20204756.51,25615517.06,22861479.59,17030134.17,3600587.07,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,2157782000.00,1926662000.00,1787715000.00,1762645000.00,2063853000.00,1717379000.00,1637548000.00,1574625000.00,1848411000.00,3116038221.98,3235455194.72,2553408269.32,2668636651.14,2645701642.55,2685787220.66,2562670248.86,3105933048.17,3141294136.16,3054301922.97,2498555995.66,3022712324.90,2698244924.12,2439661759.53,2408638640.42,4409512699.74,4274736999.27,3851337865.40,3906509478.79,3836261289.48,3435895888.63,2910042047.24,2821585865.77,3019689219.23,2631190360.06,2188126126.59,2090431781.24,1658946121.69,1451445155.60,1121373951.01,1265274858.16,1207876420.77,998337375.65,722195612.12,773615391.02,731806409.41,622082051.73,387985982.23,290013681.05,498429339.62,443640675.87,379444048.45,411489158.29,503901776.63,448808981.70,425651925.09,335627543.30,294566224.58,242210104.16,224355793.12,235156164.97,245850638.96,198176824.60,163059572.17,142810430.62,113005240.13,147807915.49,80938655.01,29788595.57,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3156734.48,4145720.24,2193973.65,641949.83,2884128.95,2405090.27,1834244.36,76963.09,1686045.22,1337731.10,979884.49,60124.94,32517.49,158705.36,22467.28,20609.40,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,376558000.00,385302000.00,781668000.00,1301055000.00,207693000.00,186217000.00,4653127000.00,4726641000.00,5043157000.00,39847471.37,29863295.45,29642273.92,15345265.38,34730147.32,21724760.09,19129151.24,37225466.60,37336708.57,32672635.59,24496499.62,14928.07,6826.05,16991.28,19287.87,26101.23,26551.23,80155.95,100294.10,185328.05,21499.98,61557.72,109224.41,74916.67,74916.67,0,74916.67,0,0,0,63622.00,0,0,5608.38,25395.55,3867.00,5800.00,0,7559.42,0,0,0,305538.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,8473682000.00,8636472000.00,7938302000.00,10526291000.00,7163310000.00,6662735000.00,10383160000.00,11193464000.00,11825256000.00,7511233701.12,8435115263.54,7448830851.15,7277178864.95,7934385130.74,7741336513.28,8305013686.33,7695601748.16,7914808698.09,7361634238.03,7570310353.29,7827008244.26,7144150256.31,6310975361.56,6855410736.23,7199798193.05,7101795768.12,6217009464.98,5942934053.05,5694134236.02,4845879537.35,4189825490.37,4230132502.32,4422753840.76,4071227412.30,3398816303.19,3290577332.73,2673462893.19,2396449662.37,1944600934.70,2091502445.08,2231103000.22,1936066105.57,1291084618.86,1185353569.44,1426647120.77,1223238240.19,954923524.59,918764290.06,1447584744.10,1104164650.95,938541221.37,885857110.30,1036581105.13,864860842.80,811584736.52,764184834.39,752051960.65,662381925.85,638148953.18,614735366.05,754865220.69,670868844.27,758190726.75,826685026.59,510665196.69,445701783.46,325876921.29,113201982.06,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,20000000.00,20000000.00,20000000.00,20000000.00,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,25000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395000000.00,395000000.00,267000000.00,0.00,0,0,0,0,18998958.87,18998958.87,18998958.87,18998958.87,30305385.07,30305385.07,30305385.07,30305385.07,30305385.07,30305385.07,30305385.07,32905385.07,30305385.07,30305385.07,30305385.07,30305385.07,0,0,0,31317965.02,13317965.02,13117965.02,13117965.02,12617965.02,105422591.73,124422591.73,124422591.73,74422591.73,20000000.00,10000000.00,0,4147.00,4147.00,92608496.48,20731.00,0,0.0
26,长期应收款,67283000.00,62413000.00,45958000.00,42951000.00,42131000.00,42301000.00,49394000.00,35240000.00,38627000.00,1170041518.59,1170041518.59,1170041518.59,1106474325.57,717761855.97,717761855.97,717761855.97,717761855.97,717761855.97,717761855.97,717761855.97,721464313.98,717964313.98,519236599.39,546694406.55,0,0,0,0,0,0,0,0,0,0,0,0,21498170.00,5000000.00,5000000.00,0,0,0,0,0,0,0,0,0,6289689.34,6289689.34,31289689.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
