,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,31082323191.79,31323070129.82,36429479020.11,25139943896.71,26251150276.52,28882353238.76,26928704022.89,19829755191.20,23533337536.29,24035009879.55,27252356633.06,25547122506.65,26930417635.43,32384138369.26,34650231216.79,30837071461.73,46932386012.26,53638212116.05,28885364177.04,19590065789.71,15140631542.21,14116151593.93,10100498023.16,10025772589.73,10788418797.51,10634774669.36,11574797804.81,11921118661.18,11640677862.88,12910952064.21,16151928158.43,13832361925.80,15544692308.74,15715808553.39,19875579513.92,23743899031.43,19069567958.25,21184267876.26,17128305354.67,20687944073.66,18638284212.79,12208612883.84,13452560855.00,11632048485.32,10778011227.61,19487874926.49,14497001255.54,16549774536.01,0.0
3,其中：客户资金存款,22222930292.09,24327718809.05,26521359395.06,16636218037.99,17211377436.86,20699123965.37,20486676534.11,16456920239.37,18495354752.25,19260385107.55,20756298011.63,20502272481.29,21673572793.61,27373333544.79,27700007709.41,26964286257.16,28624104737.29,45525972834.81,23938824482.56,15508061928.69,12478168655.76,10986405022.10,8744769060.29,8336795155.87,8652370653.08,9526467784.87,9085636584.80,9407202081.18,8722935643.30,9565273672.55,11597462920.75,10897026756.33,12023870240.61,13268678400.59,15589091273.97,20533522234.19,16260333022.76,18524778554.24,14879150808.51,17812473553.99,17430975232.87,10361449417.19,10927348768.81,9743031973.62,9485984946.09,16190418845.87,12476261924.20,14227492798.13,0.0
4,结算备付金,4375264604.33,4228734084.94,4782064144.94,5039339762.11,3893433542.88,4443256660.20,5354879988.34,6806785181.57,5408850529.38,5824654095.58,5692212324.38,8959071937.86,5577290772.40,5864431311.87,6158672258.01,8552169820.78,8402224295.61,8537318490.49,6716130634.81,6377229528.61,2763182547.33,1997098503.96,2499570407.29,2290847597.01,2197989664.68,2095388163.00,1906789714.89,1514663584.80,1762963129.26,1549227366.83,1938011633.34,1817984355.12,1625204614.94,3668842590.98,1821847907.97,1934618585.35,1399945889.72,1323863170.51,1722729343.28,4921766512.06,1346109072.43,1279333456.42,1206867825.90,1611119019.54,1906951972.55,1278446317.58,1603021908.70,2020969776.35,0.0
5,其中：客户备付金,3377905457.80,3603178101.60,4220242627.00,4147717714.05,3385042247.74,3864208082.80,4026962004.85,5185738238.54,4190396669.40,4644016692.51,4537862363.56,6953196328.96,4567669637.58,4792594936.96,4918761264.64,7114507523.04,7350399454.58,8453611090.38,5979012155.99,5882694626.07,2401120540.32,1669748036.48,2149544443.24,1964940030.25,1870665837.95,1821583904.51,1734734368.68,1276444766.74,1351803200.44,1395212750.43,1717767220.49,1289682796.28,1384329911.01,1720392471.63,1608061195.04,1887651856.59,1277593040.07,1159536989.92,1470602824.68,4803491169.29,1311696770.96,1178182843.02,962663268.91,1290634055.14,1227865760.07,1131980769.58,1369853308.36,1718535373.39,0.0
6,融出资金,18613190806.19,18181690557.26,18836409517.39,14826437927.31,16728962855.33,19767505029.81,22617867581.09,23577042578.15,22593083134.53,20836016026.10,22568400984.52,23641875435.40,21587154655.44,20759890026.77,20954784626.73,27734287688.28,20184192864.05,39845727881.35,30057374398.55,19356732622.15,10971518281.52,6933845992.03,6495481915.26,5608491661.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,交易性金融资产,32997671033.55,35874096588.93,40571260234.58,29505040056.49,30071894118.62,24235053111.80,22935406659.09,21163908544.77,19458138838.33,16182736070.23,14560795331.02,15479204893.04,11791104336.21,10747674907.20,12139239989.57,14148122426.09,12381157170.95,18278038974.14,18002345907.41,11674652587.04,6895564034.24,5709928143.92,5194897350.51,5718772699.01,5390919273.80,5466516823.96,5923834488.39,8266416258.23,4497592926.83,4405521240.19,3119680021.09,3865675597.78,3413442011.66,3591876044.80,5295677986.43,3720078269.89,3673121811.51,3635051710.01,5236803851.16,7538216010.17,5819082640.64,4506300529.69,4323134695.36,3914796202.49,3580623416.38,2792390395.77,3415582042.84,2149131192.42,0.0
8,衍生金融资产,8453154.52,2520495.97,3546125.16,6673970.68,6051923.87,8903032.30,3728175.98,16900.00,85445.00,32850.00,40360.31,0,0,77248980.37,91829771.11,13066419.56,10235170.94,11645132.84,3168442.62,1051572.20,2448595.79,0,2148337.46,0,0,0,0,0,0,0,153628500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
