,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,2887353000.00,3543090000.00,3212909000.00,3063238000.00,6861297000.00,3215753000.00,3109220000.00,2867480000.00,2147721000.00,2849212000.00,2393030000.00,2527252000.00,2165982000.00,2100741000.00,2355154000.00,2984102000.00,3290194000.00,3983867000.00,3389329000.00,5598885000.00,5223351000.00,6177741000.00,5385186000.00,4929939000.00,3393804000.00,3203202000.00,2520119000.00,1833695000.00,1213042000.00,1984989000.00,2035275000.00,2524406000.00,1930496000.00,1836867000.00,2011657000.00,3060774000.00,2433447000.00,1917527000.00,2285425000.00,2978376000.00,1073559000.00,761884000.00,738223000.00,1035234000.00,1014391000.00,2059308000.00,3331131000.00,3885068000.00,1693935000.00,3013374127.44,2770408398.18,2369732223.04,2261347915.40,647933366.57,736890370.56,1031161392.02,954264200.51,490219553.75,497575539.99,862721527.87,906002350.57,1234603431.37,1147772501.24,851200631.70,548148321.55,305078034.18,360075927.19,160580058.40,264062030.36,170738070.70,165930206.67,0,16185567.58,81041123.90,46589480.73,108825044.78,46016133.78,95905474.62,39966570.93,74853621.73,59964750.78,0,16749231.76,0,43360540.70,0,19447628.44,0,8082015.37,0.0
10,其他应收款(合计),7591488000.00,9138890000.00,9119876000.00,11836451000.00,11276144000.00,11405048000.00,8738693000.00,8210688000.00,8283236000.00,0,8294611000.00,0,9399096000.00,0,3936330000.00,0,3276837000.00,0,0,0,2589370000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,25288000.00,19092000.00,13490000.00,8580000.00,8881000.00,9250000.00,11019000.00,8708000.00,7266000.00,10842000.00,9694000.00,1983000.00,1636000.00,3968000.00,12479000.00,7253000.00,4497000.00,747000.00,5949000.00,5688000.00,27663000.00,14410000.00,8679000.00,5141000.00,2017000.00,2020000.00,2849000.00,2705000.00,5031000.00,4732000.00,0,0,0,0,8079000.00,5834000.00,2925000.00,2412000.00,4709000.00,7188000.00,5615000.00,4997000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,4408000.00,4408000.00,44687000.00,42055000.00,41055000.00,41959000.00,7716000.00,8968000.00,3793000.00,12345000.00,3300000.00,12605000.00,12611000.00,10427000.00,3362000.00,1515000.00,1514000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11220000.00,10801000.00,10804000.00,10792000.00,1991000.00,1995000.00,2042000.00,2125000.00,4328642.50,4390864.14,4457699.06,4500890.92,0,0,2290955.01,2306330.16,0,0,0,0,108124.13,108124.13,108124.13,108124.13,0,10091363.93,3481240.63,3481240.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,0,0,0,0,11405048000.00,8738693000.00,8180992000.00,8259736000.00,12851351000.00,8243976000.00,9447522000.00,9347887000.00,4202500000.00,3918654000.00,3590667000.00,3253650000.00,2506187000.00,2827226000.00,2798029000.00,2574975000.00,2814931000.00,2877679000.00,2773204000.00,2805061000.00,2921202000.00,2729163000.00,2467789000.00,2114435000.00,2854331000.00,2298503000.00,2317339000.00,2709665000.00,3866913000.00,3109195000.00,3360688000.00,2236272000.00,2375386000.00,2056296000.00,1576847000.00,1123489000.00,888398000.00,847016000.00,848024000.00,884116000.00,1032002000.00,712201000.00,935707000.00,1147246000.00,687451358.92,817974674.83,914208592.87,247132313.56,267576743.64,341465403.11,274362837.00,213308181.14,556331403.39,384987173.03,330875420.85,107598170.44,366968829.13,312006909.08,268719796.81,192649211.06,270499602.28,168432678.01,277171613.35,87534369.37,183988439.69,122874183.36,200188000.00,118830558.32,345967424.79,100127878.67,310770898.75,164709869.70,679047408.49,422034626.09,427274107.79,290773992.38,0,93758470.79,0,89243698.00,0,60561583.74,0,38612097.25,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,41302279000.00,31609196000.00,32721828000.00,33300400000.00,27335324000.00,20937300000.00,20027718000.00,20254423000.00,19258327000.00,18689403000.00,18336871000.00,17683618000.00,17409515000.00,17382283000.00,17229834000.00,16262204000.00,16416646000.00,18157792000.00,19498338000.00,18212821000.00,16773431000.00,16924976000.00,16468206000.00,16217264000.00,15960590000.00,17343571000.00,17516418000.00,19104171000.00,18034726000.00,16104039000.00,16749710000.00,16281823000.00,15468352000.00,16099802000.00,15486058000.00,16669870000.00,13423747000.00,12100287000.00,12292760000.00,10389847000.00,6753566000.00,7497306000.00,7425560000.00,7854630000.00,7833378000.00,9353903000.00,9498475000.00,9233273000.00,7715381000.00,7793092709.34,6629996814.27,6058446463.90,4727523401.83,4661822004.65,5320542505.95,3881733741.60,3371700727.51,4252729904.55,6717943472.69,6259894277.62,4589564282.66,3706981256.48,3287588309.41,2503914990.51,1473814285.26,1498615456.90,1809471819.37,1570881824.14,1300026625.40,1103971951.14,1141100120.52,0,929101533.82,1557695495.65,1360832142.33,1422835236.85,1145924380.49,812582301.85,608469623.35,736753461.05,697182546.91,0,569201667.03,0,635326538.16,0,320175031.06,0,161391259.45,0.0
16,划分为持有待售的资产,93102000.00,197874000.00,197874000.00,198121000.00,197874000.00,197874000.00,197874000.00,197874000.00,235309000.00,203847000.00,203847000.00,203847000.00,203847000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,4294669000.00,4479626000.00,4761711000.00,3408083000.00,4387886000.00,3268115000.00,4115494000.00,3856566000.00,4314250000.00,3672728000.00,4118028000.00,4320709000.00,3941689000.00,3028682000.00,3262995000.00,3338906000.00,3228668000.00,2360981000.00,2475516000.00,1913700000.00,2388975000.00,1641637000.00,1644331000.00,1479752000.00,1513337000.00,1464387000.00,1619432000.00,1712174000.00,1636332000.00,3348803000.00,3142843000.00,2710368000.00,2635287000.00,1424198000.00,1412448000.00,765948000.00,1185502000.00,1022338000.00,895083000.00,432105000.00,394036000.00,302142000.00,250453000.00,172833000.00,128064000.00,182626000.00,149864000.00,84444000.00,95109000.00,7297714.57,7310207.70,7328824.83,7328029.89,0,0,7813761.44,8144098.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18201444.34,26694031.14,26662987.36,22279894.10,22625668.24,23025734.37,28782909.92,24435908.76,16407343.79,14488219.30,16186470.07,15582305.88,2842023.89,20310380.87,15137373.70,15281328.29,11946184.70,2351063.19,5674563.31,0,2959255.37,16986509.42,5619149.38,10270896.36,5997376.80,45710913.61,27580740.06,18276023.29,14178600.05,0,6874426.78,0,7674320.16,0,3233770.47,0,3777052.60,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395671.41,0,829036.35,0,569042.70,0.0
20,其他流动资产,1408857000.00,1018037000.00,1067181000.00,1055569000.00,1038737000.00,847410000.00,999688000.00,811318000.00,1198296000.00,793443000.00,719176000.00,695863000.00,702478000.00,650320000.00,672933000.00,506098000.00,660839000.00,662883000.00,1187839000.00,988401000.00,1029835000.00,591055000.00,524368000.00,862577000.00,822628000.00,606786000.00,749760000.00,689244000.00,690471000.00,945491000.00,948263000.00,847780000.00,865633000.00,730318000.00,729817000.00,677980000.00,688030000.00,628431000.00,625779000.00,271414000.00,276242000.00,317043000.00,335746000.00,403019000.00,410183000.00,61970000.00,70864000.00,91438000.00,71713000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
